ClusteringMethod	ComputationTime	K_LB	K	CCI	NHO	ATD	DMT
METIS_MODIFIED	1.703	2	2	1	26.2021	316.587	8463
Starting Node	Ending Node	Cluster	Required	Is Edge	Weight	Volume	Shape
650	628	0	1	1	90	90	-163.618451 -355.492639,-144.812107 -374.946475
628	650	0	1	1	90	90	-144.812107 -374.946475,-163.618451 -355.492639
632	630	0	1	1	60	60	-154.387532 -378.835628,-147.89992 -376.405234
630	632	0	1	1	60	60	-147.89992 -376.405234,-154.387532 -378.835628
634	632	0	1	1	200	200	-183.72471 -410.842054,-154.387532 -378.835628
632	634	0	1	1	200	200	-154.387532 -378.835628,-183.72471 -410.842054
636	654	0	1	1	40	40	-156.810175 -379.781111,-165.435666 -372.100287
654	636	0	1	1	40	40	-165.435666 -372.100287,-156.810175 -379.781111
640	638	0	1	1	200	200	-189.440186 -419.817883,-159.860895 -381.309532
638	640	0	1	1	200	200	-159.860895 -381.309532,-189.440186 -419.817883
646	642	0	1	1	200	200	-166.106614 -384.073875,-195.583651 -421.053861
642	646	0	1	1	200	200	-195.583651 -421.053861,-166.106614 -384.073875
662	650	0	1	1	220	220	-159.481446 -331.689091,-163.618451 -355.492639
650	662	0	1	1	220	220	-163.618451 -355.492639,-159.481446 -331.689091
654	652	0	1	1	110	110	-165.435666 -372.100287,-173.956296 -363.012076
652	654	0	1	1	110	110	-173.956296 -363.012076,-165.435666 -372.100287
654	656	0	1	1	160	160	-165.435666 -372.100287,-169.411529 -359.243794
656	654	0	1	1	160	160	-169.411529 -359.243794,-165.435666 -372.100287
1018	662	0	1	1	80	80	-145.366028 -314.559625,-159.481446 -331.689091
662	1018	0	1	1	80	80	-159.481446 -331.689091,-145.366028 -314.559625
676	672	0	1	1	150	150	-72.169759 -337.437187,-75.850186 -354.556951
672	676	0	1	1	150	150	-75.850186 -354.556951,-72.169759 -337.437187
676	678	0	1	1	60	60	-72.169759 -337.437187,-77.191348 -358.849124
678	676	0	1	1	60	60	-77.191348 -358.849124,-72.169759 -337.437187
686	682	0	1	1	20	20	-70.249389 -343.339783,-73.296154 -352.920287
682	686	0	1	1	20	20	-73.296154 -352.920287,-70.249389 -343.339783
688	682	0	1	1	20	20	-69.141189 -351.157003,-73.296154 -352.920287
682	688	0	1	1	20	20	-73.296154 -352.920287,-69.141189 -351.157003
686	688	0	1	1	40	40	-70.249389 -343.339783,-69.141189 -351.157003
688	686	0	1	1	40	40	-69.141189 -351.157003,-70.249389 -343.339783
692	686	0	1	1	0	0	-68.376806 -338.395515,-70.249389 -343.339783
686	692	0	1	1	0	0	-70.249389 -343.339783,-68.376806 -338.395515
694	692	0	1	1	40	40	-70.305364 -332.577323,-68.376806 -338.395515
692	694	0	1	1	40	40	-68.376806 -338.395515,-70.305364 -332.577323
698	692	0	1	1	80	80	-57.828923 -339.066157,-68.376806 -338.395515
692	698	0	1	1	80	80	-68.376806 -338.395515,-57.828923 -339.066157
708	694	0	1	1	30	30	-68.183933 -326.669003,-70.305364 -332.577323
694	708	0	1	1	30	30	-70.305364 -332.577323,-68.183933 -326.669003
716	698	0	1	1	200	200	-44.764236 -323.40017,-57.828923 -339.066157
698	716	0	1	1	200	200	-57.828923 -339.066157,-44.764236 -323.40017
702	700	0	1	1	180	180	-53.446482 -342.157477,-67.342228 -352.43142
700	702	0	1	1	180	180	-67.342228 -352.43142,-53.446482 -342.157477
718	702	0	1	1	200	200	-40.500022 -325.680643,-53.446482 -342.157477
702	718	0	1	1	200	200	-53.446482 -342.157477,-40.500022 -325.680643
706	704	0	1	1	90	90	-49.191698 -344.436428,-62.941826 -355.413168
704	706	0	1	1	90	90	-62.941826 -355.413168,-49.191698 -344.436428
720	706	0	1	1	100	100	-36.108041 -328.334696,-49.191698 -344.436428
706	720	0	1	1	100	100	-49.191698 -344.436428,-36.108041 -328.334696
714	710	0	1	1	100	100	-49.170794 -321.309139,-67.228833 -326.811454
710	714	0	1	1	100	100	-67.228833 -326.811454,-49.170794 -321.309139
728	714	0	1	1	70	70	-37.25445 -307.631588,-49.170794 -321.309139
714	728	0	1	1	70	70	-49.170794 -321.309139,-37.25445 -307.631588
726	716	0	1	1	130	130	-32.707168 -310.301833,-44.764236 -323.40017
716	726	0	1	1	130	130	-44.764236 -323.40017,-32.707168 -310.301833
724	718	0	1	1	0	0	-29.872901 -313.980243,-40.500022 -325.680643
718	724	0	1	1	0	0	-40.500022 -325.680643,-29.872901 -313.980243
722	720	0	1	1	70	70	-25.802296 -316.033439,-36.108041 -328.334696
720	722	0	1	1	70	70	-36.108041 -328.334696,-25.802296 -316.033439
732	730	0	1	1	60	60	-11.936559 -288.618044,-21.814993 -312.183991
730	732	0	1	1	60	60	-21.814993 -312.183991,-11.936559 -288.618044
770	732	0	1	1	90	90	1.600726 -273.371646,-11.936559 -288.618044
732	770	0	1	1	90	90	-11.936559 -288.618044,1.600726 -273.371646
740	734	0	1	1	110	110	-15.765269 -286.411662,-25.484546 -298.42827
734	740	0	1	1	110	110	-25.484546 -298.42827,-15.765269 -286.411662
734	742	0	1	1	100	100	-25.484546 -298.42827,-20.125865 -284.448327
742	734	0	1	1	100	100	-20.125865 -284.448327,-25.484546 -298.42827
748	734	0	1	1	150	150	-23.941617 -281.431808,-25.484546 -298.42827
734	748	0	1	1	150	150	-25.484546 -298.42827,-23.941617 -281.431808
766	740	0	1	1	160	160	-2.168865 -271.429903,-15.765269 -286.411662
740	766	0	1	1	160	160	-15.765269 -286.411662,-2.168865 -271.429903
742	762	0	1	1	170	170	-20.125865 -284.448327,-6.077987 -270.077063
762	742	0	1	1	170	170	-6.077987 -270.077063,-20.125865 -284.448327
758	748	0	1	1	160	160	-10.584361 -266.727926,-23.941617 -281.431808
748	758	0	1	1	160	160	-23.941617 -281.431808,-10.584361 -266.727926
752	750	0	1	1	10	10	-28.816901 -278.697084,-31.602758 -286.30721
750	752	0	1	1	10	10	-31.602758 -286.30721,-28.816901 -278.697084
754	752	0	1	1	90	90	-15.312306 -264.094028,-28.816901 -278.697084
752	754	0	1	1	90	90	-28.816901 -278.697084,-15.312306 -264.094028
756	754	0	1	1	230	230	-27.599172 -236.815724,-15.312306 -264.094028
754	756	0	1	1	230	230	-15.312306 -264.094028,-27.599172 -236.815724
760	758	0	1	1	270	270	-23.562389 -238.078473,-10.584361 -266.727926
758	760	0	1	1	270	270	-10.584361 -266.727926,-23.562389 -238.078473
762	764	0	1	1	250	250	-6.077987 -270.077063,-19.462393 -240.751181
764	762	0	1	1	250	250	-19.462393 -240.751181,-6.077987 -270.077063
768	766	0	1	1	310	310	-15.470481 -241.154277,-2.168865 -271.429903
766	768	0	1	1	310	310	-2.168865 -271.429903,-15.470481 -241.154277
772	770	0	1	1	170	170	-11.657185 -243.156524,1.600726 -273.371646
770	772	0	1	1	170	170	1.600726 -273.371646,-11.657185 -243.156524
776	774	0	1	1	100	100	-19.253346 -261.344667,-32.509194 -274.570563
774	776	0	1	1	100	100	-32.509194 -274.570563,-19.253346 -261.344667
778	776	0	1	1	210	210	-31.481008 -234.550677,-19.253346 -261.344667
776	778	0	1	1	210	210	-19.253346 -261.344667,-31.481008 -234.550677
782	780	0	1	1	130	130	-23.422427 -258.426182,-37.022778 -271.070287
780	782	0	1	1	130	130	-37.022778 -271.070287,-23.422427 -258.426182
784	782	0	1	1	190	190	-35.039752 -233.376779,-23.422427 -258.426182
782	784	0	1	1	190	190	-23.422427 -258.426182,-35.039752 -233.376779
788	786	0	1	1	140	140	-27.71803 -255.669882,-41.704778 -267.874293
786	788	0	1	1	140	140	-41.704778 -267.874293,-27.71803 -255.669882
790	788	0	1	1	200	200	-38.335247 -232.36885,-27.71803 -255.669882
788	790	0	1	1	200	200	-27.71803 -255.669882,-38.335247 -232.36885
794	792	0	1	1	160	160	-32.095687 -253.162277,-46.486566 -265.104326
792	794	0	1	1	160	160	-46.486566 -265.104326,-32.095687 -253.162277
792	1064	0	1	1	50	50	-46.486566 -265.104326,-49.454929 -272.345597
1064	792	0	1	1	50	50	-49.454929 -272.345597,-46.486566 -265.104326
796	794	0	1	1	190	190	-42.269513 -230.807112,-32.095687 -253.162277
794	796	0	1	1	190	190	-32.095687 -253.162277,-42.269513 -230.807112
800	798	1	1	1	170	170	-37.14214 -249.989137,-51.019238 -263.181664
798	800	1	1	1	170	170	-51.019238 -263.181664,-37.14214 -249.989137
798	1060	1	1	1	80	80	-51.019238 -263.181664,-60.816696 -262.475079
1060	798	1	1	1	80	80	-60.816696 -262.475079,-51.019238 -263.181664
802	800	1	1	1	170	170	-47.142171 -229.138898,-37.14214 -249.989137
800	802	1	1	1	170	170	-37.14214 -249.989137,-47.142171 -229.138898
806	804	1	1	1	190	190	-41.606137 -247.870792,-56.461003 -261.165203
804	806	1	1	1	190	190	-56.461003 -261.165203,-41.606137 -247.870792
808	806	1	1	1	130	130	-50.711484 -229.130433,-41.606137 -247.870792
806	808	1	1	1	130	130	-41.606137 -247.870792,-50.711484 -229.130433
812	810	1	1	1	100	100	-46.925986 -246.147474,-60.996948 -260.672381
810	812	1	1	1	100	100	-60.996948 -260.672381,-46.925986 -246.147474
814	812	1	1	1	110	110	-54.973843 -229.625072,-46.925986 -246.147474
812	814	1	1	1	110	110	-46.925986 -246.147474,-54.973843 -229.625072
818	816	1	1	1	130	130	-58.309774 -229.008663,-51.044959 -243.60502
816	818	1	1	1	130	130	-51.044959 -243.60502,-58.309774 -229.008663
816	836	1	1	1	100	100	-51.044959 -243.60502,-68.455312 -258.328019
836	816	1	1	1	100	100	-68.455312 -258.328019,-51.044959 -243.60502
822	820	1	1	1	90	90	-61.670173 -223.811535,-54.857396 -237.975316
820	822	1	1	1	90	90	-54.857396 -237.975316,-61.670173 -223.811535
826	824	1	1	1	80	80	-65.248469 -218.694542,-58.903871 -232.013038
824	826	1	1	1	80	80	-58.903871 -232.013038,-65.248469 -218.694542
830	828	1	1	1	40	40	-66.215541 -217.664928,-60.908537 -228.814017
828	830	1	1	1	40	40	-60.908537 -228.814017,-66.215541 -217.664928
834	832	1	1	1	80	80	-69.967516 -213.276077,-65.03012 -223.170986
832	834	1	1	1	80	80	-65.03012 -223.170986,-69.967516 -213.276077
836	938	1	1	1	160	160	-68.455312 -258.328019,-85.392327 -267.963838
938	836	1	1	1	160	160	-85.392327 -267.963838,-68.455312 -258.328019
840	838	1	1	1	40	40	-73.273568 -209.841881,-67.967108 -219.837363
838	840	1	1	1	40	40	-67.967108 -219.837363,-73.273568 -209.841881
846	842	1	1	1	120	120	-102.176695 -223.263857,-122.005036 -235.387281
842	846	1	1	1	120	120	-122.005036 -235.387281,-102.176695 -223.263857
842	878	1	1	1	150	150	-122.005036 -235.387281,-136.28908 -247.697503
878	842	1	1	1	150	150	-136.28908 -247.697503,-122.005036 -235.387281
848	846	1	1	1	30	30	-93.842935 -215.24717,-102.176695 -223.263857
846	848	1	1	1	30	30	-102.176695 -223.263857,-93.842935 -215.24717
860	856	1	1	1	30	30	-130.268544 -208.053676,-135.455932 -220.410058
856	860	1	1	1	30	30	-135.455932 -220.410058,-130.268544 -208.053676
864	860	1	1	1	110	110	-138.049078 -200.364678,-130.268544 -208.053676
860	864	1	1	1	110	110	-130.268544 -208.053676,-138.049078 -200.364678
866	860	1	1	1	40	40	-114.506052 -195.835728,-130.268544 -208.053676
860	866	1	1	1	40	40	-130.268544 -208.053676,-114.506052 -195.835728
870	866	1	1	1	20	20	-96.619695 -191.606064,-114.506052 -195.835728
866	870	1	1	1	20	20	-114.506052 -195.835728,-96.619695 -191.606064
874	866	1	1	1	50	50	-120.493965 -189.067081,-114.506052 -195.835728
866	874	1	1	1	50	50	-114.506052 -195.835728,-120.493965 -189.067081
872	870	1	1	1	70	70	-85.330125 -198.859152,-96.619695 -191.606064
870	872	1	1	1	70	70	-96.619695 -191.606064,-85.330125 -198.859152
876	870	1	1	1	40	40	-101.020516 -185.77041,-96.619695 -191.606064
870	876	1	1	1	40	40	-96.619695 -191.606064,-101.020516 -185.77041
878	880	1	1	1	100	100	-136.28908 -247.697503,-142.654249 -243.071531
880	878	1	1	1	100	100	-142.654249 -243.071531,-136.28908 -247.697503
878	896	1	1	1	40	40	-136.28908 -247.697503,-143.380616 -261.447961
896	878	1	1	1	40	40	-143.380616 -261.447961,-136.28908 -247.697503
880	882	1	1	1	80	80	-142.654249 -243.071531,-151.374404 -236.200543
882	880	1	1	1	80	80	-151.374404 -236.200543,-142.654249 -243.071531
888	880	1	1	1	180	180	-148.230715 -239.042399,-142.654249 -243.071531
880	888	1	1	1	180	180	-142.654249 -243.071531,-148.230715 -239.042399
884	888	1	1	1	40	40	-156.938044 -232.113182,-148.230715 -239.042399
888	884	1	1	1	40	40	-148.230715 -239.042399,-156.938044 -232.113182
888	902	1	1	1	140	140	-148.230715 -239.042399,-162.646624 -246.868887
902	888	1	1	1	140	140	-162.646624 -246.868887,-148.230715 -239.042399
896	898	1	1	1	30	30	-143.380616 -261.447961,-151.298521 -259.552295
898	896	1	1	1	30	30	-151.298521 -259.552295,-143.380616 -261.447961
972	896	1	1	1	160	160	-131.549466 -283.327039,-143.380616 -261.447961
896	972	1	1	1	160	160	-143.380616 -261.447961,-131.549466 -283.327039
