ClusteringMethod	ComputationTime	K_LB	K	CCI	NHO	ATD	DMT
PUNCH_CHAIN_IMP	4.58	5	5	1.41667	7.29879	343.654	19163
Starting Node	Ending Node	Cluster	Required	Is Edge	Weight	Volume	Shape
6	8	4	1	1	240	240	370.33121 -216.370266,324.962545 -234.815893
8	6	4	1	1	240	240	324.962545 -234.815893,370.33121 -216.370266
8	12	4	1	1	30	30	324.962545 -234.815893,317.03618 -229.262933
12	8	4	1	1	30	30	317.03618 -229.262933,324.962545 -234.815893
10	12	4	1	1	480	480	364.140146 -210.6104,317.03618 -229.262933
12	10	4	1	1	480	480	317.03618 -229.262933,364.140146 -210.6104
14	16	4	1	1	560	560	358.153775 -205.444224,308.381817 -225.060415
16	14	4	1	1	560	560	308.381817 -225.060415,358.153775 -205.444224
18	20	4	1	1	80	80	356.37892 -187.709483,376.4522 -186.845952
20	18	4	1	1	80	80	376.4522 -186.845952,356.37892 -187.709483
18	26	4	1	1	30	30	356.37892 -187.709483,347.361765 -184.328002
26	18	4	1	1	30	30	347.361765 -184.328002,356.37892 -187.709483
20	24	4	1	1	120	120	376.4522 -186.845952,358.324838 -194.137509
24	20	4	1	1	120	120	358.324838 -194.137509,376.4522 -186.845952
26	34	4	1	1	420	420	347.361765 -184.328002,331.052924 -218.149837
34	26	4	1	1	420	420	331.052924 -218.149837,347.361765 -184.328002
36	28	4	1	1	270	270	317.81668 -221.358872,353.114366 -200.98419
28	36	4	1	1	270	270	353.114366 -200.98419,317.81668 -221.358872
34	36	4	1	1	80	80	331.052924 -218.149837,317.81668 -221.358872
36	34	4	1	1	80	80	317.81668 -221.358872,331.052924 -218.149837
34	38	4	1	1	260	260	331.052924 -218.149837,308.155323 -221.919173
38	34	4	1	1	260	260	308.155323 -221.919173,331.052924 -218.149837
38	36	4	1	1	60	60	308.155323 -221.919173,317.81668 -221.358872
36	38	4	1	1	60	60	317.81668 -221.358872,308.155323 -221.919173
38	40	4	1	1	50	50	308.155323 -221.919173,300.816214 -221.828568
40	38	4	1	1	50	50	300.816214 -221.828568,308.155323 -221.919173
40	130	4	1	1	40	40	300.816214 -221.828568,289.954935 -219.348678
130	40	4	1	1	40	40	289.954935 -219.348678,300.816214 -221.828568
46	42	1	1	1	450	450	338.295942 -182.319984,277.801635 -214.284538
42	46	1	1	1	450	450	277.801635 -214.284538,338.295942 -182.319984
1160	46	1	1	1	480	480	299.788006 -157.132005,338.295942 -182.319984
46	1160	1	1	1	480	480	338.295942 -182.319984,299.788006 -157.132005
48	50	1	1	1	50	50	186.374022 -220.887004,193.116048 -223.985001
50	48	1	1	1	50	50	193.116048 -223.985001,186.374022 -220.887004
416	48	1	1	1	40	40	191.577782 -214.95252,186.374022 -220.887004
48	416	1	1	1	40	40	186.374022 -220.887004,191.577782 -214.95252
78	50	1	1	1	100	100	200.215782 -223.892597,193.116048 -223.985001
50	78	1	1	1	100	100	193.116048 -223.985001,200.215782 -223.892597
50	96	4	1	1	30	30	193.116048 -223.985001,199.878446 -228.691834
96	50	4	1	1	30	30	199.878446 -228.691834,193.116048 -223.985001
54	56	4	1	1	300	300	249.973751 -191.56535,220.144424 -205.359096
56	54	4	1	1	300	300	220.144424 -205.359096,249.973751 -191.56535
56	60	4	1	1	60	60	220.144424 -205.359096,229.066897 -209.221539
60	56	4	1	1	60	60	229.066897 -209.221539,220.144424 -205.359096
56	78	1	1	1	330	330	220.144424 -205.359096,200.215782 -223.892597
78	56	1	1	1	330	330	200.215782 -223.892597,220.144424 -205.359096
1192	56	1	1	1	60	60	211.165695 -202.742181,220.144424 -205.359096
56	1192	1	1	1	60	60	220.144424 -205.359096,211.165695 -202.742181
58	60	4	1	1	390	390	255.880455 -197.158898,229.066897 -209.221539
60	58	4	1	1	390	390	229.066897 -209.221539,255.880455 -197.158898
60	72	4	1	1	60	60	229.066897 -209.221539,237.291586 -213.109369
72	60	4	1	1	60	60	237.291586 -213.109369,229.066897 -209.221539
60	80	4	1	1	240	240	229.066897 -209.221539,211.223798 -223.726275
80	60	4	1	1	240	240	211.223798 -223.726275,229.066897 -209.221539
64	72	4	1	1	240	240	261.497872 -202.473704,237.291586 -213.109369
72	64	4	1	1	240	240	237.291586 -213.109369,261.497872 -202.473704
70	66	4	1	1	190	190	242.960782 -217.8748,264.478474 -208.108953
66	70	4	1	1	190	190	264.478474 -208.108953,242.960782 -217.8748
72	70	4	1	1	60	60	237.291586 -213.109369,242.960782 -217.8748
70	72	4	1	1	60	60	242.960782 -217.8748,237.291586 -213.109369
82	70	4	1	1	120	120	230.42315 -226.56747,242.960782 -217.8748
70	82	4	1	1	120	120	242.960782 -217.8748,230.42315 -226.56747
72	76	4	1	1	170	170	237.291586 -213.109369,220.506861 -223.765594
76	72	4	1	1	170	170	220.506861 -223.765594,237.291586 -213.109369
80	76	4	1	1	100	100	211.223798 -223.726275,220.506861 -223.765594
76	80	4	1	1	100	100	220.506861 -223.765594,211.223798 -223.726275
78	80	1	1	1	90	90	200.215782 -223.892597,211.223798 -223.726275
80	78	1	1	1	90	90	211.223798 -223.726275,200.215782 -223.892597
80	86	4	1	1	60	60	211.223798 -223.726275,218.598016 -229.237112
86	80	4	1	1	60	60	218.598016 -229.237112,211.223798 -223.726275
82	118	4	1	1	60	60	230.42315 -226.56747,240.082723 -232.321859
118	82	4	1	1	60	60	240.082723 -232.321859,230.42315 -226.56747
86	94	4	1	1	60	60	218.598016 -229.237112,226.65593 -236.817906
94	86	4	1	1	60	60	226.65593 -236.817906,218.598016 -229.237112
96	86	4	1	1	180	180	199.878446 -228.691834,218.598016 -229.237112
86	96	4	1	1	180	180	218.598016 -229.237112,199.878446 -228.691834
86	114	4	1	1	230	230	218.598016 -229.237112,243.346523 -238.848377
114	86	4	1	1	230	230	243.346523 -238.848377,218.598016 -229.237112
100	94	4	1	1	160	160	214.109117 -241.152092,226.65593 -236.817906
94	100	4	1	1	160	160	226.65593 -236.817906,214.109117 -241.152092
