ClusteringMethod	ComputationTime	K_LB	K	CCI	NHO	ATD	DMT
PUNCH_CHAIN_IMP	2.41	4	4	1.23529	24.2694	288.03	9960
Starting Node	Ending Node	Cluster	Required	Is Edge	Weight	Volume	Shape
6	8	3	1	1	240	240	204.032546 -364.669194,215.306838 -314.397346
8	6	3	1	1	240	240	215.306838 -314.397346,204.032546 -364.669194
8	12	3	1	1	30	30	215.306838 -314.397346,210.364115 -307.240814
12	8	3	1	1	30	30	210.364115 -307.240814,215.306838 -314.397346
10	12	3	1	1	480	480	199.08654 -359.351093,210.364115 -307.240814
12	10	3	1	1	480	480	210.364115 -307.240814,199.08654 -359.351093
14	16	3	1	1	560	560	194.602186 -354.138145,206.418455 -299.08202
16	14	3	1	1	560	560	206.418455 -299.08202,194.602186 -354.138145
18	20	3	1	1	80	80	180.56583 -355.633834,181.385915 -376.509514
20	18	3	1	1	80	80	181.385915 -376.509514,180.56583 -355.633834
18	26	3	1	1	30	30	180.56583 -355.633834,177.273296 -346.967776
26	18	3	1	1	30	30	177.273296 -346.967776,180.56583 -355.633834
20	24	3	1	1	120	120	181.385915 -376.509514,185.735923 -356.43221
24	20	3	1	1	120	120	185.735923 -356.43221,181.385915 -376.509514
26	34	3	1	1	420	420	177.273296 -346.967776,202.681458 -323.783431
34	26	3	1	1	420	420	202.681458 -323.783431,177.273296 -346.967776
36	28	3	1	1	270	270	204.214207 -309.514775,190.738887 -349.772147
28	36	3	1	1	270	270	190.738887 -349.772147,204.214207 -309.514775
34	36	3	1	1	80	80	202.681458 -323.783431,204.214207 -309.514775
36	34	3	1	1	80	80	204.214207 -309.514775,202.681458 -323.783431
34	38	3	1	1	260	260	202.681458 -323.783431,203.934896 -299.430758
38	34	3	1	1	260	260	203.934896 -299.430758,202.681458 -323.783431
38	36	3	1	1	60	60	203.934896 -299.430758,204.214207 -309.514775
36	38	3	1	1	60	60	204.214207 -309.514775,203.934896 -299.430758
38	40	3	1	1	50	50	203.934896 -299.430758,203.317343 -291.866645
40	38	3	1	1	50	50	203.317343 -291.866645,203.934896 -299.430758
40	130	3	1	1	40	40	203.317343 -291.866645,200.550405 -281.108031
130	40	3	1	1	40	40	200.550405 -281.108031,203.317343 -291.866645
46	42	2	1	1	450	450	175.041169 -337.987891,195.655316 -269.48672
42	46	2	1	1	450	450	195.655316 -269.48672,175.041169 -337.987891
1160	46	2	1	1	480	480	152.57309 -303.018145,175.041169 -337.987891
46	1160	2	1	1	480	480	175.041169 -337.987891,152.57309 -303.018145
48	50	1	1	1	50	50	193.729643 -173.801473,196.64934 -180.199311
50	48	1	1	1	50	50	196.64934 -180.199311,193.729643 -173.801473
416	48	1	1	1	40	40	189.458216 -180.230022,193.729643 -173.801473
48	416	1	1	1	40	40	193.729643 -173.801473,189.458216 -180.230022
78	50	1	1	1	100	100	197.105412 -187.535191,196.64934 -180.199311
50	78	1	1	1	100	100	196.64934 -180.199311,197.105412 -187.535191
50	96	1	1	1	30	30	196.64934 -180.199311,200.810453 -186.330689
96	50	1	1	1	30	30	200.810453 -186.330689,196.64934 -180.199311
54	56	1	1	1	300	300	175.734316 -244.908435,184.159249 -211.4768
56	54	1	1	1	300	300	184.159249 -211.4768,175.734316 -244.908435
56	60	1	1	1	60	60	184.159249 -211.4768,187.866986 -219.996157
60	56	1	1	1	60	60	187.866986 -219.996157,184.159249 -211.4768
56	78	1	1	1	330	330	184.159249 -211.4768,197.105412 -187.535191
78	56	1	1	1	330	330	197.105412 -187.535191,184.159249 -211.4768
1192	56	1	1	1	60	60	181.45553 -202.69118,184.159249 -211.4768
56	1192	1	1	1	60	60	184.159249 -211.4768,181.45553 -202.69118
58	60	1	1	1	390	390	180.560072 -249.979885,187.866986 -219.996157
60	58	1	1	1	390	390	187.866986 -219.996157,180.560072 -249.979885
60	72	1	1	1	60	60	187.866986 -219.996157,191.560068 -227.798017
72	60	1	1	1	60	60	191.560068 -227.798017,187.866986 -219.996157
60	80	1	1	1	240	240	187.866986 -219.996157,197.840824 -198.932736
80	60	1	1	1	240	240	197.840824 -198.932736,187.866986 -219.996157
64	72	1	1	1	240	240	185.152345 -254.808369,191.560068 -227.798017
72	64	1	1	1	240	240	191.560068 -227.798017,185.152345 -254.808369
70	66	1	1	1	190	190	195.754399 -232.801778,189.798695 -256.854281
66	70	1	1	1	190	190	189.798695 -256.854281,195.754399 -232.801778
72	70	1	1	1	60	60	191.560068 -227.798017,195.754399 -232.801778
70	72	1	1	1	60	60	195.754399 -232.801778,191.560068 -227.798017
82	70	1	1	1	120	120	201.600518 -218.269834,195.754399 -232.801778
70	82	1	1	1	120	120	195.754399 -232.801778,201.600518 -218.269834
72	76	1	1	1	170	170	191.560068 -227.798017,198.606754 -208.517093
76	72	1	1	1	170	170	198.606754 -208.517093,191.560068 -227.798017
80	76	1	1	1	100	100	197.840824 -198.932736,198.606754 -208.517093
76	80	1	1	1	100	100	198.606754 -208.517093,197.840824 -198.932736
78	80	1	1	1	90	90	197.105412 -187.535191,197.840824 -198.932736
80	78	1	1	1	90	90	197.840824 -198.932736,197.105412 -187.535191
80	86	1	1	1	60	60	197.840824 -198.932736,202.713586 -205.559156
86	80	1	1	1	60	60	202.713586 -205.559156,197.840824 -198.932736
82	118	1	1	1	60	60	201.600518 -218.269834,206.883727 -227.218381
118	82	1	1	1	60	60	206.883727 -227.218381,201.600518 -218.269834
86	94	1	1	1	60	60	202.713586 -205.559156,209.31014 -212.532886
94	86	1	1	1	60	60	209.31014 -212.532886,202.713586 -205.559156
96	86	1	1	1	180	180	200.810453 -186.330689,202.713586 -205.559156
86	96	1	1	1	180	180	202.713586 -205.559156,200.810453 -186.330689
86	114	1	1	1	230	230	202.713586 -205.559156,212.254414 -229.414199
114	86	1	1	1	230	230	212.254414 -229.414199,202.713586 -205.559156
100	94	1	1	1	160	160	211.753989 -198.813645,209.31014 -212.532886
94	100	1	1	1	160	160	209.31014 -212.532886,211.753989 -198.813645
94	112	1	1	1	190	190	209.31014 -212.532886,217.499458 -231.359795
112	94	1	1	1	190	190	217.499458 -231.359795,209.31014 -212.532886
96	100	1	1	1	40	40	200.810453 -186.330689,211.753989 -198.813645
100	96	1	1	1	40	40	211.753989 -198.813645,200.810453 -186.330689
108	104	1	1	1	40	40	227.206492 -214.202143,218.675984 -205.813484
104	108	1	1	1	40	40	218.675984 -205.813484,227.206492 -214.202143
110	104	1	1	1	140	140	225.135502 -220.781834,218.675984 -205.813484
104	110	1	1	1	140	140	218.675984 -205.813484,225.135502 -220.781834
110	108	1	1	1	130	130	225.135502 -220.781834,227.206492 -214.202143
108	110	1	1	1	130	130	227.206492 -214.202143,225.135502 -220.781834
116	110	1	1	1	80	80	223.199663 -230.731184,225.135502 -220.781834
110	116	1	1	1	80	80	225.135502 -220.781834,223.199663 -230.731184
112	114	1	1	1	70	70	217.499458 -231.359795,212.254414 -229.414199
114	112	1	1	1	70	70	212.254414 -229.414199,217.499458 -231.359795
116	112	1	1	1	70	70	223.199663 -230.731184,217.499458 -231.359795
112	116	1	1	1	70	70	217.499458 -231.359795,223.199663 -230.731184
114	118	1	1	1	70	70	212.254414 -229.414199,206.883727 -227.218381
118	114	1	1	1	70	70	206.883727 -227.218381,212.254414 -229.414199
138	116	1	1	1	230	230	234.003891 -218.947589,223.199663 -230.731184
116	138	1	1	1	230	230	223.199663 -230.731184,234.003891 -218.947589
118	120	1	1	1	370	370	206.883727 -227.218381,193.364016 -262.989607
120	118	1	1	1	370	370	193.364016 -262.989607,206.883727 -227.218381
130	122	3	1	1	70	70	200.550405 -281.108031,196.090059 -270.546775
122	130	3	1	1	70	70	196.090059 -270.546775,200.550405 -281.108031
140	122	3	1	1	790	790	238.040447 -226.177109,196.090059 -270.546775
122	140	3	1	1	790	790	196.090059 -270.546775,238.040447 -226.177109
132	124	3	1	1	360	360	205.610822 -287.948161,221.01304 -319.829033
124	132	3	1	1	360	360	221.01304 -319.829033,205.610822 -287.948161
134	126	3	1	1	360	360	211.883285 -293.55043,226.362781 -323.127012
126	134	3	1	1	360	360	226.362781 -323.127012,211.883285 -293.55043
136	128	3	1	1	360	360	218.342748 -297.769279,231.895112 -319.812632
128	136	3	1	1	360	360	231.895112 -319.812632,218.342748 -297.769279
132	130	3	1	1	50	50	205.610822 -287.948161,200.550405 -281.108031
130	132	3	1	1	50	50	200.550405 -281.108031,205.610822 -287.948161
134	132	3	1	1	60	60	211.883285 -293.55043,205.610822 -287.948161
132	134	3	1	1	60	60	205.610822 -287.948161,211.883285 -293.55043
136	134	3	1	1	70	70	218.342748 -297.769279,211.883285 -293.55043
134	136	3	1	1	70	70	211.883285 -293.55043,218.342748 -297.769279
142	136	3	1	1	70	70	223.988853 -290.460171,218.342748 -297.769279
136	142	3	1	1	70	70	218.342748 -297.769279,223.988853 -290.460171
140	138	3	1	1	30	30	238.040447 -226.177109,234.003891 -218.947589
138	140	3	1	1	30	30	234.003891 -218.947589,238.040447 -226.177109
140	144	3	1	1	70	70	238.040447 -226.177109,241.987786 -235.68058
144	140	3	1	1	70	70	241.987786 -235.68058,238.040447 -226.177109
142	144	3	1	1	230	230	223.988853 -290.460171,241.987786 -235.68058
144	142	3	1	1	230	230	241.987786 -235.68058,223.988853 -290.460171
142	146	3	1	1	110	110	223.988853 -290.460171,234.485331 -302.693686
146	142	3	1	1	110	110	234.485331 -302.693686,223.988853 -290.460171
144	152	3	1	1	90	90	241.987786 -235.68058,250.219547 -246.611262
152	144	3	1	1	90	90	250.219547 -246.611262,241.987786 -235.68058
146	148	3	1	1	60	60	234.485331 -302.693686,236.81116 -310.561068
148	146	3	1	1	60	60	236.81116 -310.561068,234.485331 -302.693686
146	152	3	1	1	260	260	234.485331 -302.693686,250.219547 -246.611262
152	146	3	1	1	260	260	250.219547 -246.611262,234.485331 -302.693686
150	154	3	1	1	250	250	240.761491 -303.030011,254.109062 -253.41994
154	150	3	1	1	250	250	254.109062 -253.41994,240.761491 -303.030011
152	154	3	1	1	50	50	250.219547 -246.611262,254.109062 -253.41994
154	152	3	1	1	50	50	254.109062 -253.41994,250.219547 -246.611262
154	156	3	1	1	70	70	254.109062 -253.41994,259.70669 -246.018237
156	154	3	1	1	70	70	259.70669 -246.018237,254.109062 -253.41994
156	190	3	1	1	410	410	259.70669 -246.018237,236.539747 -212.016107
190	156	3	1	1	410	410	236.539747 -212.016107,259.70669 -246.018237
160	192	3	1	1	380	380	265.474776 -245.476156,241.493081 -206.287675
192	160	3	1	1	380	380	241.493081 -206.287675,265.474776 -245.476156
166	170	0	1	1	180	180	180.19777 -139.035166,186.987431 -127.301647
170	166	0	1	1	180	180	186.987431 -127.301647,180.19777 -139.035166
170	176	0	1	1	30	30	186.987431 -127.301647,192.413251 -119.806863
176	170	0	1	1	30	30	192.413251 -119.806863,186.987431 -127.301647
172	176	0	1	1	210	210	181.567891 -130.398739,192.413251 -119.806863
176	172	0	1	1	210	210	192.413251 -119.806863,181.567891 -130.398739
176	230	0	1	1	30	30	192.413251 -119.806863,197.23954 -113.163932
230	176	0	1	1	30	30	197.23954 -113.163932,192.413251 -119.806863
178	180	0	1	1	60	60	184.103562 -121.920197,184.002289 -107.265815
180	178	0	1	1	60	60	184.002289 -107.265815,184.103562 -121.920197
182	184	0	1	1	120	120	188.806356 -122.171382,188.698283 -107.574276
184	182	0	1	1	120	120	188.698283 -107.574276,188.806356 -122.171382
186	188	0	1	1	120	120	194.599195 -116.198404,194.638292 -101.854816
188	186	0	1	1	120	120	194.638292 -101.854816,194.599195 -116.198404
192	206	3	1	1	320	320	241.493081 -206.287675,236.29563 -174.10883
206	192	3	1	1	320	320	236.29563 -174.10883,241.493081 -206.287675
194	202	3	1	1	120	120	238.54956 -204.765455,233.83384 -179.877429
202	194	3	1	1	120	120	233.83384 -179.877429,238.54956 -204.765455
212	198	3	1	1	180	180	237.265397 -165.843844,254.101727 -174.888736
198	212	3	1	1	180	180	254.101727 -174.888736,237.265397 -165.843844
200	214	3	1	1	90	90	265.273864 -162.566269,247.773377 -154.318019
214	200	3	1	1	90	90	247.773377 -154.318019,265.273864 -162.566269
204	202	3	1	1	110	110	213.183503 -161.817804,233.83384 -179.877429
202	204	3	1	1	110	110	233.83384 -179.877429,213.183503 -161.817804
202	206	3	1	1	60	60	233.83384 -179.877429,236.29563 -174.10883
206	202	3	1	1	60	60	236.29563 -174.10883,233.83384 -179.877429
204	208	3	1	1	40	40	213.183503 -161.817804,220.835186 -164.530414
208	204	3	1	1	40	40	220.835186 -164.530414,213.183503 -161.817804
224	204	3	1	1	30	30	206.149298 -156.828863,213.183503 -161.817804
204	224	3	1	1	30	30	213.183503 -161.817804,206.149298 -156.828863
208	206	3	1	1	200	200	220.835186 -164.530414,236.29563 -174.10883
206	208	3	1	1	200	200	236.29563 -174.10883,220.835186 -164.530414
206	212	3	1	1	60	60	236.29563 -174.10883,237.265397 -165.843844
212	206	3	1	1	60	60	237.265397 -165.843844,236.29563 -174.10883
208	210	3	1	1	60	60	220.835186 -164.530414,224.518947 -158.915871
210	208	3	1	1	60	60	224.518947 -158.915871,220.835186 -164.530414
210	212	3	1	1	110	110	224.518947 -158.915871,237.265397 -165.843844
212	210	3	1	1	110	110	237.265397 -165.843844,224.518947 -158.915871
210	218	3	1	1	100	100	224.518947 -158.915871,226.480271 -146.053829
218	210	3	1	1	100	100	226.480271 -146.053829,224.518947 -158.915871
212	218	3	1	1	130	130	237.265397 -165.843844,226.480271 -146.053829
218	212	3	1	1	130	130	226.480271 -146.053829,237.265397 -165.843844
212	1232	3	1	1	20	20	237.265397 -165.843844,241.418562 -167.320266
1232	212	3	1	1	20	20	241.418562 -167.320266,237.265397 -165.843844
216	214	3	1	1	30	30	244.656355 -165.142475,247.773377 -154.318019
214	216	3	1	1	30	30	247.773377 -154.318019,244.656355 -165.142475
214	222	3	1	1	80	80	247.773377 -154.318019,238.566952 -139.774739
222	214	3	1	1	80	80	238.566952 -139.774739,247.773377 -154.318019
216	220	3	1	1	190	190	244.656355 -165.142475,234.89883 -148.524997
220	216	3	1	1	190	190	234.89883 -148.524997,244.656355 -165.142475
1232	216	3	1	1	20	20	241.418562 -167.320266,244.656355 -165.142475
216	1232	3	1	1	20	20	244.656355 -165.142475,241.418562 -167.320266
218	220	3	1	1	60	60	226.480271 -146.053829,234.89883 -148.524997
220	218	3	1	1	60	60	234.89883 -148.524997,226.480271 -146.053829
220	222	3	1	1	80	80	234.89883 -148.524997,238.566952 -139.774739
222	220	3	1	1	80	80	238.566952 -139.774739,234.89883 -148.524997
222	228	3	1	1	30	30	238.566952 -139.774739,234.415231 -133.047092
228	222	3	1	1	30	30	234.415231 -133.047092,238.566952 -139.774739
224	226	3	1	1	100	100	206.149298 -156.828863,218.319593 -153.238073
226	224	3	1	1	100	100	218.319593 -153.238073,206.149298 -156.828863
226	232	3	1	1	80	80	218.319593 -153.238073,220.39635 -140.320969
232	226	3	1	1	80	80	220.39635 -140.320969,218.319593 -153.238073
228	232	3	1	1	180	180	234.415231 -133.047092,220.39635 -140.320969
232	228	3	1	1	180	180	220.39635 -140.320969,234.415231 -133.047092
238	228	0	1	1	20	20	231.564442 -124.378203,234.415231 -133.047092
228	238	0	1	1	20	20	234.415231 -133.047092,231.564442 -124.378203
230	246	0	1	1	30	30	197.23954 -113.163932,201.669595 -120.792844
246	230	0	1	1	30	30	201.669595 -120.792844,197.23954 -113.163932
248	230	0	1	1	130	130	197.172653 -98.668349,197.23954 -113.163932
230	248	0	1	1	130	130	197.23954 -113.163932,197.172653 -98.668349
232	242	0	1	1	70	70	220.39635 -140.320969,215.714246 -127.219259
242	232	0	1	1	70	70	215.714246 -127.219259,220.39635 -140.320969
1236	236	0	1	1	240	240	230.232572 -96.743398,227.121938 -125.473908
236	1236	0	1	1	240	240	227.121938 -125.473908,230.232572 -96.743398
238	252	0	1	1	130	130	231.564442 -124.378203,233.415234 -97.824612
252	238	0	1	1	130	130	233.415234 -97.824612,231.564442 -124.378203
242	240	0	1	1	60	60	215.714246 -127.219259,222.67333 -129.415737
240	242	0	1	1	60	60	222.67333 -129.415737,215.714246 -127.219259
240	254	0	1	1	300	300	222.67333 -129.415737,227.386833 -95.57425
254	240	0	1	1	300	300	227.386833 -95.57425,222.67333 -129.415737
244	242	0	1	1	30	30	209.046388 -124.046267,215.714246 -127.219259
242	244	0	1	1	30	30	215.714246 -127.219259,209.046388 -124.046267
242	256	0	1	1	280	280	215.714246 -127.219259,219.447381 -93.792925
256	242	0	1	1	280	280	219.447381 -93.792925,215.714246 -127.219259
246	244	0	1	1	20	20	201.669595 -120.792844,209.046388 -124.046267
244	246	0	1	1	20	20	209.046388 -124.046267,201.669595 -120.792844
244	264	0	1	1	280	280	209.046388 -124.046267,211.735203 -91.210583
264	244	0	1	1	280	280	211.735203 -91.210583,209.046388 -124.046267
246	266	0	1	1	280	280	201.669595 -120.792844,203.588863 -88.41806
266	246	0	1	1	280	280	203.588863 -88.41806,201.669595 -120.792844
250	248	0	1	1	80	80	198.599597 -80.989397,197.172653 -98.668349
248	250	0	1	1	80	80	197.172653 -98.668349,198.599597 -80.989397
250	266	0	1	1	60	60	198.599597 -80.989397,203.588863 -88.41806
266	250	0	1	1	60	60	203.588863 -88.41806,198.599597 -80.989397
280	250	0	1	1	80	80	197.810693 -67.587664,198.599597 -80.989397
250	280	0	1	1	80	80	198.599597 -80.989397,197.810693 -67.587664
252	260	0	1	1	40	40	233.415234 -97.824612,233.346763 -84.647548
260	252	0	1	1	40	40	233.346763 -84.647548,233.415234 -97.824612
1236	252	0	1	1	10	10	230.232572 -96.743398,233.415234 -97.824612
252	1236	0	1	1	10	10	233.415234 -97.824612,230.232572 -96.743398
256	254	0	1	1	60	60	219.447381 -93.792925,227.386833 -95.57425
254	256	0	1	1	60	60	227.386833 -95.57425,219.447381 -93.792925
254	1236	0	1	1	10	10	227.386833 -95.57425,230.232572 -96.743398
1236	254	0	1	1	10	10	230.232572 -96.743398,227.386833 -95.57425
256	262	0	1	1	80	80	219.447381 -93.792925,220.55484 -82.430886
262	256	0	1	1	80	80	220.55484 -82.430886,219.447381 -93.792925
264	256	0	1	1	60	60	211.735203 -91.210583,219.447381 -93.792925
256	264	0	1	1	60	60	219.447381 -93.792925,211.735203 -91.210583
260	262	0	1	1	60	60	233.346763 -84.647548,220.55484 -82.430886
262	260	0	1	1	60	60	220.55484 -82.430886,233.346763 -84.647548
268	260	0	1	1	120	120	234.716058 -55.089611,233.346763 -84.647548
260	268	0	1	1	120	120	233.346763 -84.647548,234.716058 -55.089611
262	270	0	1	1	280	280	220.55484 -82.430886,219.006515 -51.75554
270	262	0	1	1	280	280	219.006515 -51.75554,220.55484 -82.430886
266	264	0	1	1	60	60	203.588863 -88.41806,211.735203 -91.210583
264	266	0	1	1	60	60	211.735203 -91.210583,203.588863 -88.41806
264	272	0	1	1	400	400	211.735203 -91.210583,211.903565 -49.067151
272	264	0	1	1	400	400	211.903565 -49.067151,211.735203 -91.210583
274	266	0	1	1	400	400	203.7814 -47.134155,203.588863 -88.41806
266	274	0	1	1	400	400	203.588863 -88.41806,203.7814 -47.134155
270	268	0	1	1	130	130	219.006515 -51.75554,234.716058 -55.089611
268	270	0	1	1	130	130	234.716058 -55.089611,219.006515 -51.75554
270	272	0	1	1	60	60	219.006515 -51.75554,211.903565 -49.067151
272	270	0	1	1	60	60	211.903565 -49.067151,219.006515 -51.75554
272	276	0	1	1	30	30	211.903565 -49.067151,212.194123 -40.08413
276	272	0	1	1	30	30	212.194123 -40.08413,211.903565 -49.067151
336	274	0	1	1	50	50	204.149994 -28.928399,203.7814 -47.134155
274	336	0	1	1	50	50	203.7814 -47.134155,204.149994 -28.928399
276	360	0	1	1	280	280	212.194123 -40.08413,239.390376 -46.416712
360	276	0	1	1	280	280	239.390376 -46.416712,212.194123 -40.08413
278	280	0	1	1	300	300	183.584594 -72.446652,197.810693 -67.587664
280	278	0	1	1	300	300	197.810693 -67.587664,183.584594 -72.446652
284	280	0	1	1	150	150	197.599937 -58.6161,197.810693 -67.587664
280	284	0	1	1	150	150	197.810693 -67.587664,197.599937 -58.6161
282	284	0	1	1	300	300	183.661157 -63.306002,197.599937 -58.6161
284	282	0	1	1	300	300	197.599937 -58.6161,183.661157 -63.306002
288	284	0	1	1	150	150	197.717873 -49.636644,197.599937 -58.6161
284	288	0	1	1	150	150	197.599937 -58.6161,197.717873 -49.636644
286	288	0	1	1	300	300	184.139414 -54.1596,197.717873 -49.636644
288	286	0	1	1	300	300	197.717873 -49.636644,184.139414 -54.1596
292	288	0	1	1	150	150	198.236098 -40.728663,197.717873 -49.636644
288	292	0	1	1	150	150	197.717873 -49.636644,198.236098 -40.728663
290	292	0	1	1	300	300	185.207023 -45.057126,198.236098 -40.728663
292	290	0	1	1	300	300	198.236098 -40.728663,185.207023 -45.057126
294	304	0	1	1	60	60	186.981989 -34.099737,191.633351 -31.586159
304	294	0	1	1	60	60	191.633351 -31.586159,186.981989 -34.099737
294	316	0	1	1	70	70	186.981989 -34.099737,186.298167 -22.939925
316	294	0	1	1	70	70	186.298167 -22.939925,186.981989 -34.099737
300	302	0	1	1	100	100	196.830916 -3.554248,197.69959 13.147937
302	300	0	1	1	100	100	197.69959 13.147937,196.830916 -3.554248
308	300	0	1	1	150	150	194.408374 -22.67066,196.830916 -3.554248
300	308	0	1	1	150	150	196.830916 -3.554248,194.408374 -22.67066
310	300	0	1	1	140	140	198.387718 -22.937994,196.830916 -3.554248
300	310	0	1	1	140	140	196.830916 -3.554248,198.387718 -22.937994
312	300	0	1	1	40	40	195.215867 -0.104182,196.830916 -3.554248
300	312	0	1	1	40	40	196.830916 -3.554248,195.215867 -0.104182
312	302	0	1	1	40	40	195.215867 -0.104182,197.69959 13.147937
302	312	0	1	1	40	40	197.69959 13.147937,195.215867 -0.104182
316	302	0	1	1	500	500	186.298167 -22.939925,197.69959 13.147937
302	316	0	1	1	500	500	197.69959 13.147937,186.298167 -22.939925
304	306	0	1	1	130	130	191.633351 -31.586159,197.943716 -31.790217
306	304	0	1	1	130	130	197.943716 -31.790217,191.633351 -31.586159
304	308	0	1	1	50	50	191.633351 -31.586159,194.408374 -22.67066
308	304	0	1	1	50	50	194.408374 -22.67066,191.633351 -31.586159
308	310	0	1	1	70	70	194.408374 -22.67066,198.387718 -22.937994
310	308	0	1	1	70	70	198.387718 -22.937994,194.408374 -22.67066
316	312	0	1	1	150	150	186.298167 -22.939925,195.215867 -0.104182
312	316	0	1	1	150	150	195.215867 -0.104182,186.298167 -22.939925
326	330	0	1	1	90	90	231.918907 -2.052944,244.537253 -7.931821
330	326	0	1	1	90	90	244.537253 -7.931821,231.918907 -2.052944
326	358	0	1	1	40	40	231.918907 -2.052944,232.654466 -11.461159
358	326	0	1	1	40	40	232.654466 -11.461159,231.918907 -2.052944
330	334	0	1	1	110	110	244.537253 -7.931821,232.481937 -20.30233
334	330	0	1	1	110	110	232.481937 -20.30233,244.537253 -7.931821
334	354	0	1	1	280	280	232.481937 -20.30233,211.407186 -31.161474
354	334	0	1	1	280	280	211.407186 -31.161474,232.481937 -20.30233
358	334	0	1	1	50	50	232.654466 -11.461159,232.481937 -20.30233
334	358	0	1	1	50	50	232.481937 -20.30233,232.654466 -11.461159
338	336	0	1	1	400	400	203.289609 9.619181,204.149994 -28.928399
336	338	0	1	1	400	400	204.149994 -28.928399,203.289609 9.619181
340	356	0	1	1	40	40	223.878364 8.518891,227.177307 1.19002
356	340	0	1	1	40	40	227.177307 1.19002,223.878364 8.518891
342	344	0	1	1	40	40	210.339696 8.014629,213.235036 0.477136
344	342	0	1	1	40	40	213.235036 0.477136,210.339696 8.014629
348	344	0	1	1	150	150	213.099544 -14.208779,213.235036 0.477136
344	348	0	1	1	150	150	213.235036 0.477136,213.099544 -14.208779
344	356	0	1	1	70	70	213.235036 0.477136,227.177307 1.19002
356	344	0	1	1	70	70	227.177307 1.19002,213.235036 0.477136
354	348	0	1	1	150	150	211.407186 -31.161474,213.099544 -14.208779
348	354	0	1	1	150	150	213.099544 -14.208779,211.407186 -31.161474
360	362	0	1	1	120	120	239.390376 -46.416712,239.031685 -14.578866
362	360	0	1	1	120	120	239.031685 -14.578866,239.390376 -46.416712
362	364	0	1	1	120	120	239.031685 -14.578866,231.726786 7.483541
364	362	0	1	1	120	120	231.726786 7.483541,239.031685 -14.578866
368	370	2	1	1	50	50	214.71989 10.832419,228.952693 10.464149
370	368	2	1	1	50	50	228.952693 10.464149,214.71989 10.832419
372	374	2	1	1	220	220	223.029409 12.272329,248.738832 16.085968
374	372	2	1	1	220	220	248.738832 16.085968,223.029409 12.272329
372	376	2	1	1	80	80	223.029409 12.272329,236.464191 11.920893
376	372	2	1	1	80	80	236.464191 11.920893,223.029409 12.272329
376	378	2	1	1	200	200	236.464191 11.920893,256.520065 15.276389
378	376	2	1	1	200	200	256.520065 15.276389,236.464191 11.920893
380	382	2	1	1	150	150	237.160862 8.13114,262.915032 13.248449
382	380	2	1	1	150	150	262.915032 13.248449,237.160862 8.13114
384	386	2	1	1	280	280	206.100453 10.03339,239.860309 15.788756
386	384	2	1	1	280	280	239.860309 15.788756,206.100453 10.03339
388	390	2	1	1	280	280	212.344593 11.057889,249.292787 17.122378
390	388	2	1	1	280	280	249.292787 17.122378,212.344593 11.057889
392	396	2	1	1	210	210	219.767714 12.321844,255.807616 18.173169
396	392	2	1	1	210	210	255.807616 18.173169,219.767714 12.321844
400	410	1	1	1	40	40	187.113326 -178.953959,183.021604 -169.434221
410	400	1	1	1	40	40	183.021604 -169.434221,187.113326 -178.953959
400	414	1	1	1	380	380	187.113326 -178.953959,167.718723 -193.019466
414	400	1	1	1	380	380	167.718723 -193.019466,187.113326 -178.953959
416	400	1	1	1	30	30	189.458216 -180.230022,187.113326 -178.953959
400	416	1	1	1	30	30	187.113326 -178.953959,189.458216 -180.230022
410	418	1	1	1	340	340	183.021604 -169.434221,167.024082 -173.090132
418	410	1	1	1	340	340	167.024082 -173.090132,183.021604 -169.434221
424	410	1	1	1	90	90	179.239496 -146.799138,183.021604 -169.434221
410	424	1	1	1	90	90	183.021604 -169.434221,179.239496 -146.799138
414	418	1	1	1	130	130	167.718723 -193.019466,167.024082 -173.090132
418	414	1	1	1	130	130	167.024082 -173.090132,167.718723 -193.019466
1184	414	1	1	1	70	70	165.906353 -202.595122,167.718723 -193.019466
414	1184	1	1	1	70	70	167.718723 -193.019466,165.906353 -202.595122
1192	416	1	1	1	70	70	181.45553 -202.69118,189.458216 -180.230022
416	1192	1	1	1	70	70	189.458216 -180.230022,181.45553 -202.69118
