ClusteringMethod	ComputationTime	K_LB	K	CCI	NHO	ATD	DMT
PUNCH_CHAIN_IMP	15.398	16	16	2.75	3.12324	698.95	107742
Starting Node	Ending Node	Cluster	Required	Is Edge	Weight	Volume	Shape
242	5	0	1	1	90	90	581.07 489.69,578.69 471.81
5	242	0	1	1	90	90	578.69 471.81,581.07 489.69
6	969	0	1	1	111	111	574.27 536.11,577.15 520.08
969	6	0	1	1	111	111	577.15 520.08,574.27 536.11
10	7	0	1	1	499	499	570.13 562.97,571.48 549.41
7	10	0	1	1	499	499	571.48 549.41,570.13 562.97
9	8	0	1	1	84	84	611.84 540.13,603.53 532.0
8	9	0	1	1	84	84	603.53 532.0,611.84 540.13
8	259	0	1	1	103	103	603.53 532.0,596.85 521.0
259	8	0	1	1	103	103	596.85 521.0,603.53 532.0
8	260	0	1	1	86	86	603.53 532.0,604.36 538.43
260	8	0	1	1	86	86	604.36 538.43,603.53 532.0
276	9	0	1	1	147	147	618.92 546.76,611.84 540.13
9	276	0	1	1	147	147	611.84 540.13,618.92 546.76
11	10	0	1	1	79	79	574.1 574.16,570.13 562.97
10	11	0	1	1	79	79	570.13 562.97,574.1 574.16
1038	10	0	1	1	58	58	566.13 569.39,570.13 562.97
10	1038	0	1	1	58	58	570.13 562.97,566.13 569.39
12	11	0	1	1	109	109	578.32 571.53,574.1 574.16
11	12	0	1	1	109	109	574.1 574.16,578.32 571.53
277	11	0	1	1	248	248	579.71 582.5,574.1 574.16
11	277	0	1	1	248	248	574.1 574.16,579.71 582.5
13	12	0	1	1	146	146	582.93 572.8,578.32 571.53
12	13	0	1	1	146	146	578.32 571.53,582.93 572.8
14	12	0	1	1	313	313	581.23 566.04,578.32 571.53
12	14	0	1	1	313	313	578.32 571.53,581.23 566.04
14	13	0	1	1	77	77	581.23 566.04,582.93 572.8
13	14	0	1	1	77	77	582.93 572.8,581.23 566.04
790	13	0	1	1	87	87	588.12 576.71,582.93 572.8
13	790	0	1	1	87	87	582.93 572.8,588.12 576.71
16	14	0	1	1	283	283	584.14 558.31,581.23 566.04
14	16	0	1	1	283	283	581.23 566.04,584.14 558.31
16	15	0	1	1	56	56	584.14 558.31,579.74 544.12
15	16	0	1	1	56	56	579.74 544.12,584.14 558.31
15	275	0	1	1	279	279	579.74 544.12,573.98 543.78
275	15	0	1	1	279	279	573.98 543.78,579.74 544.12
1009	15	0	1	1	203	203	577.71 529.45,579.74 544.12
15	1009	0	1	1	203	203	579.74 544.12,577.71 529.45
780	16	0	1	1	69	69	590.78 568.79,584.14 558.31
16	780	0	1	1	69	69	584.14 558.31,590.78 568.79
17	25	11	1	1	428	428	584.57 426.04,590.73 404.94
25	17	11	1	1	428	428	590.73 404.94,584.57 426.04
20	19	0	1	1	249	249	636.56 470.96,632.92 457.8
