ClusteringMethod	ComputationTime	K_LB	K	CCI	NHO	ATD	DMT
PUNCH	0.126	38	49	3.44	1.11374	665.926	232377
Starting Node	Ending Node	Cluster	Required	Is Edge	Weight	Volume	Shape
4	6	17	1	1	38	38	718.9 670.4,712.92 665.57
6	4	17	1	1	38	38	712.92 665.57,718.9 670.4
154	5	17	1	1	33	33	727.1 677.13,723.88 674.54
5	154	17	1	1	33	33	723.88 674.54,727.1 677.13
1811	6	17	1	1	49	49	711.49 660.49,712.92 665.57
6	1811	17	1	1	49	49	712.92 665.57,711.49 660.49
6	1887	17	1	1	260	260	712.92 665.57,706.46 663.45
1887	6	17	1	1	260	260	706.46 663.45,712.92 665.57
8	7	17	1	1	51	51	700.71 634.27,707.28 640.56
7	8	17	1	1	51	51	707.28 640.56,700.71 634.27
7	174	17	1	1	54	54	707.28 640.56,712.37 647.56
174	7	17	1	1	54	54	712.37 647.56,707.28 640.56
2113	7	17	1	1	55	55	712.0 641.51,707.28 640.56
7	2113	17	1	1	55	55	707.28 640.56,712.0 641.51
9	8	17	1	1	106	106	692.22 627.93,700.71 634.27
8	9	17	1	1	106	106	700.71 634.27,692.22 627.93
2303	8	17	1	1	39	39	705.14 635.2,700.71 634.27
8	2303	17	1	1	39	39	700.71 634.27,705.14 635.2
10	9	17	1	1	55	55	688.82 624.26,692.22 627.93
9	10	17	1	1	55	55	692.22 627.93,688.82 624.26
19	9	17	1	1	70	70	684.23 622.64,692.22 627.93
9	19	17	1	1	70	70	692.22 627.93,684.23 622.64
12	11	17	1	1	23	23	686.2 617.82,690.45 615.06
11	12	17	1	1	23	23	690.45 615.06,686.2 617.82
11	13	17	1	1	22	22	690.45 615.06,686.05 612.25
13	11	17	1	1	22	22	686.05 612.25,690.45 615.06
11	2383	17	1	1	44	44	690.45 615.06,695.72 616.12
2383	11	17	1	1	44	44	695.72 616.12,690.45 615.06
19	12	17	1	1	69	69	684.23 622.64,686.2 617.82
12	19	17	1	1	69	69	686.2 617.82,684.23 622.64
1832	12	17	1	1	32	32	684.78 615.31,686.2 617.82
12	1832	17	1	1	32	32	686.2 617.82,684.78 615.31
14	13	17	1	1	39	39	690.32 610.11,686.05 612.25
13	14	17	1	1	39	39	686.05 612.25,690.32 610.11
13	23	17	1	1	207	207	686.05 612.25,679.4 614.25
23	13	17	1	1	207	207	679.4 614.25,686.05 612.25
16	15	36	1	1	111	111	666.98 742.36,662.7 740.47
15	16	36	1	1	111	111	662.7 740.47,666.98 742.36
1849	15	36	1	1	45	45	664.93 747.85,662.7 740.47
15	1849	36	1	1	45	45	662.7 740.47,664.93 747.85
15	2036	36	1	1	86	86	662.7 740.47,658.79 736.18
2036	15	36	1	1	86	86	658.79 736.18,662.7 740.47
20	19	17	1	1	119	119	674.88 618.41,684.23 622.64
19	20	17	1	1	119	119	684.23 622.64,674.88 618.41
23	20	17	1	1	71	71	679.4 614.25,674.88 618.41
20	23	17	1	1	71	71	674.88 618.41,679.4 614.25
2314	20	17	1	1	106	106	663.79 616.0,674.88 618.41
20	2314	17	1	1	106	106	674.88 618.41,663.79 616.0
22	21	13	1	1	92	92	698.78 675.1,695.82 670.32
21	22	13	1	1	92	92	695.82 670.32,698.78 675.1
21	27	13	1	1	60	60	695.82 670.32,690.85 666.35
27	21	13	1	1	60	60	690.85 666.35,695.82 670.32
182	21	13	1	1	179	179	700.07 668.59,695.82 670.32
21	182	13	1	1	179	179	695.82 670.32,700.07 668.59
2271	23	17	1	1	49	49	680.24 617.84,679.4 614.25
23	2271	17	1	1	49	49	679.4 614.25,680.24 617.84
27	26	13	1	1	137	137	690.85 666.35,687.28 660.17
26	27	13	1	1	137	137	687.28 660.17,690.85 666.35
26	29	13	1	1	79	79	687.28 660.17,676.14 653.85
29	26	13	1	1	79	79	676.14 653.85,687.28 660.17
201	26	13	1	1	184	184	697.56 663.38,687.28 660.17
26	201	13	1	1	184	184	687.28 660.17,697.56 663.38
28	27	13	1	1	74	74	686.78 668.66,690.85 666.35
27	28	13	1	1	74	74	690.85 666.35,686.78 668.66
217	28	13	1	1	105	105	682.95 665.63,686.78 668.66
28	217	13	1	1	105	105	686.78 668.66,682.95 665.63
2262	28	13	1	1	54	54	686.38 672.8,686.78 668.66
28	2262	13	1	1	54	54	686.78 668.66,686.38 672.8
217	29	13	1	1	299	299	682.95 665.63,676.14 653.85
29	217	13	1	1	299	299	676.14 653.85,682.95 665.63
29	1888	13	1	1	88	88	676.14 653.85,663.7 640.65
1888	29	13	1	1	88	88	663.7 640.65,676.14 653.85
33	32	36	1	1	97	97	638.06 686.87,631.27 688.32
32	33	36	1	1	97	97	631.27 688.32,638.06 686.87
32	280	36	1	1	87	87	631.27 688.32,634.3 681.99
280	32	36	1	1	87	87	634.3 681.99,631.27 688.32
32	1533	36	1	1	165	165	631.27 688.32,625.31 695.35
1533	32	36	1	1	165	165	625.31 695.35,631.27 688.32
226	33	36	1	1	83	83	642.22 673.25,638.06 686.87
33	226	36	1	1	83	83	638.06 686.87,642.22 673.25
33	1794	36	1	1	477	477	638.06 686.87,639.1 701.33
1794	33	36	1	1	477	477	639.1 701.33,638.06 686.87
39	38	13	1	1	71	71	638.07 657.56,625.45 661.25
38	39	13	1	1	71	71	625.45 661.25,638.07 657.56
38	40	13	1	1	33	33	625.45 661.25,627.48 665.88
40	38	13	1	1	33	33	627.48 665.88,625.45 661.25
38	274	13	1	1	66	66	625.45 661.25,612.75 663.23
274	38	13	1	1	66	66	612.75 663.23,625.45 661.25
227	39	13	1	1	96	96	650.28 656.62,638.07 657.56
39	227	13	1	1	96	96	638.07 657.56,650.28 656.62
39	266	13	1	1	66	66	638.07 657.56,638.75 649.99
266	39	13	1	1	66	66	638.75 649.99,638.07 657.56
42	41	48	1	1	113	113	583.7 686.11,579.45 690.39
41	42	48	1	1	113	113	579.45 690.39,583.7 686.11
41	50	48	1	1	81	81	579.45 690.39,584.7 694.99
50	41	48	1	1	81	81	584.7 694.99,579.45 690.39
41	63	48	1	1	381	381	579.45 690.39,573.02 690.41
63	41	48	1	1	381	381	573.02 690.41,579.45 690.39
42	308	48	1	1	370	370	583.7 686.11,577.9 687.61
308	42	48	1	1	370	370	577.9 687.61,583.7 686.11
1813	42	48	1	1	111	111	589.56 679.87,583.7 686.11
42	1813	48	1	1	111	111	583.7 686.11,589.56 679.87
44	43	13	1	1	46	46	626.62 651.54,625.87 647.23
43	44	13	1	1	46	46	625.87 647.23,626.62 651.54
267	43	13	1	1	69	69	632.73 651.35,625.87 647.23
