ClusteringMethod	ComputationTime	K_LB	K	CCI	NHO	ATD	DMT
METIS_MODIFIED	65.189	36	37	4.13636	1.67988	642.701	247030
Starting Node	Ending Node	Cluster	Required	Is Edge	Weight	Volume	Shape
2	214	0	1	1	231	231	397.65 661.61,401.78 654.71
214	2	0	1	1	231	231	401.78 654.71,397.65 661.61
5	4	5	1	1	289	289	516.25 682.49,505.73 687.97
4	5	5	1	1	289	289	505.73 687.97,516.25 682.49
4	6	4	1	1	90	90	505.73 687.97,492.45 688.1
6	4	4	1	1	90	90	492.45 688.1,505.73 687.97
212	4	5	1	1	213	213	512.11 695.67,505.73 687.97
4	212	5	1	1	213	213	505.73 687.97,512.11 695.67
1543	5	5	1	1	246	246	519.09 666.35,516.25 682.49
5	1543	5	1	1	246	246	516.25 682.49,519.09 666.35
5	1819	5	1	1	151	151	516.25 682.49,521.61 695.83
1819	5	5	1	1	151	151	521.61 695.83,516.25 682.49
6	7	4	1	1	6	6	492.45 688.1,480.62 682.64
7	6	4	1	1	6	6	480.62 682.64,492.45 688.1
6	1728	4	1	1	128	128	492.45 688.1,490.04 696.27
1728	6	4	1	1	128	128	490.04 696.27,492.45 688.1
7	10	4	1	1	95	95	480.62 682.64,469.01 676.07
10	7	4	1	1	95	95	469.01 676.07,480.62 682.64
9	8	9	1	1	66	66	738.89 497.56,740.43 501.58
8	9	9	1	1	66	66	740.43 501.58,738.89 497.56
228	9	9	1	1	232	232	731.98 495.55,738.89 497.56
9	228	9	1	1	232	232	738.89 497.56,731.98 495.55
9	292	9	1	1	333	333	738.89 497.56,742.11 494.14
292	9	9	1	1	333	333	742.11 494.14,738.89 497.56
10	258	4	1	1	197	197	469.01 676.07,459.9 666.97
258	10	4	1	1	197	197	459.9 666.97,469.01 676.07
10	1370	4	1	1	177	177	469.01 676.07,462.8 677.92
1370	10	4	1	1	177	177	462.8 677.92,469.01 676.07
12	11	9	1	1	94	94	723.69 490.99,724.43 494.21
11	12	9	1	1	94	94	724.43 494.21,723.69 490.99
12	228	9	1	1	92	92	723.69 490.99,731.98 495.55
228	12	9	1	1	92	92	731.98 495.55,723.69 490.99
1873	12	9	1	1	775	775	716.42 484.16,723.69 490.99
12	1873	9	1	1	775	775	723.69 490.99,716.42 484.16
14	13	5	1	1	77	77	529.79 663.82,527.34 662.06
13	14	5	1	1	77	77	527.34 662.06,529.79 663.82
256	13	5	1	1	74	74	528.06 655.97,527.34 662.06
13	256	5	1	1	74	74	527.34 662.06,528.06 655.97
291	13	5	1	1	393	393	522.95 662.28,527.34 662.06
13	291	5	1	1	393	393	527.34 662.06,522.95 662.28
13	1911	5	1	1	64	64	527.34 662.06,528.61 667.96
1911	13	5	1	1	64	64	528.61 667.96,527.34 662.06
276	14	5	1	1	126	126	535.85 666.15,529.79 663.82
14	276	5	1	1	126	126	529.79 663.82,535.85 666.15
291	14	5	1	1	203	203	522.95 662.28,529.79 663.82
14	291	5	1	1	203	203	529.79 663.82,522.95 662.28
277	15	0	1	1	86	86	367.03 649.53,371.99 646.1
15	277	0	1	1	86	86	371.99 646.1,367.03 649.53
16	1673	0	1	1	110	110	373.42 651.22,375.65 658.09
1673	16	0	1	1	110	110	375.65 658.09,373.42 651.22
18	17	9	1	1	40	40	727.63 502.48,728.56 496.96
17	18	9	1	1	40	40	728.56 496.96,727.63 502.48
286	17	9	1	1	119	119	733.12 499.11,728.56 496.96
17	286	9	1	1	119	119	728.56 496.96,733.12 499.11
17	297	9	1	1	127	127	728.56 496.96,728.01 488.74
297	17	9	1	1	127	127	728.01 488.74,728.56 496.96
20	19	5	1	1	55	55	522.38 656.73,521.95 652.74
19	20	5	1	1	55	55	521.95 652.74,522.38 656.73
19	25	5	1	1	96	96	521.95 652.74,516.19 648.84
25	19	5	1	1	96	96	516.19 648.84,521.95 652.74
256	19	5	1	1	182	182	528.06 655.97,521.95 652.74
19	256	5	1	1	182	182	521.95 652.74,528.06 655.97
22	21	5	1	1	74	74	507.44 669.59,507.69 664.97
21	22	5	1	1	74	74	507.69 664.97,507.44 669.59
38	21	5	1	1	192	192	498.77 658.22,507.69 664.97
21	38	5	1	1	192	192	507.69 664.97,498.77 658.22
21	269	5	1	1	201	201	507.69 664.97,511.29 676.1
269	21	5	1	1	201	201	511.29 676.1,507.69 664.97
21	1580	5	1	1	129	129	507.69 664.97,515.2 659.0
1580	21	5	1	1	129	129	515.2 659.0,507.69 664.97
23	1339	12	1	1	598	598	544.61 585.63,549.42 590.85
1339	23	12	1	1	598	598	549.42 590.85,544.61 585.63
25	321	12	1	1	371	371	516.19 648.84,513.69 637.42
321	25	12	1	1	371	371	513.69 637.42,516.19 648.84
1580	25	5	1	1	147	147	515.2 659.0,516.19 648.84
25	1580	5	1	1	147	147	516.19 648.84,515.2 659.0
27	26	9	1	1	166	166	731.03 492.76,735.14 490.32
26	27	9	1	1	166	166	735.14 490.32,731.03 492.76
26	37	9	1	1	105	105	735.14 490.32,728.39 484.69
37	26	9	1	1	105	105	728.39 484.69,735.14 490.32
292	26	9	1	1	73	73	742.11 494.14,735.14 490.32
26	292	9	1	1	73	73	735.14 490.32,742.11 494.14
286	27	9	1	1	277	277	733.12 499.11,731.03 492.76
27	286	9	1	1	277	277	731.03 492.76,733.12 499.11
27	302	9	1	1	216	216	731.03 492.76,725.6 487.82
302	27	9	1	1	216	216	725.6 487.82,731.03 492.76
30	29	4	1	1	76	76	477.61 703.99,473.13 706.84
29	30	4	1	1	76	76	473.13 706.84,477.61 703.99
30	298	4	1	1	100	100	477.61 703.99,480.52 691.69
298	30	4	1	1	100	100	480.52 691.69,477.61 703.99
1755	30	4	1	1	377	377	482.04 706.48,477.61 703.99
30	1755	4	1	1	377	377	477.61 703.99,482.04 706.48
1978	30	4	1	1	77	77	475.44 714.11,477.61 703.99
30	1978	4	1	1	77	77	477.61 703.99,475.44 714.11
32	31	6	1	1	222	222	557.03 543.64,556.41 538.75
31	32	6	1	1	222	222	556.41 538.75,557.03 543.64
33	31	6	1	1	83	83	553.09 542.04,556.41 538.75
31	33	6	1	1	83	83	556.41 538.75,553.09 542.04
31	1729	6	1	1	214	214	556.41 538.75,559.78 532.35
1729	31	6	1	1	214	214	559.78 532.35,556.41 538.75
305	35	4	1	1	104	104	438.56 632.25,440.57 639.97
35	305	4	1	1	104	104	440.57 639.97,438.56 632.25
35	324	4	1	1	117	117	440.57 639.97,438.06 648.02
324	35	4	1	1	117	117	438.06 648.02,440.57 639.97
37	36	9	1	1	149	149	728.39 484.69,720.92 482.28
36	37	9	1	1	149	149	720.92 482.28,728.39 484.69
302	36	9	1	1	115	115	725.6 487.82,720.92 482.28
36	302	9	1	1	115	115	720.92 482.28,725.6 487.82
36	369	9	1	1	122	122	720.92 482.28,712.16 476.46
369	36	9	1	1	122	122	712.16 476.46,720.92 482.28
37	1507	9	1	1	78	78	728.39 484.69,732.95 482.05
1507	37	9	1	1	78	78	732.95 482.05,728.39 484.69
43	38	4	1	1	83	83	490.77 660.12,498.77 658.22
38	43	4	1	1	83	83	498.77 658.22,490.77 660.12
46	38	4	1	1	101	101	495.18 648.13,498.77 658.22
38	46	4	1	1	101	101	498.77 658.22,495.18 648.13
392	43	4	1	1	78	78	483.08 659.9,490.77 660.12
43	392	4	1	1	78	78	490.77 660.12,483.08 659.9
1508	43	4	1	1	31	31	490.74 664.84,490.77 660.12
43	1508	4	1	1	31	31	490.77 660.12,490.74 664.84
46	45	4	1	1	35	35	495.18 648.13,492.62 651.82
45	46	4	1	1	35	35	492.62 651.82,495.18 648.13
57	46	12	1	1	200	200	492.31 637.68,495.18 648.13
46	57	12	1	1	200	200	495.18 648.13,492.31 637.68
1906	46	4	1	1	32	32	497.87 651.71,495.18 648.13
46	1906	4	1	1	32	32	495.18 648.13,497.87 651.71
55	49	12	1	1	15	15	525.19 614.81,529.23 614.68
49	55	12	1	1	15	15	529.23 614.68,525.19 614.81
49	2119	12	1	1	106	106	529.23 614.68,532.77 616.62
2119	49	12	1	1	106	106	532.77 616.62,529.23 614.68
50	1667	6	1	1	29	29	567.06 515.95,563.57 524.53
1667	50	6	1	1	29	29	563.57 524.53,567.06 515.95
1820	50	6	1	1	51	51	574.19 515.06,567.06 515.95
50	1820	6	1	1	51	51	567.06 515.95,574.19 515.06
61	52	6	1	1	98	98	574.08 504.65,564.95 503.62
52	61	6	1	1	98	98	564.95 503.62,574.08 504.65
54	53	6	1	1	95	95	577.22 529.4,569.52 539.92
53	54	6	1	1	95	95	569.52 539.92,577.22 529.4
67	54	12	1	1	97	97	586.63 526.24,577.22 529.4
54	67	12	1	1	97	97	577.22 529.4,586.63 526.24
435	54	12	1	1	453	453	576.46 538.74,577.22 529.4
54	435	12	1	1	453	453	577.22 529.4,576.46 538.74
1347	54	12	1	1	203	203	577.66 515.25,577.22 529.4
54	1347	12	1	1	203	203	577.22 529.4,577.66 515.25
73	56	12	1	1	165	165	549.05 623.33,536.36 618.44
56	73	12	1	1	165	165	536.36 618.44,549.05 623.33
57	403	4	1	1	531	531	492.31 637.68,482.42 641.94
403	57	4	1	1	531	531	482.42 641.94,492.31 637.68
1836	57	12	1	1	111	111	499.68 638.19,492.31 637.68
57	1836	12	1	1	111	111	492.31 637.68,499.68 638.19
2016	57	12	1	1	117	117	493.94 624.74,492.31 637.68
57	2016	12	1	1	117	117	492.31 637.68,493.94 624.74
61	59	6	1	1	205	205	574.08 504.65,568.44 496.92
59	61	6	1	1	205	205	568.44 496.92,574.08 504.65
436	60	4	1	1	252	252	465.49 635.45,455.6 639.83
60	436	4	1	1	252	252	455.6 639.83,465.49 635.45
60	1500	4	1	1	423	423	455.6 639.83,449.51 645.73
1500	60	4	1	1	423	423	449.51 645.73,455.6 639.83
62	61	6	1	1	97	97	584.29 502.66,574.08 504.65
61	62	6	1	1	97	97	574.08 504.65,584.29 502.66
1347	61	6	1	1	201	201	577.66 515.25,574.08 504.65
61	1347	6	1	1	201	201	574.08 504.65,577.66 515.25
62	63	6	1	1	204	204	584.29 502.66,585.45 496.82
63	62	6	1	1	204	204	585.45 496.82,584.29 502.66
77	62	6	1	1	95	95	593.14 499.46,584.29 502.66
62	77	6	1	1	95	95	584.29 502.66,593.14 499.46
1771	62	6	1	1	202	202	586.12 509.52,584.29 502.66
62	1771	6	1	1	202	202	584.29 502.66,586.12 509.52
66	65	1	1	1	119	119	563.94 648.53,567.85 651.08
65	66	1	1	1	119	119	567.85 651.08,563.94 648.53
66	1774	1	1	1	72	72	563.94 648.53,559.26 641.0
1774	66	1	1	1	72	72	559.26 641.0,563.94 648.53
