ClusteringMethod	ComputationTime	K_LB	K	CCI	NHO	ATD	DMT
PUNCH_CHAIN_IMP	0.673	3	3	1	5.12013	338.141	23353
Starting Node	Ending Node	Cluster	Required	Is Edge	Weight	Volume	Shape
192	3	1	1	1	432	1080	-90.506539 38.728139999999996,-90.506515 38.728206,-90.506512 38.728291999999996,-90.506533 38.728398999999996,-90.506572 38.728511999999995,-90.506681 38.728736,-90.50678 38.728881,-90.507023 38.729113,-90.50719 38.729257000000004,-90.507288 38.729302000000004,-90.507347 38.729312,-90.507469 38.72931
3	192	1	1	1	432	1080	-90.507469 38.72931,-90.507347 38.729312,-90.507288 38.729302000000004,-90.50719 38.729257000000004,-90.507023 38.729113,-90.50678 38.728881,-90.506681 38.728736,-90.506572 38.728511999999995,-90.506533 38.728398999999996,-90.506512 38.728291999999996,-90.506515 38.728206,-90.506539 38.728139999999996
196	5	2	1	1	252	630	-90.503002 38.720873,-90.50285 38.721131,-90.502612 38.721596000000005,-90.502535 38.721823,-90.502527 38.721948999999995
5	196	2	1	1	252	630	-90.502527 38.721948999999995,-90.502535 38.721823,-90.502612 38.721596000000005,-90.50285 38.721131,-90.503002 38.720873
229	7	1	1	1	198	495	-90.499528 38.723265999999995,-90.499633 38.723152999999996,-90.499791 38.723036,-90.499874 38.722994,-90.499975 38.722959,-90.500102 38.722933,-90.500316 38.722905,-90.500498 38.722918,-90.500543 38.722930000000005
7	229	1	1	1	198	495	-90.500543 38.722930000000005,-90.500498 38.722918,-90.500316 38.722905,-90.500102 38.722933,-90.499975 38.722959,-90.499874 38.722994,-90.499791 38.723036,-90.499633 38.723152999999996,-90.499528 38.723265999999995
230	7	1	1	1	36	90	-90.500893 38.723085,-90.500841 38.723039,-90.500707 38.722972999999996,-90.500543 38.722930000000005
7	230	1	1	1	36	90	-90.500543 38.722930000000005,-90.500707 38.722972999999996,-90.500841 38.723039,-90.500893 38.723085
145	8	0	1	1	144	360	-90.506244 38.71743,-90.506152 38.71743,-90.506059 38.717402,-90.50599 38.717342,-90.505793 38.716988
8	145	0	1	1	144	360	-90.505793 38.716988,-90.50599 38.717342,-90.506059 38.717402,-90.506152 38.71743,-90.506244 38.71743
147	8	0	1	1	252	630	-90.50697 38.71634,-90.505828 38.716739000000004,-90.505772 38.716783,-90.505763 38.716847,-90.505786 38.716975000000005,-90.505793 38.716988
8	147	0	1	1	252	630	-90.505793 38.716988,-90.505786 38.716975000000005,-90.505763 38.716847,-90.505772 38.716783,-90.505828 38.716739000000004,-90.50697 38.71634
217	9	2	1	1	306	765	-90.499469 38.717445,-90.499387 38.717684,-90.499372 38.717828999999995,-90.499369 38.718180000000004,-90.499388 38.718283,-90.499429 38.718357999999995,-90.499489 38.718405000000004,-90.499555 38.718429,-90.499678 38.718434,-90.499814 38.718402,-90.499853 38.718389
9	217	2	1	1	306	765	-90.499853 38.718389,-90.499814 38.718402,-90.499678 38.718434,-90.499555 38.718429,-90.499489 38.718405000000004,-90.499429 38.718357999999995,-90.499388 38.718283,-90.499369 38.718180000000004,-90.499372 38.717828999999995,-90.499387 38.717684,-90.499469 38.717445
127	18	2	1	1	396	990	-90.500705 38.714349,-90.500559 38.714588,-90.500463 38.714775,-90.50037 38.714973,-90.50031 38.715178,-90.500263 38.715422000000004,-90.50024 38.715689,-90.50025 38.716422
18	127	2	1	1	396	990	-90.50025 38.716422,-90.50024 38.715689,-90.500263 38.715422000000004,-90.50031 38.715178,-90.50037 38.714973,-90.500463 38.714775,-90.500559 38.714588,-90.500705 38.714349
202	19	2	1	1	306	765	-90.50192 38.720572000000004,-90.501893 38.720873999999995,-90.501831 38.721104,-90.501722 38.721382,-90.501619 38.721757,-90.501595 38.721942
19	202	2	1	1	306	765	-90.501595 38.721942,-90.501619 38.721757,-90.501722 38.721382,-90.501831 38.721104,-90.501893 38.720873999999995,-90.50192 38.720572000000004
135	21	2	1	1	72	180	-90.501029 38.713632000000004,-90.50107 38.713529,-90.501118 38.71349,-90.501138 38.71349,-90.501189 38.713493,-90.501223 38.713511,-90.501233 38.713543
21	135	2	1	1	72	180	-90.501233 38.713543,-90.501223 38.713511,-90.501189 38.713493,-90.501138 38.71349,-90.501118 38.71349,-90.50107 38.713529,-90.501029 38.713632000000004
88	25	1	1	1	54	135	-90.499701 38.725385,-90.49947 38.725072999999995,-90.499421 38.724996000000004,-90.499386 38.724886
