ClusteringMethod	ComputationTime	K_LB	K	CCI	NHO	ATD	DMT
METIS_MODIFIED	8.618	2	2	1	11.2194	432.286	42475.8
Starting Node	Ending Node	Cluster	Required	Is Edge	Weight	Volume	Shape
343	11	0	1	1	288	719	-90.465303 38.68226,-90.465734 38.682152,-90.466036 38.682096,-90.466255 38.68206,-90.466367 38.682081,-90.466556 38.682101,-90.466716 38.682168000000004,-90.466734 38.682182
11	343	0	1	1	288	719	-90.466734 38.682182,-90.466716 38.682168000000004,-90.466556 38.682101,-90.466367 38.682081,-90.466255 38.68206,-90.466036 38.682096,-90.465734 38.682152,-90.465303 38.68226
163	12	0	1	1	72	180	-90.471465 38.687987,-90.471499 38.688126
12	163	0	1	1	72	180	-90.471499 38.688126,-90.471465 38.687987
130	13	1	1	1	252	630	-90.456076 38.684056999999996,-90.457269 38.684035
13	130	1	1	1	252	630	-90.457269 38.684035,-90.456076 38.684056999999996
94	27	0	1	1	54	135	-90.470732 38.681926000000004,-90.470722 38.682005000000004,-90.470712 38.682066,-90.470708 38.682171,-90.470705 38.682235,-90.470706 38.682317,-90.470719 38.682359000000005,-90.470734 38.682376000000005,-90.470746 38.682384,-90.470773 38.682389
27	94	0	1	1	54	135	-90.470773 38.682389,-90.470746 38.682384,-90.470734 38.682376000000005,-90.470719 38.682359000000005,-90.470706 38.682317,-90.470705 38.682235,-90.470708 38.682171,-90.470712 38.682066,-90.470722 38.682005000000004,-90.470732 38.681926000000004
132	45	1	1	1	90	225	-90.457496 38.683322000000004,-90.457003 38.683332
45	132	1	1	1	90	225	-90.457003 38.683332,-90.457496 38.683322000000004
421	52	1	1	1	72	180	-90.460223 38.684239000000005,-90.4602 38.684178,-90.460203 38.684017
52	421	1	1	1	72	180	-90.460203 38.684017,-90.4602 38.684178,-90.460223 38.684239000000005
149	55	0	1	1	162	405	-90.471703 38.691046,-90.471782 38.691097,-90.471854 38.691142,-90.471943 38.691185000000004,-90.472002 38.691219000000004,-90.472058 38.691244999999995,-90.472091 38.691253,-90.47214 38.691253,-90.47217 38.691233,-90.472189 38.691205,-90.472201 38.691134000000005
55	149	0	1	1	162	405	-90.472201 38.691134000000005,-90.472189 38.691205,-90.47217 38.691233,-90.47214 38.691253,-90.472091 38.691253,-90.472058 38.691244999999995,-90.472002 38.691219000000004,-90.471943 38.691185000000004,-90.471854 38.691142,-90.471782 38.691097,-90.471703 38.691046
298	58	0	1	1	72	180	-90.461955 38.692762,-90.461949 38.692335,-90.461956 38.692004
58	298	0	1	1	72	180	-90.461956 38.692004,-90.461949 38.692335,-90.461955 38.692762
98	93	0	1	1	36	90	-90.469281 38.682081,-90.469374 38.682213000000004,-90.469383 38.682235,-90.469407 38.68227,-90.469435 38.682297,-90.469469 38.682315,-90.469507 38.682321,-90.469559 38.682309000000004
93	98	0	1	1	36	90	-90.469559 38.682309000000004,-90.469507 38.682321,-90.469469 38.682315,-90.469435 38.682297,-90.469407 38.68227,-90.469383 38.682235,-90.469374 38.682213000000004,-90.469281 38.682081
102	101	0	1	1	54	135	-90.470894 38.681953,-90.470879 38.682032,-90.47087 38.682097999999996,-90.470861 38.682320000000004,-90.470859 38.682344,-90.470832 38.682383,-90.470809 38.682392
101	102	0	1	1	54	135	-90.470809 38.682392,-90.470832 38.682383,-90.470859 38.682344,-90.470861 38.682320000000004,-90.47087 38.682097999999996,-90.470879 38.682032,-90.470894 38.681953
104	103	0	1	1	162	405	-90.471927 38.689872,-90.471929 38.690349999999995,-90.471943 38.690392,-90.471976 38.690413,-90.472015 38.690422
103	104	0	1	1	162	405	-90.472015 38.690422,-90.471976 38.690413,-90.471943 38.690392,-90.471929 38.690349999999995,-90.471927 38.689872
110	107	0	1	1	162	405	-90.469669 38.690246,-90.469725 38.690176,-90.469838 38.690041,-90.469946 38.689929,-90.47 38.689898,-90.470085 38.68987,-90.470233 38.689858,-90.470366 38.689854,-90.470574 38.689847,-90.470666 38.689848,-90.470724 38.689848999999995,-90.470775 38.68985
107	110	0	1	1	162	405	-90.470775 38.68985,-90.470724 38.689848999999995,-90.470666 38.689848,-90.470574 38.689847,-90.470366 38.689854,-90.470233 38.689858,-90.470085 38.68987,-90.47 38.689898,-90.469946 38.689929,-90.469838 38.690041,-90.469725 38.690176,-90.469669 38.690246
113	112	0	1	1	54	135	-90.464087 38.693762,-90.464087 38.692927,-90.464095 38.692743,-90.464122 38.692589999999996,-90.464149 38.692482999999996,-90.464183 38.692373,-90.464234 38.692216
112	113	0	1	1	54	135	-90.464234 38.692216,-90.464183 38.692373,-90.464149 38.692482999999996,-90.464122 38.692589999999996,-90.464095 38.692743,-90.464087 38.692927,-90.464087 38.693762
696	112	0	1	1	54	135	-90.465172 38.692167,-90.464302 38.692188,-90.464234 38.692216
112	696	0	1	1	54	135	-90.464234 38.692216,-90.464302 38.692188,-90.465172 38.692167
292	113	0	1	1	72	180	-90.464751 38.693819000000005,-90.464691 38.693809,-90.464556 38.693788,-90.464087 38.693762
113	292	0	1	1	72	180	-90.464087 38.693762,-90.464556 38.693788,-90.464691 38.693809,-90.464751 38.693819000000005
126	119	1	1	1	54	135	-90.456338 38.685477,-90.455817 38.685486,-90.455776 38.685469999999995
119	126	1	1	1	54	135	-90.455776 38.685469999999995,-90.455817 38.685486,-90.456338 38.685477
128	119	1	1	1	90	225	-90.455687 38.684771999999995,-90.455695 38.685364,-90.455703 38.685403,-90.455722 38.685435999999996,-90.455752 38.685454,-90.455776 38.685469999999995
119	128	1	1	1	90	225	-90.455776 38.685469999999995,-90.455752 38.685454,-90.455722 38.685435999999996,-90.455703 38.685403,-90.455695 38.685364,-90.455687 38.684771999999995
125	120	1	1	1	54	135	-90.457162 38.685468,-90.457539 38.685461000000004
120	125	1	1	1	54	135	-90.457539 38.685461000000004,-90.457162 38.685468
123	122	1	1	1	18	45	-90.456355 38.686679,-90.456354 38.686402
122	123	1	1	1	18	45	-90.456354 38.686402,-90.456355 38.686679
437	129	1	1	1	18	45	-90.457695 38.684022999999996,-90.457475 38.684032
129	437	1	1	1	18	45	-90.457475 38.684032,-90.457695 38.684022999999996
266	133	1	1	1	108	270	-90.456315 38.682325,-90.455962 38.682953999999995,-90.455761 38.683279999999996
133	266	1	1	1	108	270	-90.455761 38.683279999999996,-90.455962 38.682953999999995,-90.456315 38.682325
136	134	0	1	1	144	360	-90.465014 38.686057000000005,-90.464378 38.686041
134	136	0	1	1	144	360	-90.464378 38.686041,-90.465014 38.686057000000005
140	138	0	1	1	630	1575	-90.46557 38.687107,-90.46556 38.687739,-90.46555 38.687797,-90.465521 38.687854,-90.465497 38.687878999999995,-90.465459 38.687904,-90.465414 38.687916,-90.46493 38.687921,-90.463069 38.687889999999996,-90.463003 38.687864000000005,-90.462964 38.687824,-90.462964 38.687672,-90.46297 38.687546,-90.462964 38.687414000000004
138	140	0	1	1	630	1575	-90.462964 38.687414000000004,-90.46297 38.687546,-90.462964 38.687672,-90.462964 38.687824,-90.463003 38.687864000000005,-90.463069 38.687889999999996,-90.46493 38.687921,-90.465414 38.687916,-90.465459 38.687904,-90.465497 38.687878999999995,-90.465521 38.687854,-90.46555 38.687797,-90.46556 38.687739,-90.46557 38.687107
146	145	0	1	1	198	495	-90.466817 38.690548,-90.466773 38.690589,-90.466753 38.690651,-90.46673 38.690743999999995,-90.46672 38.690796,-90.466717 38.690886,-90.466751 38.691133,-90.46676 38.691199999999995,-90.466775 38.691254,-90.466785 38.691296,-90.46681 38.691373999999996
145	146	0	1	1	198	495	-90.46681 38.691373999999996,-90.466785 38.691296,-90.466775 38.691254,-90.46676 38.691199999999995,-90.466751 38.691133,-90.466717 38.690886,-90.46672 38.690796,-90.46673 38.690743999999995,-90.466753 38.690651,-90.466773 38.690589,-90.466817 38.690548
157	148	0	1	1	54	135	-90.468349 38.690248,-90.468253 38.69031,-90.468189 38.690341000000004,-90.468034 38.690411,-90.467845 38.690471,-90.467718 38.690507,-90.467614 38.690525
