ClusteringMethod	ComputationTime	K_LB	K	CCI	NHO	ATD	DMT
METIS	0.178	20	20	1.83333	2.60988	144.32	42890.7
Starting Node	Ending Node	Cluster	Required	Is Edge	Weight	Volume	Shape
412	11	4	1	1	420.0	1200	-90.326917 38.742054,-90.32784099999999 38.742774000000004,-90.327866 38.742801,-90.32787599999999 38.742843,-90.32786899999999 38.742881000000004,-90.32784199999999 38.742940000000004,-90.32778099999999 38.743018
11	412	4	1	1	420.0	1200	-90.32778099999999 38.743018,-90.32784199999999 38.742940000000004,-90.32786899999999 38.742881000000004,-90.32787599999999 38.742843,-90.327866 38.742801,-90.32784099999999 38.742774000000004,-90.326917 38.742054
369	12	14	1	1	17.5	50	-90.331295 38.745851,-90.331232 38.745884000000004,-90.33117 38.745917000000006
12	369	14	1	1	17.5	50	-90.33117 38.745917000000006,-90.331232 38.745884000000004,-90.331295 38.745851
60	22	6	1	1	402.5	1150	-90.31965899999999 38.740998000000005,-90.317927 38.739977
22	60	6	1	1	402.5	1150	-90.317927 38.739977,-90.31965899999999 38.740998000000005
33	30	10	1	1	35.0	100	-90.333429 38.753922,-90.332809 38.753473
30	33	10	1	1	35.0	100	-90.332809 38.753473,-90.333429 38.753922
88	34	10	1	1	87.5	250	-90.33106699999999 38.755239,-90.331183 38.755335,-90.331279 38.755434,-90.33147 38.755612000000006
34	88	10	1	1	87.5	250	-90.33147 38.755612000000006,-90.331279 38.755434,-90.331183 38.755335,-90.33106699999999 38.755239
163	37	11	1	1	280.0	800	-90.331707 38.757989,-90.33217599999999 38.757645000000004,-90.3329 38.75712,-90.33321799999999 38.756901000000006
37	163	11	1	1	280.0	800	-90.33321799999999 38.756901000000006,-90.3329 38.75712,-90.33217599999999 38.757645000000004,-90.331707 38.757989
39	38	11	1	1	122.5	350	-90.334853 38.757747,-90.33438899999999 38.757628000000004,-90.334212 38.757560000000005,-90.33412399999999 38.757523000000006,-90.333942 38.757426
38	39	11	1	1	122.5	350	-90.333942 38.757426,-90.33412399999999 38.757523000000006,-90.334212 38.757560000000005,-90.33438899999999 38.757628000000004,-90.334853 38.757747
40	39	11	1	1	70.0	200	-90.334853 38.757747,-90.33522599999999 38.757837,-90.335737 38.757954000000005
39	40	11	1	1	70.0	200	-90.335737 38.757954000000005,-90.33522599999999 38.757837,-90.334853 38.757747
87	40	11	1	1	87.5	250	-90.335737 38.757954000000005,-90.335973 38.758009,-90.336142 38.758053000000004,-90.336354 38.758122,-90.33643199999999 38.758154000000005,-90.33667299999999 38.758272000000005
40	87	11	1	1	87.5	250	-90.33667299999999 38.758272000000005,-90.33643199999999 38.758154000000005,-90.336354 38.758122,-90.336142 38.758053000000004,-90.335973 38.758009,-90.335737 38.757954000000005
518	42	9	1	1	87.5	250	-90.31935499999999 38.749765000000004,-90.319234 38.749669000000004
42	518	9	1	1	87.5	250	-90.319234 38.749669000000004,-90.31935499999999 38.749765000000004
332	69	15	1	1	280.0	800	-90.34195199999999 38.754008000000006,-90.342975 38.754749000000004,-90.343181 38.754884000000004,-90.343307 38.754939,-90.34363599999999 38.755017
69	332	15	1	1	280.0	800	-90.34363599999999 38.755017,-90.343307 38.754939,-90.343181 38.754884000000004,-90.342975 38.754749000000004,-90.34195199999999 38.754008000000006
73	71	7	1	1	420.0	1200	-90.32221299999999 38.751788000000005,-90.321956 38.751619000000005,-90.32159499999999 38.751351
71	73	7	1	1	420.0	1200	-90.32159499999999 38.751351,-90.321956 38.751619000000005,-90.32221299999999 38.751788000000005
75	73	7	1	1	1032.5	2950	-90.32221299999999 38.751788000000005,-90.322632 38.752113,-90.32279799999999 38.752222,-90.322862 38.752226,-90.323028 38.752097000000006,-90.323371 38.7516
73	75	7	1	1	1032.5	2950	-90.323371 38.7516,-90.323028 38.752097000000006,-90.322862 38.752226,-90.32279799999999 38.752222,-90.322632 38.752113,-90.32221299999999 38.751788000000005
86	85	12	1	1	1225.0	3500	-90.33862699999999 38.755928000000004,-90.33612099999999 38.754083
85	86	12	1	1	1225.0	3500	-90.33612099999999 38.754083,-90.33862699999999 38.755928000000004
250	85	12	1	1	157.5	450	-90.33612099999999 38.754083,-90.33646999999999 38.753773
85	250	12	1	1	157.5	450	-90.33646999999999 38.753773,-90.33612099999999 38.754083
739	130	3	1	1	192.5	550	-90.32498199999999 38.743843000000005,-90.324985 38.743816,-90.324953 38.74378,-90.32485899999999 38.743715,-90.324574 38.74356,-90.32453 38.743523,-90.324524 38.743492,-90.32453699999999 38.743447,-90.324568 38.743402,-90.32481299999999 38.743208,-90.32484099999999 38.743174,-90.324846 38.743145000000005,-90.324816 38.743092000000004,-90.324733 38.743013000000005,-90.32450899999999 38.742847000000005
130	739	3	1	1	192.5	550	-90.32450899999999 38.742847000000005,-90.324733 38.743013000000005,-90.324816 38.743092000000004,-90.324846 38.743145000000005,-90.32484099999999 38.743174,-90.32481299999999 38.743208,-90.324568 38.743402,-90.32453699999999 38.743447,-90.324524 38.743492,-90.32453 38.743523,-90.324574 38.74356,-90.32485899999999 38.743715,-90.324953 38.74378,-90.324985 38.743816,-90.32498199999999 38.743843000000005
242	163	11	1	1	105.0	300	-90.331707 38.757989,-90.33244699999999 38.758513
163	242	11	1	1	105.0	300	-90.33244699999999 38.758513,-90.331707 38.757989
165	164	11	1	1	17.5	50	-90.340324 38.757812,-90.339366 38.757105,-90.33878399999999 38.756688000000004
164	165	11	1	1	17.5	50	-90.33878399999999 38.756688000000004,-90.339366 38.757105,-90.340324 38.757812
428	168	8	1	1	17.5	50	-90.325813 38.748992,-90.325937 38.748844000000005,-90.326061 38.748720000000006,-90.326246 38.748559,-90.326326 38.748499
168	428	8	1	1	17.5	50	-90.326326 38.748499,-90.326246 38.748559,-90.326061 38.748720000000006,-90.325937 38.748844000000005,-90.325813 38.748992
423	169	8	1	1	17.5	50	-90.326743 38.74586,-90.326763 38.745896,-90.32681799999999 38.746145000000006,-90.32684099999999 38.746234,-90.32692999999999 38.746614
169	423	8	1	1	17.5	50	-90.32692999999999 38.746614,-90.32684099999999 38.746234,-90.32681799999999 38.746145000000006,-90.326763 38.745896,-90.326743 38.74586
173	172	5	1	1	910.0	2600	-90.31926299999999 38.74633,-90.31942 38.746460000000006,-90.31953399999999 38.746574,-90.319553 38.746595000000006,-90.31956199999999 38.746609,-90.31956799999999 38.746627000000004,-90.31957 38.746656,-90.31956699999999 38.746681,-90.31956 38.746700000000004,-90.31955099999999 38.746715,-90.319527 38.74674,-90.31903399999999 38.747176,-90.31884799999999 38.747337
172	173	5	1	1	910.0	2600	-90.31884799999999 38.747337,-90.31903399999999 38.747176,-90.319527 38.74674,-90.31955099999999 38.746715,-90.31956 38.746700000000004,-90.31956699999999 38.746681,-90.31957 38.746656,-90.31956799999999 38.746627000000004,-90.31956199999999 38.746609,-90.319553 38.746595000000006,-90.31953399999999 38.746574,-90.31942 38.746460000000006,-90.31926299999999 38.74633
178	176	17	1	1	105.0	300	-90.338037 38.739913,-90.337897 38.740037
176	178	17	1	1	105.0	300	-90.337897 38.740037,-90.338037 38.739913
178	177	17	1	1	402.5	1150	-90.338037 38.739913,-90.338297 38.739651,-90.338477 38.739502
177	178	17	1	1	402.5	1150	-90.338477 38.739502,-90.338297 38.739651,-90.338037 38.739913
559	179	0	1	1	210.0	600	-90.33366199999999 38.736087000000005,-90.33389899999999 38.736251
179	559	0	1	1	210.0	600	-90.33389899999999 38.736251,-90.33366199999999 38.736087000000005
550	203	5	1	1	17.5	50	-90.31559399999999 38.745477,-90.315469 38.745415,-90.315159 38.745312000000006,-90.314926 38.745245000000004,-90.314551 38.745161,-90.314143 38.745095000000006,-90.314105 38.745104000000005,-90.314055 38.745139,-90.313913 38.745265
203	550	5	1	1	17.5	50	-90.313913 38.745265,-90.314055 38.745139,-90.314105 38.745104000000005,-90.314143 38.745095000000006,-90.314551 38.745161,-90.314926 38.745245000000004,-90.315159 38.745312000000006,-90.315469 38.745415,-90.31559399999999 38.745477
287	213	9	1	1	52.5	150	-90.32470199999999 38.750586000000006,-90.32426299999999 38.751290000000004
213	287	9	1	1	52.5	150	-90.32426299999999 38.751290000000004,-90.32470199999999 38.750586000000006
426	229	4	1	1	35.0	100	-90.32560799999999 38.741081,-90.32520699999999 38.740797
229	426	4	1	1	35.0	100	-90.32520699999999 38.740797,-90.32560799999999 38.741081
408	230	4	1	1	507.5	1450	-90.32654199999999 38.74176,-90.327759 38.740640000000006,-90.3278 38.740617,-90.32783699999999 38.740606,-90.32790299999999 38.740617,-90.328251 38.740877000000005
230	408	4	1	1	507.5	1450	-90.328251 38.740877000000005,-90.32790299999999 38.740617,-90.32783699999999 38.740606,-90.3278 38.740617,-90.327759 38.740640000000006,-90.32654199999999 38.74176
515	233	0	1	1	52.5	150	-90.329432 38.73838,-90.328865 38.738038
233	515	0	1	1	52.5	150	-90.328865 38.738038,-90.329432 38.73838
348	234	0	1	1	175.0	500	-90.330523 38.738832,-90.33063999999999 38.738854,-90.330807 38.738925,-90.33090899999999 38.738974000000006,-90.33106 38.739064000000006,-90.33130399999999 38.739212
234	348	0	1	1	175.0	500	-90.33130399999999 38.739212,-90.33106 38.739064000000006,-90.33090899999999 38.738974000000006,-90.330807 38.738925,-90.33063999999999 38.738854,-90.330523 38.738832
352	236	0	1	1	105.0	300	-90.332938 38.737824,-90.332765 38.737672,-90.33242299999999 38.737345000000005,-90.33230999999999 38.737217
236	352	0	1	1	105.0	300	-90.33230999999999 38.737217,-90.33242299999999 38.737345000000005,-90.332765 38.737672,-90.332938 38.737824
673	236	0	1	1	70.0	200	-90.33230999999999 38.737217,-90.33264799999999 38.736951000000005,-90.33277 38.736866000000006
236	673	0	1	1	70.0	200	-90.33277 38.736866000000006,-90.33264799999999 38.736951000000005,-90.33230999999999 38.737217
261	260	12	1	1	122.5	350	-90.335887 38.750615,-90.336828 38.750152
260	261	12	1	1	122.5	350	-90.336828 38.750152,-90.335887 38.750615
267	264	14	1	1	385.0	1100	-90.33752 38.7498,-90.337739 38.749959000000004,-90.33786599999999 38.750054000000006,-90.338022 38.750213,-90.338256 38.750475,-90.33837299999999 38.750598000000004,-90.33844099999999 38.750648000000005,-90.33851399999999 38.750665000000005,-90.33859199999999 38.750662000000005,-90.33865999999999 38.75063,-90.338899 38.750422
264	267	14	1	1	385.0	1100	-90.338899 38.750422,-90.33865999999999 38.75063,-90.33859199999999 38.750662000000005,-90.33851399999999 38.750665000000005,-90.33844099999999 38.750648000000005,-90.33837299999999 38.750598000000004,-90.338256 38.750475,-90.338022 38.750213,-90.33786599999999 38.750054000000006,-90.337739 38.749959000000004,-90.33752 38.7498
439	274	17	1	1	140.0	400	-90.33732699999999 38.744579,-90.337187 38.744429000000004,-90.336856 38.744051000000006,-90.336771 38.743951
274	439	17	1	1	140.0	400	-90.336771 38.743951,-90.336856 38.744051000000006,-90.337187 38.744429000000004,-90.33732699999999 38.744579
283	282	14	1	1	175.0	500	-90.33625199999999 38.746516,-90.33603199999999 38.746311000000006,-90.335906 38.746177,-90.335847 38.746099,-90.33578899999999 38.745993000000006,-90.335696 38.745756,-90.33560399999999 38.745520000000006
282	283	14	1	1	175.0	500	-90.33560399999999 38.745520000000006,-90.335696 38.745756,-90.33578899999999 38.745993000000006,-90.335847 38.746099,-90.335906 38.746177,-90.33603199999999 38.746311000000006,-90.33625199999999 38.746516
293	292	19	1	1	192.5	550	-90.339323 38.746067000000004,-90.340319 38.745427
292	293	19	1	1	192.5	550	-90.340319 38.745427,-90.339323 38.746067000000004
371	292	19	1	1	105.0	300	-90.339323 38.746067000000004,-90.339621 38.74629,-90.339745 38.746389,-90.339889 38.746536000000006
292	371	19	1	1	105.0	300	-90.339889 38.746536000000006,-90.339745 38.746389,-90.339621 38.74629,-90.339323 38.746067000000004
480	299	18	1	1	192.5	550	-90.34670299999999 38.746474000000006,-90.34605499999999 38.746953000000005
299	480	18	1	1	192.5	550	-90.34605499999999 38.746953000000005,-90.34670299999999 38.746474000000006
304	302	19	1	1	122.5	350	-90.34271 38.74452,-90.343284 38.744952000000005
302	304	19	1	1	122.5	350	-90.343284 38.744952000000005,-90.34271 38.74452
469	306	16	1	1	210.0	600	-90.34813399999999 38.748437,-90.34879699999999 38.747951
306	469	16	1	1	210.0	600	-90.34879699999999 38.747951,-90.34813399999999 38.748437
311	309	16	1	1	17.5	50	-90.34914699999999 38.750058,-90.349756 38.74962
309	311	16	1	1	17.5	50	-90.349756 38.74962,-90.34914699999999 38.750058
314	311	16	1	1	35.0	100	-90.34914699999999 38.750058,-90.348557 38.750504
311	314	16	1	1	35.0	100	-90.348557 38.750504,-90.34914699999999 38.750058
442	316	16	1	1	52.5	150	-90.343638 38.751401,-90.343435 38.751554000000006
316	442	16	1	1	52.5	150	-90.343435 38.751554000000006,-90.343638 38.751401
325	320	15	1	1	35.0	100	-90.34554399999999 38.75273,-90.345216 38.753014,-90.345086 38.753145,-90.345011 38.753236
320	325	15	1	1	35.0	100	-90.345011 38.753236,-90.345086 38.753145,-90.345216 38.753014,-90.34554399999999 38.75273
326	325	15	1	1	17.5	50	-90.344652 38.753806000000004,-90.344726 38.753629000000004,-90.344822 38.753457000000004,-90.345011 38.753236
325	326	15	1	1	17.5	50	-90.345011 38.753236,-90.344822 38.753457000000004,-90.344726 38.753629000000004,-90.344652 38.753806000000004
468	334	15	1	1	857.5	2450	-90.34351699999999 38.755761,-90.34270199999999 38.755519,-90.34258399999999 38.755482,-90.342502 38.755439,-90.342384 38.755348000000005,-90.34133899999999 38.754573
334	468	15	1	1	857.5	2450	-90.34133899999999 38.754573,-90.342384 38.755348000000005,-90.342502 38.755439,-90.34258399999999 38.755482,-90.34270199999999 38.755519,-90.34351699999999 38.755761
490	335	15	1	1	980.0	2800	-90.34070899999999 38.755134000000005,-90.341746 38.755906,-90.34192399999999 38.756035000000004,-90.34211699999999 38.756126,-90.343132 38.756427
335	490	15	1	1	980.0	2800	-90.343132 38.756427,-90.34211699999999 38.756126,-90.34192399999999 38.756035000000004,-90.341746 38.755906,-90.34070899999999 38.755134000000005
353	351	1	1	1	385.0	1100	-90.33397 38.74235,-90.333592 38.742181,-90.333232 38.742023,-90.333046 38.741907000000005,-90.33291899999999 38.741800000000005,-90.332804 38.741694,-90.332707 38.741565,-90.332633 38.741442000000006,-90.332504 38.741145
351	353	1	1	1	385.0	1100	-90.332504 38.741145,-90.332633 38.741442000000006,-90.332707 38.741565,-90.332804 38.741694,-90.33291899999999 38.741800000000005,-90.333046 38.741907000000005,-90.333232 38.742023,-90.333592 38.742181,-90.33397 38.74235
355	351	1	1	1	455.0	1300	-90.334599 38.741881,-90.333484 38.741038,-90.33346399999999 38.741025,-90.33341 38.741009000000005,-90.333372 38.741008,-90.33330199999999 38.741015000000004,-90.332504 38.741145
351	355	1	1	1	455.0	1300	-90.332504 38.741145,-90.33330199999999 38.741015000000004,-90.333372 38.741008,-90.33341 38.741009000000005,-90.33346399999999 38.741025,-90.333484 38.741038,-90.334599 38.741881
363	357	1	1	1	35.0	100	-90.33375199999999 38.738286,-90.3346 38.738767
357	363	1	1	1	35.0	100	-90.3346 38.738767,-90.33375199999999 38.738286
453	370	19	1	1	140.0	400	-90.340859 38.745825,-90.34146399999999 38.74626
370	453	19	1	1	140.0	400	-90.34146399999999 38.74626,-90.340859 38.745825
452	371	19	1	1	105.0	300	-90.340425 38.747016,-90.339889 38.746536000000006
371	452	19	1	1	105.0	300	-90.339889 38.746536000000006,-90.340425 38.747016
373	372	6	1	1	35.0	100	-90.318356 38.742705,-90.318908 38.742141000000004
372	373	6	1	1	35.0	100	-90.318908 38.742141000000004,-90.318356 38.742705
374	373	6	1	1	17.5	50	-90.31940499999999 38.741647,-90.318908 38.742141000000004
373	374	6	1	1	17.5	50	-90.318908 38.742141000000004,-90.31940499999999 38.741647
378	377	2	1	1	157.5	450	-90.32096399999999 38.740173000000006,-90.321615 38.739583
377	378	2	1	1	157.5	450	-90.321615 38.739583,-90.32096399999999 38.740173000000006
424	386	4	1	1	385.0	1100	-90.324395 38.740291000000006,-90.322052 38.742409
386	424	4	1	1	385.0	1100	-90.322052 38.742409,-90.324395 38.740291000000006
409	408	4	1	1	227.5	650	-90.32758399999999 38.741460000000004,-90.328251 38.740877000000005
408	409	4	1	1	227.5	650	-90.328251 38.740877000000005,-90.32758399999999 38.741460000000004
421	420	3	1	1	17.5	50	-90.325391 38.74445,-90.324951 38.744135,-90.32476199999999 38.744018000000004
420	421	3	1	1	17.5	50	-90.32476199999999 38.744018000000004,-90.324951 38.744135,-90.325391 38.74445
434	429	17	1	1	140.0	400	-90.340891 38.743759000000004,-90.34082 38.74353,-90.340758 38.743419,-90.340701 38.743347,-90.34055 38.743208,-90.340301 38.743022
429	434	17	1	1	140.0	400	-90.340301 38.743022,-90.34055 38.743208,-90.340701 38.743347,-90.340758 38.743419,-90.34082 38.74353,-90.340891 38.743759000000004
438	436	19	1	1	157.5	450	-90.340036 38.744836,-90.34084899999999 38.744729
436	438	19	1	1	157.5	450	-90.34084899999999 38.744729,-90.340036 38.744836
461	437	19	1	1	105.0	300	-90.341398 38.744449,-90.34173299999999 38.744703,-90.341872 38.744792000000004,-90.342091 38.744960000000006
437	461	19	1	1	105.0	300	-90.342091 38.744960000000006,-90.341872 38.744792000000004,-90.34173299999999 38.744703,-90.341398 38.744449
470	441	16	1	1	87.5	250	-90.34239 38.751430000000006,-90.342817 38.751119
441	470	16	1	1	87.5	250	-90.342817 38.751119,-90.34239 38.751430000000006
453	452	19	1	1	210.0	600	-90.340425 38.747016,-90.34146399999999 38.74626
452	453	19	1	1	210.0	600	-90.34146399999999 38.74626,-90.340425 38.747016
484	454	19	1	1	122.5	350	-90.34209399999999 38.746724,-90.342697 38.746287
454	484	19	1	1	122.5	350	-90.342697 38.746287,-90.34209399999999 38.746724
460	455	19	1	1	70.0	200	-90.343313 38.745853000000004,-90.343925 38.74541
455	460	19	1	1	70.0	200	-90.343925 38.74541,-90.343313 38.745853000000004
465	456	18	1	1	385.0	1100	-90.343351 38.747619,-90.34402899999999 38.748124000000004,-90.344591 38.748532000000004,-90.344865 38.748734000000006
456	465	18	1	1	385.0	1100	-90.344865 38.748734000000006,-90.344591 38.748532000000004,-90.34402899999999 38.748124000000004,-90.343351 38.747619
466	459	18	1	1	385.0	1100	-90.343955 38.747186000000006,-90.34467 38.747688000000004,-90.345261 38.748141000000004,-90.345469 38.748306
459	466	18	1	1	385.0	1100	-90.345469 38.748306,-90.345261 38.748141000000004,-90.34467 38.747688000000004,-90.343955 38.747186000000006
466	465	18	1	1	140.0	400	-90.345469 38.748306,-90.344865 38.748734000000006
465	466	18	1	1	140.0	400	-90.344865 38.748734000000006,-90.345469 38.748306
477	471	19	1	1	70.0	200	-90.34158799999999 38.748015,-90.342114 38.748519
471	477	19	1	1	70.0	200	-90.342114 38.748519,-90.34158799999999 38.748015
478	477	19	1	1	787.5	2250	-90.34393899999999 38.746304,-90.34158799999999 38.748015
477	478	19	1	1	787.5	2250	-90.34158799999999 38.748015,-90.34393899999999 38.746304
491	480	18	1	1	227.5	650	-90.34605499999999 38.746953000000005,-90.34514899999999 38.746307
480	491	18	1	1	227.5	650	-90.34514899999999 38.746307,-90.34605499999999 38.746953000000005
496	495	1	1	1	17.5	50	-90.336209 38.737305000000006,-90.335995 38.737162000000005,-90.33546399999999 38.736755
495	496	1	1	1	17.5	50	-90.33546399999999 38.736755,-90.335995 38.737162000000005,-90.336209 38.737305000000006
618	512	11	1	1	87.5	250	-90.340499 38.758248,-90.34034899999999 38.758338
512	618	11	1	1	87.5	250	-90.34034899999999 38.758338,-90.340499 38.758248
698	512	11	1	1	192.5	550	-90.34034899999999 38.758338,-90.340497 38.758478000000004,-90.340497 38.758511000000006,-90.34046199999999 38.75855,-90.340178 38.758738
512	698	11	1	1	192.5	550	-90.340178 38.758738,-90.34046199999999 38.75855,-90.340497 38.758511000000006,-90.340497 38.758478000000004,-90.34034899999999 38.758338
645	519	8	1	1	682.5	1950	-90.32589899999999 38.747375000000005,-90.32556799999999 38.747645000000006,-90.325496 38.747715,-90.32547 38.747751,-90.325463 38.747784,-90.325471 38.747816,-90.32548999999999 38.747843,-90.32552199999999 38.747872,-90.32559699999999 38.747923,-90.32615 38.748360000000005
