ClusteringMethod	ComputationTime	K_LB	K	CCI	NHO	ATD	DMT
K_MEANS++	0.004	5	5	1.46512	11.9469	268.717	17127
Starting Node	Ending Node	Cluster	Required	Is Edge	Weight	Volume	Shape
72	4	1	1	1	35.0	100	-90.303806 38.758313,-90.30382399999999 38.758891000000006
4	72	1	1	1	35.0	100	-90.30382399999999 38.758891000000006,-90.303806 38.758313
308	7	2	1	1	17.5	50	-90.28682699999999 38.761888000000006,-90.28690399999999 38.761942000000005
7	308	2	1	1	17.5	50	-90.28690399999999 38.761942000000005,-90.28682699999999 38.761888000000006
457	8	0	1	1	35.0	100	-90.30338499999999 38.749503000000004,-90.30353699999999 38.749601000000006,-90.303674 38.749675,-90.30379099999999 38.749738,-90.304051 38.749869000000004,-90.30412 38.749904
8	457	0	1	1	35.0	100	-90.30412 38.749904,-90.304051 38.749869000000004,-90.30379099999999 38.749738,-90.303674 38.749675,-90.30353699999999 38.749601000000006,-90.30338499999999 38.749503000000004
249	13	3	1	1	770.0	2200	-90.297823 38.758374,-90.297743 38.758311000000006,-90.297699 38.758262,-90.29763399999999 38.758146,-90.297546 38.757961,-90.297473 38.757855000000006,-90.297371 38.75777,-90.297254 38.757688,-90.297117 38.757598,-90.297035 38.757543000000005,-90.29698599999999 38.757524000000004,-90.296934 38.75752,-90.29691199999999 38.757527,-90.296876 38.757538000000004,-90.29681099999999 38.757584,-90.296368 38.757948000000006,-90.296146 38.758114000000006,-90.295733 38.758452000000005,-90.29553 38.758609,-90.295493 38.75865,-90.295485 38.758680000000005,-90.295485 38.758705000000006,-90.295497 38.758736000000006
13	249	3	1	1	770.0	2200	-90.295497 38.758736000000006,-90.295485 38.758705000000006,-90.295485 38.758680000000005,-90.295493 38.75865,-90.29553 38.758609,-90.295733 38.758452000000005,-90.296146 38.758114000000006,-90.296368 38.757948000000006,-90.29681099999999 38.757584,-90.296876 38.757538000000004,-90.29691199999999 38.757527,-90.296934 38.75752,-90.29698599999999 38.757524000000004,-90.297035 38.757543000000005,-90.297117 38.757598,-90.297254 38.757688,-90.297371 38.75777,-90.297473 38.757855000000006,-90.297546 38.757961,-90.29763399999999 38.758146,-90.297699 38.758262,-90.297743 38.758311000000006,-90.297823 38.758374
260	17	0	1	1	1277.5	3650	-90.308853 38.74924,-90.308324 38.749167,-90.307958 38.749112000000004,-90.307846 38.749085,-90.30766799999999 38.749011,-90.307362 38.748877,-90.30729099999999 38.748844000000005,-90.30724699999999 38.748836000000004,-90.307217 38.748836000000004,-90.307176 38.748836000000004,-90.30713499999999 38.748858000000006,-90.306935 38.749022000000004,-90.306613 38.749300000000005,-90.30631699999999 38.749555,-90.306164 38.749686000000004,-90.30609 38.749748000000004,-90.30607699999999 38.749776000000004,-90.30607099999999 38.7498,-90.306085 38.74985,-90.306339 38.750035000000004,-90.306477 38.750132,-90.306569 38.750196,-90.30660499999999 38.75021,-90.306613 38.75021,-90.30663999999999 38.75021,-90.30666699999999 38.75021,-90.30676 38.750191,-90.306916 38.750123,-90.30718399999999 38.749994,-90.307318 38.749942000000004,-90.30744399999999 38.74991,-90.30750099999999 38.749907,-90.307649 38.749904,-90.30827199999999 38.749994
17	260	0	1	1	1277.5	3650	-90.30827199999999 38.749994,-90.307649 38.749904,-90.30750099999999 38.749907,-90.30744399999999 38.74991,-90.307318 38.749942000000004,-90.30718399999999 38.749994,-90.306916 38.750123,-90.30676 38.750191,-90.30666699999999 38.75021,-90.30663999999999 38.75021,-90.306613 38.75021,-90.30660499999999 38.75021,-90.306569 38.750196,-90.306477 38.750132,-90.306339 38.750035000000004,-90.306085 38.74985,-90.30607099999999 38.7498,-90.30607699999999 38.749776000000004,-90.30609 38.749748000000004,-90.306164 38.749686000000004,-90.30631699999999 38.749555,-90.306613 38.749300000000005,-90.306935 38.749022000000004,-90.30713499999999 38.748858000000006,-90.307176 38.748836000000004,-90.307217 38.748836000000004,-90.30724699999999 38.748836000000004,-90.30729099999999 38.748844000000005,-90.307362 38.748877,-90.30766799999999 38.749011,-90.307846 38.749085,-90.307958 38.749112000000004,-90.308324 38.749167,-90.308853 38.74924
385	20	1	1	1	122.5	350	-90.301136 38.757052,-90.301102 38.757084000000006,-90.301075 38.757110000000004,-90.30103199999999 38.757155000000004,-90.30095299999999 38.757285,-90.30093099999999 38.757318000000005,-90.300901 38.75735,-90.30086499999999 38.757369000000004,-90.30081999999999 38.757380000000005,-90.30078599999999 38.757384,-90.300719 38.757382,-90.300677 38.75739,-90.300653 38.757403000000004,-90.300636 38.757425000000005,-90.30062699999999 38.757444,-90.300603 38.757608000000005
20	385	1	1	1	122.5	350	-90.300603 38.757608000000005,-90.30062699999999 38.757444,-90.300636 38.757425000000005,-90.300653 38.757403000000004,-90.300677 38.75739,-90.300719 38.757382,-90.30078599999999 38.757384,-90.30081999999999 38.757380000000005,-90.30086499999999 38.757369000000004,-90.300901 38.75735,-90.30093099999999 38.757318000000005,-90.30095299999999 38.757285,-90.30103199999999 38.757155000000004,-90.301075 38.757110000000004,-90.301102 38.757084000000006,-90.301136 38.757052
344	68	3	1	1	822.5	2350	-90.298502 38.764781000000006,-90.298313 38.76467,-90.297961 38.76449,-90.29745199999999 38.764191000000004
68	344	3	1	1	822.5	2350	-90.29745199999999 38.764191000000004,-90.297961 38.76449,-90.298313 38.76467,-90.298502 38.764781000000006
342	72	1	1	1	35.0	100	-90.305151 38.758852000000005,-90.305008 38.758877000000005,-90.30382399999999 38.758891000000006
72	342	1	1	1	35.0	100	-90.30382399999999 38.758891000000006,-90.305008 38.758877000000005,-90.305151 38.758852000000005
305	81	4	1	1	105.0	300	-90.314894 38.74974,-90.315022 38.750016,-90.315041 38.750068000000006,-90.315052 38.750109,-90.315046 38.750135,-90.315035 38.750153000000005
