ClusteringMethod	ComputationTime	K_LB	K	CCI	NHO	ATD	DMT
PUNCH	0.023	9	11	1.18919	5.6329	409.029	30336.5
Starting Node	Ending Node	Cluster	Required	Is Edge	Weight	Volume	Shape
307	2	0	1	1	17.5	50	-90.308771 38.734584000000005,-90.3089 38.734578000000006
2	307	0	1	1	17.5	50	-90.3089 38.734578000000006,-90.308771 38.734584000000005
5	3	6	1	1	17.5	50	-90.307018 38.733122,-90.30726999999999 38.733304000000004,-90.307656 38.7336,-90.307766 38.733685,-90.307802 38.733693
3	5	6	1	1	17.5	50	-90.307802 38.733693,-90.307766 38.733685,-90.307656 38.7336,-90.30726999999999 38.733304000000004,-90.307018 38.733122
7	5	6	1	1	17.5	50	-90.307018 38.733122,-90.30698299999999 38.733096,-90.306793 38.732956,-90.306677 38.732824
5	7	6	1	1	17.5	50	-90.306677 38.732824,-90.306793 38.732956,-90.30698299999999 38.733096,-90.307018 38.733122
10	9	6	1	1	35.0	100	-90.306288 38.730794,-90.305504 38.73149,-90.305368 38.731611
9	10	6	1	1	35.0	100	-90.305368 38.731611,-90.305504 38.73149,-90.306288 38.730794
234	11	3	1	1	122.5	350	-90.305951 38.730549,-90.305887 38.730533,-90.305515 38.730389,-90.30537299999999 38.730351000000006,-90.30523699999999 38.730324
11	234	3	1	1	122.5	350	-90.30523699999999 38.730324,-90.30537299999999 38.730351000000006,-90.305515 38.730389,-90.305887 38.730533,-90.305951 38.730549
23	17	9	1	1	17.5	50	-90.29272399999999 38.723912000000006,-90.29275399999999 38.723980000000005,-90.292773 38.724032,-90.292845 38.724329000000004
17	23	9	1	1	17.5	50	-90.292845 38.724329000000004,-90.292773 38.724032,-90.29275399999999 38.723980000000005,-90.29272399999999 38.723912000000006
211	22	10	1	1	17.5	50	-90.296212 38.72386,-90.29602899999999 38.723855,-90.295954 38.723871,-90.295908 38.723933,-90.29587599999999 38.72419,-90.29587 38.724394000000004,-90.295868 38.724466,-90.295881 38.724511,-90.29591599999999 38.724548000000006
22	211	10	1	1	17.5	50	-90.29591599999999 38.724548000000006,-90.295881 38.724511,-90.295868 38.724466,-90.29587 38.724394000000004,-90.29587599999999 38.72419,-90.295908 38.723933,-90.295954 38.723871,-90.29602899999999 38.723855,-90.296212 38.72386
298	24	8	1	1	612.5	1750	-90.29092499999999 38.725267,-90.29107099999999 38.725339000000005,-90.29123 38.725418000000005,-90.291394 38.725544,-90.291446 38.725590000000004,-90.29146899999999 38.725615000000005,-90.29147599999999 38.725645,-90.29146899999999 38.725699000000006,-90.291446 38.725732,-90.291243 38.725929,-90.29092899999999 38.726205,-90.290584 38.726530000000004,-90.290396 38.726686,-90.290341 38.726724000000004,-90.290191 38.726787,-90.289994 38.72686,-90.28987099999999 38.726907000000004
24	298	8	1	1	612.5	1750	-90.28987099999999 38.726907000000004,-90.289994 38.72686,-90.290191 38.726787,-90.290341 38.726724000000004,-90.290396 38.726686,-90.290584 38.726530000000004,-90.29092899999999 38.726205,-90.291243 38.725929,-90.291446 38.725732,-90.29146899999999 38.725699000000006,-90.29147599999999 38.725645,-90.29146899999999 38.725615000000005,-90.291446 38.725590000000004,-90.291394 38.725544,-90.29123 38.725418000000005,-90.29107099999999 38.725339000000005,-90.29092499999999 38.725267
46	44	7	1	1	17.5	50	-90.288286 38.720591000000006,-90.28846499999999 38.720453000000006
44	46	7	1	1	17.5	50	-90.28846499999999 38.720453000000006,-90.288286 38.720591000000006
74	55	2	1	1	875.0	2500	-90.30890799999999 38.734787000000004,-90.308916 38.734889,-90.308938 38.734957,-90.309007 38.735167000000004,-90.309017 38.735203000000006,-90.30901499999999 38.735235,-90.308996 38.735274000000004,-90.30887799999999 38.735323,-90.308572 38.735435,-90.308222 38.735574,-90.30787199999999 38.735716000000004,-90.307604 38.735823,-90.30748899999999 38.735858,-90.30725899999999 38.735910000000004,-90.30698299999999 38.73597,-90.306805 38.735998,-90.30675099999999 38.736003000000004,-90.30672899999999 38.736009,-90.30671 38.736017000000004,-90.306698 38.736025000000005,-90.30668499999999 38.736043,-90.306674 38.736066,-90.306663 38.736181,-90.306669 38.736479,-90.306682 38.736566,-90.30671199999999 38.736643,-90.306787 38.736741,-90.306885 38.736848
55	74	2	1	1	875.0	2500	-90.306885 38.736848,-90.306787 38.736741,-90.30671199999999 38.736643,-90.306682 38.736566,-90.306669 38.736479,-90.306663 38.736181,-90.306674 38.736066,-90.30668499999999 38.736043,-90.306698 38.736025000000005,-90.30671 38.736017000000004,-90.30672899999999 38.736009,-90.30675099999999 38.736003000000004,-90.306805 38.735998,-90.30698299999999 38.73597,-90.30725899999999 38.735910000000004,-90.30748899999999 38.735858,-90.307604 38.735823,-90.30787199999999 38.735716000000004,-90.308222 38.735574,-90.308572 38.735435,-90.30887799999999 38.735323,-90.308996 38.735274000000004,-90.30901499999999 38.735235,-90.309017 38.735203000000006,-90.309007 38.735167000000004,-90.308938 38.734957,-90.308916 38.734889,-90.30890799999999 38.734787000000004
