ClusteringMethod	ComputationTime	K_LB	K	CCI	NHO	ATD	DMT
PUNCH_CHAIN_IMP	2.738	11	11	1.12346	3.02102	214.166	31262.5
Starting Node	Ending Node	Cluster	Required	Is Edge	Weight	Volume	Shape
382	11	2	1	1	17.5	50	-90.29287699999999 38.739817,-90.293004 38.739736,-90.29315 38.739644000000006,-90.293179 38.739627000000006
11	382	2	1	1	17.5	50	-90.293179 38.739627000000006,-90.29315 38.739644000000006,-90.293004 38.739736,-90.29287699999999 38.739817
666	17	7	1	1	157.5	450	-90.28853699999999 38.737116,-90.28839599999999 38.737213000000004,-90.28808199999999 38.737439,-90.28804 38.737480000000005,-90.288028 38.737507,-90.287987 38.737557,-90.28789099999999 38.737617,-90.287742 38.73771
17	666	7	1	1	157.5	450	-90.287742 38.73771,-90.28789099999999 38.737617,-90.287987 38.737557,-90.288028 38.737507,-90.28804 38.737480000000005,-90.28808199999999 38.737439,-90.28839599999999 38.737213000000004,-90.28853699999999 38.737116
21	19	7	1	1	52.5	150	-90.28858799999999 38.737036,-90.28858299999999 38.737007000000006,-90.288561 38.736983,-90.288343 38.736825,-90.287978 38.736549000000004,-90.287674 38.736335000000004,-90.28741199999999 38.736157000000006
19	21	7	1	1	52.5	150	-90.28741199999999 38.736157000000006,-90.287674 38.736335000000004,-90.287978 38.736549000000004,-90.288343 38.736825,-90.288561 38.736983,-90.28858299999999 38.737007000000006,-90.28858799999999 38.737036
666	21	7	1	1	17.5	50	-90.28858799999999 38.737036,-90.288579 38.737077,-90.288564 38.737099,-90.28853699999999 38.737116
21	666	7	1	1	17.5	50	-90.28853699999999 38.737116,-90.288564 38.737099,-90.288579 38.737077,-90.28858799999999 38.737036
582	26	4	1	1	17.5	50	-90.28285699999999 38.738741000000005,-90.28294899999999 38.738747000000004
26	582	4	1	1	17.5	50	-90.28294899999999 38.738747000000004,-90.28285699999999 38.738741000000005
583	26	4	1	1	245.0	700	-90.28214 38.738711,-90.282181 38.738693000000005,-90.28222799999999 38.738690000000005,-90.282372 38.738704000000006,-90.28279099999999 38.738736,-90.28285699999999 38.738741000000005
26	583	4	1	1	245.0	700	-90.28285699999999 38.738741000000005,-90.28279099999999 38.738736,-90.282372 38.738704000000006,-90.28222799999999 38.738690000000005,-90.282181 38.738693000000005,-90.28214 38.738711
471	35	4	1	1	210.0	600	-90.28360099999999 38.739743000000004,-90.28364499999999 38.739254,-90.28365 38.739208000000005,-90.28367 38.739017000000004,-90.28367399999999 38.738976,-90.28367 38.738937,-90.283653 38.738902
35	471	4	1	1	210.0	600	-90.283653 38.738902,-90.28367 38.738937,-90.28367399999999 38.738976,-90.28367 38.739017000000004,-90.28365 38.739208000000005,-90.28364499999999 38.739254,-90.28360099999999 38.739743000000004
582	35	4	1	1	297.5	850	-90.283653 38.738902,-90.283626 38.738879000000004,-90.28358999999999 38.738858,-90.283531 38.738838,-90.28344799999999 38.738817000000004,-90.28331299999999 38.738787,-90.28313 38.738766000000005,-90.28294899999999 38.738747000000004
35	582	4	1	1	297.5	850	-90.28294899999999 38.738747000000004,-90.28313 38.738766000000005,-90.28331299999999 38.738787,-90.28344799999999 38.738817000000004,-90.283531 38.738838,-90.28358999999999 38.738858,-90.283626 38.738879000000004,-90.283653 38.738902
46	42	10	1	1	35.0	100	-90.281751 38.742264000000006,-90.281993 38.742423
42	46	10	1	1	35.0	100	-90.281993 38.742423,-90.281751 38.742264000000006
44	43	10	1	1	367.5	1050	-90.28213099999999 38.742312000000005,-90.28235 38.742472
43	44	10	1	1	367.5	1050	-90.28235 38.742472,-90.28213099999999 38.742312000000005
584	50	4	1	1	87.5	250	-90.280655 38.742312000000005,-90.280732 38.742323000000006,-90.280784 38.742340000000006,-90.28083699999999 38.742369000000004,-90.280863 38.742414000000004,-90.280857 38.74246,-90.28083 38.742507,-90.28063999999999 38.742832,-90.280576 38.742912000000004,-90.280543 38.742943000000004
50	584	4	1	1	87.5	250	-90.280543 38.742943000000004,-90.280576 38.742912000000004,-90.28063999999999 38.742832,-90.28083 38.742507,-90.280857 38.74246,-90.280863 38.742414000000004,-90.28083699999999 38.742369000000004,-90.280784 38.742340000000006,-90.280732 38.742323000000006,-90.280655 38.742312000000005
585	50	4	1	1	262.5	750	-90.279933 38.743405,-90.280316 38.743118,-90.280487 38.742990000000006,-90.280535 38.74295,-90.280543 38.742943000000004
50	585	4	1	1	262.5	750	-90.280543 38.742943000000004,-90.280535 38.74295,-90.280487 38.742990000000006,-90.280316 38.743118,-90.279933 38.743405
587	55	1	1	1	420.0	1200	-90.29513499999999 38.733664000000005,-90.29508899999999 38.733747,-90.295026 38.733859,-90.29495999999999 38.73396,-90.2949 38.734028,-90.29481 38.734118,-90.294575 38.734312,-90.29393999999999 38.734856,-90.293396 38.735323,-90.29332199999999 38.735372000000005,-90.293273 38.735380000000006
