Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	24242.1	22231	379.791	0.815	1	0.0210716	394.42	7516	0.0137056	0.180704	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0.0	36.0	432.455365 -432.455365,407.129554 -415.276308
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36.0	191.0	407.129554 -415.276308,297.503138 -331.953362
0	2	10068	160	1	0	0	0	0	42	0	0	0	Straight	0.0	191.0	233.0	297.503138 -331.953362,273.360283 -301.425769
0	3	160	192	1	0	0	0	0	48	0	0	0	Straight	0.0	233.0	281.0	273.360283 -301.425769,234.643159 -278.380051
0	4	192	206	1	0	0	0	0	31	0	0	0	Straight	0.0	281.0	312.0	234.643159 -278.380051,209.081716 -279.331191
0	5	206	212	1	0	0	0	0	7	0	0	0	Straight	0.0	312.0	319.0	209.081716 -279.331191,203.487166 -282.713367
0	6	212	218	1	0	0	0	0	22	0	0	0	Right	5.21	324.21	346.21	203.487166 -282.713367,184.615833 -273.075208
0	7	218	232	1	0	0	0	0	8	0	0	0	Straight	0.0	346.21	354.21	184.615833 -273.075208,177.929752 -266.263863
0	8	232	242	1	0	0	0	0	14	0	0	0	Straight	0.0	354.21	368.21	177.929752 -266.263863,166.48788 -263.207433
0	9	242	244	1	0	0	0	0	7	0	0	0	Straight	0.0	368.21	375.21	166.48788 -263.207433,161.393522 -254.80758
0	10	244	246	1	0	0	0	0	9	0	0	0	Straight	0.0	375.21	384.21	161.393522 -254.80758,155.886311 -245.246769
0	11	246	230	1	0	0	0	0	9	0	0	0	Straight	0.0	384.21	393.21	155.886311 -245.246769,148.501251 -241.003772
0	12	230	248	1	0	0	0	0	13	0	0	0	Left	10.42	403.63	416.63	148.501251 -241.003772,137.990036 -244.580861
0	13	248	250	1	0	0	0	0	16	0	0	0	Straight	0.0	416.63	432.63	137.990036 -244.580861,125.781347 -251.022702
