Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	24669.4	22205	0.017	0	1.45161	0.732644	373.559	9564	0.150762	3.78403	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0.0	36.0	432.455365 -432.455365,407.129554 -415.276308
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36.0	191.0	407.129554 -415.276308,297.503138 -331.953362
0	2	10068	10102	1	0	0	0	0	188	0	0	0	Left	10.42	201.42	389.42	297.503138 -331.953362,132.379176 -357.535626
0	3	10102	360	1	0	0	0	0	32	0	0	0	Right	5.21	394.63	426.63	132.379176 -357.535626,117.145189 -314.538499
0	4	360	362	1	0	0	0	0	27	0	0	0	Left	10.42	437.05	464.05	117.145189 -314.538499,93.519323 -321.117727
0	5	362	358	1	0	0	0	0	7	0	0	0	Right	5.21	469.26	476.26	93.519323 -321.117727,88.650044 -313.518102
0	6	358	326	1	0	0	0	0	8	0	0	0	Left	10.42	486.68	494.68	88.650044 -313.518102,81.378723 -314.563311
0	7	326	356	1	0	0	0	0	6	0	0	0	Right	5.21	499.89	505.89	81.378723 -314.563311,77.09262 -309.165782
0	8	356	340	1	0	0	0	0	8	0	0	0	Straight	0.0	505.89	513.89	77.09262 -309.165782,70.35563 -306.538098
0	9	340	342	1	0	0	0	0	12	0	0	0	Right	5.21	519.1	531.1	70.35563 -306.538098,65.55319 -289.070281
0	10	342	338	1	0	0	0	0	9	0	0	0	Straight	0.0	531.1	540.1	65.55319 -289.070281,61.587894 -279.758932
0	11	338	1252	1	0	0	0	0	9	0	0	0	Straight	0.0	540.1	549.1	61.587894 -279.758932,56.051277 -273.201052
0	12	1252	520	1	0	0	0	0	23	0	0	0	Left	10.42	559.52	582.52	56.051277 -273.201052,36.413163 -272.553391
0	13	520	522	1	0	0	0	0	33	0	0	0	Straight	0.0	582.52	615.52	36.413163 -272.553391,8.326525 -273.391702
