Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	30058.7	28058	54.141	0.85	1	0	348.925	8777	0.137056	0.0821246	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0.0	36.0	439.900239 -439.900239,410.197939 -423.017536
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36.0	191.0	410.197939 -423.017536,293.313668 -333.567765
0	2	10068	160	1	0	0	0	0	42	0	0	0	Straight	0.0	191.0	233.0	293.313668 -333.567765,270.335101 -303.488086
0	3	160	192	1	1	380	380	0	48	404	1	0	Straight	0.0	233.0	637.0	270.335101 -303.488086,227.604727 -277.345668
0	4	192	206	1	1	320	320	0	31	335	1	0	Straight	0.0	637.0	972.0	227.604727 -277.345668,195.730876 -273.866287
0	5	206	208	1	1	200	200	0	23	211	1	0	Right	5.21	977.21	1188.21	195.730876 -273.866287,183.325592 -255.794226
0	6	208	210	1	1	60	60	0	8	64	0	0	Left	10.42	1198.63	1206.63	183.325592 -255.794226,178.728224 -260.871033
0	7	210	218	1	1	100	100	0	12	106	1	0	Straight	0.0	1206.63	1312.63	178.728224 -260.871033,166.84824 -264.433542
0	8	218	220	1	1	60	60	0	9	64	1	0	Left	10.42	1323.05	1387.05	166.84824 -264.433542,170.955278 -274.563417
0	9	220	216	1	1	190	190	0	19	199	1	0	Straight	0.0	1387.05	1586.05	170.955278 -274.563417,188.926373 -284.98483
0	10	216	214	1	1	30	30	0	10	35	1	0	Right	5.21	1591.26	1626.26	188.926373 -284.98483,179.23112 -289.763218
0	11	214	200	1	1	90	90	0	21	100	1	0	Left	10.42	1636.68	1736.68	179.23112 -289.763218,190.92599 -310.530943
0	12	200	214	1	1	90	90	0	21	100	0	0	U	41.682	1778.36	1799.36	190.92599 -310.530943,179.23112 -289.763218
0	13	214	222	1	1	80	80	0	17	88	1	0	Straight	0.0	1799.36	1887.36	179.23112 -289.763218,163.347035 -279.821346
0	14	222	228	1	1	30	30	0	8	34	1	0	Straight	0.0	1887.36	1921.36	163.347035 -279.821346,156.037039 -275.372919
0	15	228	238	1	1	20	20	0	9	24	1	0	Straight	0.0	1921.36	1945.36	156.037039 -275.372919,147.149782 -272.696602
0	16	238	252	1	1	130	130	0	23	141	1	0	Straight	0.0	1945.36	2086.36	147.149782 -272.696602,122.092071 -277.254598
0	17	252	1236	1	1	10	10	0	3	11	1	0	Right	5.21	2091.57	2102.57	122.092071 -277.254598,120.41284 -273.535429
0	18	1236	254	1	1	10	10	0	3	11	1	0	Straight	0.0	2102.57	2113.57	120.41284 -273.535429,118.722881 -270.218922
0	19	254	240	1	1	300	300	0	30	315	1	0	Right	5.21	2118.78	2433.78	118.722881 -270.218922,150.156798 -261.451787
0	20	240	242	1	1	60	60	0	8	64	1	0	Left	10.42	2444.2	2508.2	150.156798 -261.451787,146.634787 -252.988029
0	21	242	244	1	1	30	30	0	7	33	1	0	Straight	0.0	2508.2	2541.2	146.634787 -252.988029,142.229793 -244.973082
0	22	244	246	1	1	20	20	0	9	24	1	0	Straight	0.0	2541.2	2565.2	142.229793 -244.973082,137.575814 -235.892698
0	23	246	266	1	1	280	280	0	29	294	1	0	Left	10.42	2575.62	2869.62	137.575814 -235.892698,107.076548 -241.325847
0	24	266	274	1	1	400	400	0	38	419	1	0	Straight	0.0	2869.62	3288.62	107.076548 -241.325847,67.620614 -245.422548
0	25	274	336	1	1	50	50	0	17	58	1	0	Straight	0.0	3288.62	3346.62	67.620614 -245.422548,50.219434 -247.443203
0	26	336	338	1	1	400	400	0	37	418	1	0	Straight	0.0	3346.62	3764.62	50.219434 -247.443203,12.965128 -249.45419
0	27	338	384	1	0	0	0	0	5	0	0	0	Left	10.42	3775.04	3780.04	12.965128 -249.45419,13.047355 -253.291661
0	28	384	386	1	1	280	280	0	27	293	1	0	Straight	0.0	3780.04	4073.04	13.047355 -253.291661,13.791162 -292.223703
0	29	386	374	1	0	0	0	0	9	0	0	0	Straight	0.0	4073.04	4082.04	13.791162 -292.223703,15.507975 -302.738616
0	30	374	372	1	1	220	220	0	19	229	1	0	U	41.682	4123.72	4352.72	15.507975 -302.738616,13.869772 -273.332639
0	31	372	376	1	1	80	80	0	10	85	1	0	U	41.682	4394.41	4479.41	13.869772 -273.332639,16.87861 -288.290549
0	32	376	378	1	1	200	200	0	20	210	1	0	Straight	0.0	4479.41	4689.41	16.87861 -288.290549,18.164431 -312.10401
0	33	378	382	1	0	0	0	0	8	0	0	0	Straight	0.0	4689.41	4697.41	18.164431 -312.10401,21.733795 -319.810093
0	34	382	380	1	1	150	150	0	29	164	1	0	U	41.682	4739.09	4903.09	21.733795 -319.810093,20.737117 -289.022178
0	35	380	364	1	0	0	0	0	5	0	0	0	Straight	0.0	4903.09	4908.09	20.737117 -289.022178,20.276497 -282.690999
0	36	364	362	1	1	120	120	0	22	131	1	0	Right	5.21	4913.3	5044.3	20.276497 -282.690999,43.124689 -290.058918
0	37	362	360	1	1	120	120	0	27	133	1	0	Straight	0.0	5044.3	5177.3	43.124689 -290.058918,73.879916 -288.429024
0	38	360	276	1	1	280	280	0	31	295	1	0	Left	10.42	5187.72	5482.72	73.879916 -288.429024,62.488071 -256.533436
0	39	276	272	1	1	30	30	0	8	34	1	0	Right	5.21	5487.93	5521.93	62.488071 -256.533436,71.064435 -255.449929
0	40	272	270	1	1	60	60	0	7	63	0	0	Right	5.21	5527.14	5534.14	71.064435 -255.449929,75.031824 -263.868579
0	41	270	262	1	1	280	280	0	27	293	1	0	Left	10.42	5544.56	5837.56	75.031824 -263.868579,104.758287 -263.010875
0	42	262	260	1	1	60	60	0	12	66	1	0	Right	5.21	5842.77	5908.77	104.758287 -263.010875,109.428689 -278.27334
0	43	260	268	1	1	120	120	0	27	133	1	0	Right	5.21	5913.98	6046.98	109.428689 -278.27334,81.290181 -282.281468
0	44	268	270	1	1	130	130	0	15	137	1	0	Right	5.21	6052.19	6189.19	81.290181 -282.281468,75.031824 -263.868579
0	45	270	272	1	1	60	60	0	7	63	1	0	Straight	0.0	6189.19	6252.19	75.031824 -263.868579,71.064435 -255.449929
0	46	272	264	1	1	400	400	0	38	419	1	0	Right	5.21	6257.4	6676.4	71.064435 -255.449929,111.405606 -251.388109
0	47	264	244	1	1	280	280	0	30	295	1	0	Straight	0.0	6676.4	6971.4	111.405606 -251.388109,142.229793 -244.973082
0	48	244	246	1	1	20	20	0	9	24	0	0	Left	10.42	6981.82	6990.82	142.229793 -244.973082,137.575814 -235.892698
0	49	246	230	1	1	30	30	0	9	34	1	0	Straight	0.0	6990.82	7024.82	137.575814 -235.892698,129.391721 -231.037091
0	50	230	248	1	1	130	130	0	13	136	1	0	Straight	0.0	7024.82	7160.82	129.391721 -231.037091,115.563677 -232.322211
0	51	248	188	1	0	0	0	0	7	0	0	0	Right	5.21	7166.03	7173.03	115.563677 -232.322211,118.140069 -229.128502
0	52	188	186	1	1	120	120	0	13	126	1	0	Right	5.21	7178.24	7304.24	118.140069 -229.128502,131.792992 -227.686354
0	53	186	182	1	0	0	0	0	8	0	0	0	Left	10.42	7314.66	7322.66	131.792992 -227.686354,136.292564 -219.905603
0	54	182	184	1	1	120	120	0	13	126	1	0	Left	10.42	7333.08	7459.08	136.292564 -219.905603,122.382101 -221.188233
0	55	184	180	1	0	0	0	0	8	0	0	0	Right	5.21	7464.29	7472.29	122.382101 -221.188233,121.031317 -214.887457
0	56	180	178	1	1	60	60	0	13	66	1	0	Right	5.21	7477.5	7543.5	121.031317 -214.887457,134.98206 -213.65697
0	57	178	172	1	0	0	0	0	8	0	0	0	Straight	0.0	7543.5	7551.5	134.98206 -213.65697,142.493613 -209.624463
0	58	172	176	1	1	210	210	0	22	221	1	0	U	41.682	7593.18	7814.18	142.493613 -209.624463,134.777701 -224.622355
