Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	30516	27317	3.39937	0	1	0	348.925	8777	0.274112	0.0858325	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0.0	36.0	439.900239 -439.900239,410.197939 -423.017536
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36.0	191.0	410.197939 -423.017536,293.313668 -333.567765
0	2	10068	160	1	0	0	0	0	42	0	0	0	Straight	0.0	191.0	233.0	293.313668 -333.567765,270.335101 -303.488086
0	3	160	192	1	1	380	380	0	48	404	1	0	Straight	0.0	233.0	637.0	270.335101 -303.488086,227.604727 -277.345668
0	4	192	206	1	1	320	320	0	31	335	1	0	Straight	0.0	637.0	972.0	227.604727 -277.345668,195.730876 -273.866287
0	5	206	208	1	1	200	200	0	23	211	1	0	Right	5.21	977.21	1188.21	195.730876 -273.866287,183.325592 -255.794226
0	6	208	210	1	1	60	60	0	8	64	1	0	Left	10.42	1198.63	1262.63	183.325592 -255.794226,178.728224 -260.871033
0	7	210	218	1	1	100	100	0	12	106	1	0	Straight	0.0	1262.63	1368.63	178.728224 -260.871033,166.84824 -264.433542
0	8	218	220	1	1	60	60	0	9	64	1	0	Left	10.42	1379.05	1443.05	166.84824 -264.433542,170.955278 -274.563417
0	9	220	222	1	1	80	80	0	10	85	1	0	Right	5.21	1448.26	1533.26	170.955278 -274.563417,163.347035 -279.821346
0	10	222	228	1	1	30	30	0	8	34	1	0	Right	5.21	1538.47	1572.47	163.347035 -279.821346,156.037039 -275.372919
0	11	228	238	1	1	20	20	0	9	24	1	0	Straight	0.0	1572.47	1596.47	156.037039 -275.372919,147.149782 -272.696602
0	12	238	252	1	1	130	130	0	23	141	1	0	Straight	0.0	1596.47	1737.47	147.149782 -272.696602,122.092071 -277.254598
0	13	252	260	1	1	40	40	0	13	46	1	0	Straight	0.0	1737.47	1783.47	122.092071 -277.254598,109.428689 -278.27334
0	14	260	268	1	1	120	120	0	27	133	1	0	Straight	0.0	1783.47	1916.47	109.428689 -278.27334,81.290181 -282.281468
0	15	268	270	1	1	130	130	0	15	137	1	0	Right	5.21	1921.68	2058.68	81.290181 -282.281468,75.031824 -263.868579
0	16	270	272	1	1	60	60	0	7	63	1	0	Straight	0.0	2058.68	2121.68	75.031824 -263.868579,71.064435 -255.449929
0	17	272	276	1	1	30	30	0	8	34	1	0	Left	10.42	2132.1	2166.1	71.064435 -255.449929,62.488071 -256.533436
0	18	276	360	1	1	280	280	0	31	295	1	0	Left	10.42	2176.52	2471.52	62.488071 -256.533436,73.879916 -288.429024
0	19	360	362	1	1	120	120	0	27	133	1	0	Right	5.21	2476.73	2609.73	73.879916 -288.429024,43.124689 -290.058918
0	20	362	364	1	1	120	120	0	22	131	1	0	Straight	0.0	2609.73	2740.73	43.124689 -290.058918,20.276497 -282.690999
0	21	364	380	1	0	0	0	0	5	0	0	0	Left	10.42	2751.15	2756.15	20.276497 -282.690999,20.737117 -289.022178
0	22	380	382	1	1	150	150	0	29	164	1	0	Straight	0.0	2756.15	2920.15	20.737117 -289.022178,21.733795 -319.810093
0	23	382	378	1	0	0	0	0	8	0	0	0	U	41.682	2961.83	2969.83	21.733795 -319.810093,18.164431 -312.10401
0	24	378	376	1	1	200	200	0	20	210	1	0	Straight	0.0	2969.83	3179.83	18.164431 -312.10401,16.87861 -288.290549
0	25	376	372	1	1	80	80	0	10	85	1	0	Straight	0.0	3179.83	3264.83	16.87861 -288.290549,13.869772 -273.332639
0	26	372	374	1	1	220	220	0	19	229	1	0	U	41.682	3306.51	3535.51	13.869772 -273.332639,15.507975 -302.738616
0	27	374	386	1	0	0	0	0	9	0	0	0	U	41.682	3577.2	3586.2	15.507975 -302.738616,13.791162 -292.223703
0	28	386	384	1	1	280	280	0	27	293	1	0	Straight	0.0	3586.2	3879.2	13.791162 -292.223703,13.047355 -253.291661
0	29	384	338	1	0	0	0	0	5	0	0	0	Straight	0.0	3879.2	3884.2	13.047355 -253.291661,12.965128 -249.45419
0	30	338	336	1	1	400	400	0	37	418	1	0	Right	5.21	3889.41	4307.41	12.965128 -249.45419,50.219434 -247.443203
0	31	336	274	1	1	50	50	0	17	58	1	0	Straight	0.0	4307.41	4365.41	50.219434 -247.443203,67.620614 -245.422548
0	32	274	266	1	1	400	400	0	38	419	1	0	Straight	0.0	4365.41	4784.41	67.620614 -245.422548,107.076548 -241.325847
0	33	266	250	1	1	60	60	0	9	64	1	0	U	41.682	4826.09	4890.09	107.076548 -241.325847,98.983858 -235.762651
0	34	250	280	1	1	80	80	0	12	86	1	0	Straight	0.0	4890.09	4976.09	98.983858 -235.762651,86.02434 -236.027743
0	35	280	278	1	1	300	300	0	29	314	1	0	Right	5.21	4981.3	5295.3	86.02434 -236.027743,87.812459 -217.565391
0	36	278	282	1	0	0	0	0	8	0	0	0	Left	10.42	5305.72	5313.72	87.812459 -217.565391,79.124644 -218.525508
0	37	282	284	1	1	300	300	0	29	314	1	0	Left	10.42	5324.14	5638.14	79.124644 -218.525508,77.407683 -236.588986
0	38	284	288	1	1	150	150	0	8	154	1	0	Right	5.21	5643.35	5797.35	77.407683 -236.588986,68.84304 -237.548577
0	39	288	286	1	1	300	300	0	29	314	1	0	Right	5.21	5802.56	6116.56	68.84304 -237.548577,70.50859 -220.014693
0	40	286	290	1	0	0	0	0	8	0	0	0	Left	10.42	6126.98	6134.98	70.50859 -220.014693,62.043493 -222.280085
0	41	290	292	1	1	300	300	0	28	314	1	0	Left	10.42	6145.4	6459.4	62.043493 -222.280085,60.415466 -238.982592
0	42	292	288	1	1	150	150	0	8	154	1	0	Left	10.42	6469.82	6623.82	60.415466 -238.982592,68.84304 -237.548577
0	43	288	284	1	1	150	150	0	8	154	0	0	Straight	0.0	6623.82	6631.82	68.84304 -237.548577,77.407683 -236.588986
0	44	284	280	1	1	150	150	0	8	154	1	0	Straight	0.0	6631.82	6785.82	77.407683 -236.588986,86.02434 -236.027743
0	45	280	250	1	1	80	80	0	12	86	0	0	Straight	0.0	6785.82	6797.82	86.02434 -236.027743,98.983858 -235.762651
0	46	250	248	1	1	80	80	0	16	88	1	0	Straight	0.0	6797.82	6885.82	98.983858 -235.762651,115.563677 -232.322211
0	47	248	230	1	1	130	130	0	13	136	1	0	Straight	0.0	6885.82	7021.82	115.563677 -232.322211,129.391721 -231.037091
0	48	230	176	1	1	30	30	0	11	35	1	0	Straight	0.0	7021.82	7056.82	129.391721 -231.037091,134.777701 -224.622355
0	49	176	172	1	1	210	210	0	22	221	1	0	Straight	0.0	7056.82	7277.82	134.777701 -224.622355,142.493613 -209.624463
0	50	172	178	1	0	0	0	0	8	0	0	0	U	41.682	7319.5	7327.5	142.493613 -209.624463,134.98206 -213.65697
0	51	178	180	1	1	60	60	0	13	66	1	0	Straight	0.0	7327.5	7393.5	134.98206 -213.65697,121.031317 -214.887457
0	52	180	184	1	0	0	0	0	8	0	0	0	Left	10.42	7403.92	7411.92	121.031317 -214.887457,122.382101 -221.188233
0	53	184	182	1	1	120	120	0	13	126	1	0	Left	10.42	7422.34	7548.34	122.382101 -221.188233,136.292564 -219.905603
0	54	182	186	1	0	0	0	0	8	0	0	0	Right	5.21	7553.55	7561.55	136.292564 -219.905603,131.792992 -227.686354
0	55	186	188	1	1	120	120	0	13	126	1	0	Right	5.21	7566.76	7692.76	131.792992 -227.686354,118.140069 -229.128502
0	56	188	248	1	0	0	0	0	7	0	0	0	Left	10.42	7703.18	7710.18	118.140069 -229.128502,115.563677 -232.322211
0	57	248	230	1	1	130	130	0	13	136	0	0	Left	10.42	7720.6	7733.6	115.563677 -232.322211,129.391721 -231.037091
0	58	230	246	1	1	30	30	0	9	34	1	0	Straight	0.0	7733.6	7767.6	129.391721 -231.037091,137.575814 -235.892698
