Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	30456.2	28195	252.815	1.344	1.07143	0.374565	595.857	14652	0.342641	1.08771	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0.0	36.0	439.900239 -439.900239,410.197939 -423.017536
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36.0	191.0	410.197939 -423.017536,293.313668 -333.567765
0	2	10068	160	1	0	0	0	0	42	0	0	0	Straight	0.0	191.0	233.0	293.313668 -333.567765,270.335101 -303.488086
0	3	160	192	1	0	0	0	0	48	0	0	0	Straight	0.0	233.0	281.0	270.335101 -303.488086,227.604727 -277.345668
0	4	192	194	1	0	0	0	0	4	0	0	0	Straight	0.0	281.0	285.0	227.604727 -277.345668,225.518415 -273.827549
0	5	194	190	1	0	0	0	0	6	0	0	0	Right	5.21	290.21	296.21	225.518415 -273.827549,232.007754 -270.683195
0	6	190	138	1	0	0	0	0	6	0	0	0	Straight	0.0	296.21	302.21	232.007754 -270.683195,238.075637 -266.916493
0	7	138	116	1	1	230	230	0	22	241	1	0	Straight	0.0	302.21	543.21	238.075637 -266.916493,246.979153 -252.408422
0	8	116	112	1	1	70	70	0	8	74	1	0	Straight	0.0	543.21	617.21	246.979153 -252.408422,246.341529 -245.232342
0	9	112	94	1	1	190	190	0	19	199	1	0	Left	10.42	627.63	826.63	246.341529 -245.232342,226.65593 -236.817906
0	10	94	86	1	1	60	60	0	8	64	1	0	Straight	0.0	826.63	890.63	226.65593 -236.817906,218.598016 -229.237112
0	11	86	80	1	1	60	60	0	8	64	1	0	Straight	0.0	890.63	954.63	218.598016 -229.237112,211.223798 -223.726275
0	12	80	60	1	1	240	240	0	25	252	1	0	Right	5.21	959.84	1211.84	211.223798 -223.726275,229.066897 -209.221539
0	13	60	58	1	1	390	390	0	28	404	1	0	Straight	0.0	1211.84	1615.84	229.066897 -209.221539,255.880455 -197.158898
0	14	58	64	1	0	0	0	0	8	0	0	0	Right	5.21	1621.05	1629.05	255.880455 -197.158898,261.497872 -202.473704
0	15	64	72	1	1	240	240	0	25	252	1	0	Right	5.21	1634.26	1886.26	261.497872 -202.473704,237.291586 -213.109369
0	16	72	60	1	1	60	60	0	8	64	1	0	Right	5.21	1891.47	1955.47	237.291586 -213.109369,229.066897 -209.221539
0	17	60	56	1	1	60	60	0	8	64	1	0	Straight	0.0	1955.47	2019.47	229.066897 -209.221539,220.144424 -205.359096
0	18	56	54	1	1	300	300	0	32	316	1	0	Right	5.21	2024.68	2340.68	220.144424 -205.359096,249.973751 -191.56535
0	19	54	1198	1	0	0	0	0	9	0	0	0	Left	10.42	2351.1	2360.1	249.973751 -191.56535,241.599278 -186.846167
0	20	1198	1138	1	1	100	100	0	23	111	1	0	Right	5.21	2365.31	2476.31	241.599278 -186.846167,259.340886 -172.248556
0	21	1138	1140	1	1	50	50	0	9	54	1	0	Straight	0.0	2476.31	2530.31	259.340886 -172.248556,261.972086 -166.825017
0	22	1140	1112	1	1	90	90	0	10	95	1	0	Straight	0.0	2530.31	2625.31	261.972086 -166.825017,269.296598 -159.721366
0	23	1112	1128	1	1	70	70	0	7	73	1	0	Straight	0.0	2625.31	2698.31	269.296598 -159.721366,275.301373 -156.069992
0	24	1128	1130	1	1	30	30	0	7	33	0	0	Straight	0.0	2698.31	2705.31	275.301373 -156.069992,279.423275 -156.705452
0	25	1130	1136	1	1	50	50	0	6	53	1	0	Right	5.21	2710.52	2763.52	279.423275 -156.705452,275.357466 -160.541848
0	26	1136	1132	1	1	30	30	0	8	34	1	0	U	41.682	2805.2	2839.2	275.357466 -160.541848,281.670759 -156.268578
0	27	1132	1124	1	1	80	80	0	9	84	1	0	Straight	0.0	2839.2	2923.2	281.670759 -156.268578,289.842678 -152.157652
0	28	1124	1094	1	1	300	300	0	45	322	1	0	Straight	0.0	2923.2	3245.2	289.842678 -152.157652,296.50818 -146.167419
0	29	1094	1092	1	1	30	30	0	8	34	0	0	U	41.682	3286.88	3294.88	296.50818 -146.167419,290.540842 -151.441714
0	30	1092	1124	1	0	0	0	0	1	0	0	0	Straight	0.0	3294.88	3295.88	290.540842 -151.441714,289.842678 -152.157652
0	31	1124	1132	1	1	80	80	0	9	84	0	0	Straight	0.0	3295.88	3304.88	289.842678 -152.157652,281.670759 -156.268578
0	32	1132	1130	1	1	30	30	0	4	32	1	0	Straight	0.0	3304.88	3336.88	281.670759 -156.268578,279.423275 -156.705452
0	33	1130	1128	1	1	30	30	0	7	33	1	0	Straight	0.0	3336.88	3369.88	279.423275 -156.705452,275.301373 -156.069992
0	34	1128	1090	1	1	60	60	0	8	64	1	0	Right	5.21	3375.09	3439.09	275.301373 -156.069992,281.486515 -151.039407
0	35	1090	1070	1	1	60	60	0	8	64	1	0	Straight	0.0	3439.09	3503.09	281.486515 -151.039407,283.144794 -145.170641
0	36	1070	1072	1	1	200	200	0	18	209	1	0	Straight	0.0	3503.09	3712.09	283.144794 -145.170641,298.743589 -136.106127
0	37	1072	1070	1	1	200	200	0	18	209	0	0	U	41.682	3753.78	3771.78	298.743589 -136.106127,283.144794 -145.170641
0	38	1070	1068	1	1	60	60	0	8	64	1	0	Right	5.21	3776.99	3840.99	283.144794 -145.170641,273.834543 -138.376227
0	39	1068	1066	1	1	110	110	0	15	117	1	0	Right	5.21	3846.2	3963.2	273.834543 -138.376227,284.267286 -127.877076
0	40	1066	454	1	1	70	70	0	14	77	1	0	Straight	0.0	3963.2	4040.2	284.267286 -127.877076,294.089459 -118.305773
0	41	454	456	1	1	30	30	0	6	33	1	0	Straight	0.0	4040.2	4073.2	294.089459 -118.305773,298.217433 -114.385968
0	42	456	472	1	0	0	0	0	7	0	0	0	Straight	0.0	4073.2	4080.2	298.217433 -114.385968,303.53555 -110.187956
0	43	472	474	1	1	50	50	0	8	54	1	0	Straight	0.0	4080.2	4134.2	303.53555 -110.187956,315.715514 -94.82769
0	44	474	460	1	1	510	510	0	58	539	1	0	U	41.682	4175.88	4714.88	315.715514 -94.82769,267.67762 -126.129347
0	45	460	444	1	1	80	80	0	10	85	1	0	Straight	0.0	4714.88	4799.88	267.67762 -126.129347,261.424395 -134.188209
0	46	444	426	1	1	110	110	0	13	116	1	0	Straight	0.0	4799.88	4915.88	261.424395 -134.188209,254.01325 -144.580969
0	47	426	430	1	1	120	120	0	16	128	1	0	U	41.682	4957.56	5085.56	254.01325 -144.580969,262.978664 -132.420072
0	48	430	426	1	1	120	120	0	16	128	0	0	U	41.682	5127.24	5143.24	262.978664 -132.420072,254.01325 -144.580969
0	49	426	444	1	1	110	110	0	13	116	0	0	U	41.682	5184.92	5197.92	254.01325 -144.580969,261.424395 -134.188209
0	50	444	448	1	1	180	180	0	23	191	1	0	Straight	0.0	5197.92	5388.92	261.424395 -134.188209,276.466793 -116.674473
0	51	448	450	1	1	40	40	0	9	44	1	0	Straight	0.0	5388.92	5432.92	276.466793 -116.674473,283.988688 -111.636835
0	52	450	438	1	1	30	30	0	7	33	1	0	Right	5.21	5438.13	5471.13	283.988688 -111.636835,284.181405 -113.252004
0	53	438	436	1	1	180	180	0	10	185	1	0	Left	10.42	5481.55	5666.55	284.181405 -113.252004,294.11827 -110.073274
0	54	436	438	1	1	180	180	0	10	185	0	0	U	41.682	5708.24	5718.24	294.11827 -110.073274,284.181405 -113.252004
0	55	438	440	1	1	10	10	0	9	14	1	0	Straight	0.0	5718.24	5732.24	284.181405 -113.252004,276.065068 -117.589863
0	56	440	460	1	1	130	130	0	12	136	0	0	Straight	0.0	5732.24	5744.24	276.065068 -117.589863,267.67762 -126.129347
0	57	460	440	1	1	130	130	0	12	136	1	0	U	41.682	5785.92	5921.92	267.67762 -126.129347,276.065068 -117.589863
