Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	30846.2	27892	3.52675	0	1.21429	0.637242	919.713	25831	0.507108	2.66665	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0.0	36.0	439.900239 -439.900239,410.197939 -423.017536
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36.0	191.0	410.197939 -423.017536,293.313668 -333.567765
0	2	10068	160	1	0	0	0	0	42	0	0	0	Straight	0.0	191.0	233.0	293.313668 -333.567765,270.335101 -303.488086
0	3	160	1240	1	0	0	0	0	8	0	0	0	Straight	0.0	233.0	241.0	270.335101 -303.488086,271.088971 -297.755405
0	4	1240	156	1	0	0	0	0	2	0	0	0	Left	10.42	251.42	253.42	271.088971 -297.755405,269.570216 -296.298662
0	5	156	190	1	1	410	410	0	42	431	1	0	Straight	0.0	253.42	684.42	269.570216 -296.298662,232.007754 -270.683195
0	6	190	138	1	0	0	0	0	6	0	0	0	Right	5.21	689.63	695.63	232.007754 -270.683195,238.075637 -266.916493
0	7	138	116	1	1	230	230	0	22	241	1	0	Straight	0.0	695.63	936.63	238.075637 -266.916493,246.979153 -252.408422
0	8	116	112	1	1	70	70	0	8	74	1	0	Straight	0.0	936.63	1010.63	246.979153 -252.408422,246.341529 -245.232342
0	9	112	94	1	1	190	190	0	19	199	1	0	Left	10.42	1021.05	1220.05	246.341529 -245.232342,226.65593 -236.817906
0	10	94	86	1	1	60	60	0	8	64	1	0	Straight	0.0	1220.05	1284.05	226.65593 -236.817906,218.598016 -229.237112
0	11	86	80	1	1	60	60	0	8	64	1	0	Straight	0.0	1284.05	1348.05	218.598016 -229.237112,211.223798 -223.726275
0	12	80	60	1	1	240	240	0	25	252	1	0	Right	5.21	1353.26	1605.26	211.223798 -223.726275,229.066897 -209.221539
0	13	60	72	1	1	60	60	0	8	64	1	0	Right	5.21	1610.47	1674.47	229.066897 -209.221539,237.291586 -213.109369
0	14	72	64	1	1	240	240	0	25	252	1	0	Left	10.42	1684.89	1936.89	237.291586 -213.109369,261.497872 -202.473704
0	15	64	58	1	0	0	0	0	8	0	0	0	Left	10.42	1947.31	1955.31	261.497872 -202.473704,255.880455 -197.158898
0	16	58	60	1	1	390	390	0	28	404	1	0	Left	10.42	1965.73	2369.73	255.880455 -197.158898,229.066897 -209.221539
0	17	60	56	1	1	60	60	0	8	64	1	0	Right	5.21	2374.94	2438.94	229.066897 -209.221539,220.144424 -205.359096
0	18	56	54	1	1	300	300	0	32	316	1	0	Right	5.21	2444.15	2760.15	220.144424 -205.359096,249.973751 -191.56535
0	19	54	1198	1	0	0	0	0	9	0	0	0	Left	10.42	2770.57	2779.57	249.973751 -191.56535,241.599278 -186.846167
0	20	1198	1138	1	1	100	100	0	23	111	1	0	Right	5.21	2784.78	2895.78	241.599278 -186.846167,259.340886 -172.248556
0	21	1138	1140	1	1	50	50	0	9	54	1	0	Straight	0.0	2895.78	2949.78	259.340886 -172.248556,261.972086 -166.825017
0	22	1140	1112	1	1	90	90	0	10	95	1	0	Straight	0.0	2949.78	3044.78	261.972086 -166.825017,269.296598 -159.721366
0	23	1112	1110	1	1	100	100	0	10	105	1	0	U	41.682	3086.46	3191.46	269.296598 -159.721366,263.541225 -162.065221
0	24	1110	1096	1	1	50	50	0	8	54	1	0	Right	5.21	3196.67	3250.67	263.541225 -162.065221,262.134784 -156.730764
0	25	1096	1090	1	1	260	260	0	23	271	1	0	Right	5.21	3255.88	3526.88	262.134784 -156.730764,281.486515 -151.039407
0	26	1090	1070	1	1	60	60	0	8	64	1	0	Left	10.42	3537.3	3601.3	281.486515 -151.039407,283.144794 -145.170641
0	27	1070	1072	1	1	200	200	0	18	209	1	0	Straight	0.0	3601.3	3810.3	283.144794 -145.170641,298.743589 -136.106127
0	28	1072	1070	1	1	200	200	0	18	209	0	0	U	41.682	3851.98	3869.98	298.743589 -136.106127,283.144794 -145.170641
0	29	1070	1068	1	1	60	60	0	8	64	1	0	Right	5.21	3875.19	3939.19	283.144794 -145.170641,273.834543 -138.376227
0	30	1068	1088	1	1	330	330	0	28	344	1	0	Left	10.42	3949.61	4293.61	273.834543 -138.376227,249.622122 -150.918804
0	31	1088	1174	1	1	350	350	0	40	370	1	0	Straight	0.0	4293.61	4663.61	249.622122 -150.918804,218.447885 -175.562448
0	32	1174	1172	1	1	40	40	0	5	42	1	0	U	41.682	4705.3	4747.3	218.447885 -175.562448,222.926137 -174.037121
0	33	1172	1162	1	1	130	130	0	7	133	1	0	Straight	0.0	4747.3	4880.3	222.926137 -174.037121,230.246049 -175.724567
0	34	1162	1176	1	1	100	100	0	10	105	1	0	Straight	0.0	4880.3	4985.3	230.246049 -175.724567,237.995039 -182.20154
0	35	1176	1178	1	1	200	200	0	16	208	1	0	Right	5.21	4990.51	5198.51	237.995039 -182.20154,223.119109 -190.033735
0	36	1178	1184	1	1	120	120	0	16	128	1	0	Right	5.21	5203.72	5331.72	223.119109 -190.033735,207.552561 -183.038008
0	37	1184	414	1	1	70	70	0	9	74	1	0	Straight	0.0	5331.72	5405.72	207.552561 -183.038008,198.884913 -186.218304
0	38	414	418	1	1	130	130	0	18	139	1	0	Straight	0.0	5405.72	5544.72	198.884913 -186.218304,179.819825 -187.141221
0	39	418	424	1	1	170	170	0	29	184	1	0	Straight	0.0	5544.72	5728.72	179.819825 -187.141221,157.569826 -205.117151
0	40	424	166	1	0	0	0	0	7	0	0	0	Straight	0.0	5728.72	5735.72	157.569826 -205.117151,150.403246 -207.064156
0	41	166	170	1	1	180	180	0	19	189	1	0	Straight	0.0	5735.72	5924.72	150.403246 -207.064156,140.764715 -217.030968
0	42	170	176	1	1	30	30	0	8	34	1	0	Straight	0.0	5924.72	5958.72	140.764715 -217.030968,134.777701 -224.622355
0	43	176	230	1	0	0	0	0	11	0	0	0	Straight	0.0	5958.72	5969.72	134.777701 -224.622355,129.391721 -231.037091
0	44	230	248	1	0	0	0	0	13	0	0	0	Straight	0.0	5969.72	5982.72	129.391721 -231.037091,115.563677 -232.322211
0	45	248	250	1	0	0	0	0	16	0	0	0	Straight	0.0	5982.72	5998.72	115.563677 -232.322211,98.983858 -235.762651
0	46	250	280	1	0	0	0	0	12	0	0	0	Straight	0.0	5998.72	6010.72	98.983858 -235.762651,86.02434 -236.027743
0	47	280	284	1	0	0	0	0	8	0	0	0	Straight	0.0	6010.72	6018.72	86.02434 -236.027743,77.407683 -236.588986
0	48	284	288	1	0	0	0	0	8	0	0	0	Straight	0.0	6018.72	6026.72	77.407683 -236.588986,68.84304 -237.548577
0	49	288	292	1	0	0	0	0	8	0	0	0	Straight	0.0	6026.72	6034.72	68.84304 -237.548577,60.415466 -238.982592
0	50	292	306	1	0	0	0	0	8	0	0	0	Straight	0.0	6034.72	6042.72	60.415466 -238.982592,51.794614 -239.397803
0	51	306	304	1	1	130	130	0	16	138	1	0	Right	5.21	6047.93	6185.93	51.794614 -239.397803,50.444518 -232.075935
0	52	304	294	1	1	60	60	0	8	64	1	0	Straight	0.0	6185.93	6249.93	50.444518 -232.075935,51.931619 -225.618961
0	53	294	316	1	1	70	70	0	10	75	1	0	Left	10.42	6260.35	6335.35	51.931619 -225.618961,41.145065 -225.733704
0	54	316	312	1	1	150	150	0	24	162	1	0	Straight	0.0	6335.35	6497.35	41.145065 -225.733704,20.879433 -238.757258
0	55	312	300	1	1	40	40	0	8	44	1	0	Left	10.42	6507.77	6551.77	20.879433 -238.757258,24.487457 -240.336442
0	56	300	308	1	1	150	150	0	22	161	1	0	Straight	0.0	6551.77	6712.77	24.487457 -240.336442,42.416837 -236.280567
0	57	308	310	1	1	70	70	0	11	75	1	0	Right	5.21	6717.98	6792.98	42.416837 -236.280567,43.383927 -240.695636
