Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	1	15147.6	14017	3.01013	0	1	0	269.079	2919	0.250597	0	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0.0	36.0	439.900239 -439.900239,410.197939 -423.017536
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36.0	191.0	410.197939 -423.017536,293.313668 -333.567765
0	2	10068	160	1	0	0	0	0	42	0	0	0	Straight	0.0	191.0	233.0	293.313668 -333.567765,270.335101 -303.488086
0	3	160	1240	1	0	0	0	0	8	0	0	0	Straight	0.0	233.0	241.0	270.335101 -303.488086,271.088971 -297.755405
0	4	1240	156	1	0	0	0	0	2	0	0	0	Left	10.42	251.42	253.42	271.088971 -297.755405,269.570216 -296.298662
0	5	156	154	1	1	70	70	0	11	75	1	0	Right	5.21	258.63	333.63	269.570216 -296.298662,275.39438 -288.712349
0	6	154	152	1	1	50	50	0	8	54	1	0	Left	10.42	344.05	398.05	275.39438 -288.712349,268.03159 -284.504659
0	7	152	144	1	1	90	90	0	14	97	1	0	Straight	0.0	398.05	495.05	268.03159 -284.504659,255.785294 -275.285581
0	8	144	140	1	1	70	70	0	10	75	1	0	Straight	0.0	495.05	570.05	255.785294 -275.285581,245.851378 -271.258995
0	9	140	122	1	1	790	790	0	82	831	1	0	Right	5.21	575.26	1406.26	245.851378 -271.258995,278.907313 -214.731397
0	10	122	42	1	0	0	0	0	1	0	0	0	Left	10.42	1416.68	1417.68	278.907313 -214.731397,277.801635 -214.284538
0	11	42	120	1	0	0	0	0	6	0	0	0	Straight	0.0	1417.68	1423.68	277.801635 -214.284538,271.109966 -212.012235
0	12	120	118	1	1	370	370	0	35	387	1	0	Left	10.42	1434.1	1821.1	271.109966 -212.012235,240.082723 -232.321859
0	13	118	114	1	1	70	70	0	8	74	1	0	Left	10.42	1831.52	1905.52	240.082723 -232.321859,243.346523 -238.848377
0	14	114	86	1	1	230	230	0	23	241	1	0	U	41.682	1947.2	2188.2	243.346523 -238.848377,218.598016 -229.237112
0	15	86	96	1	1	180	180	0	20	190	1	0	Straight	0.0	2188.2	2378.2	218.598016 -229.237112,199.878446 -228.691834
0	16	96	100	1	1	40	40	0	14	47	1	0	U	41.682	2419.88	2466.88	199.878446 -228.691834,214.109117 -241.152092
0	17	100	94	1	1	160	160	0	17	168	1	0	Left	10.42	2477.3	2645.3	214.109117 -241.152092,226.65593 -236.817906
0	18	94	86	1	0	0	0	0	8	0	0	0	Left	10.42	2655.72	2663.72	226.65593 -236.817906,218.598016 -229.237112
0	19	86	80	1	0	0	0	0	8	0	0	0	Straight	0.0	2663.72	2671.72	218.598016 -229.237112,211.223798 -223.726275
0	20	80	78	1	1	90	90	0	11	95	1	0	Straight	0.0	2671.72	2766.72	211.223798 -223.726275,200.215782 -223.892597
0	21	78	50	1	1	100	100	0	8	104	1	0	Straight	0.0	2766.72	2870.72	200.215782 -223.892597,193.116048 -223.985001
0	22	50	96	1	1	30	30	0	8	34	1	0	U	41.682	2912.41	2946.41	193.116048 -223.985001,199.878446 -228.691834
0	23	96	50	1	1	30	30	0	8	34	0	0	U	41.682	2988.09	2996.09	199.878446 -228.691834,193.116048 -223.985001
0	24	50	48	1	1	50	50	0	7	53	1	0	Straight	0.0	2996.09	3049.09	193.116048 -223.985001,186.374022 -220.887004
0	25	48	416	1	1	40	40	0	8	44	1	0	Right	5.21	3054.3	3098.3	186.374022 -220.887004,191.577782 -214.95252
0	26	416	400	1	1	30	30	0	5	32	1	0	Left	10.42	3108.72	3140.72	191.577782 -214.95252,189.867071 -212.141162
0	27	400	410	1	1	40	40	0	10	45	1	0	Straight	0.0	3140.72	3185.72	189.867071 -212.141162,179.937773 -207.877725
0	28	410	424	1	1	90	90	0	21	100	1	0	Straight	0.0	3185.72	3285.72	179.937773 -207.877725,157.569826 -205.117151
0	29	424	410	1	1	90	90	0	21	100	0	0	U	41.682	3327.4	3348.4	157.569826 -205.117151,179.937773 -207.877725
0	30	410	418	1	1	340	340	0	32	356	1	0	Left	10.42	3358.82	3714.82	179.937773 -207.877725,179.819825 -187.141221
0	31	418	414	1	0	0	0	0	18	0	0	0	Right	5.21	3720.03	3738.03	179.819825 -187.141221,198.884913 -186.218304
0	32	414	400	1	1	380	380	0	35	397	1	0	Right	5.21	3743.24	4140.24	198.884913 -186.218304,189.867071 -212.141162
0	33	400	416	1	1	30	30	0	5	32	0	0	Left	10.42	4150.66	4155.66	189.867071 -212.141162,191.577782 -214.95252
0	34	416	1192	1	1	70	70	0	22	81	1	0	Left	10.42	4166.08	4247.08	191.577782 -214.95252,211.165695 -202.742181
0	35	1192	1184	1	1	190	190	0	26	203	1	0	Left	10.42	4257.5	4460.5	211.165695 -202.742181,207.552561 -183.038008
0	36	1184	1178	1	0	0	0	0	16	0	0	0	Right	5.21	4465.71	4481.71	207.552561 -183.038008,223.119109 -190.033735
0	37	1178	1190	1	1	60	60	0	8	64	1	0	Right	5.21	4486.92	4550.92	223.119109 -190.033735,218.491833 -195.892482
0	38	1190	1192	1	1	60	60	0	10	65	1	0	Straight	0.0	4550.92	4615.92	218.491833 -195.892482,211.165695 -202.742181
0	39	1192	56	1	1	60	60	0	9	64	1	0	Left	10.42	4626.34	4690.34	211.165695 -202.742181,220.144424 -205.359096
0	40	56	78	1	1	330	330	0	32	346	1	0	Right	5.21	4695.55	5041.55	220.144424 -205.359096,200.215782 -223.892597
0	41	78	80	1	1	90	90	0	11	95	0	0	U	41.682	5083.23	5094.23	200.215782 -223.892597,211.223798 -223.726275
0	42	80	76	1	1	100	100	0	9	104	1	0	Straight	0.0	5094.23	5198.23	211.223798 -223.726275,220.506861 -223.765594
0	43	76	72	1	1	170	170	0	19	179	1	0	Straight	0.0	5198.23	5377.23	220.506861 -223.765594,237.291586 -213.109369
0	44	72	70	1	1	60	60	0	8	64	1	0	Right	5.21	5382.44	5446.44	237.291586 -213.109369,242.960782 -217.8748
0	45	70	82	1	1	120	120	0	14	127	1	0	Right	5.21	5451.65	5578.65	242.960782 -217.8748,230.42315 -226.56747
0	46	82	118	1	1	60	60	0	9	64	1	0	Left	10.42	5589.07	5653.07	230.42315 -226.56747,240.082723 -232.321859
0	47	118	114	1	1	70	70	0	8	74	0	0	Straight	0.0	5653.07	5661.07	240.082723 -232.321859,243.346523 -238.848377
0	48	114	112	1	1	70	70	0	7	73	1	0	Straight	0.0	5661.07	5734.07	243.346523 -238.848377,246.341529 -245.232342
0	49	112	116	1	0	0	0	0	8	0	0	0	Straight	0.0	5734.07	5742.07	246.341529 -245.232342,246.979153 -252.408422
0	50	116	110	1	1	80	80	0	10	85	1	0	Right	5.21	5747.28	5832.28	246.979153 -252.408422,237.916134 -255.710778
0	51	110	108	1	1	130	130	0	13	136	1	0	Straight	0.0	5832.28	5968.28	237.916134 -255.710778,232.086716 -258.893254
0	52	108	104	1	1	40	40	0	11	45	1	0	Right	5.21	5973.49	6018.49	232.086716 -258.893254,222.255491 -249.078084
0	53	104	110	1	1	140	140	0	16	148	1	0	U	41.682	6060.17	6208.17	222.255491 -249.078084,237.916134 -255.710778
0	54	110	108	1	1	130	130	0	13	136	0	0	Right	5.21	6213.38	6226.38	237.916134 -255.710778,232.086716 -258.893254
0	55	108	138	1	0	0	0	0	12	0	0	0	Left	10.42	6236.8	6248.8	232.086716 -258.893254,238.075637 -266.916493
0	56	138	190	1	0	0	0	0	6	0	0	0	Right	5.21	6254.01	6260.01	238.075637 -266.916493,232.007754 -270.683195
0	57	190	194	1	0	0	0	0	6	0	0	0	Straight	0.0	6260.01	6266.01	232.007754 -270.683195,225.518415 -273.827549
0	58	194	202	1	1	120	120	0	24	132	1	0	Straight	0.0	6266.01	6398.01	225.518415 -273.827549,200.723452 -270.288799
