Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	23692.3	22098	94.777	0.906	1.11111	0	229.758	3475	0.150762	0.468479	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0.0	36.0	388.832903 -388.832903,371.532523 -364.819731
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36.0	191.0	371.532523 -364.819731,291.150518 -263.358053
0	2	10068	160	1	0	0	0	0	42	0	0	0	Straight	0.0	191.0	233.0	291.150518 -263.358053,265.474776 -245.476156
0	3	160	1240	1	0	0	0	0	8	0	0	0	Left	10.42	243.42	251.42	265.474776 -245.476156,260.976707 -247.312077
0	4	1240	156	1	0	0	0	0	2	0	0	0	Right	5.21	256.63	258.63	260.976707 -247.312077,259.70669 -246.018237
0	5	156	154	1	0	0	0	0	11	0	0	0	Left	10.42	269.05	280.05	259.70669 -246.018237,254.109062 -253.41994
0	6	154	150	1	0	0	0	0	39	0	0	0	Straight	0.0	280.05	319.05	254.109062 -253.41994,240.761491 -303.030011
0	7	150	148	1	0	0	0	0	6	0	0	0	Straight	0.0	319.05	325.05	240.761491 -303.030011,236.81116 -310.561068
0	8	148	128	1	0	0	0	0	8	0	0	0	Straight	0.0	325.05	333.05	236.81116 -310.561068,231.895112 -319.812632
0	9	128	136	1	0	0	0	0	31	0	0	0	Right	5.21	338.26	369.26	231.895112 -319.812632,218.342748 -297.769279
0	10	136	134	1	0	0	0	0	8	0	0	0	Straight	0.0	369.26	377.26	218.342748 -297.769279,211.883285 -293.55043
0	11	134	132	1	1	60	60	0	8	64	1	0	Straight	0.0	377.26	441.26	211.883285 -293.55043,205.610822 -287.948161
0	12	132	130	1	1	50	50	0	8	54	0	0	Straight	0.0	441.26	449.26	205.610822 -287.948161,200.550405 -281.108031
0	13	130	132	1	1	50	50	0	8	54	1	0	U	41.682	490.942	544.942	200.550405 -281.108031,205.610822 -287.948161
0	14	132	124	1	1	360	360	0	34	377	1	0	Straight	0.0	544.942	921.942	205.610822 -287.948161,221.01304 -319.829033
0	15	124	8	1	0	0	0	0	8	0	0	0	U	41.682	963.624	971.624	221.01304 -319.829033,215.306838 -314.397346
0	16	8	6	1	1	240	240	0	45	262	1	0	Left	10.42	982.044	1244.04	215.306838 -314.397346,204.032546 -364.669194
0	17	6	10	1	0	0	0	0	8	0	0	0	Right	5.21	1249.25	1257.25	204.032546 -364.669194,199.08654 -359.351093
0	18	10	12	1	1	480	480	0	47	503	1	0	Right	5.21	1262.46	1765.46	199.08654 -359.351093,210.364115 -307.240814
0	19	12	8	1	0	0	0	0	8	0	0	0	Right	5.21	1770.67	1778.67	210.364115 -307.240814,215.306838 -314.397346
0	20	8	6	1	1	240	240	0	45	262	0	0	Right	5.21	1783.88	1828.88	215.306838 -314.397346,204.032546 -364.669194
0	21	6	10	1	0	0	0	0	8	0	0	0	Right	5.21	1834.09	1842.09	204.032546 -364.669194,199.08654 -359.351093
0	22	10	14	1	0	0	0	0	9	0	0	0	Straight	0.0	1842.09	1851.09	199.08654 -359.351093,194.602186 -354.138145
0	23	14	16	1	1	560	560	0	50	585	1	0	Right	5.21	1856.3	2441.3	194.602186 -354.138145,206.418455 -299.08202
0	24	16	40	1	0	0	0	0	7	0	0	0	Straight	0.0	2441.3	2448.3	206.418455 -299.08202,203.317343 -291.866645
0	25	40	38	1	1	50	50	0	7	53	1	0	U	41.682	2489.99	2542.99	203.317343 -291.866645,203.934896 -299.430758
0	26	38	34	1	1	260	260	0	22	271	1	0	Straight	0.0	2542.99	2813.99	203.934896 -299.430758,202.681458 -323.783431
0	27	34	36	1	1	80	80	0	15	87	1	0	U	41.682	2855.67	2942.67	202.681458 -323.783431,204.214207 -309.514775
0	28	36	28	1	1	270	270	0	37	288	1	0	U	41.682	2984.35	3272.35	204.214207 -309.514775,190.738887 -349.772147
0	29	28	24	1	0	0	0	0	7	0	0	0	Straight	0.0	3272.35	3279.35	190.738887 -349.772147,185.735923 -356.43221
0	30	24	20	1	1	120	120	0	21	130	1	0	Straight	0.0	3279.35	3409.35	185.735923 -356.43221,181.385915 -376.509514
0	31	20	18	1	1	80	80	0	19	89	1	0	U	41.682	3451.03	3540.03	181.385915 -376.509514,180.56583 -355.633834
0	32	18	26	1	1	30	30	0	8	34	1	0	Straight	0.0	3540.03	3574.03	180.56583 -355.633834,177.273296 -346.967776
0	33	26	34	1	1	420	420	0	46	443	1	0	Right	5.21	3579.24	4022.24	177.273296 -346.967776,202.681458 -323.783431
0	34	34	36	1	1	80	80	0	15	87	0	0	Straight	0.0	4022.24	4037.24	202.681458 -323.783431,204.214207 -309.514775
0	35	36	38	1	1	60	60	0	9	64	1	0	Straight	0.0	4037.24	4101.24	204.214207 -309.514775,203.934896 -299.430758
0	36	38	40	1	1	50	50	0	7	53	0	0	Straight	0.0	4101.24	4108.24	203.934896 -299.430758,203.317343 -291.866645
0	37	40	130	1	0	0	0	0	10	0	0	0	Straight	0.0	4108.24	4118.24	203.317343 -291.866645,200.550405 -281.108031
0	38	130	122	1	1	70	70	0	10	75	1	0	Straight	0.0	4118.24	4193.24	200.550405 -281.108031,196.090059 -270.546775
0	39	122	42	1	0	0	0	0	1	0	0	0	Straight	0.0	4193.24	4194.24	196.090059 -270.546775,195.655316 -269.48672
0	40	42	120	1	0	0	0	0	6	0	0	0	Straight	0.0	4194.24	4200.24	195.655316 -269.48672,193.364016 -262.989607
0	41	120	118	1	1	370	370	0	35	387	1	0	Straight	0.0	4200.24	4587.24	193.364016 -262.989607,206.883727 -227.218381
0	42	118	114	1	1	70	70	0	8	74	0	0	Right	5.21	4592.45	4600.45	206.883727 -227.218381,212.254414 -229.414199
0	43	114	86	1	1	230	230	0	23	241	1	0	Left	10.42	4610.87	4851.87	212.254414 -229.414199,202.713586 -205.559156
0	44	86	80	1	1	60	60	0	8	64	1	0	Straight	0.0	4851.87	4915.87	202.713586 -205.559156,197.840824 -198.932736
0	45	80	60	1	1	240	240	0	25	252	1	0	Left	10.42	4926.29	5178.29	197.840824 -198.932736,187.866986 -219.996157
0	46	60	58	1	1	390	390	0	28	404	1	0	Straight	0.0	5178.29	5582.29	187.866986 -219.996157,180.560072 -249.979885
0	47	58	54	1	0	0	0	0	9	0	0	0	Right	5.21	5587.5	5596.5	180.560072 -249.979885,175.734316 -244.908435
0	48	54	56	1	1	300	300	0	32	316	1	0	Right	5.21	5601.71	5917.71	175.734316 -244.908435,184.159249 -211.4768
0	49	56	78	1	1	330	330	0	32	346	1	0	Straight	0.0	5917.71	6263.71	184.159249 -211.4768,197.105412 -187.535191
0	50	78	80	1	1	90	90	0	11	95	0	0	U	41.682	6305.39	6316.39	197.105412 -187.535191,197.840824 -198.932736
0	51	80	76	1	1	100	100	0	9	104	1	0	Straight	0.0	6316.39	6420.39	197.840824 -198.932736,198.606754 -208.517093
0	52	76	82	1	0	0	0	0	9	0	0	0	Straight	0.0	6420.39	6429.39	198.606754 -208.517093,201.600518 -218.269834
0	53	82	70	1	1	120	120	0	14	127	1	0	Straight	0.0	6429.39	6556.39	201.600518 -218.269834,195.754399 -232.801778
0	54	70	66	1	1	190	190	0	22	201	1	0	Straight	0.0	6556.39	6757.39	195.754399 -232.801778,189.798695 -256.854281
0	55	66	64	1	0	0	0	0	8	0	0	0	Right	5.21	6762.6	6770.6	189.798695 -256.854281,185.152345 -254.808369
0	56	64	72	1	1	240	240	0	25	252	1	0	Right	5.21	6775.81	7027.81	185.152345 -254.808369,191.560068 -227.798017
