Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	Full MILP	10000	10000	3	28458.6	26873	7200.65	0	3	0.123085	1173.08	14364	0.0577012	0.184767	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	323.23 189.38,300.76 197.07
0	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	386.0	495.0	300.76 197.07,257.7 203.43
0	3	362	348	1	0	0	0	0	106	0	0	0	Right	6.924	501.924	607.924	257.7 203.43,233.52 238.76
0	4	348	246	1	0	0	0	0	74	0	0	0	Straight	0.0	607.924	681.924	233.52 238.76,234.48 281.83
0	5	246	1007	1	0	0	0	0	14	0	0	0	Straight	0.0	681.924	695.924	234.48 281.83,234.86 294.33
0	6	1007	589	1	0	0	0	0	15	0	0	0	Straight	0.0	695.924	710.924	234.86 294.33,232.54 304.45
0	7	589	758	1	0	0	0	0	32	0	0	0	Straight	0.0	710.924	742.924	232.54 304.45,229.03 315.14
0	8	758	556	1	0	0	0	0	18	0	0	0	Left	13.848	756.772	774.772	229.03 315.14,215.95 317.51
0	9	556	557	1	0	0	0	0	18	0	0	0	Right	6.924	781.696	799.696	215.95 317.51,215.13 326.24
0	10	557	832	1	0	0	0	0	49	0	0	0	Left	13.848	813.544	862.544	215.13 326.24,207.69 321.25
0	11	832	564	1	0	0	0	0	20	0	0	0	Right	6.924	869.468	889.468	207.69 321.25,201.84 322.97
0	12	564	565	1	1	115	115	0	21	131	1	0	Straight	0.0	889.468	1020.47	201.84 322.97,195.63 322.55
0	13	565	890	1	1	95	95	0	17	107	1	0	Straight	0.0	1020.47	1127.47	195.63 322.55,184.97 316.53
0	14	890	693	1	1	98	98	0	18	108	1	0	Straight	0.0	1127.47	1235.47	184.97 316.53,173.13 305.16
0	15	693	553	1	1	131	131	0	24	154	1	0	Straight	0.0	1235.47	1389.47	173.13 305.16,155.05 292.81
0	16	553	722	1	1	177	177	0	32	202	1	0	Straight	0.0	1389.47	1591.47	155.05 292.81,137.19 268.7
0	17	722	229	1	1	101	101	0	18	118	1	0	Straight	0.0	1591.47	1709.47	137.19 268.7,117.67 255.07
0	18	229	228	1	1	349	349	0	63	403	1	0	Straight	0.0	1709.47	2112.47	117.67 255.07,103.22 241.29
0	19	228	233	1	1	187	187	0	34	214	1	0	Straight	0.0	2112.47	2326.47	103.22 241.29,95.184 237.39
0	20	233	232	1	1	97	97	0	17	107	1	0	Straight	0.0	2326.47	2433.47	95.184 237.39,91.247 227.94
0	21	232	233	1	1	97	97	0	17	107	0	0	U	55.394	2488.86	2505.86	91.247 227.94,95.184 237.39
0	22	233	1015	1	1	81	81	0	15	95	1	0	Straight	0.0	2505.86	2600.86	95.184 237.39,97.874 245.4
0	23	1015	875	1	1	472	472	0	85	555	1	0	Straight	0.0	2600.86	3155.86	97.874 245.4,106.62 250.97
0	24	875	229	1	1	103	103	0	18	118	1	0	Straight	0.0	3155.86	3273.86	106.62 250.97,117.67 255.07
0	25	229	722	1	1	101	101	0	18	118	0	0	Straight	0.0	3273.86	3291.86	117.67 255.07,137.19 268.7
0	26	722	1036	1	1	17	17	0	3	13	1	0	Right	6.924	3298.79	3311.79	137.19 268.7,137.0 249.15
0	27	1036	722	1	1	17	17	0	3	13	0	0	U	55.394	3367.18	3370.18	137.0 249.15,137.19 268.7
0	28	722	229	1	1	101	101	0	18	118	0	0	Left	13.848	3384.03	3402.03	137.19 268.7,117.67 255.07
0	29	229	228	1	1	349	349	0	63	403	0	0	Straight	0.0	3402.03	3465.03	117.67 255.07,103.22 241.29
0	30	228	232	1	1	226	226	0	41	261	1	0	Straight	0.0	3465.03	3726.03	103.22 241.29,91.247 227.94
0	31	232	239	1	1	150	150	0	27	177	1	0	Straight	0.0	3726.03	3903.03	91.247 227.94,80.941 211.24
0	32	239	1037	1	1	332	332	0	60	390	0	0	Right	6.924	3909.95	3969.95	80.941 211.24,73.249 211.49
