Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	3	29074.9	27420	13.62	1.985	3	0.0715721	1119.77	14080	0.0448787	0.185549	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	323.23 189.38,300.76 197.07
0	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	386.0	495.0	300.76 197.07,257.7 203.43
0	3	362	363	1	1	120	120	0	22	142	1	0	Left	13.848	508.848	650.848	257.7 203.43,239.92 172.8
0	4	363	372	1	1	110	110	0	20	130	1	0	Straight	0.0	650.848	780.848	239.92 172.8,215.98 154.44
0	5	372	713	1	1	298	298	0	54	344	1	0	Straight	0.0	780.848	1124.85	215.98 154.44,191.92 137.98
0	6	713	372	1	1	298	298	0	54	344	0	0	U	55.394	1180.24	1234.24	191.92 137.98,215.98 154.44
0	7	372	363	1	1	110	110	0	20	130	0	0	Straight	0.0	1234.24	1254.24	215.98 154.44,239.92 172.8
0	8	363	638	1	1	78	78	0	14	84	1	0	Right	6.924	1261.17	1345.17	239.92 172.8,244.84 150.87
0	9	638	639	1	1	134	134	0	24	154	1	0	Straight	0.0	1345.17	1499.17	244.84 150.87,246.95 134.26
0	10	639	815	1	1	126	126	0	23	143	1	0	Straight	0.0	1499.17	1642.17	246.95 134.26,248.19 121.53
0	11	815	639	1	1	126	126	0	23	143	0	0	U	55.394	1697.56	1720.56	248.19 121.53,246.95 134.26
0	12	639	638	1	1	134	134	0	24	154	0	0	Straight	0.0	1720.56	1744.56	246.95 134.26,244.84 150.87
0	13	638	363	1	1	78	78	0	14	84	0	0	Straight	0.0	1744.56	1758.56	244.84 150.87,239.92 172.8
0	14	363	362	1	1	120	120	0	22	142	0	0	Straight	0.0	1758.56	1780.56	239.92 172.8,257.7 203.43
0	15	362	657	1	0	0	0	0	109	0	0	0	Right	6.924	1787.48	1896.48	257.7 203.43,300.76 197.07
0	16	657	678	1	0	0	0	0	7	0	0	0	Straight	0.0	1896.48	1903.48	300.76 197.07,323.23 189.38
0	17	678	1063	1	0	0	0	0	79	0	0	0	Straight	0.0	1903.48	1982.48	323.23 189.38,327.48 185.13
1	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	2282.48	2361.48	327.48 185.13,323.23 189.38
1	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	2361.48	2368.48	323.23 189.38,300.76 197.07
1	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	2368.48	2477.48	300.76 197.07,257.7 203.43
1	3	362	951	1	1	190	190	0	34	224	1	0	Straight	0.0	2477.48	2701.48	257.7 203.43,244.09 193.58
1	4	951	698	1	1	252	252	0	45	295	1	0	Right	6.924	2708.41	3003.41	244.09 193.58,237.59 197.02
1	5	698	697	1	1	162	162	0	29	189	1	0	Left	13.848	3017.26	3206.26	237.59 197.02,240.84 186.31
1	6	697	769	1	1	319	319	0	57	367	1	0	Left	13.848	3220.1	3587.1	240.84 186.31,249.27 186.62
1	7	769	768	1	1	173	173	0	31	201	1	0	Straight	0.0	3587.1	3788.1	249.27 186.62,260.2 177.52
1	8	768	687	1	1	110	110	0	20	130	1	0	Straight	0.0	3788.1	3918.1	260.2 177.52,270.79 165.43
1	9	687	421	1	1	435	435	0	78	508	1	0	Straight	0.0	3918.1	4426.1	270.79 165.43,283.1 157.74
1	10	421	662	1	1	75	75	0	13	83	1	0	Straight	0.0	4426.1	4509.1	283.1 157.74,290.57 148.61
1	11	662	414	1	1	208	208	0	37	237	1	0	Left	13.848	4522.95	4759.95	290.57 148.61,297.26 148.77
1	12	414	748	1	1	171	171	0	31	201	1	0	U	55.394	4815.35	5016.35	297.26 148.77,292.45 152.63
1	13	748	656	1	1	69	69	0	12	72	1	0	Straight	0.0	5016.35	5088.35	292.45 152.63,288.71 165.77
1	14	656	416	1	1	100	100	0	18	118	0	0	Right	6.924	5095.27	5113.27	288.71 165.77,297.14 162.55
