Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	32308.9	29927	13.7912	0	1.22727	0.683688	2245.53	38934	0.164164	1.2436	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	323.23 189.38,300.76 197.07
0	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	386.0	495.0	300.76 197.07,257.7 203.43
0	3	362	951	1	0	0	0	0	34	0	0	0	Straight	0.0	495.0	529.0	257.7 203.43,244.09 193.58
0	4	951	878	1	0	0	0	0	18	0	0	0	Straight	0.0	529.0	547.0	244.09 193.58,240.87 180.36
0	5	878	1001	1	1	177	177	0	32	202	1	0	Straight	0.0	547.0	749.0	240.87 180.36,238.61 168.2
0	6	1001	700	1	0	0	0	0	60	0	0	0	Left	13.848	762.848	822.848	238.61 168.2,241.87 166.72
0	7	700	879	1	0	0	0	0	19	0	0	0	Straight	0.0	822.848	841.848	241.87 166.72,245.38 160.08
0	8	879	406	1	0	0	0	0	21	0	0	0	Left	13.848	855.696	876.696	245.38 160.08,252.07 158.52
0	9	406	405	1	0	0	0	0	29	0	0	0	Left	13.848	890.544	919.544	252.07 158.52,258.72 164.65
0	10	405	768	1	0	0	0	0	29	0	0	0	Straight	0.0	919.544	948.544	258.72 164.65,260.2 177.52
0	11	768	655	1	0	0	0	0	16	0	0	0	Straight	0.0	948.544	964.544	260.2 177.52,260.11 193.48
0	12	655	401	1	1	226	226	0	41	261	1	0	Straight	0.0	964.544	1225.54	260.11 193.48,260.38 209.65
0	13	401	400	1	0	0	0	0	41	0	0	0	Straight	0.0	1225.54	1266.54	260.38 209.65,251.8 231.41
0	14	400	640	0	0	0	0	0	93	0	0	0	Right	6.924	1273.47	1366.47	251.8 231.41,268.41 233.43
0	15	640	708	0	1	53	53	0	19	119	1	0	Straight	0.0	1366.47	1485.47	268.41 233.43,280.11 227.81
0	16	708	402	0	0	0	0	0	31	0	0	0	Straight	0.0	1485.47	1516.47	280.11 227.81,289.97 213.0
0	17	402	403	0	0	0	0	0	27	0	0	0	U	55.394	1571.86	1598.86	289.97 213.0,289.5 228.16
0	18	403	716	0	0	0	0	0	15	0	0	0	Straight	0.0	1598.86	1613.86	289.5 228.16,287.74 243.57
0	19	716	801	0	0	0	0	0	2	0	0	0	Straight	0.0	1613.86	1615.86	287.74 243.57,290.76 259.43
0	20	801	315	0	0	0	0	0	87	0	0	0	Straight	0.0	1615.86	1702.86	290.76 259.43,300.71 274.42
0	21	315	316	0	0	0	0	0	12	0	0	0	Straight	0.0	1702.86	1714.86	300.71 274.42,307.14 287.62
0	22	316	296	1	1	62	62	0	11	71	1	0	U	55.394	1770.26	1841.26	307.14 287.62,308.91 281.33
0	23	296	297	1	1	41	41	0	7	47	1	0	Left	13.848	1855.1	1902.1	308.91 281.33,318.46 285.66
0	24	297	967	0	1	144	144	0	26	166	1	0	Left	13.848	1915.95	2081.95	318.46 285.66,317.26 297.11
0	25	967	245	0	0	0	0	0	104	0	0	0	Straight	0.0	2081.95	2185.95	317.26 297.11,324.66 312.13
0	26	245	237	0	0	0	0	0	16	0	0	0	Straight	0.0	2185.95	2201.95	324.66 312.13,328.37 325.75
0	27	237	234	0	0	0	0	0	2	0	0	0	Straight	0.0	2201.95	2203.95	328.37 325.75,336.09 341.84
0	28	234	235	0	0	0	0	0	61	0	0	0	Straight	0.0	2203.95	2264.95	336.09 341.84,341.28 360.03
0	29	235	204	0	0	0	0	0	5	0	0	0	Straight	0.0	2264.95	2269.95	341.28 360.03,343.14 380.64
0	30	204	743	0	0	0	0	0	40	0	0	0	Straight	0.0	2269.95	2309.95	343.14 380.64,341.55 398.74
0	31	743	172	0	1	85	85	0	30	190	1	0	Straight	0.0	2309.95	2499.95	341.55 398.74,336.41 411.28
0	32	172	173	0	0	0	0	0	38	0	0	0	Straight	0.0	2499.95	2537.95	336.41 411.28,328.37 423.08
