Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	30311.1	27583	368.924	1.317	1.16667	0.000480335	670.981	17082.5	0.129603	0.190139	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	323.23 189.38,300.76 197.07
0	2	657	675	0	0	0	0	0	14	0	0	0	U	55.394	441.394	455.394	300.76 197.07,334.73 191.27
0	3	675	749	0	0	0	0	0	515	0	0	0	Straight	0.0	455.394	970.394	334.73 191.27,368.66 185.5
0	4	749	746	0	0	0	0	0	79	0	0	0	Straight	0.0	970.394	1049.39	368.66 185.5,402.33 180.38
0	5	746	747	0	0	0	0	0	128	0	0	0	Straight	0.0	1049.39	1177.39	402.33 180.38,435.89 175.7
0	6	747	767	0	0	0	0	0	46	0	0	0	Straight	0.0	1177.39	1223.39	435.89 175.7,469.4 171.38
0	7	767	704	1	0	0	0	0	137	0	0	0	Straight	0.0	1223.39	1360.39	469.4 171.38,505.47 170.09
0	8	704	213	1	0	0	0	0	7	0	0	0	Straight	0.0	1360.39	1367.39	505.47 170.09,541.07 188.18
0	9	213	136	1	0	0	0	0	154	0	0	0	Straight	0.0	1367.39	1521.39	541.07 188.18,575.9 207.38
0	10	136	135	1	1	385	385	0	69	449	1	0	Straight	0.0	1521.39	1970.39	575.9 207.38,587.02 204.65
0	11	135	920	1	1	51	51	0	9	59	0	0	Right	6.924	1977.32	1986.32	587.02 204.65,592.38 185.82
0	12	920	793	1	1	56	56	0	10	60	1	0	Straight	0.0	1986.32	2046.32	592.38 185.82,595.05 167.59
0	13	793	157	1	1	54	54	0	10	60	1	0	Straight	0.0	2046.32	2106.32	595.05 167.59,594.33 152.01
0	14	157	681	1	1	61	61	0	11	71	1	0	Straight	0.0	2106.32	2177.32	594.33 152.01,595.12 142.05
0	15	681	682	1	1	57	57	0	10	60	1	0	Straight	0.0	2177.32	2237.32	595.12 142.05,596.52 133.47
0	16	682	162	1	1	221	221	0	40	260	1	0	Straight	0.0	2237.32	2497.32	596.52 133.47,593.11 128.25
0	17	162	163	1	1	52	52	0	9	59	1	0	Right	6.924	2504.24	2563.24	593.11 128.25,590.09 133.93
0	18	163	770	1	1	92	92	0	17	107	1	0	Straight	0.0	2563.24	2670.24	590.09 133.93,590.28 142.66
0	19	770	157	1	1	55	55	0	10	60	1	0	Straight	0.0	2670.24	2730.24	590.28 142.66,594.33 152.01
0	20	157	158	1	1	53	53	0	10	60	1	0	Right	6.924	2737.17	2797.17	594.33 152.01,600.53 146.43
0	21	158	896	1	1	45	45	0	8	48	1	0	Straight	0.0	2797.17	2845.17	600.53 146.43,606.65 142.55
0	22	896	148	1	1	81	81	0	15	95	1	0	Left	13.848	2859.01	2954.01	606.65 142.55,611.38 145.27
0	23	148	149	1	1	34	34	0	6	36	1	0	Right	6.924	2960.94	2996.94	611.38 145.27,616.27 139.37
0	24	149	148	1	1	34	34	0	6	36	0	0	U	55.394	3052.33	3058.33	616.27 139.37,611.38 145.27
0	25	148	827	1	1	112	112	0	20	130	1	0	Straight	0.0	3058.33	3188.33	611.38 145.27,607.74 152.62
0	26	827	794	1	1	33	33	0	6	36	1	0	Straight	0.0	3188.33	3224.33	607.74 152.62,601.67 159.89
0	27	794	793	1	1	78	78	0	14	84	1	0	Straight	0.0	3224.33	3308.33	601.67 159.89,595.05 167.59
0	28	793	920	1	1	56	56	0	10	60	0	0	Straight	0.0	3308.33	3318.33	595.05 167.59,592.38 185.82
0	29	920	1021	1	1	113	113	0	20	130	1	0	Right	6.924	3325.26	3455.26	592.38 185.82,600.22 182.08
0	30	1021	1022	1	1	55	55	0	10	60	1	0	Right	6.924	3462.18	3522.18	600.22 182.08,600.17 176.66
0	31	1022	1021	1	1	55	55	0	10	60	0	0	U	55.394	3577.57	3587.57	600.17 176.66,600.22 182.08
0	32	1021	495	1	1	64	64	0	12	72	0	0	Right	6.924	3594.5	3606.5	600.22 182.08,608.36 180.59
