Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	Full MILP	10000	10000	1	8354.44	7572	7209.73	0	1	0	346.977	1748	0.0631918	0	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	323.23 189.38,300.76 197.07
0	2	657	675	0	0	0	0	0	14	0	0	0	U	55.394	441.394	455.394	300.76 197.07,334.73 191.27
0	3	675	749	0	0	0	0	0	515	0	0	0	Straight	0.0	455.394	970.394	334.73 191.27,368.66 185.5
0	4	749	746	0	0	0	0	0	79	0	0	0	Straight	0.0	970.394	1049.39	368.66 185.5,402.33 180.38
0	5	746	747	0	0	0	0	0	128	0	0	0	Straight	0.0	1049.39	1177.39	402.33 180.38,435.89 175.7
0	6	747	767	0	0	0	0	0	46	0	0	0	Straight	0.0	1177.39	1223.39	435.89 175.7,469.4 171.38
0	7	767	704	1	0	0	0	0	137	0	0	0	Straight	0.0	1223.39	1360.39	469.4 171.38,505.47 170.09
0	8	704	213	1	0	0	0	0	7	0	0	0	Straight	0.0	1360.39	1367.39	505.47 170.09,541.07 188.18
0	9	213	136	1	0	0	0	0	154	0	0	0	Straight	0.0	1367.39	1521.39	541.07 188.18,575.9 207.38
0	10	136	104	1	0	0	0	0	87	0	0	0	Straight	0.0	1521.39	1608.39	575.9 207.38,608.43 228.15
0	11	104	447	1	0	0	0	0	81	0	0	0	Right	6.924	1615.32	1696.32	608.43 228.15,649.94 210.95
0	12	447	826	1	0	0	0	0	25	0	0	0	Straight	0.0	1696.32	1721.32	649.94 210.95,684.71 196.04
0	13	826	485	1	0	0	0	0	20	0	0	0	Straight	0.0	1721.32	1741.32	684.71 196.04,719.61 182.35
0	14	485	734	1	0	0	0	0	71	0	0	0	Straight	0.0	1741.32	1812.32	719.61 182.35,753.43 170.45
0	15	734	508	1	1	82	82	0	15	95	0	0	Straight	0.0	1812.32	1827.32	753.43 170.45,769.2 151.07
0	16	508	509	1	1	94	94	0	17	107	1	0	Straight	0.0	1827.32	1934.32	769.2 151.07,780.72 133.88
0	17	509	516	1	1	56	56	0	10	60	1	0	Straight	0.0	1934.32	1994.32	780.72 133.88,793.23 120.29
0	18	516	808	1	1	56	56	0	10	60	0	0	Straight	0.0	1994.32	2004.32	793.23 120.29,805.37 108.05
0	19	808	807	1	1	51	51	0	9	59	0	0	Straight	0.0	2004.32	2013.32	805.37 108.05,817.04 96.724
0	20	807	691	1	1	58	58	0	11	61	1	0	Straight	0.0	2013.32	2074.32	817.04 96.724,828.07 86.244
0	21	691	692	1	1	57	57	0	10	60	1	0	Straight	0.0	2074.32	2134.32	828.07 86.244,838.62 76.343
0	22	692	202	1	1	145	145	0	26	166	1	0	Straight	0.0	2134.32	2300.32	838.62 76.343,848.72 70.527
0	23	202	1011	1	1	45	45	0	8	48	1	0	Straight	0.0	2300.32	2348.32	848.72 70.527,858.67 66.959
0	24	1011	924	1	1	121	121	0	22	142	1	0	Straight	0.0	2348.32	2490.32	858.67 66.959,862.2 59.994
0	25	924	541	1	1	43	43	0	8	48	0	0	Right	6.924	2497.24	2505.24	862.2 59.994,855.84 56.858
0	26	541	201	1	1	83	83	0	15	95	1	0	Right	6.924	2512.17	2607.17	855.84 56.858,848.67 63.404
0	27	201	1027	1	1	221	221	0	40	260	0	0	Straight	0.0	2607.17	2647.17	848.67 63.404,842.15 68.197
0	28	1027	201	1	1	221	221	0	40	260	1	0	U	55.394	2702.56	2962.56	842.15 68.197,848.67 63.404
0	29	201	541	1	1	83	83	0	15	95	0	0	Straight	0.0	2962.56	2977.56	848.67 63.404,855.84 56.858
0	30	541	542	1	1	70	70	0	13	83	1	0	Straight	0.0	2977.56	3060.56	855.84 56.858,858.38 49.713
0	31	542	541	1	1	70	70	0	13	83	0	0	U	55.394	3115.95	3128.95	858.38 49.713,855.84 56.858
0	32	541	924	1	1	43	43	0	8	48	1	0	Right	6.924	3135.88	3183.88	855.84 56.858,862.2 59.994
