Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	1	19586.4	18026	360.756	0	1	0	2066.15	24622	0.0412995	0	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	2277	922	1	0	0	0	0	91	0	0	300		0.0	300.0	391.0	360.38 280.33,363.4 284.32
0	1	922	923	1	0	0	0	0	20	0	0	0	Straight	0.0	391.0	411.0	363.4 284.32,367.72 288.77
0	2	923	2011	1	0	0	0	0	100	0	0	0	Straight	0.0	411.0	511.0	367.72 288.77,372.78 294.49
0	3	2011	1004	1	0	0	0	0	249	0	0	0	Straight	0.0	511.0	760.0	372.78 294.49,378.59 301.43
0	4	1004	1528	1	0	0	0	0	24	0	0	0	Straight	0.0	760.0	784.0	378.59 301.43,385.69 307.89
0	5	1528	611	0	0	0	0	0	16	0	0	0	Straight	0.0	784.0	800.0	385.69 307.89,386.97 314.45
0	6	611	610	1	0	0	0	0	13	0	0	0	Straight	0.0	800.0	813.0	386.97 314.45,383.27 322.52
0	7	610	951	1	0	0	0	0	5	0	0	0	Straight	0.0	813.0	818.0	383.27 322.52,362.6 336.16
0	8	951	561	1	0	0	0	0	65	0	0	0	Straight	0.0	818.0	883.0	362.6 336.16,341.6 352.6
0	9	561	900	1	0	0	0	0	83	0	0	0	Straight	0.0	883.0	966.0	341.6 352.6,313.77 368.79
0	10	900	1553	1	0	0	0	0	42	0	0	0	Straight	0.0	966.0	1008.0	313.77 368.79,285.87 384.49
0	11	1553	2313	1	0	0	0	0	55	0	0	0	Straight	0.0	1008.0	1063.0	285.87 384.49,258.18 400.59
0	12	2313	1965	1	0	0	0	0	155	0	0	0	Straight	0.0	1063.0	1218.0	258.18 400.59,235.22 422.08
0	13	1965	1625	1	0	0	0	0	29	0	0	0	U	57.264	1275.26	1304.26	235.22 422.08,238.33 396.48
0	14	1625	590	0	0	0	0	0	6	0	0	0	Straight	0.0	1304.26	1310.26	238.33 396.48,241.2 373.74
