Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	Full MILP	10000	10000	2	33827.3	31333	7200.7	0	1.05882	0.525009	1687.68	24754.5	0.229678	2.66061	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	379.09 271.73,393.81 293.84
0	4	1684	1721	0	0	0	0	0	152	0	0	0	Straight	0.0	482.695	634.695	393.81 293.84,413.37 313.35
0	5	1721	1587	0	0	0	0	0	121	0	0	0	Straight	0.0	634.695	755.695	413.37 313.35,435.11 331.04
0	6	1587	281	0	0	0	0	0	54	0	0	0	Straight	0.0	755.695	809.695	435.11 331.04,459.71 345.2
0	7	281	707	0	0	0	0	0	8	0	0	0	Straight	0.0	809.695	817.695	459.71 345.2,472.62 354.79
0	8	707	703	0	0	0	0	0	5	0	0	0	Straight	0.0	817.695	822.695	472.62 354.79,485.13 364.6
0	9	703	698	0	0	0	0	0	5	0	0	0	Straight	0.0	822.695	827.695	485.13 364.6,504.74 377.85
0	10	698	1946	0	0	0	0	0	6	0	0	0	Straight	0.0	827.695	833.695	504.74 377.85,513.15 392.61
0	11	1946	1607	0	0	0	0	0	13	0	0	0	Straight	0.0	833.695	846.695	513.15 392.61,521.02 407.56
0	12	1607	1326	0	0	0	0	0	24	0	0	0	Straight	0.0	846.695	870.695	521.02 407.56,530.55 425.07
0	13	1326	1323	1	1	170	170	0	31	201	1	0	Right	5.695	876.39	1077.39	530.55 425.07,538.85 417.16
0	14	1323	1327	1	1	216	216	0	39	249	0	0	Left	11.389	1088.78	1127.78	538.85 417.16,550.44 438.36
0	15	1327	1342	1	1	1636	1636	0	294	1924	0	0	Straight	0.0	1127.78	1421.78	550.44 438.36,554.69 468.38
0	16	1342	58	1	0	0	0	0	17	0	0	0	Straight	0.0	1421.78	1438.78	554.69 468.38,557.21 492.35
0	17	58	52	1	0	0	0	0	37	0	0	0	Straight	0.0	1438.78	1475.78	557.21 492.35,564.95 503.62
0	18	52	50	1	0	0	0	0	36	0	0	0	Straight	0.0	1475.78	1511.78	564.95 503.62,567.06 515.95
0	19	50	51	1	0	0	0	0	8	0	0	0	Straight	0.0	1511.78	1519.78	567.06 515.95,567.21 524.69
0	20	51	394	1	0	0	0	0	18	0	0	0	Straight	0.0	1519.78	1537.78	567.21 524.69,569.18 532.44
0	21	394	53	1	0	0	0	0	10	0	0	0	Straight	0.0	1537.78	1547.78	569.18 532.44,569.52 539.92
0	22	53	391	1	0	0	0	0	39	0	0	0	Straight	0.0	1547.78	1586.78	569.52 539.92,563.33 553.31
0	23	391	1821	1	0	0	0	0	35	0	0	0	Straight	0.0	1586.78	1621.78	563.33 553.31,556.49 565.17
0	24	1821	23	1	0	0	0	0	205	0	0	0	Straight	0.0	1621.78	1826.78	556.49 565.17,544.61 585.63
0	25	23	1404	1	0	0	0	0	10	0	0	0	Straight	0.0	1826.78	1836.78	544.61 585.63,534.42 601.46
0	26	1404	215	1	0	0	0	0	138	0	0	0	Straight	0.0	1836.78	1974.78	534.42 601.46,525.0 618.68
0	27	215	1331	1	0	0	0	0	166	0	0	0	Left	11.389	1986.17	2152.17	525.0 618.68,515.69 598.29
0	28	1331	1366	1	0	0	0	0	10	0	0	0	Right	5.695	2157.86	2167.86	515.69 598.29,489.62 605.1
0	29	1366	1793	1	0	0	0	0	123	0	0	0	Straight	0.0	2167.86	2290.86	489.62 605.1,462.73 614.66
0	30	1793	1357	1	0	0	0	0	2	0	0	0	Straight	0.0	2290.86	2292.86	462.73 614.66,451.88 617.75
0	31	1357	1356	1	1	481	481	0	87	567	1	0	Left	11.389	2304.25	2871.25	451.88 617.75,449.64 614.16
0	32	1356	1357	1	1	481	481	0	87	567	0	0	U	45.557	2916.81	3003.81	449.64 614.16,451.88 617.75
0	33	1357	1793	1	0	0	0	0	2	0	0	0	Right	5.695	3009.5	3011.5	451.88 617.75,462.73 614.66
0	34	1793	1366	1	0	0	0	0	123	0	0	0	Straight	0.0	3011.5	3134.5	462.73 614.66,489.62 605.1
0	35	1366	1331	1	0	0	0	0	10	0	0	0	Straight	0.0	3134.5	3144.5	489.62 605.1,515.69 598.29
0	36	1331	215	1	0	0	0	0	166	0	0	0	Left	11.389	3155.89	3321.89	515.69 598.29,525.0 618.68
