Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	27926.6	26782	723.903	2.406	1.16667	0.0877713	825.679	13926.5	0.0706701	1.37286	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	379.09 271.73,393.81 293.84
0	4	1684	1721	0	0	0	0	0	152	0	0	0	Straight	0.0	482.695	634.695	393.81 293.84,413.37 313.35
0	5	1721	1587	0	0	0	0	0	121	0	0	0	Straight	0.0	634.695	755.695	413.37 313.35,435.11 331.04
0	6	1587	281	0	0	0	0	0	54	0	0	0	Straight	0.0	755.695	809.695	435.11 331.04,459.71 345.2
0	7	281	707	0	0	0	0	0	8	0	0	0	Straight	0.0	809.695	817.695	459.71 345.2,472.62 354.79
0	8	707	703	0	0	0	0	0	5	0	0	0	Straight	0.0	817.695	822.695	472.62 354.79,485.13 364.6
0	9	703	698	0	0	0	0	0	5	0	0	0	Straight	0.0	822.695	827.695	485.13 364.6,504.74 377.85
0	10	698	1946	0	0	0	0	0	6	0	0	0	Straight	0.0	827.695	833.695	504.74 377.85,513.15 392.61
0	11	1946	1607	0	0	0	0	0	13	0	0	0	Straight	0.0	833.695	846.695	513.15 392.61,521.02 407.56
0	12	1607	1326	0	0	0	0	0	24	0	0	0	Straight	0.0	846.695	870.695	521.02 407.56,530.55 425.07
0	13	1326	641	1	0	0	0	0	21	0	0	0	Straight	0.0	870.695	891.695	530.55 425.07,540.53 441.93
0	14	641	173	1	0	0	0	0	40	0	0	0	Straight	0.0	891.695	931.695	540.53 441.93,551.7 453.38
0	15	173	163	1	0	0	0	0	19	0	0	0	Straight	0.0	931.695	950.695	551.7 453.38,563.98 460.37
0	16	163	1885	1	0	0	0	0	19	0	0	0	Straight	0.0	950.695	969.695	563.98 460.37,576.62 462.44
0	17	1885	1840	1	1	106	106	0	19	119	1	0	Straight	0.0	969.695	1088.69	576.62 462.44,582.04 465.92
0	18	1840	2093	1	1	142	142	0	26	166	1	0	Left	11.389	1100.08	1266.08	582.04 465.92,579.39 471.02
0	19	2093	1798	1	1	163	163	0	29	189	1	0	Right	5.695	1271.78	1460.78	579.39 471.02,583.69 473.31
0	20	1798	1568	1	1	151	151	0	27	177	1	0	Right	5.695	1466.47	1643.47	583.69 473.31,587.44 471.19
0	21	1568	1567	1	1	54	54	0	10	60	1	0	Straight	0.0	1643.47	1703.47	587.44 471.19,588.49 468.3
0	22	1567	1840	1	1	260	260	0	47	307	1	0	Right	5.695	1709.17	2016.17	588.49 468.3,582.04 465.92
0	23	1840	2093	1	1	142	142	0	26	166	0	0	Right	5.695	2021.86	2047.86	582.04 465.92,579.39 471.02
0	24	2093	576	1	1	152	152	0	27	177	1	0	Straight	0.0	2047.86	2224.86	579.39 471.02,574.49 475.76
0	25	576	164	1	1	104	104	0	19	119	1	0	Left	11.389	2236.25	2355.25	574.49 475.76,565.53 469.99
0	26	164	183	1	1	106	106	0	19	119	1	0	Right	5.695	2360.95	2479.95	565.53 469.99,557.1 474.55
0	27	183	1509	1	1	105	105	0	19	119	1	0	Right	5.695	2485.64	2604.64	557.1 474.55,562.28 488.01
0	28	1509	174	1	1	100	100	0	18	118	1	0	Left	11.389	2616.03	2734.03	562.28 488.01,550.16 491.34
0	29	174	1632	1	1	293	293	0	53	343	1	0	Straight	0.0	2734.03	3077.03	550.16 491.34,541.65 491.74
0	30	1632	166	1	1	98	98	0	18	108	1	0	Straight	0.0	3077.03	3185.03	541.65 491.74,534.45 499.43
0	31	166	165	1	1	119	119	0	22	132	1	0	Right	5.695	3190.73	3322.73	534.45 499.43,541.45 505.27
0	32	165	1348	1	0	0	0	0	9	0	0	0	Straight	0.0	3322.73	3331.73	541.45 505.27,543.19 514.31
0	33	1348	152	1	0	0	0	0	11	0	0	0	Straight	0.0	3331.73	3342.73	543.19 514.31,557.03 525.39
0	34	152	541	1	0	0	0	0	21	0	0	0	Right	5.695	3348.42	3369.42	557.03 525.39,562.62 521.11
0	35	541	1966	1	0	0	0	0	22	0	0	0	Left	11.389	3380.81	3402.81	562.62 521.11,569.41 522.94
0	36	1966	534	1	0	0	0	0	70	0	0	0	Right	5.695	3408.51	3478.51	569.41 522.94,571.53 511.69
