Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	35076.8	28676	103.363	0	1.27273	0.364805	915.063	29328.5	0.28857	1.41644	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	1084	1	0	0	0	0	544	0	0	300		0.0	300.0	844.0	446.0 251.77,472.41 259.17
0	1	1084	710	1	0	0	0	0	6	0	0	0	Straight	0.0	844.0	850.0	472.41 259.17,492.08 262.01
0	2	710	1790	1	0	0	0	0	15	0	0	0	Straight	0.0	850.0	865.0	492.08 262.01,512.21 263.69
0	3	1790	1536	1	0	0	0	0	2	0	0	0	Straight	0.0	865.0	867.0	512.21 263.69,528.75 266.95
0	4	1536	1537	0	0	0	0	0	20	0	0	0	Straight	0.0	867.0	887.0	528.75 266.95,548.05 280.18
0	5	1537	695	0	0	0	0	0	5	0	0	0	Straight	0.0	887.0	892.0	548.05 280.18,574.53 280.89
0	6	695	1047	0	0	0	0	0	69	0	0	0	Straight	0.0	892.0	961.0	574.53 280.89,602.27 269.26
0	7	1047	693	1	1	7	7	0	1	1	1	0	Left	11.389	972.389	973.389	602.27 269.26,605.14 281.85
0	8	693	1654	1	1	208	208	0	37	237	1	0	Right	5.695	979.084	1216.08	605.14 281.85,638.5 271.88
0	9	1654	1653	1	1	115	115	0	21	131	1	0	Straight	0.0	1216.08	1347.08	638.5 271.88,665.81 266.92
0	10	1653	1792	1	1	358	358	0	64	414	1	0	Straight	0.0	1347.08	1761.08	665.81 266.92,691.95 260.61
0	11	1792	1444	1	1	249	249	0	45	285	1	0	Straight	0.0	1761.08	2046.08	691.95 260.61,716.09 251.06
0	12	1444	1445	1	1	70	70	0	13	83	1	0	Straight	0.0	2046.08	2129.08	716.09 251.06,721.37 250.72
0	13	1445	945	1	1	54	54	0	10	60	1	0	Straight	0.0	2129.08	2189.08	721.37 250.72,730.09 251.37
0	14	945	946	1	1	123	123	0	22	142	1	0	Straight	0.0	2189.08	2331.08	730.09 251.37,735.35 253.43
0	15	946	945	1	1	123	123	0	22	142	0	0	U	45.557	2376.64	2398.64	735.35 253.43,730.09 251.37
0	16	945	2012	1	1	45	45	0	8	48	1	0	U	45.557	2444.2	2492.2	730.09 251.37,735.43 249.78
0	17	2012	945	1	1	45	45	0	8	48	0	0	U	45.557	2537.75	2545.75	735.43 249.78,730.09 251.37
0	18	945	1445	1	1	54	54	0	10	60	0	0	Straight	0.0	2545.75	2555.75	730.09 251.37,721.37 250.72
