Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	29105.6	26600	378.217	2.268	1	0	937.254	20420.5	0.0588918	0.0911333	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	616	1	0	0	0	0	3	0	0	0	Straight	0.0	419.0	422.0	379.09 271.73,363.03 281.58
0	4	616	607	1	0	0	0	0	22	0	0	0	Straight	0.0	422.0	444.0	363.03 281.58,341.47 281.28
0	5	607	593	1	0	0	0	0	30	0	0	0	Straight	0.0	444.0	474.0	341.47 281.28,320.19 279.47
0	6	593	1810	1	0	0	0	0	102	0	0	0	Straight	0.0	474.0	576.0	320.19 279.47,305.23 270.08
0	7	1810	686	1	0	0	0	0	35	0	0	0	Right	5.695	581.695	616.695	305.23 270.08,289.24 278.95
0	8	686	687	1	0	0	0	0	26	0	0	0	Straight	0.0	616.695	642.695	289.24 278.95,276.65 288.35
0	9	687	653	1	0	0	0	0	26	0	0	0	Straight	0.0	642.695	668.695	276.65 288.35,264.35 300.32
0	10	653	1501	1	0	0	0	0	25	0	0	0	Straight	0.0	668.695	693.695	264.35 300.32,254.22 311.8
0	11	1501	647	1	0	0	0	0	26	0	0	0	Straight	0.0	693.695	719.695	254.22 311.8,237.65 320.09
0	12	647	750	1	0	0	0	0	36	0	0	0	Straight	0.0	719.695	755.695	237.65 320.09,212.3 331.82
0	13	750	980	1	0	0	0	0	85	0	0	0	Straight	0.0	755.695	840.695	212.3 331.82,200.54 354.2
0	14	980	970	1	1	198	198	0	36	226	1	0	Right	5.695	846.39	1072.39	200.54 354.2,211.4 361.91
0	15	970	1555	1	0	0	0	0	72	0	0	0	Straight	0.0	1072.39	1144.39	211.4 361.91,215.08 373.77
0	16	1555	1554	1	0	0	0	0	26	0	0	0	Straight	0.0	1144.39	1170.39	215.08 373.77,220.86 386.83
0	17	1554	893	0	0	0	0	0	67	0	0	0	Right	5.695	1176.09	1243.09	220.86 386.83,241.32 390.94
0	18	893	477	0	1	128	128	0	23	143	1	0	Right	5.695	1248.78	1391.78	241.32 390.94,247.76 376.52
0	19	477	425	0	0	0	0	0	4	0	0	0	Left	11.389	1403.17	1407.17	247.76 376.52,252.31 386.31
0	20	425	424	0	0	0	0	0	20	0	0	0	Straight	0.0	1407.17	1427.17	252.31 386.31,257.75 396.33
0	21	424	408	0	0	0	0	0	2	0	0	0	Straight	0.0	1427.17	1429.17	257.75 396.33,259.57 409.9
0	22	408	1526	0	0	0	0	0	71	0	0	0	Straight	0.0	1429.17	1500.17	259.57 409.9,253.73 426.6
0	23	1526	312	0	0	0	0	0	67	0	0	0	Straight	0.0	1500.17	1567.17	253.73 426.6,254.45 442.65
0	24	312	310	0	0	0	0	0	4	0	0	0	Straight	0.0	1567.17	1571.17	254.45 442.65,257.18 455.6
0	25	310	311	0	0	0	0	0	51	0	0	0	Straight	0.0	1571.17	1622.17	257.18 455.6,261.6 470.86
0	26	311	1984	0	0	0	0	0	28	0	0	0	Straight	0.0	1622.17	1650.17	261.6 470.86,269.75 485.78
0	27	1984	727	1	0	0	0	0	27	0	0	0	Left	11.389	1661.56	1688.56	269.75 485.78,259.71 490.35
0	28	727	279	1	0	0	0	0	17	0	0	0	Straight	0.0	1688.56	1705.56	259.71 490.35,249.07 496.59
0	29	279	775	1	0	0	0	0	70	0	0	0	Straight	0.0	1705.56	1775.56	249.07 496.59,236.87 501.04
0	30	775	2170	1	1	257	257	0	46	296	1	0	Straight	0.0	1775.56	2071.56	236.87 501.04,232.59 502.74
0	31	2170	775	1	1	257	257	0	46	296	0	0	U	45.557	2117.11	2163.11	232.59 502.74,236.87 501.04
0	32	775	754	1	1	190	190	0	34	224	1	0	Left	11.389	2174.5	2398.5	236.87 501.04,239.69 511.06
0	33	754	731	1	1	184	184	0	33	213	1	0	Straight	0.0	2398.5	2611.5	239.69 511.06,240.04 519.17
0	34	731	730	0	0	0	0	0	23	0	0	0	Straight	0.0	2611.5	2634.5	240.04 519.17,236.62 522.98
0	35	730	735	1	0	0	0	0	13	0	0	0	Straight	0.0	2634.5	2647.5	236.62 522.98,226.16 523.88
0	36	735	314	1	1	77	77	0	14	84	1	0	Straight	0.0	2647.5	2731.5	226.16 523.88,216.57 527.3
