Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	Full MILP	10000	10000	2	30457.4	28413	7203.23	0	1	0.21807	970.953	15793	0.100116	0.186077	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	379.09 271.73,393.81 293.84
0	4	1684	1721	0	0	0	0	0	152	0	0	0	Straight	0.0	482.695	634.695	393.81 293.84,413.37 313.35
0	5	1721	1587	0	0	0	0	0	121	0	0	0	Straight	0.0	634.695	755.695	413.37 313.35,435.11 331.04
0	6	1587	281	0	0	0	0	0	54	0	0	0	Straight	0.0	755.695	809.695	435.11 331.04,459.71 345.2
0	7	281	707	0	0	0	0	0	8	0	0	0	Straight	0.0	809.695	817.695	459.71 345.2,472.62 354.79
0	8	707	703	0	0	0	0	0	5	0	0	0	Straight	0.0	817.695	822.695	472.62 354.79,485.13 364.6
0	9	703	698	0	0	0	0	0	5	0	0	0	Straight	0.0	822.695	827.695	485.13 364.6,504.74 377.85
0	10	698	1946	0	0	0	0	0	6	0	0	0	Straight	0.0	827.695	833.695	504.74 377.85,513.15 392.61
0	11	1946	1607	0	0	0	0	0	13	0	0	0	Straight	0.0	833.695	846.695	513.15 392.61,521.02 407.56
0	12	1607	1326	0	0	0	0	0	24	0	0	0	Straight	0.0	846.695	870.695	521.02 407.56,530.55 425.07
0	13	1326	641	1	0	0	0	0	21	0	0	0	Straight	0.0	870.695	891.695	530.55 425.07,540.53 441.93
0	14	641	627	1	0	0	0	0	29	0	0	0	Straight	0.0	891.695	920.695	540.53 441.93,541.64 454.29
0	15	627	628	1	0	0	0	0	6	0	0	0	Straight	0.0	920.695	926.695	541.64 454.29,539.32 463.33
0	16	628	2024	1	0	0	0	0	30	0	0	0	Straight	0.0	926.695	956.695	539.32 463.33,540.11 472.16
0	17	2024	626	1	0	0	0	0	36	0	0	0	Straight	0.0	956.695	992.695	540.11 472.16,535.13 480.11
0	18	626	190	1	0	0	0	0	29	0	0	0	Straight	0.0	992.695	1021.69	535.13 480.11,526.26 488.21
0	19	190	612	1	1	127	127	0	23	143	1	0	Straight	0.0	1021.69	1164.69	526.26 488.21,525.92 494.64
0	20	612	191	1	1	28	28	0	5	25	1	0	Left	11.389	1176.08	1201.08	525.92 494.64,517.17 494.04
0	21	191	1352	1	1	243	243	0	44	284	1	0	Right	5.695	1206.78	1490.78	517.17 494.04,513.69 505.61
0	22	1352	1324	1	0	0	0	0	52	0	0	0	Straight	0.0	1490.78	1542.78	513.69 505.61,511.56 524.03
0	23	1324	1325	1	0	0	0	0	121	0	0	0	Straight	0.0	1542.78	1663.78	511.56 524.03,512.6 545.32
0	24	1325	1762	1	1	114	114	0	21	131	0	0	Left	11.389	1675.17	1696.17	512.6 545.32,509.55 547.31
0	25	1762	1325	1	1	114	114	0	21	131	1	0	U	45.557	1741.72	1872.72	509.55 547.31,512.6 545.32
0	26	1325	1341	1	0	0	0	0	37	0	0	0	Left	11.389	1884.11	1921.11	512.6 545.32,513.87 566.31
0	27	1341	113	1	0	0	0	0	13	0	0	0	Right	5.695	1926.81	1939.81	513.87 566.31,535.16 574.31
0	28	113	109	1	1	113	113	0	20	130	1	0	Straight	0.0	1939.81	2069.81	535.16 574.31,541.24 586.32
0	29	109	110	1	1	76	76	0	14	84	1	0	Straight	0.0	2069.81	2153.81	541.24 586.32,548.18 598.56
0	30	110	85	1	1	227	227	0	41	261	1	0	Straight	0.0	2153.81	2414.81	548.18 598.56,554.7 610.19
0	31	85	71	1	1	213	213	0	38	248	1	0	Straight	0.0	2414.81	2662.81	554.7 610.19,560.07 621.26
0	32	71	73	1	1	75	75	0	14	84	1	0	Left	11.389	2674.2	2758.2	560.07 621.26,549.05 623.33
0	33	73	1700	1	1	403	403	0	72	472	1	0	Right	5.695	2763.89	3235.89	549.05 623.33,554.07 632.44
0	34	1700	1774	1	1	78	78	0	14	84	1	0	Straight	0.0	3235.89	3319.89	554.07 632.44,559.26 641.0
0	35	1774	2129	1	1	126	126	0	23	143	0	0	Straight	0.0	3319.89	3342.89	559.26 641.0,562.05 644.64
0	36	2129	1774	1	1	126	126	0	23	143	1	0	U	45.557	3388.45	3531.45	562.05 644.64,559.26 641.0
