Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	Full MILP	10000	10000	2	31729.5	28717	7201.49	0	1	0	1303.65	19257.5	0.2179	0.0947711	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	379.09 271.73,393.81 293.84
0	4	1684	984	1	0	0	0	0	3	0	0	0	Left	11.389	494.084	497.084	393.81 293.84,381.85 299.24
0	5	984	558	1	0	0	0	0	7	0	0	0	Straight	0.0	497.084	504.084	381.85 299.24,362.77 297.07
0	6	558	554	1	0	0	0	0	10	0	0	0	Straight	0.0	504.084	514.084	362.77 297.07,347.04 297.52
0	7	554	1553	1	0	0	0	0	36	0	0	0	Straight	0.0	514.084	550.084	347.04 297.52,331.4 298.1
0	8	1553	957	1	0	0	0	0	51	0	0	0	Straight	0.0	550.084	601.084	331.4 298.1,316.93 302.6
0	9	957	557	1	0	0	0	0	28	0	0	0	Straight	0.0	601.084	629.084	316.93 302.6,303.93 309.49
0	10	557	1971	1	0	0	0	0	16	0	0	0	Right	5.695	634.779	650.779	303.93 309.49,305.81 320.42
0	11	1971	458	1	0	0	0	0	15	0	0	0	Left	11.389	662.168	677.168	305.81 320.42,292.81 327.99
0	12	458	459	1	0	0	0	0	34	0	0	0	Right	5.695	682.863	716.863	292.81 327.99,290.76 342.77
0	13	459	1678	1	0	0	0	0	11	0	0	0	Right	5.695	722.558	733.558	290.76 342.77,302.47 357.35
0	14	1678	388	1	0	0	0	0	35	0	0	0	Straight	0.0	733.558	768.558	302.47 357.35,321.76 366.07
0	15	388	389	1	0	0	0	0	17	0	0	0	Straight	0.0	768.558	785.558	321.76 366.07,336.77 371.16
0	16	389	1486	1	1	100	100	0	18	118	1	0	Straight	0.0	785.558	903.558	336.77 371.16,340.94 378.75
0	17	1486	349	1	0	0	0	0	28	0	0	0	Left	11.389	914.947	942.947	340.94 378.75,338.68 384.29
0	18	349	1949	1	1	136	136	0	24	154	1	0	Right	5.695	948.642	1102.64	338.68 384.29,343.51 386.48
0	19	1949	797	1	0	0	0	0	23	0	0	0	Right	5.695	1108.34	1131.34	343.51 386.48,347.62 383.37
0	20	797	798	1	1	133	133	0	24	154	1	0	Left	11.389	1142.73	1296.73	347.62 383.37,356.0 386.13
0	21	798	327	1	0	0	0	0	18	0	0	0	Right	5.695	1302.42	1320.42	356.0 386.13,363.41 378.72
0	22	327	328	1	0	0	0	0	18	0	0	0	Left	11.389	1331.81	1349.81	363.41 378.72,373.7 385.66
0	23	328	308	1	1	100	100	0	18	118	1	0	Left	11.389	1361.2	1479.2	373.7 385.66,374.3 393.81
0	24	308	309	1	0	0	0	0	18	0	0	0	Straight	0.0	1479.2	1497.2	374.3 393.81,378.84 399.41
0	25	309	1843	1	1	170	170	0	31	201	1	0	Right	5.695	1502.89	1703.89	378.84 399.41,384.02 399.45
0	26	1843	270	1	0	0	0	0	17	0	0	0	Right	5.695	1709.59	1726.59	384.02 399.45,384.4 394.11
0	27	270	271	1	0	0	0	0	17	0	0	0	U	45.557	1772.15	1789.15	384.4 394.11,381.17 398.41
0	28	271	250	1	1	42	42	0	8	48	1	0	Right	5.695	1794.84	1842.84	381.17 398.41,392.0 402.1
0	29	250	246	1	0	0	0	0	11	0	0	0	Left	11.389	1854.23	1865.23	392.0 402.1,391.81 413.35
0	30	246	247	1	0	0	0	0	46	0	0	0	Right	5.695	1870.92	1916.92	391.81 413.35,413.22 419.39
0	31	247	639	1	0	0	0	0	7	0	0	0	Straight	0.0	1916.92	1923.92	413.22 419.39,434.47 425.14
0	32	639	1936	1	0	0	0	0	6	0	0	0	Straight	0.0	1923.92	1929.92	434.47 425.14,455.41 442.15
0	33	1936	2025	1	0	0	0	0	6	0	0	0	Straight	0.0	1929.92	1935.92	455.41 442.15,471.46 459.18
0	34	2025	1635	1	0	0	0	0	20	0	0	0	Straight	0.0	1935.92	1955.92	471.46 459.18,487.42 476.42
0	35	1635	1320	1	0	0	0	0	4	0	0	0	Straight	0.0	1955.92	1959.92	487.42 476.42,500.31 492.95
0	36	1320	1352	1	0	0	0	0	23	0	0	0	Straight	0.0	1959.92	1982.92	500.31 492.95,513.69 505.61
0	37	1352	1353	1	0	0	0	0	21	0	0	0	Straight	0.0	1982.92	2003.92	513.69 505.61,529.47 507.54
