Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	Full MILP	10000	10000	1	10654.5	10273	7200.63	0	1	0	1509.33	3275	0.0107679	0	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	379.09 271.73,393.81 293.84
0	4	1684	1721	0	0	0	0	0	152	0	0	0	Straight	0.0	482.695	634.695	393.81 293.84,413.37 313.35
0	5	1721	1587	0	0	0	0	0	121	0	0	0	Straight	0.0	634.695	755.695	413.37 313.35,435.11 331.04
0	6	1587	281	0	0	0	0	0	54	0	0	0	Straight	0.0	755.695	809.695	435.11 331.04,459.71 345.2
0	7	281	707	0	0	0	0	0	8	0	0	0	Straight	0.0	809.695	817.695	459.71 345.2,472.62 354.79
0	8	707	703	0	0	0	0	0	5	0	0	0	Straight	0.0	817.695	822.695	472.62 354.79,485.13 364.6
0	9	703	698	0	0	0	0	0	5	0	0	0	Straight	0.0	822.695	827.695	485.13 364.6,504.74 377.85
0	10	698	1946	0	0	0	0	0	6	0	0	0	Straight	0.0	827.695	833.695	504.74 377.85,513.15 392.61
0	11	1946	1607	0	0	0	0	0	13	0	0	0	Straight	0.0	833.695	846.695	513.15 392.61,521.02 407.56
0	12	1607	1326	0	0	0	0	0	24	0	0	0	Straight	0.0	846.695	870.695	521.02 407.56,530.55 425.07
0	13	1326	641	1	0	0	0	0	21	0	0	0	Straight	0.0	870.695	891.695	530.55 425.07,540.53 441.93
0	14	641	173	1	0	0	0	0	40	0	0	0	Straight	0.0	891.695	931.695	540.53 441.93,551.7 453.38
0	15	173	163	1	0	0	0	0	19	0	0	0	Straight	0.0	931.695	950.695	551.7 453.38,563.98 460.37
0	16	163	1885	1	0	0	0	0	19	0	0	0	Straight	0.0	950.695	969.695	563.98 460.37,576.62 462.44
0	17	1885	149	1	0	0	0	0	47	0	0	0	Straight	0.0	969.695	1016.69	576.62 462.44,587.42 464.58
0	18	149	148	1	0	0	0	0	48	0	0	0	Straight	0.0	1016.69	1064.69	587.42 464.58,597.33 468.45
0	19	148	1697	1	0	0	0	0	36	0	0	0	Straight	0.0	1064.69	1100.69	597.33 468.45,603.56 475.06
0	20	1697	93	1	0	0	0	0	17	0	0	0	Straight	0.0	1100.69	1117.69	603.56 475.06,604.82 484.7
0	21	93	92	1	0	0	0	0	36	0	0	0	Straight	0.0	1117.69	1153.69	604.82 484.7,606.48 491.81
0	22	92	87	1	1	204	204	0	37	237	1	0	Straight	0.0	1153.69	1390.69	606.48 491.81,604.16 496.93
0	23	87	86	1	0	0	0	0	18	0	0	0	Straight	0.0	1390.69	1408.69	604.16 496.93,600.72 500.91
0	24	86	438	1	1	201	201	0	36	236	1	0	U	45.557	1454.25	1690.25	600.72 500.91,600.74 495.56
0	25	438	77	1	0	0	0	0	17	0	0	0	Right	5.695	1695.95	1712.95	600.74 495.56,593.14 499.46
0	26	77	62	1	0	0	0	0	17	0	0	0	Straight	0.0	1712.95	1729.95	593.14 499.46,584.29 502.66
0	27	62	63	1	1	204	204	0	37	237	1	0	Left	11.389	1741.34	1978.34	584.29 502.66,585.45 496.82
0	28	63	64	1	0	0	0	0	13	0	0	0	Right	5.695	1984.03	1997.03	585.45 496.82,577.48 495.86
0	29	64	59	1	0	0	0	0	4	0	0	0	Straight	0.0	1997.03	2001.03	577.48 495.86,568.44 496.92
0	30	59	58	1	0	0	0	0	17	0	0	0	Straight	0.0	2001.03	2018.03	568.44 496.92,557.21 492.35
0	31	58	1342	1	0	0	0	0	17	0	0	0	Left	11.389	2029.42	2046.42	557.21 492.35,554.69 468.38
0	32	1342	1351	1	1	1853	1853	0	334	2184	1	0	U	45.557	2091.98	4275.98	554.69 468.38,548.86 494.3
0	33	1351	1294	1	0	0	0	0	4	0	0	0	Straight	0.0	4275.98	4279.98	548.86 494.3,543.24 520.06
0	34	1294	1727	1	0	0	0	0	60	0	0	0	Straight	0.0	4279.98	4339.98	543.24 520.06,538.11 531.57
0	35	1727	1726	1	1	501	501	0	90	590	1	0	Straight	0.0	4339.98	4929.98	538.11 531.57,533.44 542.28
0	36	1726	2054	1	0	0	0	0	93	0	0	0	Straight	0.0	4929.98	5022.98	533.44 542.28,527.19 551.75
