Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	3	32166.9	30151	103.19	0	2	0.21276	1160.09	23423	0.0786586	1.1227	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	1084	1	1	3023	3023	0	544	3564	1	300		0.0	300.0	3864.0	446.0 251.77,472.41 259.17
0	1	1084	710	1	1	36	36	0	6	36	1	0	Straight	0.0	3864.0	3900.0	472.41 259.17,492.08 262.01
0	2	710	1790	1	1	81	81	0	15	95	1	0	Straight	0.0	3900.0	3995.0	492.08 262.01,512.21 263.69
0	3	1790	1621	0	1	171	171	0	31	201	1	0	Right	5.695	4000.7	4201.69	512.21 263.69,519.16 252.27
0	4	1621	1144	1	1	60	60	0	11	71	1	0	Straight	0.0	4201.69	4272.69	519.16 252.27,515.8 232.27
0	5	1144	1168	1	1	265	265	0	48	308	1	0	Straight	0.0	4272.69	4580.69	515.8 232.27,513.02 213.72
0	6	1168	1921	1	1	800	800	0	144	944	1	0	Straight	0.0	4580.69	5524.69	513.02 213.72,509.95 198.26
0	7	1921	1225	1	1	94	94	0	17	107	1	0	Straight	0.0	5524.69	5631.69	509.95 198.26,507.55 183.38
0	8	1225	1226	1	1	228	228	0	41	261	1	0	Straight	0.0	5631.69	5892.69	507.55 183.38,508.32 173.34
0	9	1226	1223	1	1	90	90	0	16	106	1	0	Straight	0.0	5892.69	5998.69	508.32 173.34,508.47 163.9
0	10	1223	1222	1	1	87	87	0	16	96	1	0	Right	5.695	6004.39	6100.39	508.47 163.9,504.8 165.26
0	11	1222	1832	1	1	427	427	0	77	497	1	0	Left	11.389	6111.78	6608.78	504.8 165.26,504.18 158.3
0	12	1832	1220	1	1	112	112	0	20	130	1	0	U	45.557	6654.34	6784.34	504.18 158.3,501.53 164.61
0	13	1220	1625	1	1	53	53	0	10	60	1	0	Left	11.389	6795.72	6855.72	501.53 164.61,498.09 160.63
0	14	1625	1220	1	1	53	53	0	10	60	0	0	U	45.557	6901.28	6911.28	498.09 160.63,501.53 164.61
0	15	1220	1221	1	1	136	136	0	25	155	1	0	Straight	0.0	6911.28	7066.28	501.53 164.61,503.76 173.22
0	16	1221	1225	1	1	155	155	0	28	178	1	0	Straight	0.0	7066.28	7244.28	503.76 173.22,507.55 183.38
0	17	1225	1221	1	1	155	155	0	28	178	0	0	U	45.557	7289.84	7317.84	507.55 183.38,503.76 173.22
0	18	1221	1222	1	1	69	69	0	12	72	1	0	Straight	0.0	7317.84	7389.84	503.76 173.22,504.8 165.26
0	19	1222	1223	1	1	87	87	0	16	96	0	0	Left	11.389	7401.23	7417.23	504.8 165.26,508.47 163.9
0	20	1223	1210	1	1	348	348	0	63	403	1	0	Right	5.695	7422.92	7825.92	508.47 163.9,509.29 154.74
0	21	1210	1211	1	1	253	253	0	46	296	1	0	Straight	0.0	7825.92	8121.92	509.29 154.74,507.21 149.69
0	22	1211	1832	1	1	81	81	0	15	95	1	0	U	45.557	8167.48	8262.48	507.21 149.69,504.18 158.3
0	23	1832	1211	1	1	81	81	0	15	95	0	0	U	45.557	8308.04	8323.04	504.18 158.3,507.21 149.69
0	24	1211	1692	1	1	91	91	0	16	106	1	0	Straight	0.0	8323.04	8429.04	507.21 149.69,509.79 140.8
0	25	1692	1199	1	1	29	29	0	5	25	1	0	Straight	0.0	8429.04	8454.04	509.79 140.8,510.35 129.63
0	26	1199	1789	1	1	18	18	0	3	13	1	0	Straight	0.0	8454.04	8467.04	510.35 129.63,511.61 125.55
0	27	1789	1199	1	1	18	18	0	3	13	0	0	U	45.557	8512.59	8515.59	511.61 125.55,510.35 129.63
0	28	1199	875	1	1	13	13	0	2	12	1	0	U	45.557	8561.15	8573.15	510.35 129.63,510.6 119.83
0	29	875	1398	1	1	48	48	0	9	49	1	0	Straight	0.0	8573.15	8622.15	510.6 119.83,506.36 114.23
0	30	1398	1399	1	1	67	67	0	12	72	1	0	Straight	0.0	8622.15	8694.15	506.36 114.23,502.96 110.79
0	31	1399	1398	1	1	67	67	0	12	72	0	0	U	45.557	8739.71	8751.71	502.96 110.79,506.36 114.23
0	32	1398	1964	1	1	15	15	0	3	13	1	0	U	45.557	8797.27	8810.27	506.36 114.23,506.29 108.53
0	33	1964	1398	1	1	15	15	0	3	13	0	0	U	45.557	8855.82	8858.82	506.29 108.53,506.36 114.23
0	34	1398	875	1	1	48	48	0	9	49	0	0	Straight	0.0	8858.82	8867.82	506.36 114.23,510.6 119.83
0	35	875	874	1	1	18	18	0	3	13	1	0	Right	5.695	8873.52	8886.52	510.6 119.83,514.79 113.41
