Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	27938.3	26190	83.889	2.376	1	0	756.266	19083	0.100116	0.0919353	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	379.09 271.73,393.81 293.84
0	4	1684	984	1	0	0	0	0	3	0	0	0	Left	11.389	494.084	497.084	393.81 293.84,381.85 299.24
0	5	984	558	1	0	0	0	0	7	0	0	0	Straight	0.0	497.084	504.084	381.85 299.24,362.77 297.07
0	6	558	554	1	0	0	0	0	10	0	0	0	Straight	0.0	504.084	514.084	362.77 297.07,347.04 297.52
0	7	554	1553	1	0	0	0	0	36	0	0	0	Straight	0.0	514.084	550.084	347.04 297.52,331.4 298.1
0	8	1553	957	1	0	0	0	0	51	0	0	0	Straight	0.0	550.084	601.084	331.4 298.1,316.93 302.6
0	9	957	557	1	1	156	156	0	28	178	1	0	Straight	0.0	601.084	779.084	316.93 302.6,303.93 309.49
0	10	557	1971	1	1	88	88	0	16	96	1	0	Right	5.695	784.779	880.779	303.93 309.49,305.81 320.42
0	11	1971	923	1	1	131	131	0	24	154	1	0	Right	5.695	886.474	1040.47	305.81 320.42,320.56 320.93
0	12	923	924	1	1	160	160	0	29	189	1	0	Straight	0.0	1040.47	1229.47	320.56 320.93,333.7 326.49
0	13	924	1617	1	1	170	170	0	31	201	1	0	Straight	0.0	1229.47	1430.47	333.7 326.49,339.04 338.69
0	14	1617	852	1	1	60	60	0	11	71	1	0	Left	11.389	1441.86	1512.86	339.04 338.69,332.99 352.48
0	15	852	388	1	0	0	0	0	16	0	0	0	Straight	0.0	1512.86	1528.86	332.99 352.48,321.76 366.07
0	16	388	788	1	0	0	0	0	83	0	0	0	Straight	0.0	1528.86	1611.86	321.76 366.07,320.96 384.39
0	17	788	766	1	0	0	0	0	18	0	0	0	Straight	0.0	1611.86	1629.86	320.96 384.39,312.04 400.61
0	18	766	1898	1	0	0	0	0	22	0	0	0	Right	5.695	1635.56	1657.56	312.04 400.61,329.66 405.74
0	19	1898	733	1	0	0	0	0	20	0	0	0	Straight	0.0	1657.56	1677.56	329.66 405.74,350.33 407.12
0	20	733	726	1	0	0	0	0	17	0	0	0	Left	11.389	1688.95	1705.95	350.33 407.12,346.48 414.18
0	21	726	680	1	0	0	0	0	49	0	0	0	Straight	0.0	1705.95	1754.95	346.48 414.18,338.68 418.36
0	22	680	681	1	1	317	317	0	57	367	1	0	Straight	0.0	1754.95	2121.95	338.68 418.36,336.05 424.64
0	23	681	1551	1	1	166	166	0	30	190	1	0	Left	11.389	2133.34	2323.34	336.05 424.64,328.39 427.04
0	24	1551	635	1	1	117	117	0	21	131	1	0	Straight	0.0	2323.34	2454.34	328.39 427.04,323.74 433.05
0	25	635	236	1	1	213	213	0	38	248	0	0	Straight	0.0	2454.34	2492.34	323.74 433.05,323.05 445.11
0	26	236	1675	0	1	179	179	0	32	202	1	0	Right	5.695	2498.03	2700.03	323.05 445.11,334.85 453.49
0	27	1675	180	0	1	175	175	0	32	202	1	0	Straight	0.0	2700.03	2902.03	334.85 453.49,348.05 459.75
0	28	180	179	1	1	13	13	0	2	12	0	0	Left	11.389	2913.42	2915.42	348.05 459.75,349.24 465.28
0	29	179	1520	1	1	40	40	0	7	47	0	0	Left	11.389	2926.81	2933.81	349.24 465.28,342.9 470.82
0	30	1520	604	1	1	44	44	0	8	48	0	0	Straight	0.0	2933.81	2941.81	342.9 470.82,339.42 480.12
0	31	604	605	0	1	49	49	0	9	49	1	0	Straight	0.0	2941.81	2990.81	339.42 480.12,339.65 485.6
0	32	605	598	1	1	27	27	0	5	25	1	0	Straight	0.0	2990.81	3015.81	339.65 485.6,343.23 489.26
0	33	598	597	1	1	250	250	0	45	295	0	0	Straight	0.0	3015.81	3060.81	343.23 489.26,346.05 492.48
0	34	597	598	1	1	250	250	0	45	295	1	0	U	45.557	3106.37	3401.37	346.05 492.48,343.23 489.26
0	35	598	605	1	1	27	27	0	5	25	0	0	Straight	0.0	3401.37	3406.37	343.23 489.26,339.65 485.6
0	36	605	1714	1	1	40	40	0	7	47	1	0	Right	5.695	3412.06	3459.06	339.65 485.6,335.07 487.36
