Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	27751.8	25753	103.226	0	1	0	756.266	19083	0.176675	0.101337	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	616	1	0	0	0	0	3	0	0	0	Straight	0.0	419.0	422.0	379.09 271.73,363.03 281.58
0	4	616	607	1	0	0	0	0	22	0	0	0	Straight	0.0	422.0	444.0	363.03 281.58,341.47 281.28
0	5	607	606	1	1	150	150	0	27	177	1	0	Right	5.695	449.695	626.695	341.47 281.28,340.37 289.02
0	6	606	981	1	1	227	227	0	41	261	1	0	Left	11.389	638.084	899.084	340.37 289.02,328.53 291.57
0	7	981	982	1	1	145	145	0	26	166	1	0	Straight	0.0	899.084	1065.08	328.53 291.57,316.17 291.65
0	8	982	565	1	1	148	148	0	27	167	1	0	Straight	0.0	1065.08	1232.08	316.17 291.65,309.13 297.04
0	9	565	957	1	1	196	196	0	35	225	1	0	Right	5.695	1237.78	1462.78	309.13 297.04,316.93 302.6
0	10	957	557	1	1	156	156	0	28	178	1	0	Left	11.389	1474.17	1652.17	316.93 302.6,303.93 309.49
0	11	557	1971	1	1	88	88	0	16	96	1	0	Right	5.695	1657.86	1753.86	303.93 309.49,305.81 320.42
0	12	1971	923	1	1	131	131	0	24	154	1	0	Right	5.695	1759.56	1913.56	305.81 320.42,320.56 320.93
0	13	923	924	1	1	160	160	0	29	189	1	0	Straight	0.0	1913.56	2102.56	320.56 320.93,333.7 326.49
0	14	924	1617	1	1	170	170	0	31	201	1	0	Straight	0.0	2102.56	2303.56	333.7 326.49,339.04 338.69
0	15	1617	852	1	1	60	60	0	11	71	1	0	Left	11.389	2314.95	2385.95	339.04 338.69,332.99 352.48
0	16	852	399	1	1	117	117	0	21	131	1	0	Right	5.695	2391.64	2522.64	332.99 352.48,343.51 349.76
0	17	399	387	1	1	140	140	0	25	165	1	0	Straight	0.0	2522.64	2687.64	343.51 349.76,348.61 352.19
0	18	387	821	1	1	78	78	0	14	84	1	0	Left	11.389	2699.03	2783.03	348.61 352.19,347.2 357.58
0	19	821	346	1	1	142	142	0	26	166	1	0	Right	5.695	2788.73	2954.73	347.2 357.58,355.09 363.0
0	20	346	341	1	1	109	109	0	20	120	1	0	Left	11.389	2966.12	3086.12	355.09 363.0,351.16 371.92
0	21	341	327	1	1	95	95	0	17	107	1	0	Right	5.695	3091.81	3198.81	351.16 371.92,363.41 378.72
0	22	327	328	1	1	98	98	0	18	108	1	0	Straight	0.0	3198.81	3306.81	363.41 378.72,373.7 385.66
0	23	328	288	1	1	233	233	0	42	272	1	0	Straight	0.0	3306.81	3578.81	373.7 385.66,384.51 386.94
0	24	288	725	1	1	166	166	0	30	190	1	0	Straight	0.0	3578.81	3768.81	384.51 386.94,395.2 385.49
0	25	725	241	1	1	151	151	0	27	177	1	0	Straight	0.0	3768.81	3945.81	395.2 385.49,400.75 388.85
0	26	241	240	1	1	145	145	0	26	166	1	0	Left	11.389	3957.2	4123.2	400.75 388.85,400.96 393.91
0	27	240	250	1	1	117	117	0	21	131	1	0	Left	11.389	4134.59	4265.59	400.96 393.91,392.0 402.1
0	28	250	246	1	1	59	59	0	11	61	1	0	Right	5.695	4271.28	4332.28	392.0 402.1,391.81 413.35
0	29	246	734	1	0	0	0	0	11	0	0	0	Left	11.389	4343.67	4354.67	391.81 413.35,369.76 412.4
0	30	734	724	1	1	96	96	0	17	107	1	0	Straight	0.0	4354.67	4461.67	369.76 412.4,360.5 419.09
0	31	724	1451	1	1	226	226	0	41	261	1	0	Straight	0.0	4461.67	4722.67	360.5 419.09,354.99 423.85
0	32	1451	630	1	1	176	176	0	32	202	1	0	Straight	0.0	4722.67	4924.67	354.99 423.85,353.32 428.7
0	33	630	631	1	1	122	122	0	22	142	1	0	Left	11.389	4936.06	5078.06	353.32 428.7,345.76 431.23
0	34	631	1868	1	1	49	49	0	9	49	1	0	Straight	0.0	5078.06	5127.06	345.76 431.23,338.58 433.88
0	35	1868	636	1	1	432	432	0	78	508	1	0	Straight	0.0	5127.06	5635.06	338.58 433.88,331.05 434.39
0	36	636	635	1	1	73	73	0	13	83	1	0	Straight	0.0	5635.06	5718.06	331.05 434.39,323.74 433.05
