Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	Full MILP	10000	10000	2	27222	25320	7200.79	0	1	0	767.481	19174	0.117784	0.0999141	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	616	1	0	0	0	0	3	0	0	0	Straight	0.0	419.0	422.0	379.09 271.73,363.03 281.58
0	4	616	1391	0	0	0	0	0	48	0	0	0	Left	11.389	433.389	481.389	363.03 281.58,346.57 269.48
0	5	1391	1069	1	1	105	105	0	19	119	1	0	Straight	0.0	481.389	600.389	346.57 269.48,333.43 264.72
0	6	1069	1068	1	1	229	229	0	41	261	0	0	Left	11.389	611.778	652.778	333.43 264.72,332.41 260.69
0	7	1068	1069	1	1	229	229	0	41	261	1	0	U	45.557	698.335	959.335	332.41 260.69,333.43 264.72
0	8	1069	1109	1	1	299	299	0	54	344	1	0	Left	11.389	970.724	1314.72	333.43 264.72,320.19 261.39
0	9	1109	1165	1	1	402	402	0	72	472	1	0	Straight	0.0	1314.72	1786.72	320.19 261.39,308.53 252.27
0	10	1165	882	1	1	394	394	0	71	461	0	0	Straight	0.0	1786.72	1857.72	308.53 252.27,301.3 238.56
0	11	882	891	0	1	131	131	0	24	154	1	0	Right	5.695	1863.42	2017.42	301.3 238.56,288.25 240.99
0	12	891	865	0	1	53	53	0	10	60	1	0	Right	5.695	2023.11	2083.11	288.25 240.99,282.07 250.83
0	13	865	1920	0	0	0	0	0	13	0	0	0	Left	11.389	2094.5	2107.5	282.07 250.83,268.08 250.66
0	14	1920	871	1	1	11	11	0	2	12	1	0	Left	11.389	2118.89	2130.89	268.08 250.66,263.81 241.09
0	15	871	1624	1	1	272	272	0	49	319	1	0	Straight	0.0	2130.89	2449.89	263.81 241.09,255.91 231.57
0	16	1624	954	1	1	223	223	0	40	260	1	0	Straight	0.0	2449.89	2709.89	255.91 231.57,248.51 223.0
0	17	954	1233	1	1	275	275	0	50	320	1	0	Straight	0.0	2709.89	3029.89	248.51 223.0,245.07 212.48
0	18	1233	1012	1	1	271	271	0	49	319	1	0	Straight	0.0	3029.89	3348.89	245.07 212.48,243.76 201.81
0	19	1012	1013	1	1	120	120	0	22	142	1	0	Right	5.695	3354.59	3496.59	243.76 201.81,234.51 210.04
0	20	1013	1007	1	1	147	147	0	26	166	0	0	Straight	0.0	3496.59	3522.59	234.51 210.04,224.77 215.7
0	21	1007	1816	1	1	268	268	0	48	308	1	0	Left	11.389	3533.98	3841.98	224.77 215.7,221.04 212.87
0	22	1816	1007	1	1	268	268	0	48	308	0	0	U	45.557	3887.53	3935.53	221.04 212.87,224.77 215.7
0	23	1007	1006	1	1	274	274	0	49	319	1	0	Left	11.389	3946.92	4265.92	224.77 215.7,225.93 226.77
0	24	1006	1224	1	1	147	147	0	26	166	1	0	Left	11.389	4277.31	4443.31	225.93 226.77,214.88 229.92
0	25	1224	1232	1	1	165	165	0	30	190	1	0	Left	11.389	4454.7	4644.7	214.88 229.92,208.64 219.94
0	26	1232	1235	1	1	105	105	0	19	119	1	0	Left	11.389	4656.09	4775.09	208.64 219.94,215.1 211.36
0	27	1235	1860	1	1	175	175	0	31	201	1	0	Right	5.695	4780.78	4981.78	215.1 211.36,213.42 199.84
0	28	1860	1011	1	1	16	16	0	3	13	1	0	Right	5.695	4987.48	5000.48	213.42 199.84,207.2 197.12
0	29	1011	1010	1	1	13	13	0	2	12	1	0	Right	5.695	5006.17	5018.17	207.2 197.12,203.16 199.16
0	30	1010	1011	1	1	13	13	0	2	12	0	0	U	45.557	5063.73	5065.73	203.16 199.16,207.2 197.12
0	31	1011	1240	1	1	21	21	0	4	24	1	0	Right	5.695	5071.43	5095.43	207.2 197.12,202.81 192.65
0	32	1240	1011	1	1	21	21	0	4	24	0	0	U	45.557	5140.98	5144.98	202.81 192.65,207.2 197.12
0	33	1011	1860	1	1	16	16	0	3	13	0	0	Straight	0.0	5144.98	5147.98	207.2 197.12,213.42 199.84
0	34	1860	1400	1	1	46	46	0	8	48	1	0	Right	5.695	5153.68	5201.68	213.42 199.84,216.32 189.73
0	35	1400	1601	0	1	64	64	0	12	72	1	0	Right	5.695	5207.37	5279.37	216.32 189.73,204.6 195.12
0	36	1601	1243	0	1	63	63	0	11	71	1	0	U	45.557	5324.93	5395.93	204.6 195.12,211.03 183.28
