Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	3	32994	27977	102.846	0	2.5	0.241723	907.47	16225	0.196647	0.469462	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	616	1	0	0	0	0	3	0	0	0	Straight	0.0	419.0	422.0	379.09 271.73,363.03 281.58
0	4	616	607	1	0	0	0	0	22	0	0	0	Straight	0.0	422.0	444.0	363.03 281.58,341.47 281.28
0	5	607	593	1	0	0	0	0	30	0	0	0	Straight	0.0	444.0	474.0	341.47 281.28,320.19 279.47
0	6	593	594	1	0	0	0	0	34	0	0	0	Straight	0.0	474.0	508.0	320.19 279.47,307.38 288.17
0	7	594	982	1	1	153	153	0	27	177	1	0	Right	5.695	513.695	690.695	307.38 288.17,316.17 291.65
0	8	982	565	1	0	0	0	0	27	0	0	0	Left	11.389	702.084	729.084	316.17 291.65,309.13 297.04
0	9	565	564	1	1	151	151	0	27	177	1	0	Straight	0.0	729.084	906.084	309.13 297.04,297.85 297.27
0	10	564	621	1	1	296	296	0	53	343	1	0	Straight	0.0	906.084	1249.08	297.85 297.27,286.13 294.79
0	11	621	687	1	1	271	271	0	49	319	1	0	Straight	0.0	1249.08	1568.08	286.13 294.79,276.65 288.35
0	12	687	782	1	1	141	141	0	25	165	1	0	Straight	0.0	1568.08	1733.08	276.65 288.35,268.86 278.21
0	13	782	783	1	1	261	261	0	47	307	1	0	Straight	0.0	1733.08	2040.08	268.86 278.21,255.74 271.98
0	14	783	842	1	1	394	394	0	71	461	1	0	Straight	0.0	2040.08	2501.08	255.74 271.98,241.88 266.4
0	15	842	1171	1	1	11	11	0	2	12	1	0	Straight	0.0	2501.08	2513.08	241.88 266.4,233.02 254.18
0	16	1171	1227	1	1	495	495	0	89	579	1	0	Straight	0.0	2513.08	3092.08	233.02 254.18,227.12 239.27
0	17	1227	1006	1	1	274	274	0	49	319	1	0	Straight	0.0	3092.08	3411.08	227.12 239.27,225.93 226.77
0	18	1006	1231	1	1	148	148	0	27	167	1	0	Left	11.389	3422.47	3589.47	225.93 226.77,235.82 219.98
0	19	1231	1013	1	1	272	272	0	49	319	1	0	Right	5.695	3595.17	3914.17	235.82 219.98,234.51 210.04
0	20	1013	1012	1	0	0	0	0	22	0	0	0	Left	11.389	3925.56	3947.56	234.51 210.04,243.76 201.81
0	21	1012	1016	1	0	0	0	0	21	0	0	0	Straight	0.0	3947.56	3968.56	243.76 201.81,253.15 189.69
0	22	1016	1234	1	1	272	272	0	49	319	1	0	U	45.557	4014.11	4333.11	253.15 189.69,252.75 204.37
0	23	1234	1233	1	1	121	121	0	22	142	1	0	Straight	0.0	4333.11	4475.11	252.75 204.37,245.07 212.48
0	24	1233	1231	1	1	120	120	0	22	142	1	0	Straight	0.0	4475.11	4617.11	245.07 212.48,235.82 219.98
0	25	1231	1230	1	1	277	277	0	50	320	1	0	Right	5.695	4622.81	4942.81	235.82 219.98,238.99 230.5
0	26	1230	1227	1	1	148	148	0	27	167	1	0	Left	11.389	4954.2	5121.2	238.99 230.5,227.12 239.27
0	27	1227	1217	1	1	146	146	0	26	166	1	0	Straight	0.0	5121.2	5287.2	227.12 239.27,211.35 242.06
0	28	1217	1224	1	1	276	276	0	50	320	1	0	Left	11.389	5298.59	5618.59	211.35 242.06,214.88 229.92
0	29	1224	1217	1	1	276	276	0	50	320	0	0	U	45.557	5664.14	5714.14	214.88 229.92,211.35 242.06
0	30	1217	1214	1	1	136	136	0	24	154	1	0	Left	11.389	5725.53	5879.53	211.35 242.06,193.43 229.87
0	31	1214	1705	1	1	438	438	0	79	509	1	0	Left	11.389	5890.92	6399.92	193.43 229.87,197.46 218.89
0	32	1705	1706	1	0	0	0	0	13	0	0	0	Right	5.695	6405.62	6418.62	197.46 218.89,191.75 207.86
0	33	1706	1965	1	1	181	181	0	33	213	1	0	Right	5.695	6424.31	6637.31	191.75 207.86,175.23 213.72
0	34	1965	1216	1	1	221	221	0	40	260	1	0	Straight	0.0	6637.31	6897.31	175.23 213.72,158.3 218.99
0	35	1216	899	1	1	395	395	0	71	461	1	0	Straight	0.0	6897.31	7358.31	158.3 218.99,135.18 219.36
0	36	899	896	1	1	113	113	0	20	130	1	0	Straight	0.0	7358.31	7488.31	135.18 219.36,118.09 217.43
