Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	29736.9	26918	62.608	2.289	1	1.17507e-06	832.534	17049	0.117784	0.0916656	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	616	1	0	0	0	0	3	0	0	0	Straight	0.0	419.0	422.0	379.09 271.73,363.03 281.58
0	4	616	607	1	0	0	0	0	22	0	0	0	Straight	0.0	422.0	444.0	363.03 281.58,341.47 281.28
0	5	607	593	1	0	0	0	0	30	0	0	0	Straight	0.0	444.0	474.0	341.47 281.28,320.19 279.47
0	6	593	594	1	0	0	0	0	34	0	0	0	Straight	0.0	474.0	508.0	320.19 279.47,307.38 288.17
0	7	594	1043	1	1	295	295	0	53	343	0	0	Straight	0.0	508.0	561.0	307.38 288.17,294.74 287.29
0	8	1043	621	1	0	0	0	0	26	0	0	0	Right	5.695	566.695	592.695	294.74 287.29,286.13 294.79
0	9	621	622	1	0	0	0	0	26	0	0	0	Straight	0.0	592.695	618.695	286.13 294.79,276.78 304.6
0	10	622	1483	1	0	0	0	0	25	0	0	0	Straight	0.0	618.695	643.695	276.78 304.6,266.84 314.48
0	11	1483	648	1	0	0	0	0	24	0	0	0	Straight	0.0	643.695	667.695	266.84 314.48,255.65 321.78
0	12	648	969	1	1	301	301	0	54	354	1	0	Right	5.695	673.39	1027.39	255.65 321.78,267.88 330.78
0	13	969	506	1	1	237	237	0	43	273	1	0	Left	11.389	1038.78	1311.78	267.88 330.78,262.85 344.55
0	14	506	478	1	0	0	0	0	25	0	0	0	Straight	0.0	1311.78	1336.78	262.85 344.55,250.63 358.81
0	15	478	500	1	1	86	86	0	15	95	1	0	Left	11.389	1348.17	1443.17	250.63 358.81,235.35 357.54
0	16	500	971	1	1	17	17	0	3	13	1	0	Straight	0.0	1443.17	1456.17	235.35 357.54,221.11 357.76
0	17	971	970	1	1	368	368	0	66	426	1	0	Straight	0.0	1456.17	1882.17	221.11 357.76,211.4 361.91
0	18	970	980	1	0	0	0	0	36	0	0	0	Left	11.389	1893.56	1929.56	211.4 361.91,200.54 354.2
0	19	980	1460	1	0	0	0	0	10	0	0	0	Straight	0.0	1929.56	1939.56	200.54 354.2,181.62 351.41
0	20	1460	568	1	0	0	0	0	15	0	0	0	Straight	0.0	1939.56	1954.56	181.62 351.41,166.36 352.32
0	21	568	566	1	0	0	0	0	45	0	0	0	Straight	0.0	1954.56	1999.56	166.36 352.32,153.99 356.21
0	22	566	567	1	1	213	213	0	38	248	1	0	Straight	0.0	1999.56	2247.56	153.99 356.21,144.17 353.96
0	23	567	996	1	1	13	13	0	2	12	1	0	Straight	0.0	2247.56	2259.56	144.17 353.96,135.74 351.74
0	24	996	997	1	1	86	86	0	15	95	1	0	Straight	0.0	2259.56	2354.56	135.74 351.74,130.83 348.39
0	25	997	996	1	1	86	86	0	15	95	0	0	U	45.557	2400.11	2415.11	130.83 348.39,135.74 351.74
0	26	996	1531	1	1	37	37	0	7	37	1	0	Left	11.389	2426.5	2463.5	135.74 351.74,131.98 353.86
0	27	1531	1532	1	1	55	55	0	10	60	1	0	Straight	0.0	2463.5	2523.5	131.98 353.86,126.56 355.23
0	28	1532	1531	1	1	55	55	0	10	60	0	0	U	45.557	2569.06	2579.06	126.56 355.23,131.98 353.86
0	29	1531	1446	1	1	12	12	0	2	12	1	0	Straight	0.0	2579.06	2591.06	131.98 353.86,138.83 353.43
0	30	1446	1447	1	1	109	109	0	20	120	1	0	Right	5.695	2596.75	2716.75	138.83 353.43,140.86 349.7
0	31	1447	1533	1	1	88	88	0	16	96	0	0	Right	5.695	2722.45	2738.45	140.86 349.7,123.44 351.59
0	32	1533	613	1	1	182	182	0	33	213	1	0	Straight	0.0	2738.45	2951.45	123.44 351.59,115.0 349.77
0	33	613	614	1	1	62	62	0	11	71	1	0	Straight	0.0	2951.45	3022.45	115.0 349.77,109.54 350.2
0	34	614	613	1	1	62	62	0	11	71	0	0	U	45.557	3068.01	3079.01	109.54 350.2,115.0 349.77
0	35	613	2196	1	1	85	85	0	15	95	1	0	U	45.557	3124.56	3219.56	115.0 349.77,110.05 346.64
0	36	2196	613	1	1	85	85	0	15	95	0	0	U	45.557	3265.12	3280.12	110.05 346.64,115.0 349.77
