Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	17600	24000	3	36147.2	27852.2	2.04862	0	1.36364	0.346131	374.631	23583	0.784023	1.97659	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	436	30	0	0	0	0	0.0	769.6	0.0	0	0		0	0.0	769.6	-90.453251 38.613293999999996,-90.451767 38.612762000000004,-90.451636 38.612773000000004,-90.45146 38.612815999999995,-90.450718 38.613096,-90.450464 38.613192,-90.449457 38.616066000000004,-90.449474 38.617754000000005,-90.449424 38.619487,-90.44943 38.620085,-90.449436 38.620293000000004,-90.44945 38.620779999999996,-90.449456 38.621588,-90.449459 38.621785,-90.449482 38.622955000000005,-90.449483 38.623047,-90.449487 38.623307,-90.449492 38.623812,-90.449493 38.623894,-90.449498 38.624374,-90.449504 38.624687,-90.449509 38.625372,-90.449514 38.625824,-90.449515 38.625952,-90.449516 38.62604,-90.449518 38.626166999999995,-90.449519 38.626339,-90.449526 38.626639999999995,-90.449527 38.62677,-90.449756 38.62677,-90.44997 38.626771000000005,-90.450346 38.626772,-90.450601 38.626772,-90.450904 38.626771000000005,-90.451043 38.626771000000005,-90.451196 38.62677,-90.451444 38.626768999999996,-90.451557 38.626768999999996,-90.451878 38.626772,-90.452211 38.626784,-90.45262 38.626813,-90.453148 38.626892,-90.453531 38.626971999999995,-90.453813 38.627047000000005,-90.454313 38.627213,-90.454678 38.627382999999995,-90.454851 38.627464,-90.455306 38.627711000000005,-90.455443 38.627798,-90.455543 38.627864,-90.455596 38.627897000000004,-90.455751 38.628012999999996,-90.456068 38.628282999999996,-90.456171 38.628367,-90.456328 38.628507,-90.456461 38.628625,-90.456588 38.628736,-90.456725 38.628862999999996,-90.457067 38.629177999999996,-90.457221 38.629323,-90.457297 38.629397,-90.457371 38.629464999999996,-90.457437 38.629526999999996,-90.45752 38.629605,-90.457578 38.629657,-90.457686 38.629757,-90.457766 38.629833000000005,-90.457914 38.629971,-90.458402 38.630427999999995,-90.458454 38.63048,-90.458596 38.630616,-90.458727 38.630744,-90.458936 38.630950999999996,-90.459238 38.631246000000004,-90.459565 38.631563,-90.459822 38.631806,-90.45995 38.631929,-90.461122 38.633067,-90.46132 38.633249,-90.462331 38.634159,-90.4626 38.634423999999996,-90.462804 38.634628,-90.462911 38.634738,-90.463106 38.634931,-90.463366 38.635159,-90.463625 38.635407,-90.464912 38.636635999999996,-90.464973 38.636695,-90.465095 38.636821999999995,-90.465133 38.636864,-90.46528 38.637026,-90.466889 38.639517999999995,-90.467034 38.639868,-90.467128 38.640063,-90.467212 38.640236,-90.467328 38.640474999999995,-90.46748 38.64083,-90.467524 38.640941999999995,-90.467624 38.641186000000005,-90.467682 38.641317,-90.467781 38.641562,-90.46789 38.641843,-90.467963 38.64204,-90.468057 38.642251,-90.468514 38.643214,-90.469087 38.64438,-90.469208 38.644607,-90.469949 38.645745000000005,-90.470881 38.647161,-90.471692 38.648399,-90.471851 38.648634,-90.471929 38.648757,-90.471971 38.648819,-90.472074 38.648972,-90.472161 38.649114,-90.472297 38.649324,-90.472399 38.64948,-90.472488 38.649617,-90.472662 38.649934,-90.473181 38.651075,-90.473234 38.651271,-90.47336 38.651893,-90.473411 38.652268,-90.473446 38.652969,-90.473347 38.654038,-90.473325 38.65412,-90.47326 38.654395,-90.473175 38.654729,-90.473103 38.654938,-90.472954 38.65531,-90.472883 38.655445,-90.472834 38.655543,-90.472814 38.655596,-90.472576 38.656008,-90.472839 38.656035,-90.473282 38.656088,-90.474785 38.655772,-90.475313 38.655564,-90.476446 38.655236,-90.476769 38.655161,-90.477074 38.655089000000004,-90.47763 38.654943,-90.477914 38.654892000000004,-90.478383 38.654802000000004,-90.479014 38.654703999999995,-90.479714 38.6546,-90.479871 38.654577,-90.48276 38.654419000000004,-90.489214 38.656352999999996,-90.49031 38.656872,-90.490871 38.657134,-90.491109 38.657243,-90.491539 38.65744,-90.491972 38.657645,-90.49235 38.657817,-90.492534 38.657889,-90.49413 38.658646000000005,-90.497511 38.660206,-90.497543 38.660222000000005,-90.498297 38.66063,-90.50198 38.663487,-90.50296 38.664337,-90.503248 38.664607000000004,-90.50342 38.664788,-90.503739 38.665143,-90.503875 38.665302,-90.503961 38.665399,-90.50448 38.665992,-90.504752 38.666289,-90.505181 38.666758,-90.505225 38.666810999999996,-90.505553 38.667163
0	1	30	43	0	0	0	0	0.0	1.6	0.0	0	0	Straight	0	769.6	771.2	-90.505553 38.667163,-90.505675 38.667309
0	2	43	363	0	0	0	0	0.0	1.3	0.0	0	0	Straight	0	771.2	772.5	-90.505675 38.667309,-90.505779 38.667425
0	3	363	368	0	0	0	0	0.0	2.6	0.0	0	0	Straight	0	772.5	775.1	-90.505779 38.667425,-90.505961 38.667628
0	4	368	402	0	0	0	0	0.0	7.4	0.0	0	0	Straight	0	775.1	782.5	-90.505961 38.667628,-90.506327 38.668036
0	5	402	288	0	0	0	0	0.0	4.2	0.0	0	0	Straight	0	782.5	786.7	-90.506327 38.668036,-90.506348 38.66806,-90.506442 38.668171
0	6	288	287	0	0	0	0	0.0	7.2	0.0	0	0	Straight	0	786.7	793.9	-90.506442 38.668171,-90.506451 38.668313999999995,-90.506446 38.668435,-90.506424 38.668507000000005,-90.506377 38.668574
0	7	287	341	0	0	0	0	0.0	6.3	0.0	0	0	Straight	0	793.9	800.2	-90.506377 38.668574,-90.506186 38.668686,-90.50602 38.668786,-90.505821 38.668898999999996,-90.505654 38.669002
0	8	341	429	0	0	0	0	0.0	1.9	0.0	0	0	Straight	0	800.2	802.1	-90.505654 38.669002,-90.505413 38.669146999999995
0	9	429	17	0	0	0	0	0.0	3.0	0.0	0	0	Straight	0	802.1	805.1	-90.505413 38.669146999999995,-90.505365 38.669176,-90.505148 38.669311,-90.505009 38.66941
0	10	17	343	0	0	0	0	0.0	4.4	0.0	0	0	Straight	0	805.1	809.5	-90.505009 38.66941,-90.504969 38.669438,-90.504724 38.669618,-90.504533 38.669774000000004,-90.50444 38.669855
0	11	343	344	0	0	0	0	0.0	0.5	0.0	0	0	Straight	0	809.5	810.0	-90.50444 38.669855,-90.504379 38.669909000000004
0	12	344	52	0	0	0	0	0.0	21.8	0.0	0	0	Straight	0	810.0	831.8	-90.504379 38.669909000000004,-90.504333 38.669951,-90.504312 38.66997,-90.503775 38.670566,-90.503494 38.670939000000004,-90.502462 38.672720999999996
0	13	52	51	0	0	0	0	0.0	3.1	0.0	0	0	Left	25	856.8	859.9	-90.502462 38.672720999999996,-90.502652 38.672804
0	14	51	371	0	0	0	0	0.0	5.4	0.0	0	0	Straight	0	859.9	865.3	-90.502652 38.672804,-90.503192 38.673067
0	15	371	102	0	0	0	0	0.0	8.5	0.0	0	0	Straight	0	865.3	873.8	-90.503192 38.673067,-90.504167 38.673504
0	16	102	425	0	0	0	0	0.0	4.8	0.0	0	0	Right	5	878.8	883.6	-90.504167 38.673504,-90.504029 38.673741
0	17	425	100	0	1	18	45	0.0	8.2	13.2	1	0	Straight	0	883.6	896.8	-90.504029 38.673741,-90.50389 38.673978000000005
0	18	100	303	0	1	90	225	0.0	17.5	42.5	1	0	Right	5	901.8	944.3	-90.50389 38.673978000000005,-90.503258 38.673702,-90.503211 38.673688999999996,-90.503138 38.673684,-90.503101 38.673702,-90.503065 38.673738,-90.503054 38.673765
0	19	303	312	0	1	126	315	0.0	23.8	58.8	1	0	Straight	0	944.3	1003.1	-90.503054 38.673765,-90.503004 38.673839,-90.502839 38.674110999999996,-90.502754 38.674267,-90.502674 38.674405,-90.502624 38.674538999999996,-90.502589 38.674690999999996,-90.502602 38.674746
0	20	312	313	0	1	180	450	0.0	6.7	56.7	1	0	Straight	0	1003.1	1059.8	-90.502602 38.674746,-90.502602 38.674773,-90.502665 38.674936,-90.502713 38.67503
0	21	313	109	0	1	90	225	0.0	20.4	45.4	1	0	Straight	0	1059.8	1105.2	-90.502713 38.67503,-90.502759 38.675084999999996,-90.502819 38.675124,-90.503065 38.675242,-90.503232 38.675319,-90.503425 38.675364
0	22	109	313	0	1	54	135	0.0	17.8	32.8	1	0	U	125	1230.2	1263.0	-90.503425 38.675364,-90.503232 38.675319,-90.503065 38.675242,-90.502819 38.675124,-90.502759 38.675084999999996,-90.502713 38.67503
0	23	313	312	0	1	18	45	0.0	7.1	12.1	1	0	Straight	0	1263.0	1275.1	-90.502713 38.67503,-90.502665 38.674936,-90.502602 38.674773,-90.502602 38.674746
0	24	312	303	0	1	108	270	0.0	25.2	55.2	1	0	Straight	0	1275.1	1330.3	-90.502602 38.674746,-90.502589 38.674690999999996,-90.502624 38.674538999999996,-90.502674 38.674405,-90.502754 38.674267,-90.502839 38.674110999999996,-90.503004 38.673839,-90.503054 38.673765
0	25	303	100	0	1	54	135	0.0	19.6	34.6	1	0	Straight	0	1330.3	1364.9	-90.503054 38.673765,-90.503065 38.673738,-90.503101 38.673702,-90.503138 38.673684,-90.503211 38.673688999999996,-90.503258 38.673702,-90.50389 38.673978000000005
0	26	100	99	0	0	0	0	0.0	2.9	0.0	0	0	Straight	0	1364.9	1367.8	-90.50389 38.673978000000005,-90.504034 38.674032
0	27	99	301	0	0	0	0	0.0	2.5	0.0	0	0	Straight	0	1367.8	1370.3	-90.504034 38.674032,-90.504101 38.674065999999996
0	28	301	302	1	0	0	0	0.0	13.3	0.0	0	0	Right	5	1375.3	1388.6	-90.504101 38.674065999999996,-90.50406 38.674130000000005,-90.504041 38.674165,-90.504025 38.674206999999996,-90.504021 38.67425,-90.504025 38.674284
0	29	302	233	0	1	54	135	0.0	24.9	39.9	1	0	Straight	0	1388.6	1428.5	-90.504025 38.674284,-90.504051 38.674323,-90.504109 38.674358,-90.504188 38.674384,-90.504267 38.674395000000004
0	30	233	232	0	1	54	135	0.0	23.2	38.2	1	0	Straight	0	1428.5	1466.7	-90.504267 38.674395000000004,-90.504304 38.674391,-90.504336 38.67438,-90.504389 38.674344000000005,-90.504424 38.674287,-90.504435 38.674240999999995
0	31	232	301	1	1	54	135	0.0	28.1	43.1	1	0	Straight	0	1466.7	1509.8	-90.504435 38.674240999999995,-90.504411 38.674195999999995,-90.50437 38.674164000000005,-90.504306 38.674133,-90.504238 38.674102000000005,-90.504155 38.674075,-90.504101 38.674065999999996
0	32	301	99	0	0	0	0	0.0	3.9	0.0	0	0	Straight	0	1509.8	1513.7	-90.504101 38.674065999999996,-90.504034 38.674032
0	33	99	101	0	1	18	45	0.0	15.9	20.9	1	0	Right	5	1518.7	1539.6	-90.504034 38.674032,-90.504284 38.673561
0	34	101	88	0	0	0	0	0.0	12.8	0.0	0	0	Right	5	1544.6	1557.4	-90.504284 38.673561,-90.504589 38.673679,-90.505001 38.673923,-90.505137 38.674049,-90.505242 38.674147000000005
0	35	88	89	0	0	0	0	0.0	2.2	0.0	0	0	Straight	0	1557.4	1559.6	-90.505242 38.674147000000005,-90.505315 38.674244
0	36	89	423	0	0	0	0	0.0	5.7	0.0	0	0	Left	25	1584.6	1590.3	-90.505315 38.674244,-90.505675 38.674074000000005
0	37	423	107	0	0	0	0	0.0	2.8	0.0	0	0	Straight	0	1590.3	1593.1	-90.505675 38.674074000000005,-90.505859 38.673987
0	38	107	108	0	1	36	90	0.0	9.6	19.6	1	0	Right	5	1598.1	1617.7	-90.505859 38.673987,-90.50611 38.674623
0	39	108	347	0	1	126	315	0.0	34.1	69.1	1	0	Left	25	1642.7	1711.8	-90.50611 38.674623,-90.506428 38.674547000000004,-90.506632 38.674527999999995,-90.506888 38.674547000000004,-90.50704 38.674578,-90.50716 38.674623,-90.507369 38.67475,-90.50751 38.674848999999995,-90.507893 38.675191999999996
0	40	347	348	1	1	90	225	0.0	5.4	30.4	1	0	Left	25	1736.8	1767.2	-90.507893 38.675191999999996,-90.507913 38.675179,-90.507977 38.67517,-90.508036 38.67518,-90.508055 38.675196,-90.508067 38.67523,-90.508064 38.67527
0	41	348	347	1	1	90	225	0.0	5.4	30.4	0	0	U	125	1892.2	1897.6	-90.508064 38.67527,-90.508067 38.67523,-90.508055 38.675196,-90.508036 38.67518,-90.507977 38.67517,-90.507913 38.675179,-90.507893 38.675191999999996
0	42	347	108	0	1	162	405	0.0	42.1	87.1	1	0	Right	5	1902.6	1989.7	-90.507893 38.675191999999996,-90.50751 38.674848999999995,-90.507369 38.67475,-90.50716 38.674623,-90.50704 38.674578,-90.506888 38.674547000000004,-90.506632 38.674527999999995,-90.506428 38.674547000000004,-90.50611 38.674623
0	43	108	105	0	1	36	90	0.0	3.6	13.6	1	0	Left	25	2014.7	2028.3	-90.50611 38.674623,-90.506167 38.674917
0	44	105	104	0	1	18	45	0.0	4.9	9.9	1	0	Straight	0	2028.3	2038.2	-90.506167 38.674917,-90.506162 38.675179,-90.506152 38.6753
0	45	104	96	0	1	54	135	0.0	58.5	73.5	1	0	Left	25	2063.2	2136.7	-90.506152 38.6753,-90.506465 38.675332,-90.506643 38.675359,-90.506799 38.675413,-90.506951 38.675499,-90.507069 38.675602
0	46	96	93	1	1	18	45	0.0	4.0	9.0	1	0	Left	25	2161.7	2170.7	-90.507069 38.675602,-90.507112 38.675596,-90.507154 38.675598,-90.507212 38.675621
0	47	93	92	1	1	72	180	0.0	11.8	31.8	1	0	Straight	0	2170.7	2202.5	-90.507212 38.675621,-90.507249 38.675647,-90.50727 38.675681,-90.507273 38.675716,-90.507263 38.675748999999996,-90.507232 38.675767,-90.50719 38.675774000000004,-90.50715 38.67576,-90.507123 38.675737999999996,-90.507102 38.675716,-90.507084 38.675691,-90.507075 38.675655
0	48	92	96	1	0	0	0	0.0	1.7	0.0	0	0	Straight	0	2202.5	2204.2	-90.507075 38.675655,-90.507064 38.675627,-90.507069 38.675602
0	49	96	104	0	1	72	180	0.0	27.0	47.0	1	0	Left	25	2229.2	2276.2	-90.507069 38.675602,-90.506951 38.675499,-90.506799 38.675413,-90.506643 38.675359,-90.506465 38.675332,-90.506152 38.6753
0	50	104	103	0	1	72	180	0.0	9.1	29.1	1	0	Left	25	2301.2	2330.3	-90.506152 38.6753,-90.506068 38.675612,-90.505922 38.675978
0	51	103	33	1	1	396	990	0.0	35.1	145.1	1	0	Straight	0	2330.3	2475.4	-90.505922 38.675978,-90.505896 38.676023,-90.505859 38.676203,-90.505854 38.676407,-90.505917 38.676601000000005,-90.506136 38.677034,-90.506199 38.677197,-90.506261 38.677377,-90.506324 38.677675,-90.506345 38.677859999999995,-90.506413 38.678104000000005,-90.506549 38.67842,-90.506599 38.678501
0	52	33	359	1	1	36	90	0.0	3.9	13.9	1	0	Straight	0	2475.4	2489.3	-90.506599 38.678501,-90.506669 38.678613999999996,-90.506721 38.678650000000005,-90.506765 38.678658
0	53	359	360	1	1	108	270	0.0	10.5	40.5	1	0	Straight	0	2489.3	2529.8	-90.506765 38.678658,-90.506871 38.678634,-90.507476 38.67832
0	54	360	354	0	1	144	360	0.0	26.2	66.2	1	0	Left	25	2554.8	2621.0	-90.507476 38.67832,-90.507357 38.678093000000004,-90.507309 38.677965,-90.507281 38.677834000000004,-90.50725 38.677574,-90.507205 38.677311,-90.507065 38.676793
0	55	354	324	1	1	90	225	0.0	5.5	30.5	1	0	Straight	0	2621.0	2651.5	-90.507065 38.676793,-90.507074 38.676764,-90.507079 38.676726,-90.507081 38.676682,-90.507065 38.676638,-90.507025 38.676598999999996,-90.506981 38.676594
