Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	35200	48000	2	45572.4	29062.4	3.84576	0	1.09756	0.751144	605.182	54326.4	2.01712	4.62293	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	714	63	0	0	0	0	0.0	571.6	0.0	0	0		0	0.0	571.6	-90.453251 38.613293999999996,-90.451767 38.612762000000004,-90.451636 38.612773000000004,-90.45146 38.612815999999995,-90.450718 38.613096,-90.450464 38.613192,-90.449457 38.616066000000004,-90.449474 38.617754000000005,-90.449424 38.619487,-90.448442 38.619485,-90.447724 38.619485999999995,-90.446295 38.619482000000005,-90.445954 38.619481,-90.445853 38.619479,-90.445373 38.619474,-90.445025 38.61947,-90.444731 38.619466,-90.444458 38.619462999999996,-90.444276 38.619461,-90.44414 38.619460000000004,-90.443225 38.619451999999995,-90.442806 38.619447,-90.442494 38.619448,-90.442233 38.619456,-90.442029 38.619506,-90.44186 38.619102,-90.441618 38.618579,-90.441455 38.618263,-90.441213 38.617857,-90.439914 38.616067,-90.439861 38.616001,-90.438115 38.613665,-90.437837 38.613749999999996,-90.437516 38.613884,-90.437265 38.613993,-90.437175 38.614146000000005,-90.438544 38.615789,-90.439205 38.616595000000004,-90.439322 38.616741000000005,-90.439857 38.617428000000004,-90.440578 38.618556,-90.441262 38.619937,-90.441283 38.619995,-90.441564 38.620881,-90.442182 38.62265,-90.44265 38.62483,-90.442994 38.626577999999995,-90.443021 38.626718,-90.44305 38.626856000000004,-90.443058 38.626906000000005,-90.443083 38.627002000000005,-90.443214 38.627668,-90.443782 38.630474,-90.44383 38.63071,-90.443897 38.631044,-90.44437 38.633365,-90.445051 38.636713,-90.445102 38.636973999999995,-90.445237 38.637663,-90.445703 38.640097,-90.446327 38.643181999999996,-90.446475 38.643834999999996,-90.446573 38.644282000000004,-90.446612 38.644461,-90.446662 38.644693000000004,-90.446952 38.646108,-90.447057 38.646633,-90.4471 38.646861,-90.447371 38.648183,-90.447487 38.64886,-90.447557 38.649178,-90.447787 38.650163,-90.448163 38.651977,-90.44825 38.652378999999996,-90.449167 38.656931,-90.449179 38.656997000000004,-90.449192 38.657061999999996,-90.449206 38.657145,-90.449324 38.657779000000005,-90.449776 38.660041,-90.449821 38.660292,-90.44985 38.660457,-90.449923 38.660956,-90.450329 38.664228,-90.450488 38.665902,-90.450588 38.666889,-90.450618 38.667221,-90.450643 38.667465,-90.450827 38.669432,-90.450877 38.669925,-90.451225 38.673624000000004,-90.451502 38.676651,-90.451588 38.677576,-90.451625 38.677963,-90.451628 38.678011999999995,-90.451638 38.678106,-90.451663 38.678371999999996,-90.451671 38.678508,-90.451768 38.679421000000005,-90.451978 38.681607,-90.451924 38.683828
0	1	63	459	0	0	0	0	0.0	3.4	0.0	0	0	Straight	0	571.6	575.0	-90.451924 38.683828,-90.451982 38.684399
0	2	459	615	0	0	0	0	0.0	2.0	0.0	0	0	Straight	0	575.0	577.0	-90.451982 38.684399,-90.452002 38.684753
0	3	615	274	0	0	0	0	0.0	12.0	0.0	0	0	Straight	0	577.0	589.0	-90.452002 38.684753,-90.452226 38.686887
0	4	274	695	0	0	0	0	0.0	0.7	0.0	0	0	Straight	0	589.0	589.7	-90.452226 38.686887,-90.452234 38.687009
0	5	695	273	0	0	0	0	0.0	4.4	0.0	0	0	Straight	0	589.7	594.1	-90.452234 38.687009,-90.452342 38.687782999999996
0	6	273	506	0	0	0	0	0.0	0.3	0.0	0	0	Straight	0	594.1	594.4	-90.452342 38.687782999999996,-90.45235 38.687829
0	7	506	468	0	0	0	0	0.0	3.3	0.0	0	0	Straight	0	594.4	597.7	-90.45235 38.687829,-90.452444 38.688426
0	8	468	272	0	0	0	0	0.0	3.3	0.0	0	0	Straight	0	597.7	601.0	-90.452444 38.688426,-90.452539 38.689029000000005
0	9	272	59	0	0	0	0	0.0	1.7	0.0	0	0	Straight	0	601.0	602.7	-90.452539 38.689029000000005,-90.452578 38.689334
