Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	17600	24000	2	38743.6	31753.6	7.07244	0	2	0.528493	155.987	4721.2	0.39166	3.12773	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	756	202	0	0	0.0	0	0.0	972.3	0.0	0	0		0	0.0	972.3	-90.335139 38.891017000000005,-90.332179 38.891635,-90.33209599999999 38.891653000000005,-90.331921 38.891215,-90.331769 38.890995000000004,-90.33157899999999 38.890806000000005,-90.330963 38.890331,-90.32982299999999 38.889502,-90.329449 38.889143000000004,-90.32896799999999 38.88888,-90.328797 38.888756,-90.32835999999999 38.888439000000005,-90.32801099999999 38.888194000000006,-90.327351 38.887752000000006,-90.32704799999999 38.887534,-90.32667199999999 38.887285000000006,-90.326258 38.887009000000006,-90.326127 38.886921,-90.32591199999999 38.886776000000005,-90.32542699999999 38.886452000000006,-90.325273 38.886351000000005,-90.324725 38.885984,-90.324649 38.885932000000004,-90.324473 38.885821,-90.32419499999999 38.885633000000006,-90.32405299999999 38.88553,-90.32375599999999 38.885325,-90.322864 38.884710000000005,-90.32274 38.884623000000005,-90.322424 38.88439,-90.322166 38.884201000000004,-90.321158 38.883451,-90.31952799999999 38.882237,-90.31903799999999 38.881870000000006,-90.31881899999999 38.881706,-90.31862799999999 38.881569000000006,-90.318359 38.881381000000005,-90.31810499999999 38.881202,-90.317698 38.880823,-90.317652 38.880793000000004,-90.317382 38.880594,-90.317309 38.880539000000006,-90.317222 38.880479,-90.317104 38.880586,-90.316818 38.880843000000006,-90.31612299999999 38.881476000000006,-90.315297 38.882226,-90.314898 38.882604,-90.314295 38.883172,-90.31294199999999 38.884175000000006,-90.30994 38.883581,-90.30801799999999 38.881411,-90.307599 38.880863000000005,-90.30746699999999 38.880629000000006,-90.30646999999999 38.878488000000004,-90.305526 38.876426,-90.305459 38.87628,-90.30505799999999 38.875379,-90.304362 38.873904,-90.303788 38.87266,-90.303556 38.872461,-90.300421 38.86891,-90.300052 38.868629000000006,-90.300011 38.868604000000005,-90.295553 38.865307,-90.295355 38.865166,-90.295114 38.864982000000005,-90.29459299999999 38.864582000000006,-90.290343 38.861412,-90.29029799999999 38.861384,-90.290174 38.861308,-90.29007999999999 38.861246,-90.289254 38.860652,-90.285225 38.857599,-90.28506399999999 38.857404,-90.282961 38.855793000000006,-90.282528 38.855468,-90.28177799999999 38.854919,-90.28155 38.854841,-90.281273 38.854674,-90.28080899999999 38.854348,-90.27811799999999 38.852318000000004,-90.27769699999999 38.851991000000005,-90.27765799999999 38.851954000000006,-90.277571 38.851876000000004,-90.274086 38.849257,-90.270702 38.846745000000006,-90.268486 38.845117,-90.26564099999999 38.84291,-90.264398 38.841983000000006,-90.26230199999999 38.840429,-90.26180599999999 38.84006,-90.261365 38.839735000000005,-90.26114 38.839569000000004,-90.260818 38.839330000000004,-90.260511 38.839105,-90.25967 38.838482000000006,-90.254915 38.834944,-90.254486 38.834618000000006,-90.253097 38.833543000000006,-90.252072 38.832782,-90.251763 38.832573000000004,-90.251149 38.832112,-90.25074799999999 38.831811,-90.249814 38.831103000000006,-90.249181 38.830679,-90.24844499999999 38.830110000000005,-90.248278 38.829972000000005,-90.248165 38.829890000000006,-90.24785 38.829658,-90.24736299999999 38.829291000000005,-90.246572 38.828682,-90.245437 38.827813000000006,-90.242446 38.825558,-90.239342 38.823219,-90.23893199999999 38.822939000000005,-90.23771699999999 38.822156,-90.23663099999999 38.821458,-90.236514 38.821367,-90.23446999999999 38.819941,-90.23394599999999 38.819431,-90.233217 38.818565,-90.23302699999999 38.818291,-90.23293899999999 38.818143000000006,-90.23258899999999 38.817546,-90.232354 38.81705,-90.23204399999999 38.814007000000004,-90.232068 38.813930000000006,-90.23212199999999 38.813791,-90.23225599999999 38.813362000000005,-90.232283 38.813286000000005,-90.233024 38.811872,-90.235135 38.809703000000006,-90.23539099999999 38.809344,-90.236831 38.808001000000004,-90.23876899999999 38.806175,-90.241225 38.803862,-90.24153299999999 38.803634,-90.24313199999999 38.802132,-90.24407 38.801265,-90.244481 38.800756,-90.24452099999999 38.800703000000006,-90.24457199999999 38.800655000000006,-90.245055 38.800224,-90.246144 38.799155000000006,-90.24685099999999 38.798471000000006,-90.248601 38.796869,-90.251801 38.793837,-90.253919 38.791847000000004,-90.254013 38.791763,-90.254954 38.790883,-90.25591999999999 38.790012000000004,-90.257565 38.788573,-90.259665 38.786645,-90.259873 38.786455000000004,-90.26034399999999 38.785908000000006,-90.260426 38.785829,-90.26697399999999 38.779669000000005,-90.27011399999999 38.776715,-90.27026599999999 38.776604000000006,-90.27225299999999 38.774326,-90.274479 38.771571,-90.27666099999999 38.768995000000004,-90.277452 38.768063000000005,-90.27977299999999 38.765636,-90.280532 38.765043000000006,-90.28299 38.762973,-90.28365799999999 38.762377,-90.28419199999999 38.761994,-90.28500799999999 38.761453,-90.291117 38.757665,-90.293551 38.756244,-90.29639399999999 38.754391000000005,-90.2967 38.754172000000004,-90.296914 38.754022000000006,-90.297232 38.753791,-90.299838 38.751655,-90.30123999999999 38.750485000000005,-90.301885 38.749963,-90.302853 38.749116,-90.30479 38.747481,-90.30703 38.745857,-90.308028 38.745431,-90.30911099999999 38.745316,-90.30934099999999 38.745328,-90.30993699999999 38.745327,-90.31054999999999 38.745096000000004,-90.312045 38.745159,-90.31246499999999 38.745468,-90.31339299999999 38.746154000000004,-90.313654 38.746347,-90.314374 38.746897000000004
0	1	202	744	0	0	0.0	0	0.0	5.2	0.0	0	0	Straight	0	972.3	977.5	-90.314374 38.746897000000004,-90.314962 38.747341000000006
0	2	744	115	0	0	0.0	0	0.0	7.3	0.0	0	0	Straight	0	977.5	984.8	-90.314962 38.747341000000006,-90.31513 38.747468000000005,-90.315715 38.747907000000005
0	3	115	161	0	0	0.0	0	0.0	3.0	0.0	0	0	Straight	0	984.8	987.8	-90.315715 38.747907000000005,-90.316003 38.748123
0	4	161	114	0	0	0.0	0	0.0	5.4	0.0	0	0	Straight	0	987.8	993.2	-90.316003 38.748123,-90.316437 38.74844
0	5	114	210	0	0	0.0	0	0.0	36.7	0.0	0	0	Straight	0	993.2	1029.9	-90.316437 38.74844,-90.31689 38.74877,-90.31742 38.749152
0	6	210	209	0	0	0.0	0	0.0	1.5	0.0	0	0	Straight	0	1029.9	1031.4	-90.31742 38.749152,-90.317566 38.749267
0	7	209	208	0	0	0.0	0	0.0	1.7	0.0	0	0	Left	25	1056.4	1058.1	-90.317566 38.749267,-90.31770399999999 38.749142000000006
0	8	208	544	0	0	0.0	0	0.0	5.9	0.0	0	0	Straight	0	1058.1	1064.0	-90.31770399999999 38.749142000000006,-90.318252 38.748632
0	9	544	160	0	1	735.0	2100	0.0	3.8	927.8	1	0	Straight	0	1064.0	1991.8	-90.318252 38.748632,-90.318654 38.748259000000004
