Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	17600	24000	2	36685.1	30740.1	152.272	1.755	1	0.000423214	305.478	5416.1	0.192689	0.165418	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	780	220	0	0	0.0	0	0.0	985.5	0.0	0	0		0	0.0	985.5	-90.335139 38.891017000000005,-90.332179 38.891635,-90.33209599999999 38.891653000000005,-90.331921 38.891215,-90.331769 38.890995000000004,-90.33157899999999 38.890806000000005,-90.330963 38.890331,-90.32982299999999 38.889502,-90.329449 38.889143000000004,-90.32896799999999 38.88888,-90.328797 38.888756,-90.32835999999999 38.888439000000005,-90.32801099999999 38.888194000000006,-90.327351 38.887752000000006,-90.32704799999999 38.887534,-90.32667199999999 38.887285000000006,-90.326258 38.887009000000006,-90.326127 38.886921,-90.32591199999999 38.886776000000005,-90.32542699999999 38.886452000000006,-90.325273 38.886351000000005,-90.324725 38.885984,-90.324649 38.885932000000004,-90.324473 38.885821,-90.32419499999999 38.885633000000006,-90.32405299999999 38.88553,-90.32375599999999 38.885325,-90.322864 38.884710000000005,-90.32274 38.884623000000005,-90.322424 38.88439,-90.322166 38.884201000000004,-90.321158 38.883451,-90.31952799999999 38.882237,-90.31903799999999 38.881870000000006,-90.31881899999999 38.881706,-90.31862799999999 38.881569000000006,-90.318359 38.881381000000005,-90.31810499999999 38.881202,-90.317698 38.880823,-90.317652 38.880793000000004,-90.317382 38.880594,-90.317309 38.880539000000006,-90.317222 38.880479,-90.317104 38.880586,-90.316818 38.880843000000006,-90.31612299999999 38.881476000000006,-90.315297 38.882226,-90.314898 38.882604,-90.314295 38.883172,-90.31294199999999 38.884175000000006,-90.30994 38.883581,-90.30801799999999 38.881411,-90.307599 38.880863000000005,-90.30746699999999 38.880629000000006,-90.30646999999999 38.878488000000004,-90.305526 38.876426,-90.305459 38.87628,-90.30505799999999 38.875379,-90.304362 38.873904,-90.303788 38.87266,-90.303556 38.872461,-90.300421 38.86891,-90.300052 38.868629000000006,-90.300011 38.868604000000005,-90.295553 38.865307,-90.295355 38.865166,-90.295114 38.864982000000005,-90.29459299999999 38.864582000000006,-90.290343 38.861412,-90.29029799999999 38.861384,-90.290174 38.861308,-90.29007999999999 38.861246,-90.289254 38.860652,-90.285225 38.857599,-90.28506399999999 38.857404,-90.282961 38.855793000000006,-90.282528 38.855468,-90.28177799999999 38.854919,-90.28155 38.854841,-90.281273 38.854674,-90.28080899999999 38.854348,-90.27811799999999 38.852318000000004,-90.27769699999999 38.851991000000005,-90.27765799999999 38.851954000000006,-90.277571 38.851876000000004,-90.274086 38.849257,-90.270702 38.846745000000006,-90.268486 38.845117,-90.26564099999999 38.84291,-90.264398 38.841983000000006,-90.26230199999999 38.840429,-90.26180599999999 38.84006,-90.261365 38.839735000000005,-90.26114 38.839569000000004,-90.260818 38.839330000000004,-90.260511 38.839105,-90.25967 38.838482000000006,-90.254915 38.834944,-90.254486 38.834618000000006,-90.253097 38.833543000000006,-90.252072 38.832782,-90.251763 38.832573000000004,-90.251149 38.832112,-90.25074799999999 38.831811,-90.249814 38.831103000000006,-90.249181 38.830679,-90.24844499999999 38.830110000000005,-90.248278 38.829972000000005,-90.248165 38.829890000000006,-90.24785 38.829658,-90.24736299999999 38.829291000000005,-90.246572 38.828682,-90.245437 38.827813000000006,-90.242446 38.825558,-90.239342 38.823219,-90.23893199999999 38.822939000000005,-90.23771699999999 38.822156,-90.23663099999999 38.821458,-90.236514 38.821367,-90.23446999999999 38.819941,-90.23394599999999 38.819431,-90.233217 38.818565,-90.23302699999999 38.818291,-90.23293899999999 38.818143000000006,-90.23258899999999 38.817546,-90.232354 38.81705,-90.23204399999999 38.814007000000004,-90.232068 38.813930000000006,-90.23212199999999 38.813791,-90.23225599999999 38.813362000000005,-90.232283 38.813286000000005,-90.233024 38.811872,-90.235135 38.809703000000006,-90.23539099999999 38.809344,-90.236831 38.808001000000004,-90.23876899999999 38.806175,-90.241225 38.803862,-90.24153299999999 38.803634,-90.24313199999999 38.802132,-90.24407 38.801265,-90.244481 38.800756,-90.24452099999999 38.800703000000006,-90.24457199999999 38.800655000000006,-90.245055 38.800224,-90.246144 38.799155000000006,-90.24685099999999 38.798471000000006,-90.248601 38.796869,-90.251801 38.793837,-90.253919 38.791847000000004,-90.254013 38.791763,-90.254954 38.790883,-90.25591999999999 38.790012000000004,-90.257565 38.788573,-90.259665 38.786645,-90.259873 38.786455000000004,-90.26034399999999 38.785908000000006,-90.260426 38.785829,-90.26697399999999 38.779669000000005,-90.27011399999999 38.776715,-90.27026599999999 38.776604000000006,-90.27225299999999 38.774326,-90.274479 38.771571,-90.27666099999999 38.768995000000004,-90.277452 38.768063000000005,-90.27977299999999 38.765636,-90.280532 38.765043000000006,-90.28299 38.762973,-90.28371 38.762441,-90.28419299999999 38.762088000000006,-90.284566 38.761839,-90.288253 38.759545,-90.29134599999999 38.757619000000005,-90.29421199999999 38.756114000000004,-90.29606799999999 38.755833,-90.296635 38.755846000000005,-90.29681099999999 38.755847,-90.297941 38.755706,-90.29809499999999 38.755617,-90.298307 38.755422,-90.29861299999999 38.755069000000006,-90.29869 38.754994,-90.298802 38.754900000000006,-90.298525 38.754779000000006,-90.29841499999999 38.754733,-90.29829799999999 38.754676,-90.297519 38.754310000000004,-90.29718299999999 38.75414,-90.29699 38.754052,-90.296914 38.754022000000006,-90.296708 38.753932000000006,-90.29662099999999 38.753892,-90.296526 38.753849,-90.29615199999999 38.753678,-90.295536 38.753391,-90.294834 38.753055,-90.29407699999999 38.752691000000006,-90.29366599999999 38.752504,-90.292597 38.752018,-90.29247799999999 38.751963,-90.291899 38.751693,-90.291732 38.75161,-90.29157099999999 38.75153,-90.290303 38.75094,-90.290004 38.750803000000005
0	1	220	215	0	0	0.0	0	0.0	0.6	0.0	0	0	Straight	0	985.5	986.1	-90.290004 38.750803000000005,-90.289913 38.750762
0	2	215	248	0	0	0.0	0	0.0	2.1	0.0	0	0	Straight	0	986.1	988.2	-90.289913 38.750762,-90.289554 38.750577
0	3	248	249	0	0	0.0	0	0.0	4.8	0.0	0	0	Straight	0	988.2	993.0	-90.289554 38.750577,-90.289431 38.750514,-90.289301 38.750442,-90.289182 38.750375000000005,-90.28906699999999 38.750308000000004,-90.28895999999999 38.750238,-90.28885 38.750165,-90.28872199999999 38.750079
0	4	249	160	0	0	0.0	0	0.0	2.5	0.0	0	0	Straight	0	993.0	995.5	-90.28872199999999 38.750079,-90.28829999999999 38.749783
0	5	160	250	0	0	0.0	0	0.0	0.6	0.0	0	0	Straight	0	995.5	996.1	-90.28829999999999 38.749783,-90.288197 38.74971
0	6	250	742	0	0	0.0	0	0.0	0.9	0.0	0	0	Straight	0	996.1	997.0	-90.288197 38.74971,-90.28804299999999 38.749605
0	7	742	251	0	0	0.0	0	0.0	1.0	0.0	0	0	Straight	0	997.0	998.0	-90.28804299999999 38.749605,-90.28786699999999 38.749484
0	8	251	228	0	0	0.0	0	0.0	3.2	0.0	0	0	Straight	0	998.0	1001.2	-90.28786699999999 38.749484,-90.287313 38.749098000000004
0	9	228	756	0	0	0.0	0	0.0	1.4	0.0	0	0	Straight	0	1001.2	1002.6	-90.287313 38.749098000000004,-90.287067 38.748928
0	10	756	252	0	0	0.0	0	0.0	3.4	0.0	0	0	Straight	0	1002.6	1006.0	-90.287067 38.748928,-90.28647799999999 38.748522
0	11	252	356	0	0	0.0	0	0.0	5.7	0.0	0	0	Straight	0	1006.0	1011.7	-90.28647799999999 38.748522,-90.285923 38.748145,-90.285536 38.747877
0	12	356	185	0	0	0.0	0	0.0	0.8	0.0	0	0	Straight	0	1011.7	1012.5	-90.285536 38.747877,-90.285406 38.747788
0	13	185	253	0	0	0.0	0	0.0	0.8	0.0	0	0	Straight	0	1012.5	1013.3	-90.285406 38.747788,-90.285281 38.747701000000006
0	14	253	239	0	0	0.0	0	0.0	1.4	0.0	0	0	Straight	0	1013.3	1014.7	-90.285281 38.747701000000006,-90.285101 38.747564000000004
0	15	239	186	0	0	0.0	0	0.0	2.7	0.0	0	0	Straight	0	1014.7	1017.4	-90.285101 38.747564000000004,-90.28481599999999 38.747372000000006
0	16	186	750	0	0	0.0	0	0.0	6.2	0.0	0	0	Straight	0	1017.4	1023.6	-90.28481599999999 38.747372000000006,-90.284454 38.747129
0	17	750	238	0	0	0.0	0	0.0	40.1	0.0	0	0	Straight	0	1023.6	1063.7	-90.284454 38.747129,-90.28344399999999 38.746448
0	18	238	276	0	0	0.0	0	0.0	1.3	0.0	0	0	Straight	0	1063.7	1065.0	-90.28344399999999 38.746448,-90.28335299999999 38.746383,-90.283299 38.746349
0	19	276	275	0	0	0.0	0	0.0	2.7	0.0	0	0	Straight	0	1065.0	1067.7	-90.283299 38.746349,-90.282961 38.746112000000004
0	20	275	678	0	0	0.0	0	0.0	0.7	0.0	0	0	Straight	0	1067.7	1068.4	-90.282961 38.746112000000004,-90.28286899999999 38.746046
0	21	678	255	0	0	0.0	0	0.0	3.5	0.0	0	0	Straight	0	1068.4	1071.9	-90.28286899999999 38.746046,-90.28272899999999 38.745945000000006,-90.282395 38.745705
0	22	255	110	0	0	0.0	0	0.0	2.6	0.0	0	0	Straight	0	1071.9	1074.5	-90.282395 38.745705,-90.28201999999999 38.745452
0	23	110	188	0	0	0.0	0	0.0	1.9	0.0	0	0	Straight	0	1074.5	1076.4	-90.28201999999999 38.745452,-90.281736 38.745258
0	24	188	108	0	0	0.0	0	0.0	1.5	0.0	0	0	Straight	0	1076.4	1077.9	-90.281736 38.745258,-90.28150799999999 38.745105
0	25	108	187	0	0	0.0	0	0.0	0.5	0.0	0	0	Straight	0	1077.9	1078.4	-90.28150799999999 38.745105,-90.281431 38.745053000000006
0	26	187	257	0	0	0.0	0	0.0	0.4	0.0	0	0	Straight	0	1078.4	1078.8	-90.281431 38.745053000000006,-90.281376 38.745014000000005
