Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	10000	10000	2	24939.9	22017	53.697	2.193	1	0.0210716	394.42	7516	0.0137056	0.0906101	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0	36	432.455365 -432.455365,407.129554 -415.276308
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36	191	407.129554 -415.276308,297.503138 -331.953362
0	2	10068	10102	1	0	0	0	0	188	0	0	0	Left	10.42	191	379	297.503138 -331.953362,132.379176 -357.535626
0	3	10102	360	1	0	0	0	0	32	0	0	0	Right	5.21	379	411	132.379176 -357.535626,117.145189 -314.538499
0	4	360	362	1	0	0	0	0	27	0	0	0	Left	10.42	411	438	117.145189 -314.538499,93.519323 -321.117727
0	5	362	364	1	0	0	0	0	22	0	0	0	Straight	0.0	438	460	93.519323 -321.117727,74.184467 -316.277702
0	6	364	340	1	0	0	0	0	7	0	0	0	Right	5.21	460	467	74.184467 -316.277702,70.35563 -306.538098
0	7	340	342	1	0	0	0	0	12	0	0	0	Straight	0.0	467	479	70.35563 -306.538098,65.55319 -289.070281
0	8	342	338	1	0	0	0	0	9	0	0	0	Straight	0.0	479	488	65.55319 -289.070281,61.587894 -279.758932
0	9	338	1252	1	0	0	0	0	9	0	0	0	Straight	0.0	488	497	61.587894 -279.758932,56.051277 -273.201052
0	10	1252	520	1	0	0	0	0	23	0	0	0	Left	10.42	497	520	56.051277 -273.201052,36.413163 -272.553391
0	11	520	522	1	0	0	0	0	33	0	0	0	Straight	0.0	520	553	36.413163 -272.553391,8.326525 -273.391702
0	12	522	524	1	0	0	0	0	6	0	0	0	Straight	0.0	553	559	8.326525 -273.391702,3.215588 -273.634562
0	13	524	770	1	0	0	0	0	2	0	0	0	Straight	0.0	559	561	3.215588 -273.634562,1.600726 -273.371646
0	14	770	766	1	0	0	0	0	5	0	0	0	Straight	0.0	561	566	1.600726 -273.371646,-2.168865 -271.429903
0	15	766	762	1	0	0	0	0	5	0	0	0	Straight	0.0	566	571	-2.168865 -271.429903,-6.077987 -270.077063
0	16	762	764	1	1	250	250	0	33	266	0	0	Right	5.21	571	604	-6.077987 -270.077063,-19.462393 -240.751181
0	17	764	762	1	1	250	250	0	33	266	1	0	U	41.682	604	870	-19.462393 -240.751181,-6.077987 -270.077063
0	18	762	742	1	1	170	170	0	22	181	1	0	Right	5.21	870	1051	-6.077987 -270.077063,-20.125865 -284.448327
0	19	742	748	1	0	0	0	0	5	0	0	0	Right	5.21	1051	1056	-20.125865 -284.448327,-23.941617 -281.431808
0	20	748	758	1	1	160	160	0	22	171	1	0	Right	5.21	1056	1227	-23.941617 -281.431808,-10.584361 -266.727926
0	21	758	760	1	1	270	270	0	31	285	1	0	Left	10.42	1227	1512	-10.584361 -266.727926,-23.562389 -238.078473
0	22	760	756	1	0	0	0	0	6	0	0	0	Left	10.42	1512	1518	-23.562389 -238.078473,-27.599172 -236.815724
0	23	756	754	1	1	230	230	0	29	244	1	0	Left	10.42	1518	1762	-27.599172 -236.815724,-15.312306 -264.094028
0	24	754	752	1	1	90	90	0	22	101	1	0	Right	5.21	1762	1863	-15.312306 -264.094028,-28.816901 -278.697084
0	25	752	750	1	1	10	10	0	8	14	1	0	Straight	0.0	1863	1877	-28.816901 -278.697084,-31.602758 -286.30721
0	26	750	1064	1	0	0	0	0	22	0	0	0	Right	5.21	1877	1899	-31.602758 -286.30721,-49.454929 -272.345597
0	27	1064	792	1	1	50	50	0	13	56	1	0	Right	5.21	1899	1955	-49.454929 -272.345597,-46.486566 -265.104326
0	28	792	794	1	1	160	160	0	20	170	1	0	Straight	0.0	1955	2125	-46.486566 -265.104326,-32.095687 -253.162277
0	29	794	796	1	1	190	190	0	23	201	1	0	Left	10.42	2125	2326	-32.095687 -253.162277,-42.269513 -230.807112
0	30	796	790	1	0	0	0	0	5	0	0	0	U	41.682	2326	2331	-42.269513 -230.807112,-38.335247 -232.36885
0	31	790	788	1	1	200	200	0	24	212	1	0	Straight	0.0	2331	2543	-38.335247 -232.36885,-27.71803 -255.669882
0	32	788	786	1	1	140	140	0	20	150	1	0	Right	5.21	2543	2693	-27.71803 -255.669882,-41.704778 -267.874293
0	33	786	780	1	0	0	0	0	6	0	0	0	Left	10.42	2693	2699	-41.704778 -267.874293,-37.022778 -271.070287
0	34	780	782	1	1	130	130	0	20	140	1	0	Left	10.42	2699	2839	-37.022778 -271.070287,-23.422427 -258.426182
0	35	782	784	1	1	190	190	0	26	203	1	0	Left	10.42	2839	3042	-23.422427 -258.426182,-35.039752 -233.376779
0	36	784	778	1	0	0	0	0	6	0	0	0	Right	5.21	3042	3048	-35.039752 -233.376779,-31.481008 -234.550677
0	37	778	776	1	1	210	210	0	28	224	1	0	Right	5.21	3048	3272	-31.481008 -234.550677,-19.253346 -261.344667
0	38	776	774	1	1	100	100	0	20	110	1	0	Right	5.21	3272	3382	-19.253346 -261.344667,-32.509194 -274.570563
0	39	774	752	1	0	0	0	0	6	0	0	0	Left	10.42	3382	3388	-32.509194 -274.570563,-28.816901 -278.697084
0	40	752	748	1	0	0	0	0	6	0	0	0	Straight	0.0	3388	3394	-28.816901 -278.697084,-23.941617 -281.431808
0	41	748	734	1	1	150	150	0	19	159	1	0	Right	5.21	3394	3553	-23.941617 -281.431808,-25.484546 -298.42827
0	42	734	742	1	1	100	100	0	13	106	0	0	U	41.682	3553	3566	-25.484546 -298.42827,-20.125865 -284.448327
0	43	742	734	1	1	100	100	0	13	106	1	0	U	41.682	3566	3672	-20.125865 -284.448327,-25.484546 -298.42827
0	44	734	740	1	1	110	110	0	19	119	1	0	U	41.682	3672	3791	-25.484546 -298.42827,-15.765269 -286.411662
0	45	740	766	1	1	160	160	0	22	171	1	0	Straight	0.0	3791	3962	-15.765269 -286.411662,-2.168865 -271.429903
0	46	766	768	1	1	310	310	0	34	327	1	0	Left	10.42	3962	4289	-2.168865 -271.429903,-15.470481 -241.154277
0	47	768	772	1	0	0	0	0	5	0	0	0	U	41.682	4289	4294	-15.470481 -241.154277,-11.657185 -243.156524
0	48	772	770	1	1	170	170	0	35	187	1	0	Straight	0.0	4294	4481	-11.657185 -243.156524,1.600726 -273.371646
0	49	770	732	1	1	90	90	0	22	101	1	0	Right	5.21	4481	4582	1.600726 -273.371646,-11.936559 -288.618044
0	50	732	730	1	1	60	60	0	22	71	1	0	Straight	0.0	4582	4653	-11.936559 -288.618044,-21.814993 -312.183991
0	51	730	510	1	0	0	0	0	11	0	0	0	Right	5.21	4653	4664	-21.814993 -312.183991,-30.18758 -307.259603
0	52	510	726	1	0	0	0	0	4	0	0	0	Left	10.42	4664	4668	-30.18758 -307.259603,-32.707168 -310.301833
0	53	726	716	1	1	130	130	0	18	139	1	0	Straight	0.0	4668	4807	-32.707168 -310.301833,-44.764236 -323.40017
0	54	716	698	1	1	200	200	0	22	211	1	0	Straight	0.0	4807	5018	-44.764236 -323.40017,-57.828923 -339.066157
0	55	698	692	1	1	80	80	0	11	85	1	0	Right	5.21	5018	5103	-57.828923 -339.066157,-68.376806 -338.395515
0	56	692	694	1	1	40	40	0	7	43	1	0	Right	5.21	5103	5146	-68.376806 -338.395515,-70.305364 -332.577323
0	57	694	676	1	0	0	0	0	6	0	0	0	U	41.682	5146	5152	-70.305364 -332.577323,-72.169759 -337.437187
0	58	676	672	1	1	150	150	0	17	158	1	0	Straight	0.0	5152	5310	-72.169759 -337.437187,-75.850186 -354.556951
0	59	672	678	1	0	0	0	0	5	0	0	0	Straight	0.0	5310	5315	-75.850186 -354.556951,-77.191348 -358.849124
0	60	678	676	1	1	60	60	0	21	70	1	0	U	41.682	5315	5385	-77.191348 -358.849124,-72.169759 -337.437187
0	61	676	694	1	0	0	0	0	6	0	0	0	Straight	0.0	5385	5391	-72.169759 -337.437187,-70.305364 -332.577323
0	62	694	708	1	1	30	30	0	6	33	0	0	Straight	0.0	5391	5397	-70.305364 -332.577323,-68.183933 -326.669003
0	63	708	710	1	0	0	0	0	1	0	0	0	Right	5.21	5397	5398	-68.183933 -326.669003,-67.228833 -326.811454
