Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	10000	10000	2	30772	27896	124.25	0.836	1	0	348.925	8777	0.150762	0.0841234	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0	36	439.900239 -439.900239,410.197939 -423.017536
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36	191	410.197939 -423.017536,293.313668 -333.567765
0	2	10068	160	1	0	0	0	0	42	0	0	0	Straight	0.0	191	233	293.313668 -333.567765,270.335101 -303.488086
0	3	160	192	1	1	380	380	0	48	404	1	0	Straight	0.0	233	637	270.335101 -303.488086,227.604727 -277.345668
0	4	192	206	1	1	320	320	0	31	335	1	0	Straight	0.0	637	972	227.604727 -277.345668,195.730876 -273.866287
0	5	206	208	1	1	200	200	0	23	211	1	0	Right	5.21	972	1183	195.730876 -273.866287,183.325592 -255.794226
0	6	208	210	1	1	60	60	0	8	64	1	0	Left	10.42	1183	1247	183.325592 -255.794226,178.728224 -260.871033
0	7	210	218	1	1	100	100	0	12	106	1	0	Straight	0.0	1247	1353	178.728224 -260.871033,166.84824 -264.433542
0	8	218	220	1	1	60	60	0	9	64	1	0	Left	10.42	1353	1417	166.84824 -264.433542,170.955278 -274.563417
0	9	220	222	1	1	80	80	0	10	85	1	0	Right	5.21	1417	1502	170.955278 -274.563417,163.347035 -279.821346
0	10	222	228	1	1	30	30	0	8	34	0	0	Right	5.21	1502	1510	163.347035 -279.821346,156.037039 -275.372919
0	11	228	238	1	1	20	20	0	9	24	1	0	Straight	0.0	1510	1534	156.037039 -275.372919,147.149782 -272.696602
0	12	238	252	1	1	130	130	0	23	141	1	0	Straight	0.0	1534	1675	147.149782 -272.696602,122.092071 -277.254598
0	13	252	1236	1	1	10	10	0	3	11	1	0	Right	5.21	1675	1686	122.092071 -277.254598,120.41284 -273.535429
0	14	1236	254	1	1	10	10	0	3	11	1	0	Straight	0.0	1686	1697	120.41284 -273.535429,118.722881 -270.218922
0	15	254	1236	1	1	10	10	0	3	11	0	0	U	41.682	1697	1700	118.722881 -270.218922,120.41284 -273.535429
0	16	1236	236	1	1	240	240	0	25	252	1	0	Left	10.42	1700	1952	120.41284 -273.535429,147.288507 -267.241619
0	17	236	238	1	0	0	0	0	6	0	0	0	Right	5.21	1952	1958	147.288507 -267.241619,147.149782 -272.696602
0	18	238	252	1	1	130	130	0	23	141	0	0	Right	5.21	1958	1981	147.149782 -272.696602,122.092071 -277.254598
0	19	252	260	1	1	40	40	0	13	46	1	0	Straight	0.0	1981	2027	122.092071 -277.254598,109.428689 -278.27334
0	20	260	268	1	1	120	120	0	27	133	1	0	Straight	0.0	2027	2160	109.428689 -278.27334,81.290181 -282.281468
0	21	268	270	1	1	130	130	0	15	137	1	0	Right	5.21	2160	2297	81.290181 -282.281468,75.031824 -263.868579
0	22	270	272	1	1	60	60	0	7	63	0	0	Straight	0.0	2297	2304	75.031824 -263.868579,71.064435 -255.449929
0	23	272	276	1	1	30	30	0	8	34	1	0	Left	10.42	2304	2338	71.064435 -255.449929,62.488071 -256.533436
0	24	276	360	1	1	280	280	0	31	295	1	0	Left	10.42	2338	2633	62.488071 -256.533436,73.879916 -288.429024
0	25	360	362	1	1	120	120	0	27	133	1	0	Right	5.21	2633	2766	73.879916 -288.429024,43.124689 -290.058918
0	26	362	364	1	1	120	120	0	22	131	1	0	Straight	0.0	2766	2897	43.124689 -290.058918,20.276497 -282.690999
0	27	364	380	1	0	0	0	0	5	0	0	0	Left	10.42	2897	2902	20.276497 -282.690999,20.737117 -289.022178
0	28	380	382	1	1	150	150	0	29	164	1	0	Straight	0.0	2902	3066	20.737117 -289.022178,21.733795 -319.810093
0	29	382	378	1	0	0	0	0	8	0	0	0	U	41.682	3066	3074	21.733795 -319.810093,18.164431 -312.10401
0	30	378	376	1	1	200	200	0	20	210	1	0	Straight	0.0	3074	3284	18.164431 -312.10401,16.87861 -288.290549
0	31	376	372	1	1	80	80	0	10	85	1	0	Straight	0.0	3284	3369	16.87861 -288.290549,13.869772 -273.332639
0	32	372	374	1	1	220	220	0	19	229	1	0	U	41.682	3369	3598	13.869772 -273.332639,15.507975 -302.738616
0	33	374	386	1	0	0	0	0	9	0	0	0	U	41.682	3598	3607	15.507975 -302.738616,13.791162 -292.223703
0	34	386	384	1	1	280	280	0	27	293	1	0	Straight	0.0	3607	3900	13.791162 -292.223703,13.047355 -253.291661
0	35	384	338	1	0	0	0	0	5	0	0	0	Straight	0.0	3900	3905	13.047355 -253.291661,12.965128 -249.45419
0	36	338	336	1	1	400	400	0	37	418	1	0	Right	5.21	3905	4323	12.965128 -249.45419,50.219434 -247.443203
0	37	336	274	1	1	50	50	0	17	58	1	0	Straight	0.0	4323	4381	50.219434 -247.443203,67.620614 -245.422548
0	38	274	266	1	1	400	400	0	38	419	1	0	Straight	0.0	4381	4800	67.620614 -245.422548,107.076548 -241.325847
0	39	266	264	1	1	60	60	0	9	64	1	0	Right	5.21	4800	4864	107.076548 -241.325847,111.405606 -251.388109
0	40	264	272	1	1	400	400	0	38	419	1	0	Right	5.21	4864	5283	111.405606 -251.388109,71.064435 -255.449929
0	41	272	270	1	1	60	60	0	7	63	1	0	Left	10.42	5283	5346	71.064435 -255.449929,75.031824 -263.868579
0	42	270	262	1	1	280	280	0	27	293	1	0	Left	10.42	5346	5639	75.031824 -263.868579,104.758287 -263.010875
0	43	262	260	1	1	60	60	0	12	66	1	0	Right	5.21	5639	5705	104.758287 -263.010875,109.428689 -278.27334
0	44	260	262	1	1	60	60	0	12	66	0	0	U	41.682	5705	5717	109.428689 -278.27334,104.758287 -263.010875
0	45	262	256	1	1	80	80	0	10	85	1	0	Right	5.21	5717	5802	104.758287 -263.010875,115.425266 -260.657165
0	46	256	254	1	1	60	60	0	8	64	1	0	Right	5.21	5802	5866	115.425266 -260.657165,118.722881 -270.218922
0	47	254	240	1	1	300	300	0	30	315	1	0	Left	10.42	5866	6181	118.722881 -270.218922,150.156798 -261.451787
0	48	240	242	1	1	60	60	0	8	64	1	0	Left	10.42	6181	6245	150.156798 -261.451787,146.634787 -252.988029
0	49	242	244	1	1	30	30	0	7	33	1	0	Straight	0.0	6245	6278	146.634787 -252.988029,142.229793 -244.973082
0	50	244	246	1	1	20	20	0	9	24	0	0	Straight	0.0	6278	6287	142.229793 -244.973082,137.575814 -235.892698
0	51	246	230	1	1	30	30	0	9	34	1	0	Straight	0.0	6287	6321	137.575814 -235.892698,129.391721 -231.037091
0	52	230	248	1	1	130	130	0	13	136	0	0	Straight	0.0	6321	6334	129.391721 -231.037091,115.563677 -232.322211
0	53	248	230	1	1	130	130	0	13	136	1	0	U	41.682	6334	6470	115.563677 -232.322211,129.391721 -231.037091
0	54	230	176	1	1	30	30	0	11	35	1	0	Straight	0.0	6470	6505	129.391721 -231.037091,134.777701 -224.622355
0	55	176	172	1	1	210	210	0	22	221	1	0	Straight	0.0	6505	6726	134.777701 -224.622355,142.493613 -209.624463
0	56	172	178	1	0	0	0	0	8	0	0	0	U	41.682	6726	6734	142.493613 -209.624463,134.98206 -213.65697
0	57	178	180	1	1	60	60	0	13	66	1	0	Straight	0.0	6734	6800	134.98206 -213.65697,121.031317 -214.887457
0	58	180	184	1	0	0	0	0	8	0	0	0	Left	10.42	6800	6808	121.031317 -214.887457,122.382101 -221.188233
0	59	184	182	1	1	120	120	0	13	126	1	0	Left	10.42	6808	6934	122.382101 -221.188233,136.292564 -219.905603
0	60	182	186	1	0	0	0	0	8	0	0	0	Right	5.21	6934	6942	136.292564 -219.905603,131.792992 -227.686354
