Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	10000	10000	2	31536.4	28056	366.989	1.347	1.07143	0.374565	595.857	14652	0.301524	0.461343	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0	36	439.900239 -439.900239,410.197939 -423.017536
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36	191	410.197939 -423.017536,293.313668 -333.567765
0	2	10068	160	1	0	0	0	0	42	0	0	0	Straight	0.0	191	233	293.313668 -333.567765,270.335101 -303.488086
0	3	160	1240	1	0	0	0	0	8	0	0	0	Straight	0.0	233	241	270.335101 -303.488086,271.088971 -297.755405
0	4	1240	156	1	0	0	0	0	2	0	0	0	Left	10.42	241	243	271.088971 -297.755405,269.570216 -296.298662
0	5	156	190	1	1	410	410	0	42	431	0	0	Straight	0.0	243	285	269.570216 -296.298662,232.007754 -270.683195
0	6	190	138	1	0	0	0	0	6	0	0	0	Right	5.21	285	291	232.007754 -270.683195,238.075637 -266.916493
0	7	138	116	1	1	230	230	0	22	241	1	0	Straight	0.0	291	532	238.075637 -266.916493,246.979153 -252.408422
0	8	116	112	1	1	70	70	0	8	74	1	0	Straight	0.0	532	606	246.979153 -252.408422,246.341529 -245.232342
0	9	112	94	1	1	190	190	0	19	199	1	0	Left	10.42	606	805	246.341529 -245.232342,226.65593 -236.817906
0	10	94	86	1	1	60	60	0	8	64	1	0	Straight	0.0	805	869	226.65593 -236.817906,218.598016 -229.237112
0	11	86	80	1	1	60	60	0	8	64	1	0	Straight	0.0	869	933	218.598016 -229.237112,211.223798 -223.726275
0	12	80	60	1	1	240	240	0	25	252	1	0	Right	5.21	933	1185	211.223798 -223.726275,229.066897 -209.221539
0	13	60	58	1	1	390	390	0	28	404	1	0	Straight	0.0	1185	1589	229.066897 -209.221539,255.880455 -197.158898
0	14	58	54	1	0	0	0	0	9	0	0	0	Left	10.42	1589	1598	255.880455 -197.158898,249.973751 -191.56535
0	15	54	56	1	1	300	300	0	32	316	1	0	Left	10.42	1598	1914	249.973751 -191.56535,220.144424 -205.359096
0	16	56	1192	1	0	0	0	0	9	0	0	0	Straight	0.0	1914	1923	220.144424 -205.359096,211.165695 -202.742181
0	17	1192	416	1	0	0	0	0	22	0	0	0	Left	10.42	1923	1945	211.165695 -202.742181,191.577782 -214.95252
0	18	416	400	1	0	0	0	0	5	0	0	0	Right	5.21	1945	1950	191.577782 -214.95252,189.867071 -212.141162
0	19	400	410	1	0	0	0	0	10	0	0	0	Straight	0.0	1950	1960	189.867071 -212.141162,179.937773 -207.877725
0	20	410	424	1	0	0	0	0	21	0	0	0	Straight	0.0	1960	1981	179.937773 -207.877725,157.569826 -205.117151
0	21	424	418	1	1	170	170	0	29	184	1	0	Right	5.21	1981	2165	157.569826 -205.117151,179.819825 -187.141221
0	22	418	414	1	1	130	130	0	18	139	1	0	Straight	0.0	2165	2304	179.819825 -187.141221,198.884913 -186.218304
0	23	414	1184	1	1	70	70	0	9	74	1	0	Straight	0.0	2304	2378	198.884913 -186.218304,207.552561 -183.038008
0	24	1184	1178	1	1	120	120	0	16	128	1	0	Straight	0.0	2378	2506	207.552561 -183.038008,223.119109 -190.033735
0	25	1178	1176	1	1	200	200	0	16	208	1	0	Left	10.42	2506	2714	223.119109 -190.033735,237.995039 -182.20154
0	26	1176	1162	1	1	100	100	0	10	105	1	0	Left	10.42	2714	2819	237.995039 -182.20154,230.246049 -175.724567
0	27	1162	1172	1	1	130	130	0	7	133	1	0	Straight	0.0	2819	2952	230.246049 -175.724567,222.926137 -174.037121
0	28	1172	1174	1	1	40	40	0	5	42	1	0	Straight	0.0	2952	2994	222.926137 -174.037121,218.447885 -175.562448
0	29	1174	1180	1	0	0	0	0	6	0	0	0	Straight	0.0	2994	3000	218.447885 -175.562448,212.987411 -178.58136
0	30	1180	1182	1	1	110	110	0	8	114	1	0	U	41.682	3000	3114	212.987411 -178.58136,216.289316 -172.794247
0	31	1182	1180	1	1	110	110	0	8	114	0	0	U	41.682	3114	3122	216.289316 -172.794247,212.987411 -178.58136
0	32	1180	1174	1	0	0	0	0	6	0	0	0	U	41.682	3122	3128	212.987411 -178.58136,218.447885 -175.562448
0	33	1174	1088	1	1	350	350	0	40	370	1	0	Straight	0.0	3128	3498	218.447885 -175.562448,249.622122 -150.918804
0	34	1088	1100	1	1	30	30	0	9	34	1	0	Right	5.21	3498	3532	249.622122 -150.918804,259.592496 -158.103005
0	35	1100	1102	1	1	250	250	0	27	263	1	0	Right	5.21	3532	3795	259.592496 -158.103005,246.235295 -178.49569
0	36	1102	1106	1	1	60	60	0	7	63	1	0	U	41.682	3795	3858	246.235295 -178.49569,251.377759 -173.999789
0	37	1106	1110	1	1	140	140	0	17	148	1	0	Straight	0.0	3858	4006	251.377759 -173.999789,263.541225 -162.065221
0	38	1110	1112	1	1	100	100	0	10	105	1	0	Straight	0.0	4006	4111	263.541225 -162.065221,269.296598 -159.721366
0	39	1112	1128	1	1	70	70	0	7	73	1	0	Straight	0.0	4111	4184	269.296598 -159.721366,275.301373 -156.069992
0	40	1128	1130	1	1	30	30	0	7	33	0	0	Straight	0.0	4184	4191	275.301373 -156.069992,279.423275 -156.705452
0	41	1130	1132	1	1	30	30	0	4	32	1	0	Straight	0.0	4191	4223	279.423275 -156.705452,281.670759 -156.268578
0	42	1132	1136	1	1	30	30	0	8	34	1	0	U	41.682	4223	4257	281.670759 -156.268578,275.357466 -160.541848
0	43	1136	1130	1	1	50	50	0	6	53	1	0	U	41.682	4257	4310	275.357466 -160.541848,279.423275 -156.705452
0	44	1130	1128	1	1	30	30	0	7	33	1	0	Left	10.42	4310	4343	279.423275 -156.705452,275.301373 -156.069992
0	45	1128	1090	1	1	60	60	0	8	64	1	0	Right	5.21	4343	4407	275.301373 -156.069992,281.486515 -151.039407
0	46	1090	1070	1	1	60	60	0	8	64	1	0	Straight	0.0	4407	4471	281.486515 -151.039407,283.144794 -145.170641
0	47	1070	1072	1	1	200	200	0	18	209	1	0	Straight	0.0	4471	4680	283.144794 -145.170641,298.743589 -136.106127
0	48	1072	1070	1	1	200	200	0	18	209	0	0	U	41.682	4680	4698	298.743589 -136.106127,283.144794 -145.170641
0	49	1070	1068	1	1	60	60	0	8	64	0	0	Right	5.21	4698	4706	283.144794 -145.170641,273.834543 -138.376227
0	50	1068	1066	1	1	110	110	0	15	117	1	0	Right	5.21	4706	4823	273.834543 -138.376227,284.267286 -127.877076
0	51	1066	454	1	1	70	70	0	14	77	0	0	Straight	0.0	4823	4837	284.267286 -127.877076,294.089459 -118.305773
0	52	454	1066	1	1	70	70	0	14	77	1	0	U	41.682	4837	4914	294.089459 -118.305773,284.267286 -127.877076
0	53	1066	426	1	1	370	370	0	42	391	1	0	Straight	0.0	4914	5305	284.267286 -127.877076,254.01325 -144.580969
0	54	426	444	1	1	110	110	0	13	116	1	0	U	41.682	5305	5421	254.01325 -144.580969,261.424395 -134.188209
0	55	444	448	1	1	180	180	0	23	191	1	0	Straight	0.0	5421	5612	261.424395 -134.188209,276.466793 -116.674473
0	56	448	450	1	1	40	40	0	9	44	1	0	Straight	0.0	5612	5656	276.466793 -116.674473,283.988688 -111.636835
0	57	450	448	1	1	40	40	0	9	44	0	0	U	41.682	5656	5665	283.988688 -111.636835,276.466793 -116.674473
0	58	448	440	1	1	30	30	0	7	33	1	0	Straight	0.0	5665	5698	276.466793 -116.674473,276.065068 -117.589863
0	59	440	460	1	1	130	130	0	12	136	0	0	Straight	0.0	5698	5710	276.065068 -117.589863,267.67762 -126.129347
