Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	10000	10000	1	15315.3	14117	12.797	0	1	0	269.079	2919	0.0501195	0	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0	36	439.900239 -439.900239,410.197939 -423.017536
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36	191	410.197939 -423.017536,293.313668 -333.567765
0	2	10068	160	1	0	0	0	0	42	0	0	0	Straight	0.0	191	233	293.313668 -333.567765,270.335101 -303.488086
0	3	160	192	1	0	0	0	0	48	0	0	0	Straight	0.0	233	281	270.335101 -303.488086,227.604727 -277.345668
0	4	192	194	1	0	0	0	0	4	0	0	0	Straight	0.0	281	285	227.604727 -277.345668,225.518415 -273.827549
0	5	194	202	1	1	120	120	0	24	132	0	0	Left	10.42	285	309	225.518415 -273.827549,200.723452 -270.288799
0	6	202	206	1	1	60	60	0	8	64	1	0	Straight	0.0	309	373	200.723452 -270.288799,195.730876 -273.866287
0	7	206	212	1	1	60	60	0	7	63	1	0	Straight	0.0	373	436	195.730876 -273.866287,188.03524 -275.809087
0	8	212	1232	1	0	0	0	0	5	0	0	0	Left	10.42	436	441	188.03524 -275.809087,190.32447 -280.800263
0	9	1232	1234	1	1	160	160	0	12	166	1	0	Straight	0.0	441	607	190.32447 -280.800263,197.592302 -292.375445
0	10	1234	1232	1	1	160	160	0	12	166	0	0	U	41.682	607	619	197.592302 -292.375445,190.32447 -280.800263
0	11	1232	216	1	0	0	0	0	6	0	0	0	Left	10.42	619	625	190.32447 -280.800263,188.926373 -284.98483
0	12	216	220	1	0	0	0	0	19	0	0	0	Right	5.21	625	644	188.926373 -284.98483,170.955278 -274.563417
0	13	220	218	1	0	0	0	0	9	0	0	0	Straight	0.0	644	653	170.955278 -274.563417,166.84824 -264.433542
0	14	218	210	1	0	0	0	0	12	0	0	0	Right	5.21	653	665	166.84824 -264.433542,178.728224 -260.871033
0	15	210	212	1	1	110	110	0	21	120	1	0	Right	5.21	665	785	178.728224 -260.871033,188.03524 -275.809087
0	16	212	198	1	1	180	180	0	20	190	0	0	Straight	0.0	785	805	188.03524 -275.809087,200.29094 -295.741052
0	17	198	212	1	1	180	180	0	20	190	1	0	U	41.682	805	995	200.29094 -295.741052,188.03524 -275.809087
0	18	212	218	1	0	0	0	0	22	0	0	0	Straight	0.0	995	1017	188.03524 -275.809087,166.84824 -264.433542
0	19	218	232	1	0	0	0	0	8	0	0	0	Straight	0.0	1017	1025	166.84824 -264.433542,160.111957 -257.509889
0	20	232	226	1	1	80	80	0	12	86	1	0	Right	5.21	1025	1111	160.111957 -257.509889,172.017676 -253.772483
0	21	226	224	1	1	100	100	0	19	109	1	0	Left	10.42	1111	1220	172.017676 -253.772483,172.894484 -238.189582
0	22	224	204	1	1	30	30	0	8	34	1	0	U	41.682	1220	1254	172.894484 -238.189582,179.139342 -246.520571
0	23	204	202	1	1	110	110	0	25	122	1	0	Straight	0.0	1254	1376	179.139342 -246.520571,200.723452 -270.288799
0	24	202	194	1	1	120	120	0	24	132	1	0	Straight	0.0	1376	1508	200.723452 -270.288799,225.518415 -273.827549
0	25	194	190	1	0	0	0	0	6	0	0	0	Straight	0.0	1508	1514	225.518415 -273.827549,232.007754 -270.683195
0	26	190	138	1	0	0	0	0	6	0	0	0	Straight	0.0	1514	1520	232.007754 -270.683195,238.075637 -266.916493
0	27	138	140	1	1	30	30	0	8	34	0	0	Right	5.21	1520	1528	238.075637 -266.916493,245.851378 -271.258995
0	28	140	144	1	1	70	70	0	10	75	1	0	Straight	0.0	1528	1603	245.851378 -271.258995,255.785294 -275.285581
0	29	144	152	1	1	90	90	0	14	97	0	0	Straight	0.0	1603	1617	255.785294 -275.285581,268.03159 -284.504659
0	30	152	146	1	1	260	260	0	45	282	1	0	Left	10.42	1617	1899	268.03159 -284.504659,318.065661 -259.911912
0	31	146	148	1	1	60	60	0	8	64	1	0	Straight	0.0	1899	1963	318.065661 -259.911912,326.083764 -262.107523
0	32	148	150	1	0	0	0	0	6	0	0	0	Right	5.21	1963	1969	326.083764 -262.107523,319.774169 -267.706053
0	33	150	154	1	1	250	250	0	39	269	1	0	Straight	0.0	1969	2238	319.774169 -267.706053,275.39438 -288.712349
0	34	154	156	1	1	70	70	0	11	75	0	0	Straight	0.0	2238	2249	275.39438 -288.712349,269.570216 -296.298662
0	35	156	154	1	1	70	70	0	11	75	1	0	U	41.682	2249	2324	269.570216 -296.298662,275.39438 -288.712349
0	36	154	152	1	1	50	50	0	8	54	1	0	Left	10.42	2324	2378	275.39438 -288.712349,268.03159 -284.504659
0	37	152	144	1	1	90	90	0	14	97	1	0	Straight	0.0	2378	2475	268.03159 -284.504659,255.785294 -275.285581
0	38	144	142	1	1	230	230	0	45	252	1	0	Right	5.21	2475	2727	255.785294 -275.285581,304.082345 -247.917721
0	39	142	136	1	0	0	0	0	8	0	0	0	Straight	0.0	2727	2735	304.082345 -247.917721,309.799654 -240.207453
0	40	136	128	1	1	360	360	0	31	375	1	0	Right	5.21	2735	3110	309.799654 -240.207453,333.816825 -255.148413
0	41	128	126	1	0	0	0	0	8	0	0	0	Left	10.42	3110	3118	333.816825 -255.148413,335.749616 -247.929978
0	42	126	134	1	1	360	360	0	32	376	1	0	Left	10.42	3118	3494	335.749616 -247.929978,304.342934 -232.468112
0	43	134	132	1	0	0	0	0	8	0	0	0	Straight	0.0	3494	3502	304.342934 -232.468112,297.602908 -225.086884
0	44	132	124	1	1	360	360	0	34	377	1	0	U	41.682	3502	3879	297.602908 -225.086884,331.415571 -241.500565
0	45	124	8	1	0	0	0	0	8	0	0	0	U	41.682	3879	3887	331.415571 -241.500565,324.962545 -234.815893
0	46	8	6	1	1	240	240	0	45	262	1	0	Right	5.21	3887	4149	324.962545 -234.815893,370.33121 -216.370266
0	47	6	8	1	1	240	240	0	45	262	0	0	U	41.682	4149	4194	370.33121 -216.370266,324.962545 -234.815893
0	48	8	12	1	0	0	0	0	8	0	0	0	Right	5.21	4194	4202	324.962545 -234.815893,317.03618 -229.262933
0	49	12	10	1	1	480	480	0	47	503	1	0	Right	5.21	4202	4705	317.03618 -229.262933,364.140146 -210.6104
0	50	10	14	1	0	0	0	0	9	0	0	0	Left	10.42	4705	4714	364.140146 -210.6104,358.153775 -205.444224
0	51	14	16	1	1	560	560	0	50	585	1	0	Left	10.42	4714	5299	358.153775 -205.444224,308.381817 -225.060415
0	52	16	40	1	0	0	0	0	7	0	0	0	Straight	0.0	5299	5306	308.381817 -225.060415,300.816214 -221.828568
0	53	40	130	1	0	0	0	0	10	0	0	0	Straight	0.0	5306	5316	300.816214 -221.828568,289.954935 -219.348678
0	54	130	122	1	0	0	0	0	10	0	0	0	Straight	0.0	5316	5326	289.954935 -219.348678,278.907313 -214.731397
0	55	122	140	1	1	790	790	0	82	831	1	0	Left	10.42	5326	6157	278.907313 -214.731397,245.851378 -271.258995
0	56	140	138	1	1	30	30	0	8	34	1	0	Right	5.21	6157	6191	245.851378 -271.258995,238.075637 -266.916493
0	57	138	108	1	0	0	0	0	12	0	0	0	Straight	0.0	6191	6203	238.075637 -266.916493,232.086716 -258.893254
0	58	108	110	1	1	130	130	0	13	136	1	0	Right	5.21	6203	6339	232.086716 -258.893254,237.916134 -255.710778
0	59	110	104	1	1	140	140	0	16	148	1	0	Left	10.42	6339	6487	237.916134 -255.710778,222.255491 -249.078084
0	60	104	108	1	1	40	40	0	11	45	1	0	U	41.682	6487	6532	222.255491 -249.078084,232.086716 -258.893254
