Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	10000	10000	2	29702.2	27540	250.73	1.15	1.05882	0.0632107	274.231	5701	0.0685281	0.489442	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0	36	388.832903 -388.832903,371.532523 -364.819731
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36	191	371.532523 -364.819731,291.150518 -263.358053
0	2	10068	160	1	0	0	0	0	42	0	0	0	Straight	0.0	191	233	291.150518 -263.358053,265.474776 -245.476156
0	3	160	192	1	1	380	380	0	48	404	1	0	Straight	0.0	233	637	265.474776 -245.476156,241.493081 -206.287675
0	4	192	206	1	1	320	320	0	31	335	1	0	Straight	0.0	637	972	241.493081 -206.287675,236.29563 -174.10883
0	5	206	212	1	1	60	60	0	7	63	1	0	Straight	0.0	972	1035	236.29563 -174.10883,237.265397 -165.843844
0	6	212	1232	1	1	20	20	0	5	22	1	0	Right	5.21	1035	1057	237.265397 -165.843844,241.418562 -167.320266
0	7	1232	1234	1	1	160	160	0	12	166	1	0	Straight	0.0	1057	1223	241.418562 -167.320266,251.207636 -172.728848
0	8	1234	1232	1	1	160	160	0	12	166	0	0	U	41.682	1223	1235	251.207636 -172.728848,241.418562 -167.320266
0	9	1232	216	1	1	20	20	0	6	23	1	0	Right	5.21	1235	1258	241.418562 -167.320266,244.656355 -165.142475
0	10	216	220	1	1	190	190	0	19	199	1	0	Left	10.42	1258	1457	244.656355 -165.142475,234.89883 -148.524997
0	11	220	222	1	1	80	80	0	10	85	1	0	Right	5.21	1457	1542	234.89883 -148.524997,238.566952 -139.774739
0	12	222	228	1	1	30	30	0	8	34	1	0	Left	10.42	1542	1576	238.566952 -139.774739,234.415231 -133.047092
0	13	228	238	1	1	20	20	0	9	24	1	0	Straight	0.0	1576	1600	234.415231 -133.047092,231.564442 -124.378203
0	14	238	252	1	1	130	130	0	23	141	1	0	Straight	0.0	1600	1741	231.564442 -124.378203,233.415234 -97.824612
0	15	252	260	1	1	40	40	0	13	46	0	0	Straight	0.0	1741	1754	233.415234 -97.824612,233.346763 -84.647548
0	16	260	252	1	1	40	40	0	13	46	1	0	U	41.682	1754	1800	233.346763 -84.647548,233.415234 -97.824612
0	17	252	1236	1	1	10	10	0	3	11	1	0	Right	5.21	1800	1811	233.415234 -97.824612,230.232572 -96.743398
0	18	1236	236	1	1	240	240	0	25	252	1	0	Left	10.42	1811	2063	230.232572 -96.743398,227.121938 -125.473908
0	19	236	1236	1	1	240	240	0	25	252	0	0	U	41.682	2063	2088	227.121938 -125.473908,230.232572 -96.743398
0	20	1236	254	1	1	10	10	0	3	11	1	0	Left	10.42	2088	2099	230.232572 -96.743398,227.386833 -95.57425
0	21	254	256	1	1	60	60	0	8	64	0	0	Straight	0.0	2099	2107	227.386833 -95.57425,219.447381 -93.792925
0	22	256	264	1	1	60	60	0	8	64	1	0	Straight	0.0	2107	2171	219.447381 -93.792925,211.735203 -91.210583
