Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	10000	10000	2	24323	21968	14.535	0.909	1.11111	0	229.758	3475	0.191879	0.815928	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0	36	388.832903 -388.832903,371.532523 -364.819731
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36	191	371.532523 -364.819731,291.150518 -263.358053
0	2	10068	160	1	0	0	0	0	42	0	0	0	Straight	0.0	191	233	291.150518 -263.358053,265.474776 -245.476156
0	3	160	1240	1	0	0	0	0	8	0	0	0	Left	10.42	233	241	265.474776 -245.476156,260.976707 -247.312077
0	4	1240	156	1	0	0	0	0	2	0	0	0	Right	5.21	241	243	260.976707 -247.312077,259.70669 -246.018237
0	5	156	154	1	0	0	0	0	11	0	0	0	Left	10.42	243	254	259.70669 -246.018237,254.109062 -253.41994
0	6	154	152	1	0	0	0	0	8	0	0	0	Right	5.21	254	262	254.109062 -253.41994,250.219547 -246.611262
0	7	152	144	1	0	0	0	0	14	0	0	0	Straight	0.0	262	276	250.219547 -246.611262,241.987786 -235.68058
0	8	144	142	1	0	0	0	0	45	0	0	0	Left	10.42	276	321	241.987786 -235.68058,223.988853 -290.460171
0	9	142	136	1	0	0	0	0	8	0	0	0	Straight	0.0	321	329	223.988853 -290.460171,218.342748 -297.769279
0	10	136	134	1	0	0	0	0	8	0	0	0	Right	5.21	329	337	218.342748 -297.769279,211.883285 -293.55043
0	11	134	132	1	1	60	60	0	8	64	1	0	Straight	0.0	337	401	211.883285 -293.55043,205.610822 -287.948161
0	12	132	130	1	1	50	50	0	8	54	1	0	Straight	0.0	401	455	205.610822 -287.948161,200.550405 -281.108031
0	13	130	40	1	0	0	0	0	10	0	0	0	U	41.682	455	465	200.550405 -281.108031,203.317343 -291.866645
0	14	40	38	1	1	50	50	0	7	53	1	0	Straight	0.0	465	518	203.317343 -291.866645,203.934896 -299.430758
0	15	38	34	1	1	260	260	0	22	271	1	0	Straight	0.0	518	789	203.934896 -299.430758,202.681458 -323.783431
0	16	34	36	1	1	80	80	0	15	87	1	0	U	41.682	789	876	202.681458 -323.783431,204.214207 -309.514775
0	17	36	38	1	1	60	60	0	9	64	1	0	Straight	0.0	876	940	204.214207 -309.514775,203.934896 -299.430758
0	18	38	34	1	1	260	260	0	22	271	0	0	U	41.682	940	962	203.934896 -299.430758,202.681458 -323.783431
0	19	34	26	1	1	420	420	0	46	443	1	0	Straight	0.0	962	1405	202.681458 -323.783431,177.273296 -346.967776
0	20	26	18	1	1	30	30	0	8	34	1	0	Left	10.42	1405	1439	177.273296 -346.967776,180.56583 -355.633834
0	21	18	20	1	1	80	80	0	19	89	1	0	Straight	0.0	1439	1528	180.56583 -355.633834,181.385915 -376.509514
0	22	20	24	1	1	120	120	0	21	130	1	0	U	41.682	1528	1658	181.385915 -376.509514,185.735923 -356.43221
0	23	24	28	1	0	0	0	0	7	0	0	0	Straight	0.0	1658	1665	185.735923 -356.43221,190.738887 -349.772147
