Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	10000	10000	3	29357.7	27412	10.288	2	3	0.0715721	1119.77	14080	0.0448787	0.116957	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300	379	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379	386	323.23 189.38,300.76 197.07
0	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	386	495	300.76 197.07,257.7 203.43
0	3	362	363	1	1	120	120	0	22	142	1	0	Left	13.848	495	637	257.7 203.43,239.92 172.8
0	4	363	638	1	1	78	78	0	14	84	1	0	Straight	0.0	637	721	239.92 172.8,244.84 150.87
0	5	638	639	1	1	134	134	0	24	154	1	0	Straight	0.0	721	875	244.84 150.87,246.95 134.26
0	6	639	815	1	1	126	126	0	23	143	1	0	Straight	0.0	875	1018	246.95 134.26,248.19 121.53
0	7	815	639	1	1	126	126	0	23	143	0	0	U	55.394	1018	1041	248.19 121.53,246.95 134.26
0	8	639	638	1	1	134	134	0	24	154	0	0	Straight	0.0	1041	1065	246.95 134.26,244.84 150.87
0	9	638	363	1	1	78	78	0	14	84	0	0	Straight	0.0	1065	1079	244.84 150.87,239.92 172.8
0	10	363	372	1	1	110	110	0	20	130	1	0	Left	13.848	1079	1209	239.92 172.8,215.98 154.44
0	11	372	713	1	1	298	298	0	54	344	1	0	Straight	0.0	1209	1553	215.98 154.44,191.92 137.98
0	12	713	372	1	1	298	298	0	54	344	0	0	U	55.394	1553	1607	191.92 137.98,215.98 154.44
0	13	372	363	1	1	110	110	0	20	130	0	0	Straight	0.0	1607	1627	215.98 154.44,239.92 172.8
0	14	363	362	1	1	120	120	0	22	142	0	0	Straight	0.0	1627	1649	239.92 172.8,257.7 203.43
0	15	362	657	1	0	0	0	0	109	0	0	0	Right	6.924	1649	1758	257.7 203.43,300.76 197.07
0	16	657	678	1	0	0	0	0	7	0	0	0	Straight	0.0	1758	1765	300.76 197.07,323.23 189.38
0	17	678	1063	1	0	0	0	0	79	0	0	0	Straight	0.0	1765	1844	323.23 189.38,327.48 185.13
1	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	2144	2223	327.48 185.13,323.23 189.38
1	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	2223	2230	323.23 189.38,300.76 197.07
1	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	2230	2339	300.76 197.07,257.7 203.43
1	3	362	951	1	1	190	190	0	34	224	0	0	Straight	0.0	2339	2373	257.7 203.43,244.09 193.58
1	4	951	698	1	1	252	252	0	45	295	0	0	Right	6.924	2373	2418	244.09 193.58,237.59 197.02
1	5	698	697	1	1	162	162	0	29	189	1	0	Left	13.848	2418	2607	237.59 197.02,240.84 186.31
1	6	697	769	1	1	319	319	0	57	367	1	0	Left	13.848	2607	2974	240.84 186.31,249.27 186.62
1	7	769	768	1	1	173	173	0	31	201	1	0	Straight	0.0	2974	3175	249.27 186.62,260.2 177.52
1	8	768	687	1	1	110	110	0	20	130	1	0	Straight	0.0	3175	3305	260.2 177.52,270.79 165.43
1	9	687	421	1	1	435	435	0	78	508	1	0	Straight	0.0	3305	3813	270.79 165.43,283.1 157.74
1	10	421	662	1	1	75	75	0	13	83	1	0	Straight	0.0	3813	3896	283.1 157.74,290.57 148.61
1	11	662	414	1	1	208	208	0	37	237	1	0	Left	13.848	3896	4133	290.57 148.61,297.26 148.77
1	12	414	748	1	1	171	171	0	31	201	1	0	U	55.394	4133	4334	297.26 148.77,292.45 152.63
1	13	748	656	1	1	69	69	0	12	72	1	0	Straight	0.0	4334	4406	292.45 152.63,288.71 165.77
1	14	656	416	1	1	100	100	0	18	118	1	0	Right	6.924	4406	4524	288.71 165.77,297.14 162.55
1	15	416	415	1	1	290	290	0	52	342	1	0	Straight	0.0	4524	4866	297.14 162.55,302.47 159.94
1	16	415	417	1	1	221	221	0	40	260	1	0	U	55.394	4866	5126	302.47 159.94,299.96 166.85
1	17	417	665	1	1	172	172	0	31	201	0	0	Straight	0.0	5126	5157	299.96 166.85,294.48 174.53
1	18	665	663	1	1	104	104	0	19	119	1	0	Right	6.924	5157	5276	294.48 174.53,297.32 191.5
1	19	663	664	1	1	205	205	0	37	237	1	0	Right	6.924	5276	5513	297.32 191.5,310.09 180.81
