Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	10000	10000	3	32020	29555	12.506	1.501	1.5	0.00254226	537.297	7972	0.0384675	0.436668	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300	379	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379	386	323.23 189.38,300.76 197.07
0	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	386	495	300.76 197.07,257.7 203.43
0	3	362	951	1	0	0	0	0	34	0	0	0	Straight	0.0	495	529	257.7 203.43,244.09 193.58
0	4	951	698	1	0	0	0	0	45	0	0	0	Right	6.924	529	574	244.09 193.58,237.59 197.02
0	5	698	367	1	1	97	97	0	18	108	0	0	Straight	0.0	574	592	237.59 197.02,233.45 208.87
0	6	367	368	1	1	69	69	0	12	72	0	0	Straight	0.0	592	604	233.45 208.87,223.49 224.15
0	7	368	347	1	1	108	108	0	19	119	0	0	Straight	0.0	604	623	223.49 224.15,217.5 245.25
0	8	347	346	1	1	135	135	0	24	154	0	0	Straight	0.0	623	647	217.5 245.25,193.08 266.25
0	9	346	712	1	1	227	227	0	41	261	0	0	Straight	0.0	647	688	193.08 266.25,171.25 282.29
0	10	712	591	1	1	235	235	0	42	272	0	0	Straight	0.0	688	730	171.25 282.29,155.36 297.81
0	11	591	592	1	1	144	144	0	26	166	0	0	Straight	0.0	730	756	155.36 297.81,141.34 309.24
0	12	592	251	1	1	161	161	0	29	189	0	0	Straight	0.0	756	785	141.34 309.24,132.99 324.73
0	13	251	252	1	1	96	96	0	17	107	1	0	Straight	0.0	785	892	132.99 324.73,124.12 335.76
0	14	252	243	1	0	0	0	0	14	0	0	0	Straight	0.0	892	906	124.12 335.76,123.12 349.64
0	15	243	773	1	0	0	0	0	10	0	0	0	Straight	0.0	906	916	123.12 349.64,128.61 361.62
0	16	773	225	1	0	0	0	0	29	0	0	0	Straight	0.0	916	945	128.61 361.62,145.11 370.16
0	17	225	209	1	0	0	0	0	17	0	0	0	Straight	0.0	945	962	145.11 370.16,154.46 377.45
0	18	209	182	1	1	331	331	0	60	390	1	0	Right	6.924	962	1352	154.46 377.45,169.51 375.56
0	19	182	183	1	1	99	99	0	18	108	1	0	Straight	0.0	1352	1460	169.51 375.56,192.37 366.98
0	20	183	813	1	1	94	94	0	17	107	1	0	U	55.394	1460	1567	192.37 366.98,177.33 373.27
0	21	813	220	1	1	482	482	0	87	567	1	0	Right	6.924	1567	2134	177.33 373.27,180.95 382.25
0	22	220	219	1	1	155	155	0	28	178	1	0	Left	13.848	2134	2312	180.95 382.25,176.52 390.93
0	23	219	548	1	1	75	75	0	13	83	1	0	Straight	0.0	2312	2395	176.52 390.93,169.76 393.99
0	24	548	1012	1	1	157	157	0	28	178	1	0	Left	13.848	2395	2573	169.76 393.99,166.42 387.12
0	25	1012	240	1	1	54	54	0	10	60	1	0	Straight	0.0	2573	2633	166.42 387.12,159.56 379.61
0	26	240	241	1	1	217	217	0	39	249	1	0	Straight	0.0	2633	2882	159.56 379.61,153.91 372.34
0	27	241	249	1	1	53	53	0	10	60	1	0	Straight	0.0	2882	2942	153.91 372.34,146.37 358.91
0	28	249	248	1	1	89	89	0	16	96	1	0	Straight	0.0	2942	3038	146.37 358.91,141.11 344.19
0	29	248	572	1	1	171	171	0	31	201	1	0	Straight	0.0	3038	3239	141.11 344.19,136.02 334.81
0	30	572	253	1	1	338	338	0	61	391	1	0	Left	13.848	3239	3630	136.02 334.81,141.67 331.3
0	31	253	248	1	1	81	81	0	15	95	1	0	Left	13.848	3630	3725	141.67 331.3,141.11 344.19
0	32	248	572	1	1	171	171	0	31	201	0	0	U	55.394	3725	3756	141.11 344.19,136.02 334.81
0	33	572	251	1	1	98	98	0	18	108	1	0	Straight	0.0	3756	3864	136.02 334.81,132.99 324.73
0	34	251	252	1	1	96	96	0	17	107	0	0	Right	6.924	3864	3881	132.99 324.73,124.12 335.76
0	35	252	573	1	1	563	563	0	101	661	1	0	Left	13.848	3881	4542	124.12 335.76,117.45 329.57
0	36	573	577	1	0	0	0	0	18	0	0	0	Left	13.848	4542	4560	117.45 329.57,123.46 310.36
0	37	577	597	1	0	0	0	0	29	0	0	0	Straight	0.0	4560	4589	123.46 310.36,133.8 292.77
