Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	10000	10000	2	27620.7	25398	10.181	1.496	1.25	0.000755675	532.495	9602	0.198724	0.975197	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300	379	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379	386	323.23 189.38,300.76 197.07
0	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	386	495	300.76 197.07,257.7 203.43
0	3	362	363	1	0	0	0	0	22	0	0	0	Left	13.848	495	517	257.7 203.43,239.92 172.8
0	4	363	638	1	0	0	0	0	14	0	0	0	Straight	0.0	517	531	239.92 172.8,244.84 150.87
0	5	638	639	1	0	0	0	0	24	0	0	0	Straight	0.0	531	555	244.84 150.87,246.95 134.26
0	6	639	650	1	1	491	491	0	88	578	1	0	Straight	0.0	555	1133	246.95 134.26,251.02 127.35
0	7	650	996	1	1	56	56	0	10	60	1	0	Straight	0.0	1133	1193	251.02 127.35,256.41 121.22
0	8	996	650	1	1	56	56	0	10	60	0	0	U	55.394	1193	1203	256.41 121.22,251.02 127.35
0	9	650	816	1	1	320	320	0	58	378	1	0	U	55.394	1203	1581	251.02 127.35,250.67 117.58
0	10	816	815	1	1	239	239	0	43	273	1	0	U	55.394	1581	1854	250.67 117.58,248.19 121.53
0	11	815	1005	1	1	140	140	0	25	165	1	0	U	55.394	1854	2019	248.19 121.53,249.19 111.41
0	12	1005	1006	1	1	58	58	0	10	60	1	0	Straight	0.0	2019	2079	249.19 111.41,249.65 103.06
0	13	1006	1005	1	1	58	58	0	10	60	0	0	U	55.394	2079	2089	249.65 103.06,249.19 111.41
0	14	1005	816	1	1	115	115	0	21	131	1	0	Straight	0.0	2089	2220	249.19 111.41,250.67 117.58
0	15	816	650	1	1	320	320	0	58	378	0	0	Straight	0.0	2220	2278	250.67 117.58,251.02 127.35
0	16	650	901	1	1	99	99	0	18	108	1	0	Straight	0.0	2278	2386	251.02 127.35,249.0 138.63
0	17	901	638	1	1	472	472	0	85	555	1	0	Straight	0.0	2386	2941	249.0 138.63,244.84 150.87
0	18	638	363	1	0	0	0	0	14	0	0	0	Straight	0.0	2941	2955	244.84 150.87,239.92 172.8
0	19	363	372	1	0	0	0	0	20	0	0	0	Left	13.848	2955	2975	239.92 172.8,215.98 154.44
0	20	372	713	1	0	0	0	0	54	0	0	0	Straight	0.0	2975	3029	215.98 154.44,191.92 137.98
0	21	713	364	1	1	80	80	0	14	94	1	0	Straight	0.0	3029	3123	191.92 137.98,178.87 135.4
0	22	364	365	1	1	99	99	0	18	108	1	0	Straight	0.0	3123	3231	178.87 135.4,167.79 131.28
0	23	365	364	1	1	99	99	0	18	108	0	0	U	55.394	3231	3249	167.79 131.28,178.87 135.4
0	24	364	339	1	1	294	294	0	53	343	1	0	Left	13.848	3249	3592	178.87 135.4,170.71 139.85
0	25	339	341	1	1	99	99	0	18	108	0	0	Right	6.924	3592	3610	170.71 139.85,169.76 150.18
0	26	341	339	1	1	99	99	0	18	108	1	0	U	55.394	3610	3718	169.76 150.18,170.71 139.85
0	27	339	340	1	1	97	97	0	17	107	1	0	Right	6.924	3718	3825	170.71 139.85,162.58 134.83
0	28	340	917	1	1	95	95	0	17	107	0	0	Straight	0.0	3825	3842	162.58 134.83,152.24 133.11
0	29	917	356	1	1	97	97	0	17	107	0	0	Straight	0.0	3842	3859	152.24 133.11,140.8 134.62
0	30	356	899	1	1	94	94	0	17	107	0	0	Straight	0.0	3859	3876	140.8 134.62,130.8 139.01
0	31	899	799	1	1	96	96	0	17	107	0	0	Straight	0.0	3876	3893	130.8 139.01,125.33 149.85
0	32	799	294	1	1	127	127	0	23	143	0	0	Straight	0.0	3893	3916	125.33 149.85,126.0 162.98
0	33	294	289	1	1	108	108	0	19	119	1	0	Straight	0.0	3916	4035	126.0 162.98,139.87 175.74
0	34	289	288	1	1	169	169	0	30	190	1	0	Straight	0.0	4035	4225	139.87 175.74,152.49 178.69
0	35	288	601	1	1	93	93	0	17	107	1	0	Straight	0.0	4225	4332	152.49 178.69,159.11 175.83
0	36	601	602	1	1	98	98	0	18	108	1	0	Straight	0.0	4332	4440	159.11 175.83,164.65 169.49
0	37	602	776	1	1	92	92	0	17	107	0	0	Straight	0.0	4440	4457	164.65 169.49,166.87 159.85
