Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	10000	10000	2	30833.6	27780	12.55	1.003	1	0	1688.02	29320	0.328327	0.0944756	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300	379	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379	386	323.23 189.38,300.76 197.07
0	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	386	495	300.76 197.07,257.7 203.43
0	3	362	348	1	0	0	0	0	106	0	0	0	Right	6.924	495	601	257.7 203.43,233.52 238.76
0	4	348	246	1	0	0	0	0	74	0	0	0	Straight	0.0	601	675	233.52 238.76,234.48 281.83
0	5	246	247	1	0	0	0	0	81	0	0	0	Straight	0.0	675	756	234.48 281.83,234.92 323.12
0	6	247	1014	1	0	0	0	0	25	0	0	0	Right	6.924	756	781	234.92 323.12,256.17 343.32
0	7	1014	741	1	0	0	0	0	33	0	0	0	Straight	0.0	781	814	256.17 343.32,280.69 357.5
0	8	741	200	1	0	0	0	0	19	0	0	0	Straight	0.0	814	833	280.69 357.5,306.61 367.09
0	9	200	511	1	0	0	0	0	60	0	0	0	Straight	0.0	833	893	306.61 367.09,342.3 378.2
0	10	511	79	1	0	0	0	0	218	0	0	0	Straight	0.0	893	1111	342.3 378.2,390.03 388.09
0	11	79	77	1	0	0	0	0	30	0	0	0	Straight	0.0	1111	1141	390.03 388.09,420.41 398.52
0	12	77	56	1	0	0	0	0	162	0	0	0	Straight	0.0	1141	1303	420.41 398.52,449.8 412.8
0	13	56	418	1	0	0	0	0	64	0	0	0	Straight	0.0	1303	1367	449.8 412.8,487.91 415.91
0	14	418	1024	1	1	103	103	0	19	119	0	0	Straight	0.0	1367	1386	487.91 415.91,505.99 425.6
0	15	1024	45	1	1	171	171	0	31	201	1	0	Straight	0.0	1386	1587	505.99 425.6,514.07 430.04
0	16	45	44	1	1	237	237	0	43	273	0	0	Right	6.924	1587	1630	514.07 430.04,517.27 426.76
0	17	44	45	1	1	237	237	0	43	273	1	0	U	55.394	1630	1903	517.27 426.76,514.07 430.04
0	18	45	40	1	1	326	326	0	59	379	1	0	Right	6.924	1903	2282	514.07 430.04,522.57 434.21
0	19	40	35	1	1	842	842	0	152	992	1	0	Straight	0.0	2282	3274	522.57 434.21,541.18 443.31
0	20	35	860	1	1	139	139	0	25	155	1	0	Straight	0.0	3274	3429	541.18 443.31,555.22 462.33
0	21	860	981	1	1	277	277	0	50	320	0	0	Straight	0.0	3429	3479	555.22 462.33,562.91 486.82
0	22	981	1056	1	1	633	633	0	114	744	1	0	Straight	0.0	3479	4223	562.91 486.82,562.7 493.44
0	23	1056	981	1	1	633	633	0	114	744	0	0	U	55.394	4223	4337	562.7 493.44,562.91 486.82
0	24	981	970	1	1	233	233	0	42	272	0	0	U	55.394	4337	4379	562.91 486.82,571.27 509.79
0	25	970	969	1	1	551	551	0	99	649	1	0	Straight	0.0	4379	5028	571.27 509.79,577.15 520.08
0	26	969	258	1	0	0	0	0	75	0	0	0	Right	6.924	5028	5103	577.15 520.08,585.5 508.91
0	27	258	259	1	1	331	331	0	60	390	1	0	Left	13.848	5103	5493	585.5 508.91,596.85 521.0
0	28	259	891	1	1	85	85	0	15	95	0	0	Straight	0.0	5493	5508	596.85 521.0,606.12 525.59
0	29	891	1050	1	1	380	380	0	68	448	0	0	Straight	0.0	5508	5576	606.12 525.59,613.11 526.4
0	30	1050	891	1	1	380	380	0	68	448	1	0	U	55.394	5576	6024	613.11 526.4,606.12 525.59
0	31	891	729	1	1	84	84	0	15	95	0	0	U	55.394	6024	6039	606.12 525.59,610.86 531.15
0	32	729	891	1	1	84	84	0	15	95	1	0	U	55.394	6039	6134	610.86 531.15,606.12 525.59
0	33	891	259	1	1	85	85	0	15	95	1	0	Straight	0.0	6134	6229	606.12 525.59,596.85 521.0
0	34	259	8	1	1	103	103	0	18	118	1	0	U	55.394	6229	6347	596.85 521.0,603.53 532.0
0	35	8	260	1	1	86	86	0	16	96	0	0	Straight	0.0	6347	6363	603.53 532.0,604.36 538.43
0	36	260	8	1	1	86	86	0	16	96	1	0	U	55.394	6363	6459	604.36 538.43,603.53 532.0
0	37	8	9	1	1	84	84	0	15	95	1	0	U	55.394	6459	6554	603.53 532.0,611.84 540.13
