Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	10000	10000	2	31193.2	27835	77.629	2.052	1	0.0629692	1295.89	26446	0.112322	1.99646	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300	379	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379	386	323.23 189.38,300.76 197.07
0	2	657	675	0	0	0	0	0	14	0	0	0	U	55.394	386	400	300.76 197.07,334.73 191.27
0	3	675	749	0	0	0	0	0	515	0	0	0	Straight	0.0	400	915	334.73 191.27,368.66 185.5
0	4	749	746	0	0	0	0	0	79	0	0	0	Straight	0.0	915	994	368.66 185.5,402.33 180.38
0	5	746	747	0	0	0	0	0	128	0	0	0	Straight	0.0	994	1122	402.33 180.38,435.89 175.7
0	6	747	767	0	0	0	0	0	46	0	0	0	Straight	0.0	1122	1168	435.89 175.7,469.4 171.38
0	7	767	704	1	0	0	0	0	137	0	0	0	Straight	0.0	1168	1305	469.4 171.38,505.47 170.09
0	8	704	213	1	0	0	0	0	7	0	0	0	Straight	0.0	1305	1312	505.47 170.09,541.07 188.18
0	9	213	136	1	0	0	0	0	154	0	0	0	Straight	0.0	1312	1466	541.07 188.18,575.9 207.38
0	10	136	104	1	0	0	0	0	87	0	0	0	Straight	0.0	1466	1553	575.9 207.38,608.43 228.15
0	11	104	447	1	1	448	448	0	81	521	0	0	Right	6.924	1553	1634	608.43 228.15,649.94 210.95
0	12	447	826	1	1	138	138	0	25	155	1	0	Straight	0.0	1634	1789	649.94 210.95,684.71 196.04
0	13	826	485	1	1	112	112	0	20	130	1	0	Straight	0.0	1789	1919	684.71 196.04,719.61 182.35
0	14	485	734	1	1	395	395	0	71	461	1	0	Straight	0.0	1919	2380	719.61 182.35,753.43 170.45
0	15	734	160	1	1	93	93	0	17	107	1	0	Straight	0.0	2380	2487	753.43 170.45,781.7 173.16
0	16	160	161	1	1	58	58	0	11	61	1	0	Straight	0.0	2487	2548	781.7 173.16,804.18 171.35
0	17	161	506	1	1	56	56	0	10	60	1	0	Straight	0.0	2548	2608	804.18 171.35,813.76 163.28
0	18	506	1035	1	1	11	11	0	2	12	0	0	Straight	0.0	2608	2610	813.76 163.28,821.05 160.57
0	19	1035	506	1	1	11	11	0	2	12	1	0	U	55.394	2610	2622	821.05 160.57,813.76 163.28
0	20	506	507	1	1	10	10	0	2	12	1	0	U	55.394	2622	2634	813.76 163.28,818.08 156.32
0	21	507	506	1	1	10	10	0	2	12	0	0	U	55.394	2634	2636	818.08 156.32,813.76 163.28
0	22	506	161	1	1	56	56	0	10	60	0	0	Straight	0.0	2636	2646	813.76 163.28,804.18 171.35
0	23	161	518	1	1	55	55	0	10	60	1	0	Right	6.924	2646	2706	804.18 171.35,822.49 175.63
0	24	518	828	1	1	56	56	0	10	60	1	0	Straight	0.0	2706	2766	822.49 175.63,834.03 169.93
0	25	828	864	1	1	11	11	0	2	12	0	0	Straight	0.0	2766	2768	834.03 169.93,840.15 164.45
0	26	864	828	1	1	11	11	0	2	12	1	0	U	55.394	2768	2780	840.15 164.45,834.03 169.93
0	27	828	829	1	1	12	12	0	2	12	1	0	U	55.394	2780	2792	834.03 169.93,841.87 169.32
0	28	829	828	1	1	12	12	0	2	12	0	0	U	55.394	2792	2794	841.87 169.32,834.03 169.93
0	29	828	518	1	1	56	56	0	10	60	0	0	Straight	0.0	2794	2804	834.03 169.93,822.49 175.63
0	30	518	517	1	1	54	54	0	10	60	1	0	Right	6.924	2804	2864	822.49 175.63,822.34 186.06
0	31	517	795	1	1	126	126	0	23	143	1	0	Right	6.924	2864	3007	822.34 186.06,831.04 184.04
0	32	795	726	1	1	84	84	0	15	95	1	0	Straight	0.0	3007	3102	831.04 184.04,835.65 178.99
0	33	726	523	1	1	44	44	0	8	48	1	0	Left	13.848	3102	3150	835.65 178.99,848.01 180.01
0	34	523	1062	1	1	9	9	0	2	2	1	0	Straight	0.0	3150	3152	848.01 180.01,855.54 183.02
0	35	1062	523	1	1	9	9	0	2	2	0	0	U	55.394	3152	3154	855.54 183.02,848.01 180.01
0	36	523	522	1	1	10	10	0	2	12	0	0	U	55.394	3154	3156	848.01 180.01,854.67 177.97
0	37	522	523	1	1	10	10	0	2	12	1	0	U	55.394	3156	3168	854.67 177.97,848.01 180.01
