Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	10000	10000	2	30971.5	27551	23.043	1.322	1.16667	0.000480335	670.981	17082.5	0.129603	0.0944756	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300	379	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379	386	323.23 189.38,300.76 197.07
0	2	657	675	0	0	0	0	0	14	0	0	0	U	55.394	386	400	300.76 197.07,334.73 191.27
0	3	675	749	0	0	0	0	0	515	0	0	0	Straight	0.0	400	915	334.73 191.27,368.66 185.5
0	4	749	746	0	0	0	0	0	79	0	0	0	Straight	0.0	915	994	368.66 185.5,402.33 180.38
0	5	746	747	0	0	0	0	0	128	0	0	0	Straight	0.0	994	1122	402.33 180.38,435.89 175.7
0	6	747	767	0	0	0	0	0	46	0	0	0	Straight	0.0	1122	1168	435.89 175.7,469.4 171.38
0	7	767	704	1	0	0	0	0	137	0	0	0	Straight	0.0	1168	1305	469.4 171.38,505.47 170.09
0	8	704	213	1	0	0	0	0	7	0	0	0	Straight	0.0	1305	1312	505.47 170.09,541.07 188.18
0	9	213	136	1	0	0	0	0	154	0	0	0	Straight	0.0	1312	1466	541.07 188.18,575.9 207.38
0	10	136	135	1	1	385	385	0	69	449	1	0	Straight	0.0	1466	1915	575.9 207.38,587.02 204.65
0	11	135	920	1	1	51	51	0	9	59	0	0	Right	6.924	1915	1924	587.02 204.65,592.38 185.82
0	12	920	1021	1	1	113	113	0	20	130	1	0	Left	13.848	1924	2054	592.38 185.82,600.22 182.08
0	13	1021	1022	1	1	55	55	0	10	60	1	0	Right	6.924	2054	2114	600.22 182.08,600.17 176.66
0	14	1022	1021	1	1	55	55	0	10	60	0	0	U	55.394	2114	2124	600.17 176.66,600.22 182.08
0	15	1021	495	1	1	64	64	0	12	72	0	0	Right	6.924	2124	2136	600.22 182.08,608.36 180.59
0	16	495	733	1	1	48	48	0	9	49	1	0	Straight	0.0	2136	2185	608.36 180.59,613.69 183.26
0	17	733	495	1	1	48	48	0	9	49	0	0	U	55.394	2185	2194	613.69 183.26,608.36 180.59
0	18	495	494	1	1	122	122	0	22	142	0	0	Left	13.848	2194	2216	608.36 180.59,612.74 176.14
0	19	494	495	1	1	122	122	0	22	142	1	0	U	55.394	2216	2358	612.74 176.14,608.36 180.59
0	20	495	1021	1	1	64	64	0	12	72	1	0	Straight	0.0	2358	2430	608.36 180.59,600.22 182.08
0	21	1021	920	1	1	113	113	0	20	130	0	0	Straight	0.0	2430	2450	600.22 182.08,592.38 185.82
0	22	920	793	1	1	56	56	0	10	60	0	0	Left	13.848	2450	2460	592.38 185.82,595.05 167.59
0	23	793	157	1	1	54	54	0	10	60	1	0	Straight	0.0	2460	2520	595.05 167.59,594.33 152.01
0	24	157	770	1	1	55	55	0	10	60	1	0	Straight	0.0	2520	2580	594.33 152.01,590.28 142.66
0	25	770	163	1	1	92	92	0	17	107	1	0	Straight	0.0	2580	2687	590.28 142.66,590.09 133.93
0	26	163	162	1	1	52	52	0	9	59	1	0	Straight	0.0	2687	2746	590.09 133.93,593.11 128.25
0	27	162	682	1	1	221	221	0	40	260	1	0	Left	13.848	2746	3006	593.11 128.25,596.52 133.47
0	28	682	681	1	1	57	57	0	10	60	1	0	Straight	0.0	3006	3066	596.52 133.47,595.12 142.05
0	29	681	157	1	1	61	61	0	11	71	1	0	Straight	0.0	3066	3137	595.12 142.05,594.33 152.01
0	30	157	158	1	1	53	53	0	10	60	1	0	U	55.394	3137	3197	594.33 152.01,600.53 146.43
0	31	158	896	1	1	45	45	0	8	48	1	0	Straight	0.0	3197	3245	600.53 146.43,606.65 142.55
0	32	896	148	1	1	81	81	0	15	95	1	0	Left	13.848	3245	3340	606.65 142.55,611.38 145.27
0	33	148	149	1	1	34	34	0	6	36	1	0	Right	6.924	3340	3376	611.38 145.27,616.27 139.37
0	34	149	148	1	1	34	34	0	6	36	0	0	U	55.394	3376	3382	616.27 139.37,611.38 145.27
0	35	148	827	1	1	112	112	0	20	130	1	0	Straight	0.0	3382	3512	611.38 145.27,607.74 152.62
0	36	827	794	1	1	33	33	0	6	36	1	0	Straight	0.0	3512	3548	607.74 152.62,601.67 159.89
0	37	794	793	1	1	78	78	0	14	84	1	0	Straight	0.0	3548	3632	601.67 159.89,595.05 167.59
