Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	10000	10000	1	8445.3	7559	95.35	0	1	0	346.977	1748	0.0631918	0	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300	379	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379	386	323.23 189.38,300.76 197.07
0	2	657	675	0	0	0	0	0	14	0	0	0	U	55.394	386	400	300.76 197.07,334.73 191.27
0	3	675	749	0	0	0	0	0	515	0	0	0	Straight	0.0	400	915	334.73 191.27,368.66 185.5
0	4	749	746	0	0	0	0	0	79	0	0	0	Straight	0.0	915	994	368.66 185.5,402.33 180.38
0	5	746	747	0	0	0	0	0	128	0	0	0	Straight	0.0	994	1122	402.33 180.38,435.89 175.7
0	6	747	767	0	0	0	0	0	46	0	0	0	Straight	0.0	1122	1168	435.89 175.7,469.4 171.38
0	7	767	704	1	0	0	0	0	137	0	0	0	Straight	0.0	1168	1305	469.4 171.38,505.47 170.09
0	8	704	213	1	0	0	0	0	7	0	0	0	Straight	0.0	1305	1312	505.47 170.09,541.07 188.18
0	9	213	136	1	0	0	0	0	154	0	0	0	Straight	0.0	1312	1466	541.07 188.18,575.9 207.38
0	10	136	104	1	0	0	0	0	87	0	0	0	Straight	0.0	1466	1553	575.9 207.38,608.43 228.15
0	11	104	447	1	0	0	0	0	81	0	0	0	Right	6.924	1553	1634	608.43 228.15,649.94 210.95
0	12	447	905	1	0	0	0	0	20	0	0	0	Left	13.848	1634	1654	649.94 210.95,655.81 216.73
0	13	905	871	1	0	0	0	0	11	0	0	0	Straight	0.0	1654	1665	655.81 216.73,664.27 218.52
0	14	871	93	1	0	0	0	0	50	0	0	0	Straight	0.0	1665	1715	664.27 218.52,671.81 218.46
0	15	93	895	1	1	414	414	0	75	485	1	0	Left	13.848	1715	2200	671.81 218.46,668.76 223.18
0	16	895	1000	1	1	43	43	0	8	48	1	0	Right	6.924	2200	2248	668.76 223.18,670.41 229.13
0	17	1000	895	1	1	43	43	0	8	48	0	0	U	55.394	2248	2256	670.41 229.13,668.76 223.18
0	18	895	871	1	1	59	59	0	11	61	1	0	Straight	0.0	2256	2317	668.76 223.18,664.27 218.52
0	19	871	905	1	0	0	0	0	11	0	0	0	Straight	0.0	2317	2328	664.27 218.52,655.81 216.73
0	20	905	447	1	0	0	0	0	20	0	0	0	Straight	0.0	2328	2348	655.81 216.73,649.94 210.95
0	21	447	826	1	0	0	0	0	25	0	0	0	Left	13.848	2348	2373	649.94 210.95,684.71 196.04
0	22	826	485	1	0	0	0	0	20	0	0	0	Straight	0.0	2373	2393	684.71 196.04,719.61 182.35
0	23	485	734	1	0	0	0	0	71	0	0	0	Straight	0.0	2393	2464	719.61 182.35,753.43 170.45
0	24	734	508	1	1	82	82	0	15	95	1	0	Straight	0.0	2464	2559	753.43 170.45,769.2 151.07
0	25	508	509	1	1	94	94	0	17	107	1	0	Straight	0.0	2559	2666	769.2 151.07,780.72 133.88
0	26	509	1065	1	1	113	113	0	20	130	1	0	Straight	0.0	2666	2796	780.72 133.88,782.4 126.22
0	27	1065	509	1	1	113	113	0	20	130	0	0	U	55.394	2796	2816	782.4 126.22,780.72 133.88
0	28	509	516	1	1	56	56	0	10	60	1	0	U	55.394	2816	2876	780.72 133.88,793.23 120.29
0	29	516	808	1	1	56	56	0	10	60	1	0	Straight	0.0	2876	2936	793.23 120.29,805.37 108.05
0	30	808	807	1	1	51	51	0	9	59	1	0	Straight	0.0	2936	2995	805.37 108.05,817.04 96.724
0	31	807	691	1	1	58	58	0	11	61	1	0	Straight	0.0	2995	3056	817.04 96.724,828.07 86.244
0	32	691	692	1	1	57	57	0	10	60	1	0	Straight	0.0	3056	3116	828.07 86.244,838.62 76.343
0	33	692	1027	1	1	56	56	0	10	60	1	0	Straight	0.0	3116	3176	838.62 76.343,842.15 68.197
0	34	1027	536	1	1	354	354	0	64	414	1	0	Straight	0.0	3176	3590	842.15 68.197,843.51 62.15
0	35	536	201	1	1	63	63	0	11	71	1	0	Left	13.848	3590	3661	843.51 62.15,848.67 63.404
0	36	201	541	1	1	83	83	0	15	95	1	0	Right	6.924	3661	3756	848.67 63.404,855.84 56.858
0	37	541	542	1	1	70	70	0	13	83	1	0	Straight	0.0	3756	3839	855.84 56.858,858.38 49.713
