Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	10000	10000	2	30839.8	28243	376.482	3.105	1	0	1104.28	33390	0.106005	0.084965	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	1084	1	0	0	0	0	544	0	0	300		0.0	300	844	446.0 251.77,472.41 259.17
0	1	1084	710	1	0	0	0	0	6	0	0	0	Straight	0.0	844	850	472.41 259.17,492.08 262.01
0	2	710	711	0	0	0	0	0	2	0	0	0	Left	11.389	850	852	492.08 262.01,489.8 266.86
0	3	711	1097	1	0	0	0	0	9	0	0	0	Right	5.695	852	861	489.8 266.86,506.66 275.68
0	4	1097	1098	0	1	24	24	0	4	24	1	0	Straight	0.0	861	885	506.66 275.68,514.53 275.09
0	5	1098	1790	0	1	36	36	0	7	37	1	0	Right	5.695	885	922	514.53 275.09,512.21 263.69
0	6	1790	1536	1	1	9	9	0	2	2	1	0	Left	11.389	922	924	512.21 263.69,528.75 266.95
0	7	1536	1537	0	1	111	111	0	20	130	1	0	Straight	0.0	924	1054	528.75 266.95,548.05 280.18
0	8	1537	695	0	1	26	26	0	5	25	1	0	Straight	0.0	1054	1079	548.05 280.18,574.53 280.89
0	9	695	1047	0	1	382	382	0	69	449	1	0	Straight	0.0	1079	1528	574.53 280.89,602.27 269.26
0	10	1047	1046	0	1	189	189	0	34	214	1	0	Straight	0.0	1528	1742	602.27 269.26,622.63 269.3
0	11	1046	617	1	1	138	138	0	25	155	0	0	Straight	0.0	1742	1767	622.63 269.3,644.46 275.32
0	12	617	1393	1	0	0	0	0	24	0	0	0	Straight	0.0	1767	1791	644.46 275.32,656.58 269.83
0	13	1393	995	1	0	0	0	0	27	0	0	0	Left	11.389	1791	1818	656.58 269.83,664.98 279.28
0	14	995	985	1	0	0	0	0	16	0	0	0	Straight	0.0	1818	1834	664.98 279.28,673.94 288.26
0	15	985	510	1	0	0	0	0	55	0	0	0	Straight	0.0	1834	1889	673.94 288.26,690.0 296.32
0	16	510	481	1	0	0	0	0	17	0	0	0	Straight	0.0	1889	1906	690.0 296.32,695.26 308.71
0	17	481	480	1	0	0	0	0	75	0	0	0	Straight	0.0	1906	1981	695.26 308.71,707.33 320.81
0	18	480	861	1	1	62	62	0	11	71	0	0	Straight	0.0	1981	1992	707.33 320.81,722.5 331.32
