Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	10000	10000	2	29272	26362	371.453	2.287	1	0	937.254	20420.5	0.0588918	0.0898421	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300	371	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371	392	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392	419	401.59 256.48,379.09 271.73
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	419	477	379.09 271.73,393.81 293.84
0	4	1684	984	1	0	0	0	0	3	0	0	0	Left	11.389	477	480	393.81 293.84,381.85 299.24
0	5	984	558	1	0	0	0	0	7	0	0	0	Straight	0.0	480	487	381.85 299.24,362.77 297.07
0	6	558	554	1	0	0	0	0	10	0	0	0	Straight	0.0	487	497	362.77 297.07,347.04 297.52
0	7	554	1553	1	0	0	0	0	36	0	0	0	Straight	0.0	497	533	347.04 297.52,331.4 298.1
0	8	1553	957	1	0	0	0	0	51	0	0	0	Straight	0.0	533	584	331.4 298.1,316.93 302.6
0	9	957	557	1	0	0	0	0	28	0	0	0	Straight	0.0	584	612	316.93 302.6,303.93 309.49
0	10	557	1971	1	0	0	0	0	16	0	0	0	Right	5.695	612	628	303.93 309.49,305.81 320.42
0	11	1971	458	1	0	0	0	0	15	0	0	0	Left	11.389	628	643	305.81 320.42,292.81 327.99
0	12	458	459	1	0	0	0	0	34	0	0	0	Right	5.695	643	677	292.81 327.99,290.76 342.77
0	13	459	1678	1	0	0	0	0	11	0	0	0	Right	5.695	677	688	290.76 342.77,302.47 357.35
0	14	1678	413	1	0	0	0	0	18	0	0	0	Left	11.389	688	706	302.47 357.35,289.67 363.76
0	15	413	396	1	0	0	0	0	28	0	0	0	Straight	0.0	706	734	289.67 363.76,284.82 374.87
0	16	396	395	1	0	0	0	0	28	0	0	0	Straight	0.0	734	762	284.82 374.87,280.37 386.23
0	17	395	352	1	0	0	0	0	33	0	0	0	Straight	0.0	762	795	280.37 386.23,275.86 397.77
0	18	352	348	1	0	0	0	0	2	0	0	0	Straight	0.0	795	797	275.86 397.77,278.31 408.08
0	19	348	408	0	0	0	0	0	107	0	0	0	Left	11.389	797	904	278.31 408.08,259.57 409.9
