Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	10000	10000	2	32071.4	28723	724.085	2.611	1.07692	0.00578939	800.514	17905.5	0.235567	1.24047	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300	371	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371	392	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392	419	401.59 256.48,379.09 271.73
0	3	615	616	1	0	0	0	0	3	0	0	0	Straight	0.0	419	422	379.09 271.73,363.03 281.58
0	4	616	607	1	0	0	0	0	22	0	0	0	Straight	0.0	422	444	363.03 281.58,341.47 281.28
0	5	607	593	1	0	0	0	0	30	0	0	0	Straight	0.0	444	474	341.47 281.28,320.19 279.47
0	6	593	594	1	0	0	0	0	34	0	0	0	Straight	0.0	474	508	320.19 279.47,307.38 288.17
0	7	594	564	1	0	0	0	0	26	0	0	0	Straight	0.0	508	534	307.38 288.17,297.85 297.27
0	8	564	556	1	0	0	0	0	27	0	0	0	Straight	0.0	534	561	297.85 297.27,289.6 308.42
0	9	556	2097	1	0	0	0	0	25	0	0	0	Straight	0.0	561	586	289.6 308.42,279.58 320.46
0	10	2097	969	1	0	0	0	0	24	0	0	0	Straight	0.0	586	610	279.58 320.46,267.88 330.78
0	11	969	506	1	0	0	0	0	43	0	0	0	Straight	0.0	610	653	267.88 330.78,262.85 344.55
0	12	506	478	1	0	0	0	0	25	0	0	0	Straight	0.0	653	678	262.85 344.55,250.63 358.81
0	13	478	500	1	0	0	0	0	15	0	0	0	Left	11.389	678	693	250.63 358.81,235.35 357.54
0	14	500	971	1	0	0	0	0	3	0	0	0	Straight	0.0	693	696	235.35 357.54,221.11 357.76
0	15	971	970	1	0	0	0	0	66	0	0	0	Straight	0.0	696	762	221.11 357.76,211.4 361.91
0	16	970	980	1	0	0	0	0	36	0	0	0	Left	11.389	762	798	211.4 361.91,200.54 354.2
0	17	980	979	1	0	0	0	0	60	0	0	0	Right	5.695	798	858	200.54 354.2,197.85 376.83
0	18	979	950	0	0	0	0	0	26	0	0	0	Straight	0.0	858	884	197.85 376.83,202.64 392.33
0	19	950	951	0	0	0	0	0	2	0	0	0	Straight	0.0	884	886	202.64 392.33,197.99 411.0
