Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	10000	10000	2	32683.5	29392	446.696	1.946	1	0	1460.79	20628.5	0.176675	0	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300	371	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371	392	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392	419	401.59 256.48,379.09 271.73
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	419	477	379.09 271.73,393.81 293.84
0	4	1684	1721	0	0	0	0	0	152	0	0	0	Straight	0.0	477	629	393.81 293.84,413.37 313.35
0	5	1721	1587	0	0	0	0	0	121	0	0	0	Straight	0.0	629	750	413.37 313.35,435.11 331.04
0	6	1587	281	0	0	0	0	0	54	0	0	0	Straight	0.0	750	804	435.11 331.04,459.71 345.2
0	7	281	707	0	0	0	0	0	8	0	0	0	Straight	0.0	804	812	459.71 345.2,472.62 354.79
0	8	707	703	0	0	0	0	0	5	0	0	0	Straight	0.0	812	817	472.62 354.79,485.13 364.6
0	9	703	698	0	0	0	0	0	5	0	0	0	Straight	0.0	817	822	485.13 364.6,504.74 377.85
0	10	698	1946	0	0	0	0	0	6	0	0	0	Straight	0.0	822	828	504.74 377.85,513.15 392.61
0	11	1946	1607	0	0	0	0	0	13	0	0	0	Straight	0.0	828	841	513.15 392.61,521.02 407.56
0	12	1607	1326	0	0	0	0	0	24	0	0	0	Straight	0.0	841	865	521.02 407.56,530.55 425.07
0	13	1326	1323	1	0	0	0	0	31	0	0	0	Right	5.695	865	896	530.55 425.07,538.85 417.16
0	14	1323	1327	1	0	0	0	0	39	0	0	0	Left	11.389	896	935	538.85 417.16,550.44 438.36
0	15	1327	1304	1	0	0	0	0	303	0	0	0	Right	5.695	935	1238	550.44 438.36,575.38 435.59
0	16	1304	125	1	0	0	0	0	159	0	0	0	Straight	0.0	1238	1397	575.38 435.59,602.54 424.21
0	17	125	127	1	0	0	0	0	4	0	0	0	Straight	0.0	1397	1401	602.54 424.21,621.17 409.05
0	18	127	122	0	0	0	0	0	9	0	0	0	Left	11.389	1401	1410	621.17 409.05,627.73 421.26
0	19	122	521	0	0	0	0	0	16	0	0	0	Straight	0.0	1410	1426	627.73 421.26,638.17 430.92
