Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	10000	10000	3	33367.7	31198	372.484	2.043	1.33333	0	669.083	15105.5	0.0480691	0.109007	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	1	396	396	0	71	461	0	300		0.0	300	371	446.0 251.77,421.88 250.66
0	1	2085	1825	0	1	118	118	0	21	131	0	0	Straight	0.0	371	392	421.88 250.66,401.59 256.48
0	2	1825	615	1	1	151	151	0	27	177	0	0	Straight	0.0	392	419	401.59 256.48,379.09 271.73
0	3	615	616	1	1	18	18	0	3	13	0	0	Straight	0.0	419	422	379.09 271.73,363.03 281.58
0	4	616	607	1	1	123	123	0	22	142	0	0	Straight	0.0	422	444	363.03 281.58,341.47 281.28
0	5	607	593	1	1	167	167	0	30	190	0	0	Straight	0.0	444	474	341.47 281.28,320.19 279.47
0	6	593	594	1	0	0	0	0	34	0	0	0	Straight	0.0	474	508	320.19 279.47,307.38 288.17
0	7	594	564	1	0	0	0	0	26	0	0	0	Straight	0.0	508	534	307.38 288.17,297.85 297.27
0	8	564	556	1	0	0	0	0	27	0	0	0	Straight	0.0	534	561	297.85 297.27,289.6 308.42
0	9	556	2097	1	0	0	0	0	25	0	0	0	Straight	0.0	561	586	289.6 308.42,279.58 320.46
0	10	2097	969	1	0	0	0	0	24	0	0	0	Straight	0.0	586	610	279.58 320.46,267.88 330.78
0	11	969	506	1	0	0	0	0	43	0	0	0	Straight	0.0	610	653	267.88 330.78,262.85 344.55
0	12	506	478	1	0	0	0	0	25	0	0	0	Straight	0.0	653	678	262.85 344.55,250.63 358.81
0	13	478	500	1	0	0	0	0	15	0	0	0	Left	11.389	678	693	250.63 358.81,235.35 357.54
0	14	500	971	1	0	0	0	0	3	0	0	0	Straight	0.0	693	696	235.35 357.54,221.11 357.76
0	15	971	970	1	0	0	0	0	66	0	0	0	Straight	0.0	696	762	221.11 357.76,211.4 361.91
0	16	970	980	1	0	0	0	0	36	0	0	0	Left	11.389	762	798	211.4 361.91,200.54 354.2
0	17	980	1460	1	0	0	0	0	10	0	0	0	Straight	0.0	798	808	200.54 354.2,181.62 351.41
0	18	1460	568	1	0	0	0	0	15	0	0	0	Straight	0.0	808	823	181.62 351.41,166.36 352.32
0	19	568	623	1	0	0	0	0	67	0	0	0	Straight	0.0	823	890	166.36 352.32,159.17 347.9
0	20	623	659	1	0	0	0	0	37	0	0	0	U	45.557	890	927	159.17 347.9,176.13 344.04
0	21	659	1002	0	1	471	471	0	85	555	0	0	Left	11.389	927	1012	176.13 344.04,172.85 370.63
0	22	1002	1001	0	1	12	12	0	2	12	0	0	Straight	0.0	1012	1014	172.85 370.63,167.84 394.3
0	23	1001	998	0	1	137	137	0	25	155	0	0	Straight	0.0	1014	1039	167.84 394.3,167.11 412.04
0	24	998	989	1	1	91	91	0	16	106	0	0	Straight	0.0	1039	1055	167.11 412.04,165.96 433.65
0	25	989	539	1	1	273	273	0	49	319	1	0	Straight	0.0	1055	1374	165.96 433.65,169.3 456.4
0	26	539	538	1	1	515	515	0	93	603	1	0	Straight	0.0	1374	1977	169.3 456.4,180.09 477.08
0	27	538	1552	1	1	41	41	0	7	47	1	0	Straight	0.0	1977	2024	180.09 477.08,191.42 497.31
0	28	1552	1575	1	1	156	156	0	28	178	1	0	Straight	0.0	2024	2202	191.42 497.31,203.96 516.88
0	29	1575	363	1	1	407	407	0	73	473	1	0	Straight	0.0	2202	2675	203.96 516.88,214.66 533.34
0	30	363	794	1	1	165	165	0	30	190	1	0	Straight	0.0	2675	2865	214.66 533.34,222.74 548.89
0	31	794	2031	1	1	387	387	0	70	450	1	0	Straight	0.0	2865	3315	222.74 548.89,229.71 558.72
0	32	2031	2032	1	1	54	54	0	10	60	1	0	Left	11.389	3315	3375	229.71 558.72,225.85 563.55
0	33	2032	2031	1	1	54	54	0	10	60	0	0	U	45.557	3375	3385	225.85 563.55,229.71 558.72
0	34	2031	1781	1	1	202	202	0	36	236	1	0	Left	11.389	3385	3621	229.71 558.72,239.37 565.49
0	35	1781	344	1	1	600	600	0	108	708	1	0	U	45.557	3621	4329	239.37 565.49,227.53 560.6
0	36	344	345	1	1	93	93	0	17	107	0	0	Right	5.695	4329	4346	227.53 560.6,220.22 567.77
0	37	345	2148	1	1	50	50	0	9	59	0	0	Straight	0.0	4346	4355	220.22 567.77,217.16 573.21
0	38	2148	345	1	1	50	50	0	9	59	1	0	U	45.557	4355	4414	217.16 573.21,220.22 567.77
0	39	345	2101	1	1	41	41	0	7	47	1	0	U	45.557	4414	4461	220.22 567.77,214.66 570.68
0	40	2101	345	1	1	41	41	0	7	47	0	0	U	45.557	4461	4468	214.66 570.68,220.22 567.77
0	41	345	344	1	1	93	93	0	17	107	1	0	Straight	0.0	4468	4575	220.22 567.77,227.53 560.6
0	42	344	794	1	1	37	37	0	7	37	1	0	Right	5.695	4575	4612	227.53 560.6,222.74 548.89
0	43	794	363	1	1	165	165	0	30	190	0	0	Straight	0.0	4612	4642	222.74 548.89,214.66 533.34
0	44	363	357	1	1	109	109	0	20	120	1	0	Left	11.389	4642	4762	214.66 533.34,223.81 534.99
0	45	357	356	1	1	428	428	0	77	497	1	0	Straight	0.0	4762	5259	223.81 534.99,240.65 544.0
0	46	356	700	0	1	260	260	0	47	307	1	0	Straight	0.0	5259	5566	240.65 544.0,251.28 542.49
0	47	700	701	1	0	0	0	0	4	0	0	0	Left	11.389	5566	5570	251.28 542.49,253.87 554.33
0	48	701	356	0	1	264	264	0	48	308	1	0	U	45.557	5570	5878	253.87 554.33,240.65 544.0
0	49	356	700	0	1	260	260	0	47	307	0	0	Left	11.389	5878	5925	240.65 544.0,251.28 542.49
0	50	700	702	1	0	0	0	0	9	0	0	0	Right	5.695	5925	5934	251.28 542.49,248.62 532.84
0	51	702	1887	0	1	36	36	0	13	83	1	0	Left	11.389	5934	6017	248.62 532.84,261.09 535.91
0	52	1887	661	0	0	0	0	0	113	0	0	0	Straight	0.0	6017	6130	261.09 535.91,277.78 532.6
0	53	661	660	0	1	250	250	0	45	295	1	0	Right	5.695	6130	6425	277.78 532.6,269.67 523.72
0	54	660	238	0	1	45	45	0	8	48	1	0	Straight	0.0	6425	6473	269.67 523.72,269.65 514.88
0	55	238	1648	0	1	123	123	0	22	142	1	0	Right	5.695	6473	6615	269.65 514.88,260.49 519.04
