Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	10000	10000	2	28111	26152	26.427	2.37	1	0	756.266	19083	0.100116	0.0916656	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300	371	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371	392	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392	419	401.59 256.48,379.09 271.73
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	419	477	379.09 271.73,393.81 293.84
0	4	1684	984	1	0	0	0	0	3	0	0	0	Left	11.389	477	480	393.81 293.84,381.85 299.24
0	5	984	558	1	0	0	0	0	7	0	0	0	Straight	0.0	480	487	381.85 299.24,362.77 297.07
0	6	558	554	1	0	0	0	0	10	0	0	0	Straight	0.0	487	497	362.77 297.07,347.04 297.52
0	7	554	1553	1	0	0	0	0	36	0	0	0	Straight	0.0	497	533	347.04 297.52,331.4 298.1
0	8	1553	957	1	0	0	0	0	51	0	0	0	Straight	0.0	533	584	331.4 298.1,316.93 302.6
0	9	957	557	1	1	156	156	0	28	178	1	0	Straight	0.0	584	762	316.93 302.6,303.93 309.49
0	10	557	1971	1	1	88	88	0	16	96	1	0	Right	5.695	762	858	303.93 309.49,305.81 320.42
0	11	1971	923	1	1	131	131	0	24	154	1	0	Right	5.695	858	1012	305.81 320.42,320.56 320.93
0	12	923	924	1	1	160	160	0	29	189	1	0	Straight	0.0	1012	1201	320.56 320.93,333.7 326.49
0	13	924	1617	1	1	170	170	0	31	201	1	0	Straight	0.0	1201	1402	333.7 326.49,339.04 338.69
0	14	1617	852	1	1	60	60	0	11	71	1	0	Left	11.389	1402	1473	339.04 338.69,332.99 352.48
0	15	852	399	1	1	117	117	0	21	131	1	0	Right	5.695	1473	1604	332.99 352.48,343.51 349.76
0	16	399	387	1	1	140	140	0	25	165	1	0	Straight	0.0	1604	1769	343.51 349.76,348.61 352.19
0	17	387	821	1	1	78	78	0	14	84	1	0	Left	11.389	1769	1853	348.61 352.19,347.2 357.58
0	18	821	346	1	1	142	142	0	26	166	1	0	Right	5.695	1853	2019	347.2 357.58,355.09 363.0
0	19	346	341	1	1	109	109	0	20	120	1	0	Left	11.389	2019	2139	355.09 363.0,351.16 371.92
