Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	10000	10000	2	30051.1	26902	73.993	2.298	1	1.17507e-06	832.534	17049	0.129562	0.0916656	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300	371	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371	392	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392	419	401.59 256.48,379.09 271.73
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	419	477	379.09 271.73,393.81 293.84
0	4	1684	984	1	0	0	0	0	3	0	0	0	Left	11.389	477	480	393.81 293.84,381.85 299.24
0	5	984	558	1	0	0	0	0	7	0	0	0	Straight	0.0	480	487	381.85 299.24,362.77 297.07
0	6	558	554	1	0	0	0	0	10	0	0	0	Straight	0.0	487	497	362.77 297.07,347.04 297.52
0	7	554	555	1	0	0	0	0	44	0	0	0	Straight	0.0	497	541	347.04 297.52,339.96 300.34
0	8	555	1736	1	0	0	0	0	23	0	0	0	U	45.557	541	564	339.96 300.34,344.08 298.22
0	9	1736	1737	1	1	84	84	0	15	95	1	0	Straight	0.0	564	659	344.08 298.22,347.89 291.31
0	10	1737	1807	1	1	102	102	0	18	118	1	0	Straight	0.0	659	777	347.89 291.31,352.03 287.51
0	11	1807	1737	1	1	102	102	0	18	118	0	0	U	45.557	777	795	352.03 287.51,347.89 291.31
0	12	1737	1738	1	1	54	54	0	10	60	1	0	U	45.557	795	855	347.89 291.31,348.66 286.8
0	13	1738	1737	1	1	54	54	0	10	60	0	0	U	45.557	855	865	348.66 286.8,347.89 291.31
0	14	1737	1736	1	1	84	84	0	15	95	0	0	Straight	0.0	865	880	347.89 291.31,344.08 298.22
0	15	1736	938	1	0	0	0	0	21	0	0	0	Straight	0.0	880	901	344.08 298.22,342.99 305.37
0	16	938	927	1	0	0	0	0	10	0	0	0	Straight	0.0	901	911	342.99 305.37,339.92 312.44
0	17	927	956	1	1	139	139	0	25	155	1	0	Left	11.389	911	1066	339.92 312.44,332.23 310.5
0	18	956	1459	1	0	0	0	0	37	0	0	0	Straight	0.0	1066	1103	332.23 310.5,325.1 313.12
0	19	1459	923	1	1	60	60	0	11	71	1	0	Straight	0.0	1103	1174	325.1 313.12,320.56 320.93
