Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	17600	24000	2	38578.1	32438.1	54.008	1.077	1.1	0.144924	174.838	3610	0.103068	0.245079	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	756	504	0	0	0.0	0	0.0	1019.6	0.0	0	0		0	0.0	1019.6	-90.335139 38.891017000000005,-90.332179 38.891635,-90.33209599999999 38.891653000000005,-90.331921 38.891215,-90.331769 38.890995000000004,-90.33157899999999 38.890806000000005,-90.330963 38.890331,-90.32982299999999 38.889502,-90.329449 38.889143000000004,-90.32896799999999 38.88888,-90.328797 38.888756,-90.32835999999999 38.888439000000005,-90.32801099999999 38.888194000000006,-90.327351 38.887752000000006,-90.32704799999999 38.887534,-90.32667199999999 38.887285000000006,-90.326258 38.887009000000006,-90.326127 38.886921,-90.32591199999999 38.886776000000005,-90.32542699999999 38.886452000000006,-90.325273 38.886351000000005,-90.324725 38.885984,-90.324649 38.885932000000004,-90.324473 38.885821,-90.32419499999999 38.885633000000006,-90.32405299999999 38.88553,-90.32375599999999 38.885325,-90.322864 38.884710000000005,-90.32274 38.884623000000005,-90.322424 38.88439,-90.322166 38.884201000000004,-90.321158 38.883451,-90.31952799999999 38.882237,-90.31903799999999 38.881870000000006,-90.31881899999999 38.881706,-90.31862799999999 38.881569000000006,-90.318359 38.881381000000005,-90.31810499999999 38.881202,-90.317698 38.880823,-90.317652 38.880793000000004,-90.317382 38.880594,-90.317309 38.880539000000006,-90.317222 38.880479,-90.317104 38.880586,-90.316818 38.880843000000006,-90.31612299999999 38.881476000000006,-90.315297 38.882226,-90.314898 38.882604,-90.314295 38.883172,-90.31294199999999 38.884175000000006,-90.30994 38.883581,-90.30801799999999 38.881411,-90.307599 38.880863000000005,-90.30746699999999 38.880629000000006,-90.30646999999999 38.878488000000004,-90.305526 38.876426,-90.305459 38.87628,-90.304733 38.874114000000006,-90.30464599999999 38.873874,-90.304435 38.873238,-90.30389299999999 38.871949,-90.303789 38.865273,-90.305898 38.863193,-90.305961 38.863131,-90.30698799999999 38.862144,-90.30736399999999 38.861785000000005,-90.310904 38.858616000000005,-90.31132199999999 38.858255,-90.312227 38.857486,-90.31622 38.854131,-90.316616 38.853817,-90.31672499999999 38.853729,-90.317163 38.853374,-90.320039 38.851135,-90.321271 38.850288000000006,-90.321497 38.850147,-90.322318 38.849622000000004,-90.32242799999999 38.84955,-90.32277099999999 38.84933,-90.32455499999999 38.848286,-90.32929299999999 38.845834,-90.330908 38.845002,-90.33202899999999 38.844434,-90.33300799999999 38.843913,-90.33648199999999 38.841631,-90.336654 38.841498,-90.33714699999999 38.841124,-90.337215 38.841069000000005,-90.33763099999999 38.840723000000004,-90.339393 38.839338000000005,-90.341646 38.837677,-90.34185699999999 38.837465,-90.343717 38.835703,-90.344849 38.834425,-90.345389 38.833797000000004,-90.346306 38.832717,-90.34732199999999 38.831529,-90.351755 38.826821,-90.35614299999999 38.822796000000004,-90.357006 38.822013000000005,-90.357339 38.821722,-90.357855 38.821274,-90.358679 38.820528,-90.361944 38.818187,-90.36238999999999 38.817931,-90.36251399999999 38.817866,-90.36306599999999 38.817562,-90.36667899999999 38.815901000000004,-90.36836699999999 38.815310000000004,-90.372051 38.814337,-90.37361999999999 38.814063000000004,-90.37379299999999 38.814031,-90.374692 38.813876,-90.37981599999999 38.812514,-90.392484 38.804709,-90.39283999999999 38.804416,-90.39293599999999 38.804345000000005,-90.396453 38.801198,-90.397522 38.80037,-90.400156 38.798724,-90.402293 38.797519,-90.404353 38.796310000000005,-90.40921399999999 38.792704,-90.41006999999999 38.791446,-90.41030599999999 38.790873000000005,-90.41061499999999 38.789105000000006,-90.410585 38.788464000000005,-90.41055999999999 38.788298000000005,-90.410456 38.787848000000004,-90.41038599999999 38.787586000000005,-90.41004 38.786619,-90.407618 38.783972000000006,-90.406145 38.782914000000005,-90.403573 38.781035,-90.40181299999999 38.779741,-90.401018 38.779156,-90.396327 38.775711,-90.39535199999999 38.775021,-90.394572 38.774481,-90.390548 38.771852,-90.39009999999999 38.771523,-90.389985 38.771438,-90.38934499999999 38.770931000000004,-90.38672799999999 38.768821,-90.38572599999999 38.768007000000004,-90.38508499999999 38.767504,-90.382364 38.765480000000004,-90.36963899999999 38.756262,-90.36890899999999 38.755811,-90.367959 38.755251,-90.36546399999999 38.753452,-90.365022 38.752373000000006,-90.36447 38.751507000000004,-90.364058 38.751255,-90.36395399999999 38.751196,-90.363101 38.751966,-90.36297499999999 38.752078000000004,-90.362918 38.752128000000006,-90.362659 38.752353,-90.36259 38.752415000000006,-90.362524 38.752471,-90.361611 38.753268000000006,-90.36110199999999 38.753709,-90.360948 38.753843,-90.36052799999999 38.754198,-90.360287 38.754403,-90.35986 38.754780000000004,-90.359246 38.754315000000005,-90.35906899999999 38.754183000000005,-90.35883899999999 38.754011000000006,-90.35822599999999 38.753541000000006,-90.35750499999999 38.752968,-90.35672699999999 38.75235,-90.354936 38.75101,-90.354829 38.750932000000006,-90.354034 38.750348,-90.352813 38.749468,-90.35216899999999 38.749010000000006,-90.351993 38.748884000000004,-90.351783 38.74873,-90.351395 38.748448
0	1	504	717	0	0	0.0	0	0.0	5.4	0.0	0	0	Left	25	1019.6	1025.0	-90.351395 38.748448,-90.350917 38.748786
0	2	717	308	0	0	0.0	0	0.0	4.5	0.0	0	0	Straight	0	1025.0	1029.5	-90.350917 38.748786,-90.350421 38.749136
0	3	308	730	0	0	0.0	0	0.0	4.5	0.0	0	0	Straight	0	1029.5	1034.0	-90.350421 38.749136,-90.34987699999999 38.749532
0	4	730	309	1	0	0.0	0	0.0	1.0	0.0	0	0	Straight	0	1034.0	1035.0	-90.349756 38.74962,-90.34987699999999 38.749532
0	5	309	311	1	0	0.0	0	0.0	4.8	0.0	0	0	U	125	1035.0	1039.8	-90.349756 38.74962,-90.34914699999999 38.750058
0	6	311	314	1	0	0.0	0	0.0	4.8	0.0	0	0	Straight	0	1039.8	1044.6	-90.348557 38.750504,-90.34914699999999 38.750058
0	7	314	313	0	0	0.0	0	0.0	4.7	0.0	0	0	U	125	1044.6	1049.3	-90.348557 38.750504,-90.34793599999999 38.750936
0	8	313	315	0	0	0.0	0	0.0	4.8	0.0	0	0	Straight	0	1049.3	1054.1	-90.34793599999999 38.750936,-90.34734599999999 38.751376
0	9	315	319	0	0	0.0	0	0.0	10.4	0.0	0	0	Straight	0	1054.1	1064.5	-90.34734599999999 38.751376,-90.34670799999999 38.751833000000005
